,SP_kinetics_test_5um_cavity_11-11-2021_16h34_29s,SP_kinetics_test_5um_cavity_11-11-2021_16h34_47s,SP_kinetics_test_5um_cavity_11-11-2021_16h35_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h35_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h36_17s,SP_kinetics_test_5um_cavity_11-11-2021_16h36_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h37_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h37_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h38_17s,SP_kinetics_test_5um_cavity_11-11-2021_16h38_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h39_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h39_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h40_17s,SP_kinetics_test_5um_cavity_11-11-2021_16h40_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h41_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h41_47s,SP_kinetics_test_5um_cavity_11-11-2021_16h42_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h42_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h43_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h43_47s,SP_kinetics_test_5um_cavity_11-11-2021_16h44_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h44_49s,SP_kinetics_test_5um_cavity_11-11-2021_16h45_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h45_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h46_17s,SP_kinetics_test_5um_cavity_11-11-2021_16h46_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h47_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h47_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h48_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h48_47s,SP_kinetics_test_5um_cavity_11-11-2021_16h49_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h49_47s,SP_kinetics_test_5um_cavity_11-11-2021_16h50_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h50_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h51_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h51_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h52_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h52_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h53_17s,SP_kinetics_test_5um_cavity_11-11-2021_16h53_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h54_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h54_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h55_17s,SP_kinetics_test_5um_cavity_11-11-2021_16h55_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h56_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h56_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h57_19s,SP_kinetics_test_5um_cavity_11-11-2021_16h57_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h58_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h58_48s,SP_kinetics_test_5um_cavity_11-11-2021_16h59_18s,SP_kinetics_test_5um_cavity_11-11-2021_16h59_49s,SP_kinetics_test_5um_cavity_11-11-2021_17h00_17s,SP_kinetics_test_5um_cavity_11-11-2021_17h00_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h01_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h01_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h02_17s,SP_kinetics_test_5um_cavity_11-11-2021_17h02_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h03_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h03_47s,SP_kinetics_test_5um_cavity_11-11-2021_17h04_19s,SP_kinetics_test_5um_cavity_11-11-2021_17h04_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h05_19s,SP_kinetics_test_5um_cavity_11-11-2021_17h05_49s,SP_kinetics_test_5um_cavity_11-11-2021_17h06_17s,SP_kinetics_test_5um_cavity_11-11-2021_17h06_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h07_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h07_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h08_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h08_47s,SP_kinetics_test_5um_cavity_11-11-2021_17h09_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h09_47s,SP_kinetics_test_5um_cavity_11-11-2021_17h10_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h10_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h11_17s,SP_kinetics_test_5um_cavity_11-11-2021_17h11_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h12_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h12_49s,SP_kinetics_test_5um_cavity_11-11-2021_17h13_17s,SP_kinetics_test_5um_cavity_11-11-2021_17h13_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h14_19s,SP_kinetics_test_5um_cavity_11-11-2021_17h14_47s,SP_kinetics_test_5um_cavity_11-11-2021_17h15_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h15_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h16_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h16_47s,SP_kinetics_test_5um_cavity_11-11-2021_17h17_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h17_49s,SP_kinetics_test_5um_cavity_11-11-2021_17h18_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h18_49s,SP_kinetics_test_5um_cavity_11-11-2021_17h19_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h19_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h20_19s,SP_kinetics_test_5um_cavity_11-11-2021_17h20_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h21_17s,SP_kinetics_test_5um_cavity_11-11-2021_17h21_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h22_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h22_48s,SP_kinetics_test_5um_cavity_11-11-2021_17h23_18s,SP_kinetics_test_5um_cavity_11-11-2021_17h23_49s,
Wavenumbers [1/cm],Transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,
6993.571,0.207911,0.2067887,0.2075644,0.2066686,0.2059547,0.2051003,0.2048416,0.206306,0.2040463,0.2041004,0.2031583,0.2029091,0.2027148,0.2033499,0.2022723,0.202203,0.2026847,0.2018582,0.2006414,0.201489,0.201205,0.1993762,0.2004781,0.1995207,0.2002475,0.2000295,0.1997451,0.1986924,0.1988132,0.1989069,0.1985176,0.1983759,0.1976544,0.1991083,0.1981756,0.1983854,0.1976913,0.1976777,0.1975023,0.1974169,0.1976835,0.1962464,0.1982421,0.1971895,0.1963665,0.1957793,0.1960226,0.1953149,0.1951392,0.1955973,0.1951661,0.1942212,0.1947863,0.1943308,0.1943358,0.1940002,0.1944117,0.194603,0.193597,0.1937931,0.1936739,0.1945541,0.1924058,0.1939846,0.1930921,0.1935778,0.1937544,0.1932823,0.1916797,0.1912735,0.1913683,0.1922631,0.1919387,0.1916294,0.1924042,0.1923366,0.1920211,0.192103,0.1920329,0.190741,0.1911621,0.1902365,0.1904177,0.1908025,0.1911751,0.1905677,0.1906426,0.1910754,0.190349,0.1904946,0.1897871,0.1905769,0.1896567,0.1908109,0.1900598,0.1901224,0.188695,0.1898239,0.18755,0.1890122,
6989.713,0.2060597,0.204483,0.2048694,0.204122,0.2031421,0.201872,0.2021483,0.2029423,0.2012008,0.2006775,0.1997204,0.1993935,0.199052,0.1997833,0.1989575,0.198928,0.198236,0.1972291,0.1974898,0.1971734,0.1970702,0.1964342,0.1969676,0.1960368,0.1965067,0.1958633,0.1960454,0.1945341,0.1956669,0.1951604,0.1945453,0.1944801,0.1935019,0.1947498,0.1937455,0.1939522,0.1940068,0.1933926,0.1935059,0.1930772,0.1934656,0.1924871,0.1936177,0.1932477,0.1920139,0.1922583,0.1923523,0.1909296,0.1911342,0.1912896,0.1905843,0.190051,0.1909152,0.1899561,0.1899555,0.1894799,0.1895503,0.1903973,0.1886279,0.1898227,0.1892345,0.1899807,0.1879766,0.1899602,0.188651,0.1888855,0.1892148,0.1885741,0.1880912,0.1864873,0.1871976,0.1875844,0.1870383,0.1869783,0.1883497,0.1878197,0.1874487,0.1880279,0.1873358,0.1862693,0.1867251,0.1854342,0.1855321,0.1866533,0.186178,0.1861415,0.185975,0.1864566,0.1857231,0.1858132,0.1854802,0.1859729,0.1846955,0.1857706,0.185706,0.1854549,0.1840809,0.1846456,0.1825529,0.1839826,
6985.856,0.2032628,0.2019061,0.201679,0.2012201,0.1998333,0.198461,0.1988202,0.1986986,0.1978754,0.1970276,0.1958853,0.1956386,0.1950801,0.1956029,0.1947554,0.1946967,0.193629,0.1925931,0.1938404,0.1925345,0.1925567,0.193141,0.1928843,0.1918364,0.1916757,0.1915618,0.1919506,0.1904754,0.1916379,0.1908526,0.1902415,0.1907942,0.1887074,0.1898084,0.1895691,0.1891775,0.1896132,0.1888263,0.1892489,0.1883372,0.1884806,0.1882522,0.1886978,0.1888702,0.1873108,0.1878112,0.1878641,0.1864447,0.1870387,0.1866327,0.186232,0.1860511,0.1863411,0.185775,0.1856965,0.1848807,0.1847642,0.1854763,0.1844197,0.1853708,0.1849351,0.1847927,0.1835647,0.1851956,0.183594,0.183685,0.1840142,0.1835044,0.1842412,0.1820651,0.1826375,0.1830767,0.1819172,0.1821437,0.1834688,0.1826265,0.1824687,0.1833313,0.1823468,0.1819728,0.1820727,0.1805899,0.1806164,0.1820627,0.181038,0.1814645,0.1809938,0.1811073,0.1809156,0.1803118,0.180791,0.1807339,0.1796341,0.1805767,0.1804917,0.1806571,0.1793936,0.1794014,0.1780463,0.1788685,
6981.999,0.1995392,0.1985243,0.1981073,0.1977813,0.1960187,0.1949144,0.1950904,0.1941851,0.1940655,0.1932245,0.1920099,0.1918456,0.1909784,0.1910469,0.1896752,0.1899165,0.1891155,0.1886037,0.1895995,0.1883931,0.188061,0.1885858,0.1881916,0.187401,0.1866009,0.1871363,0.187273,0.1863808,0.1867896,0.1859268,0.185428,0.186552,0.1838541,0.1847237,0.1854032,0.1840998,0.1848396,0.1845814,0.1848695,0.183152,0.1835395,0.1833877,0.183252,0.1838482,0.1825733,0.1825,0.1826842,0.1817967,0.1825645,0.1820058,0.1818938,0.1818922,0.1809725,0.1812769,0.181095,0.1801167,0.1800149,0.1804089,0.1807287,0.1802614,0.1804707,0.1793489,0.179077,0.180045,0.1784081,0.1784597,0.1792103,0.1782463,0.1796484,0.177477,0.1776709,0.1786767,0.1770645,0.1773278,0.1777667,0.1772934,0.1771464,0.1780599,0.1772562,0.1772899,0.1772316,0.1759682,0.1758059,0.1769015,0.1763685,0.1757817,0.1758186,0.1757711,0.1760225,0.1750233,0.1758469,0.1751067,0.1743999,0.1756322,0.1748999,0.175748,0.1745362,0.1743184,0.1735511,0.1742918,
6978.141,0.1953875,0.1940925,0.1941926,0.1934154,0.1920173,0.1912125,0.1912931,0.1896157,0.189946,0.1891236,0.1878827,0.1875059,0.1869029,0.1861993,0.1843901,0.1850874,0.1845967,0.1844284,0.1847792,0.1841292,0.1835351,0.1832317,0.1830506,0.1830695,0.1818352,0.18242,0.1823145,0.1817772,0.1818651,0.1807209,0.1803125,0.1810818,0.1790214,0.1796461,0.1805596,0.1789874,0.1799586,0.1800046,0.1801955,0.1779737,0.1787257,0.1782479,0.1774445,0.1782123,0.1778639,0.1769664,0.1776139,0.1770625,0.1776575,0.1771414,0.1768393,0.1769124,0.1752163,0.1764646,0.1758297,0.1750619,0.1751738,0.1756285,0.1762231,0.1749358,0.1753205,0.1738517,0.174232,0.1747542,0.1734328,0.1733339,0.1745197,0.1731377,0.174575,0.1726886,0.172558,0.1741963,0.1723783,0.1723068,0.1718859,0.1720336,0.171297,0.1724771,0.172104,0.1720433,0.1721787,0.1711852,0.170912,0.1715133,0.1718284,0.1695007,0.170524,0.1705716,0.1709891,0.1699075,0.170469,0.1697321,0.1692752,0.1705375,0.1695285,0.1703545,0.1694991,0.1689568,0.1688156,0.1699463,
6974.284,0.1909094,0.1893604,0.1897278,0.1885419,0.1879078,0.187309,0.1868586,0.1849258,0.1852556,0.184366,0.1832754,0.1825277,0.1824188,0.1813052,0.1798259,0.1804502,0.1801547,0.1794062,0.1795044,0.1789108,0.1788852,0.177916,0.1778781,0.1784716,0.1770923,0.1775306,0.1772051,0.1769282,0.1768432,0.1756984,0.1751547,0.1750754,0.1743048,0.1746222,0.1750263,0.1739759,0.1748211,0.1744426,0.1749858,0.1733695,0.1735155,0.1732038,0.1718323,0.1728022,0.1728704,0.1716072,0.1728834,0.1722186,0.1723246,0.1718114,0.1713634,0.1712335,0.1699755,0.1713588,0.1706189,0.1699117,0.1704288,0.1706508,0.1706798,0.1698203,0.1696569,0.1684108,0.1690784,0.1695004,0.168341,0.1683851,0.1691257,0.1680123,0.1692864,0.1679424,0.1674628,0.1691807,0.1674218,0.1667933,0.1664045,0.166703,0.1654287,0.1668808,0.1667149,0.1666581,0.166802,0.1661798,0.16576,0.1661743,0.1666893,0.1638317,0.1652241,0.1651451,0.165657,0.1644793,0.1650616,0.1644491,0.1645573,0.1650643,0.1644725,0.1646803,0.1644707,0.16323,0.1640042,0.1649302,
6970.426,0.1858633,0.1848748,0.1847159,0.1839991,0.1830719,0.1827894,0.1815362,0.1801094,0.1797891,0.1790316,0.1781721,0.1775283,0.1772399,0.1766389,0.17576,0.1756672,0.1755737,0.1743041,0.1741959,0.1732367,0.1741549,0.1729787,0.1729908,0.1732616,0.1720952,0.172324,0.1718889,0.1721254,0.171402,0.1708451,0.169927,0.1694684,0.1698152,0.1696866,0.1693702,0.1688806,0.1694254,0.1686561,0.16921,0.1688512,0.1682943,0.1681257,0.16675,0.1679867,0.1675267,0.166715,0.1677063,0.1671733,0.166687,0.1662533,0.1660729,0.1655143,0.1656057,0.1657808,0.1657322,0.1645897,0.1656807,0.1652154,0.1650206,0.1648223,0.1641234,0.1633126,0.1638716,0.1643851,0.1630363,0.1634613,0.1633328,0.1626954,0.1638098,0.1629,0.1623211,0.1633914,0.1620163,0.1610807,0.1613991,0.1612275,0.1603487,0.1617505,0.1611105,0.1612214,0.1614873,0.161162,0.1602707,0.1608429,0.1611359,0.158976,0.1600136,0.1597307,0.1601675,0.1588028,0.1600126,0.159053,0.159572,0.1595142,0.1592416,0.1592943,0.1594476,0.1576416,0.1591177,0.1591279,
6966.569,0.1804728,0.1802514,0.1793909,0.1796785,0.1776186,0.1774112,0.175936,0.1751908,0.1741812,0.1736782,0.1728142,0.1725404,0.1719209,0.1719156,0.1711457,0.1703929,0.1705404,0.169498,0.1691532,0.1678381,0.169283,0.168157,0.1683005,0.1677,0.1668319,0.1668806,0.1665025,0.1669597,0.1657898,0.1658852,0.1650202,0.1642648,0.1649975,0.1647559,0.1639597,0.163498,0.164003,0.1634658,0.1632008,0.1637483,0.1632687,0.1629415,0.1619882,0.1631013,0.1622351,0.161899,0.1618179,0.1618775,0.1611363,0.1606019,0.1607647,0.1601294,0.1611719,0.1602537,0.1606539,0.1593207,0.1608059,0.1595081,0.1596593,0.1594417,0.1591181,0.1584125,0.1586382,0.159123,0.1577617,0.1584345,0.1577078,0.157461,0.1581652,0.1573621,0.1570209,0.1574057,0.1564212,0.1557361,0.1566593,0.1557719,0.1555274,0.1569369,0.1557286,0.1557028,0.1566912,0.1558461,0.1547429,0.1552845,0.1558206,0.1544373,0.15492,0.1546782,0.1547135,0.1534502,0.1550387,0.1540128,0.153995,0.1538957,0.1534349,0.1543102,0.154395,0.1526719,0.1541376,0.1533323,
6962.711,0.1752599,0.1753611,0.1740876,0.1747702,0.1723227,0.1718286,0.170461,0.1701654,0.1688473,0.1686321,0.1675661,0.1672446,0.1668584,0.1669462,0.1658231,0.1650963,0.1651024,0.1644887,0.1642232,0.1626704,0.1638911,0.16329,0.163387,0.1623184,0.1615293,0.161806,0.1609892,0.161361,0.1604045,0.1607461,0.1605027,0.1592121,0.159713,0.159848,0.1587477,0.1578658,0.1588192,0.1585709,0.1574251,0.1582813,0.1580121,0.1578274,0.1570102,0.1578141,0.1570863,0.1566677,0.1560148,0.1562469,0.1558547,0.1552118,0.1554351,0.1549978,0.1559681,0.1552178,0.1556079,0.1545918,0.1556659,0.1539441,0.154463,0.1537421,0.1544165,0.1533434,0.1534091,0.1537767,0.1527047,0.1533501,0.1523437,0.1523443,0.1527565,0.1519988,0.1516392,0.1519675,0.1511691,0.1508491,0.1519157,0.1506741,0.1505689,0.1519007,0.1506397,0.1505834,0.1519388,0.1503149,0.1497149,0.1495658,0.1507671,0.1499937,0.1500059,0.1497635,0.1493546,0.148715,0.1497,0.1492288,0.148665,0.1484763,0.1476451,0.1493642,0.1492502,0.1480621,0.1490907,0.1479702,
