Wavelength [nm], Absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, 
190.000, 2.323852, 2.423375, 2.664054, 2.385194, 2.435266, 2.742041, 2.285777, 2.791826, 2.630933, 2.739442, 2.436086, 2.248334, 2.519489, 2.168757, 2.62373, 2.35817, 2.333074, 2.333771, 2.151308, 2.6559, 2.34416, 2.55688, 2.606375, 2.508415, 2.389144, 3.161574, 2.326309, 2.895237, 2.478695, 3.207524, 2.416871, 2.36493, 2.402216, 2.652177, 2.407994, 3.262107, 2.518284, 2.680135, 2.485157, 2.352038, 
191.000, 3.408707, 2.789322, 3.124357, 3.394725, 2.795507, 3.383785, 2.878034, 3.129787, 3.001407, 2.654926, 2.710673, 2.553891, 2.996618, 2.969959, 3.393888, 3.140594, 2.826457, 2.638927, 3.070452, 2.766502, 3.475184, 3.089827, 3.380875, 2.707379, 2.775746, 2.688916, 2.907751, 3.36228, 3.002602, 2.835527, 2.727993, 3.378296, 2.723432, 3.392543, 2.889228, 3.082942, 3.42051, 3.311785, 3.403091, 2.751479, 
192.000, 2.736233, 3.323455, 3.389882, 3.035402, 2.892892, 2.959256, 2.613267, 3.303936, 2.669603, 2.819651, 2.325359, 2.830102, 3.302238, 3.075818, 2.980681, 2.935593, 2.831511, 3.424776, 2.444356, 2.745358, 3.235773, 2.834458, 3.06009, 3.173584, 2.794923, 3.476763, 2.498691, 2.958019, 3.258975, 2.767484, 3.07718, 2.64924, 3.304008, 2.94891, 3.260886, 3.31564, 2.927675, 2.515715, 2.948818, 2.517856, 
193.000, 2.634538, 2.565037, 3.454621, 3.133401, 2.635846, 2.842717, 2.954221, 2.667062, 3.475123, 2.893576, 2.615862, 2.860596, 2.87983, 3.122166, 2.587484, 2.684119, 2.641683, 2.971301, 2.723617, 2.973274, 2.645941, 2.524742, 3.032312, 3.329736, 3.238243, 3.286815, 2.666264, 2.521539, 2.56391, 2.713153, 2.738812, 2.516859, 2.822988, 2.529446, 2.438441, 2.834188, 2.600473, 2.723869, 2.729413, 2.794994, 
194.000, 3.418237, 2.559281, 3.294812, 2.838921, 2.672935, 3.413637, 2.541526, 2.726914, 3.011098, 2.454765, 2.455219, 2.416236, 3.435887, 2.831054, 2.796079, 3.29024, 2.868225, 2.623078, 3.041556, 3.287232, 2.744018, 2.378665, 2.598344, 2.650912, 3.309803, 2.542097, 3.356435, 2.600551, 3.096763, 2.619196, 2.516769, 3.113037, 3.279144, 2.714801, 2.933933, 3.089119, 3.131078, 2.746907, 3.060549, 2.709197, 
195.000, 2.638781, 2.651768, 2.646776, 2.65839, 3.076881, 2.978064, 2.436615, 2.643417, 2.78268, 2.580364, 2.310198, 2.800869, 2.894804, 2.610159, 3.065017, 2.41785, 2.451699, 2.828908, 2.463657, 2.475336, 2.593337, 2.848946, 3.107879, 2.743745, 2.800494, 2.824049, 2.496758, 2.642789, 2.550371, 2.627239, 2.826314, 3.446177, 2.422871, 2.865316, 2.740538, 2.551378, 2.735015, 2.487287, 2.500701, 2.615401, 
196.000, 2.628706, 3.092476, 2.884727, 3.15345, 2.483268, 3.081079, 2.87267, 2.895722, 3.362143, 2.976502, 2.920358, 2.898414, 3.111589, 3.171819, 2.81, 3.69313, 3.329818, 2.788272, 2.906702, 3.329669, 3.494994, 3.336476, 3.580484, 2.811294, 3.079181, 3.419128, 2.968409, 3.515647, 3.109648, 3.051248, 3.058382, 3.051071, 3.689547, 3.338124, 3.505486, 3.12613, 3.084309, 3.400373, 3.161441, 3.433452, 
197.000, 2.275788, 2.167833, 2.350101, 2.407195, 2.462566, 2.352233, 2.372812, 2.524379, 3.19307, 2.40828, 2.858664, 2.327202, 2.953549, 2.494532, 2.974072, 3.136006, 2.897324, 2.826683, 2.475717, 2.915967, 2.600828, 2.288587, 3.159198, 2.36553, 2.277867, 2.573892, 2.716312, 2.732164, 2.777209, 2.692754, 2.291326, 2.5492, 3.145049, 2.297188, 2.741992, 3.217816, 2.782539, 3.186038, 2.9459, 2.49297, 
198.000, 1.631326, 1.652118, 1.609226, 1.819665, 1.815825, 1.925473, 1.928106, 1.869915, 1.889786, 1.946101, 2.037911, 2.033426, 1.886624, 1.918243, 1.795128, 1.909554, 1.891122, 1.864794, 1.942143, 1.922076, 1.918923, 2.007865, 1.886564, 1.988192, 1.975493, 2.057093, 2.01812, 1.958974, 1.895758, 1.948305, 2.011397, 1.970415, 1.960473, 2.050997, 1.970633, 1.877001, 1.902054, 1.924708, 1.943336, 2.043082, 
199.000, 1.31188, 1.308232, 1.331845, 1.522474, 1.572129, 1.550793, 1.573125, 1.575349, 1.584763, 1.597642, 1.547167, 1.56596, 1.579946, 1.560042, 1.587481, 1.599708, 1.632354, 1.591616, 1.592897, 1.590429, 1.595739, 1.565349, 1.5962, 1.574999, 1.587101, 1.576078, 1.623378, 1.59818, 1.597733, 1.565739, 1.601711, 1.559137, 1.631106, 1.583634, 1.580209, 1.620803, 1.624756, 1.617912, 1.630064, 1.56404, 
200.000, 1.104592, 1.10279, 1.091413, 1.319621, 1.340215, 1.344212, 1.342231, 1.351667, 1.368506, 1.352607, 1.371152, 1.358798, 1.37566, 1.370252, 1.364494, 1.365754, 1.365592, 1.374513, 1.372808, 1.364839, 1.352068, 1.368236, 1.37828, 1.369255, 1.383556, 1.389339, 1.381719, 1.380714, 1.36391, 1.377317, 1.387377, 1.381616, 1.376319, 1.365201, 1.370147, 1.372491, 1.380214, 1.367561, 1.384939, 1.393194, 
201.000, 0.9840651, 0.9872646, 0.9869499, 1.223543, 1.257306, 1.245356, 1.245706, 1.24201, 1.262033, 1.26683, 1.272107, 1.274802, 1.262036, 1.274245, 1.268998, 1.269421, 1.271531, 1.276471, 1.274686, 1.270165, 1.259197, 1.264887, 1.283828, 1.275535, 1.276302, 1.286911, 1.282266, 1.270512, 1.268712, 1.280318, 1.270873, 1.2727, 1.29122, 1.28688, 1.274168, 1.289425, 1.285372, 1.282376, 1.27657, 1.277917, 
202.000, 0.9149108, 0.9110236, 0.9157834, 1.152155, 1.178069, 1.176145, 1.166318, 1.178567, 1.185619, 1.192712, 1.173697, 1.191162, 1.201066, 1.196586, 1.186933, 1.204456, 1.188712, 1.189731, 1.196756, 1.19522, 1.198958, 1.203011, 1.201565, 1.20257, 1.202625, 1.208425, 1.208884, 1.19662, 1.19909, 1.207667, 1.194761, 1.204353, 1.206012, 1.213878, 1.209793, 1.202168, 1.204333, 1.209879, 1.199361, 1.202756, 
203.000, 0.8800125, 0.8782234, 0.8796978, 1.117853, 1.146128, 1.137373, 1.137613, 1.139318, 1.149896, 1.14839, 1.162808, 1.159554, 1.161572, 1.162136, 1.157044, 1.159119, 1.170036, 1.168435, 1.166578, 1.164793, 1.162712, 1.17031, 1.17034, 1.164895, 1.172082, 1.181151, 1.177775, 1.17012, 1.168957, 1.175529, 1.165106, 1.180043, 1.174088, 1.170351, 1.173151, 1.168, 1.173529, 1.180026, 1.174132, 1.169835, 
204.000, 0.8582754, 0.8620725, 0.8640246, 1.098384, 1.125515, 1.119498, 1.123868, 1.127154, 1.135346, 1.140646, 1.145202, 1.148711, 1.148737, 1.14369, 1.138196, 1.145249, 1.158041, 1.148137, 1.15913, 1.162436, 1.151231, 1.15232, 1.158288, 1.154759, 1.166716, 1.161256, 1.156058, 1.156262, 1.154296, 1.150989, 1.163131, 1.153395, 1.154851, 1.156915, 1.162663, 1.15642, 1.162253, 1.158346, 1.158607, 1.163857, 
205.000, 0.8446813, 0.849205, 0.8474112, 1.091128, 1.114868, 1.106658, 1.102798, 1.111742, 1.11884, 1.126371, 1.11986, 1.125374, 1.128127, 1.126672, 1.128112, 1.12619, 1.131508, 1.131365, 1.140146, 1.13477, 1.141461, 1.136405, 1.139933, 1.137624, 1.142944, 1.141373, 1.138946, 1.136451, 1.142455, 1.141997, 1.147465, 1.142539, 1.14098, 1.146334, 1.148077, 1.138062, 1.142933, 1.138894, 1.144929, 1.141345, 
206.000, 0.8396316, 0.8427944, 0.8412204, 1.087706, 1.107495, 1.095459, 1.100698, 1.105293, 1.105349, 1.113769, 1.123879, 1.11271, 1.116707, 1.11419, 1.121363, 1.124637, 1.12855, 1.129412, 1.131509, 1.127952, 1.129262, 1.127585, 1.130409, 1.133733, 1.134331, 1.137233, 1.133883, 1.133946, 1.1357, 1.132162, 1.132923, 1.132164, 1.129935, 1.136317, 1.132051, 1.134177, 1.136379, 1.139587, 1.136576, 1.127975, 
207.000, 0.8337045, 0.834125, 0.8321147, 1.071419, 1.091986, 1.082659, 1.084177, 1.086736, 1.088894, 1.101776, 1.100261, 1.10424, 1.107085, 1.104239, 1.105975, 1.1124, 1.111199, 1.114526, 1.111341, 1.117844, 1.111298, 1.114212, 1.115837, 1.118449, 1.123472, 1.127257, 1.120214, 1.114141, 1.121198, 1.112099, 1.122679, 1.113312, 1.120958, 1.122785, 1.122041, 1.116401, 1.122307, 1.122825, 1.121003, 1.121356, 
208.000, 0.8276777, 0.8252554, 0.8224311, 1.049224, 1.062531, 1.061066, 1.065401, 1.066696, 1.070821, 1.076368, 1.073554, 1.080015, 1.081797, 1.082456, 1.082865, 1.087739, 1.090647, 1.093593, 1.095196, 1.087636, 1.089841, 1.089602, 1.093755, 1.093998, 1.097756, 1.097114, 1.098184, 1.092343, 1.091215, 1.09705, 1.093697, 1.093713, 1.10081, 1.096374, 1.101768, 1.095594, 1.09783, 1.096925, 1.098269, 1.10154, 
209.000, 0.8245268, 0.8223023, 0.8245912, 1.032539, 1.052891, 1.047874, 1.053438, 1.054896, 1.060204, 1.066426, 1.071924, 1.066847, 1.066352, 1.06967, 1.069835, 1.075716, 1.077234, 1.077816, 1.080536, 1.074426, 1.077796, 1.079519, 1.079476, 1.079484, 1.081644, 1.081525, 1.083035, 1.081217, 1.075922, 1.078032, 1.08083, 1.082715, 1.084177, 1.08223, 1.082082, 1.077372, 1.086792, 1.083305, 1.082005, 1.087798, 
210.000, 0.8182735, 0.8186011, 0.8161259, 1.017049, 1.03455, 1.027785, 1.034135, 1.035933, 1.038292, 1.049696, 1.044736, 1.046625, 1.051521, 1.054296, 1.053198, 1.056811, 1.055774, 1.056583, 1.054882, 1.056405, 1.057702, 1.055958, 1.059219, 1.059099, 1.057809, 1.063738, 1.057295, 1.05849, 1.059573, 1.059328, 1.064657, 1.060009, 1.063449, 1.05994, 1.062312, 1.060673, 1.06429, 1.061289, 1.063377, 1.065892, 
211.000, 0.8140464, 0.813509, 0.8164358, 0.9937396, 1.019006, 1.015078, 1.015234, 1.019702, 1.023636, 1.025084, 1.024396, 1.024043, 1.034533, 1.028179, 1.030097, 1.034604, 1.035884, 1.035209, 1.036872, 1.0363, 1.038688, 1.034859, 1.038878, 1.03953, 1.037068, 1.045032, 1.042355, 1.037627, 1.041849, 1.040775, 1.042052, 1.037889, 1.042774, 1.039554, 1.045183, 1.039074, 1.041423, 1.041822, 1.041824, 1.046753, 
212.000, 0.8129201, 0.8124595, 0.8132577, 0.9756098, 1.003366, 0.9998393, 0.9960122, 0.9997063, 1.010215, 1.010902, 1.021723, 1.012344, 1.017385, 1.013403, 1.011771, 1.017049, 1.018089, 1.019638, 1.021619, 1.02139, 1.020803, 1.02148, 1.020917, 1.021097, 1.022913, 1.024849, 1.022375, 1.021725, 1.021344, 1.019928, 1.024511, 1.021587, 1.024619, 1.02269, 1.023002, 1.019024, 1.028099, 1.025405, 1.02679, 1.027597, 
213.000, 0.8081818, 0.8089986, 0.8092608, 0.9628429, 0.9861279, 0.9849315, 0.9848776, 0.9865956, 0.99301, 0.9933448, 0.9968152, 0.9961147, 0.9997911, 0.995399, 0.9962277, 1.002013, 1.004896, 1.002818, 1.00292, 1.003017, 1.004535, 1.008272, 1.003757, 1.004815, 1.002669, 1.005981, 1.005214, 1.006518, 1.01026, 1.002833, 1.008477, 1.007132, 1.008035, 1.007805, 1.008747, 1.00686, 1.008844, 1.005714, 1.00815, 1.011832, 
214.000, 0.8050628, 0.807497, 0.8060327, 0.949657, 0.9760623, 0.9745407, 0.9738197, 0.9749255, 0.9799004, 0.9817209, 0.9828854, 0.9797454, 0.9850688, 0.9811053, 0.9859862, 0.9877043, 0.9901595, 0.993516, 0.9897437, 0.9888201, 0.9900002, 0.9907894, 0.991056, 0.9924865, 0.9880142, 0.995501, 0.9922161, 0.9934464, 0.9969811, 0.9965267, 0.9924927, 0.9939966, 0.9937, 0.991322, 0.9948325, 0.9892173, 0.9948812, 0.9945922, 0.9951363, 0.9954448, 
215.000, 0.8061962, 0.8067088, 0.8061371, 0.9423742, 0.9695344, 0.9686856, 0.9704103, 0.9691005, 0.9731984, 0.9749022, 0.9830365, 0.9750261, 0.9770122, 0.979001, 0.975976, 0.9803677, 0.9837966, 0.9837222, 0.978405, 0.9818573, 0.9783993, 0.9831395, 0.9826055, 0.9860015, 0.9844856, 0.9849586, 0.9856696, 0.9845872, 0.9825668, 0.9856372, 0.9837828, 0.9867597, 0.9821496, 0.9864793, 0.9820194, 0.9816432, 0.9878545, 0.9899912, 0.987443, 0.9880571, 
