Wavelength [nm], Absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, absorbance, 
190.000, 2.598706, 2.551082, 2.373594, 2.945008, 2.915465, 3.278385, 2.862787, 3.193695, 2.592298, 3.079235, 2.639318, 3.202646, 3.072284, 2.790626, 3.2774, 2.643375, 2.662578, 2.946867, 3.249518, 3.01658, 2.994936, 2.940666, 3.348798, 2.547459, 3.248546, 2.864586, 3.202879, 2.778103, 2.82271, 3.289934, 3.196929, 2.994123, 2.732353, 3.064357, 2.535786, 2.965695, 2.793006, 2.673272, 2.799025, 2.619136, 2.562343, 2.550422, 2.78469, 2.659131, 2.717085, 2.572648, 2.772854, 2.620173, 3.24834, 2.934302, 3.214807, 2.648775, 3.106743, 2.687715, 2.993909, 3.030243, 3.27993, 3.278655, 3.20956, 2.855941, 2.482921, 3.196371, 2.756373, 2.93527, 3.25911, 3.19133, 2.571409, 2.544211, 3.282214, 2.637563, 3.262537, 2.998113, 2.788058, 2.657637, 
191.000, 2.417807, 2.616303, 2.668981, 2.553226, 2.801998, 3.315886, 2.493748, 2.497204, 3.3286, 3.272109, 2.768394, 2.917112, 3.327421, 3.053703, 3.381155, 2.798557, 3.00006, 2.777786, 2.779976, 3.296673, 2.666561, 2.886942, 3.255742, 2.816956, 2.537063, 3.27916, 2.376782, 2.62031, 3.414005, 2.780728, 2.593503, 2.69522, 3.297444, 3.206148, 3.131659, 2.850742, 2.59397, 2.350051, 2.693505, 2.8693, 2.723165, 2.483985, 2.861637, 2.607663, 2.581704, 2.644359, 2.752327, 2.821525, 2.584163, 2.666533, 2.711296, 2.395306, 3.187246, 2.650547, 2.75243, 2.751925, 2.972587, 2.636478, 2.513067, 2.956909, 2.807153, 2.60706, 2.231812, 2.276697, 2.3578, 2.502276, 2.992925, 2.745474, 2.612519, 2.414843, 2.475031, 2.783524, 2.37973, 2.441528, 
192.000, 2.705121, 2.357666, 2.719685, 2.82096, 2.98629, 2.798403, 3.389541, 2.522309, 2.494888, 2.52539, 2.758741, 3.371777, 2.767608, 2.69724, 3.26871, 2.815523, 2.362528, 3.06082, 2.69669, 2.493957, 2.632781, 2.835, 2.629138, 3.054816, 2.624185, 2.512824, 2.514566, 2.549796, 3.307364, 2.63873, 2.631096, 2.735556, 2.603475, 2.310694, 3.389678, 2.967618, 3.170863, 2.68119, 2.439407, 3.293397, 2.424934, 2.53392, 2.801204, 2.694518, 3.034102, 2.748712, 2.764769, 2.626043, 2.736381, 2.612738, 2.98828, 2.636601, 2.398243, 3.01183, 2.474426, 2.429705, 2.675861, 2.402631, 2.528798, 2.573869, 2.499682, 2.699568, 2.403522, 2.55549, 2.729312, 2.595553, 2.246284, 2.42315, 2.440907, 2.408617, 2.744831, 2.641515, 2.410091, 2.38503, 
193.000, 2.84127, 2.876118, 2.859222, 3.214146, 2.358695, 2.494115, 2.676886, 2.817298, 2.755735, 2.567109, 2.68933, 2.803981, 2.624347, 2.606938, 2.696915, 2.614067, 2.652678, 2.994021, 3.449485, 2.804325, 3.498525, 2.595624, 2.701968, 2.591475, 3.352957, 3.241991, 2.916864, 2.855384, 3.142716, 2.914154, 3.02878, 3.125751, 3.084965, 3.573977, 3.386618, 3.445116, 3.372769, 3.394047, 3.075253, 2.514751, 2.891675, 2.937592, 3.145048, 2.558417, 3.238492, 3.048845, 2.682294, 3.420503, 3.195613, 3.32291, 3.432449, 3.32473, 3.327708, 3.310758, 3.332729, 3.556577, 2.614556, 2.902842, 2.624997, 3.369493, 3.33078, 2.829102, 3.06192, 3.035262, 2.988647, 2.722143, 2.640995, 2.511562, 3.066407, 2.624575, 3.370937, 3.396895, 2.767699, 2.893583, 
194.000, 2.873308, 2.90486, 2.763154, 3.259459, 2.888607, 2.978977, 2.588975, 2.843345, 3.035423, 2.854116, 2.923632, 2.695188, 3.518654, 2.978128, 3.223118, 3.500435, 2.943717, 3.41319, 2.962066, 3.362806, 3.320693, 2.945602, 2.965415, 2.668201, 2.538465, 3.346242, 3.487892, 3.216928, 3.395183, 2.885152, 3.455087, 3.155974, 2.897597, 3.190371, 2.929447, 3.399847, 3.054982, 2.865354, 3.359473, 2.846624, 3.130331, 2.641576, 3.046612, 3.40338, 2.613898, 2.760649, 2.948383, 3.132612, 3.378381, 2.459493, 3.426968, 2.790707, 2.413377, 2.687421, 2.493886, 3.173055, 2.584089, 3.083287, 3.251095, 2.672379, 2.404989, 2.931499, 2.576913, 2.422569, 2.638422, 2.360047, 2.819548, 2.670862, 2.562658, 2.491103, 2.715439, 2.506624, 2.471868, 2.358549, 
195.000, 2.815104, 2.807663, 3.399167, 2.821035, 2.935849, 3.344543, 2.733398, 3.189386, 2.548732, 3.444671, 3.486039, 3.208045, 3.297947, 3.214018, 3.394782, 3.394491, 2.986143, 3.027993, 2.970918, 2.973873, 3.136455, 3.044251, 3.282513, 3.487265, 2.656314, 3.146854, 3.26716, 3.293948, 3.047242, 3.51921, 3.355533, 3.431365, 3.373351, 2.743371, 2.545466, 3.406506, 3.211087, 2.73456, 2.8446, 2.831374, 3.08303, 2.881232, 2.773799, 2.949562, 3.377598, 3.064569, 3.384138, 3.371149, 3.047379, 2.847222, 3.291323, 3.340785, 2.879754, 2.702171, 2.918194, 2.712399, 3.420292, 2.945939, 3.262433, 3.26137, 2.692085, 2.738492, 2.927174, 2.779212, 3.37882, 2.90382, 2.620334, 2.818769, 2.748326, 2.73536, 2.905252, 2.591441, 2.692105, 2.787389, 
196.000, 3.582951, 2.804114, 2.897892, 3.351667, 2.942211, 2.990459, 2.913743, 3.520563, 2.708271, 2.955303, 3.336002, 3.514198, 2.895116, 3.300993, 2.975648, 3.412802, 3.050814, 2.990435, 3.254379, 3.471428, 3.536673, 3.374931, 2.865509, 3.47307, 3.033293, 3.44766, 3.091444, 2.872201, 3.271184, 3.220751, 3.056447, 3.489345, 2.703882, 3.452023, 3.172555, 3.484825, 3.334506, 2.72916, 2.901083, 3.296605, 3.251812, 3.42032, 2.703712, 3.546945, 2.676507, 2.969813, 3.198112, 3.208726, 2.940597, 2.728321, 2.80209, 2.755544, 2.721005, 2.668486, 2.90363, 3.329232, 2.883998, 3.182381, 2.787529, 3.330811, 2.57083, 2.624698, 2.987832, 3.090014, 2.834505, 3.271805, 2.605698, 3.326998, 2.510407, 2.883367, 3.104375, 3.453543, 2.707735, 3.091378, 
197.000, 3.097198, 2.456666, 2.660838, 2.376347, 2.55265, 2.932652, 2.756077, 3.14626, 2.444594, 2.439995, 2.789269, 3.146055, 2.592782, 2.484133, 2.524655, 2.919622, 2.425167, 2.78785, 2.282771, 2.90585, 3.142314, 2.625307, 3.295904, 3.15853, 3.271714, 2.903214, 3.205033, 3.023846, 3.208909, 2.385148, 2.722789, 3.160496, 2.554512, 2.747701, 2.651848, 3.211717, 2.705908, 3.025958, 2.811725, 3.187236, 3.260495, 2.761881, 2.554502, 3.219228, 2.782025, 3.323332, 3.298285, 3.2735, 2.734135, 2.662644, 2.717876, 3.101995, 3.348357, 3.330187, 3.310928, 2.537637, 2.69821, 3.016734, 3.046528, 2.928272, 2.928027, 2.863264, 3.315337, 3.422408, 3.092459, 3.219288, 3.222229, 2.586668, 2.997386, 2.602675, 2.723907, 2.778234, 3.120233, 2.626006, 
198.000, 1.801226, 1.893908, 1.833459, 1.935305, 1.848122, 1.874604, 1.869241, 1.961262, 2.186481, 2.118371, 2.158992, 2.021759, 1.99591, 2.107166, 2.217714, 2.131534, 2.012158, 2.043669, 2.246016, 2.122949, 2.01278, 2.097327, 2.106338, 1.96179, 2.136796, 2.094284, 1.980083, 2.151403, 2.065818, 2.137611, 2.21584, 2.044444, 2.180339, 2.137562, 2.122957, 2.167796, 2.27064, 2.113442, 2.092113, 2.070938, 2.269871, 2.18067, 2.210795, 2.25597, 2.197569, 2.28069, 2.271464, 2.257522, 2.215127, 2.206418, 2.121708, 2.386988, 2.314074, 2.204783, 2.255387, 2.528361, 2.064014, 2.34015, 2.18682, 2.632568, 2.317099, 2.477487, 2.295311, 2.665572, 2.384119, 2.158974, 2.698328, 2.442332, 2.434789, 2.53638, 2.316689, 2.309059, 2.438665, 2.293419, 
199.000, 1.531833, 1.516201, 1.515832, 1.518128, 1.565233, 1.598922, 1.675071, 1.694633, 1.637282, 1.680204, 1.723434, 1.81276, 1.750603, 1.75843, 1.698979, 1.80941, 1.752414, 1.789653, 1.738503, 1.785103, 1.801208, 1.786803, 1.763428, 1.743918, 1.735796, 1.773524, 1.827617, 1.766905, 1.77389, 1.782383, 1.823117, 1.823741, 1.717737, 1.754323, 1.820158, 1.806527, 1.739347, 1.77122, 1.827168, 1.868296, 1.864207, 1.800904, 1.736349, 1.79668, 1.816841, 1.831265, 1.771348, 1.876351, 1.810138, 1.842761, 1.867623, 1.863801, 1.947281, 1.895279, 1.909616, 1.780459, 1.868752, 1.843429, 1.808982, 1.823487, 1.900023, 1.866333, 1.896888, 1.839346, 1.857872, 1.887094, 1.857783, 1.798208, 1.806886, 1.906829, 1.901219, 1.892613, 1.877251, 1.915443, 
