,empty_cavity_test_08-11-2021_08h56,empty_cavity_test_08-11-2021_08h56,empty_cavity_test_08-11-2021_08h57,empty_cavity_test_08-11-2021_08h57,empty_cavity_test_08-11-2021_08h57,empty_cavity_test_08-11-2021_08h58,empty_cavity_test_08-11-2021_08h58,empty_cavity_test_08-11-2021_08h58,empty_cavity_test_08-11-2021_08h59,empty_cavity_test_08-11-2021_08h59,empty_cavity_test_08-11-2021_08h59,empty_cavity_test_08-11-2021_09h00,empty_cavity_test_08-11-2021_09h00,empty_cavity_test_08-11-2021_09h00,empty_cavity_test_08-11-2021_09h01,empty_cavity_test_08-11-2021_09h01,empty_cavity_test_08-11-2021_09h01,empty_cavity_test_08-11-2021_09h02,empty_cavity_test_08-11-2021_09h02,empty_cavity_test_08-11-2021_09h02,empty_cavity_test_08-11-2021_09h02,empty_cavity_test_08-11-2021_09h03,empty_cavity_test_08-11-2021_09h03,empty_cavity_test_08-11-2021_09h03,empty_cavity_test_08-11-2021_09h04,empty_cavity_test_08-11-2021_09h04,empty_cavity_test_08-11-2021_09h04,empty_cavity_test_08-11-2021_09h05,empty_cavity_test_08-11-2021_09h05,empty_cavity_test_08-11-2021_09h05,empty_cavity_test_08-11-2021_09h06,empty_cavity_test_08-11-2021_09h06,empty_cavity_test_08-11-2021_09h06,empty_cavity_test_08-11-2021_09h07,empty_cavity_test_08-11-2021_09h07,empty_cavity_test_08-11-2021_09h07,empty_cavity_test_08-11-2021_09h08,empty_cavity_test_08-11-2021_09h08,empty_cavity_test_08-11-2021_09h08,empty_cavity_test_08-11-2021_09h09,empty_cavity_test_08-11-2021_09h09,empty_cavity_test_08-11-2021_09h09,empty_cavity_test_08-11-2021_09h10,empty_cavity_test_08-11-2021_09h10,empty_cavity_test_08-11-2021_09h10,empty_cavity_test_08-11-2021_09h10,empty_cavity_test_08-11-2021_09h11,empty_cavity_test_08-11-2021_09h11,empty_cavity_test_08-11-2021_09h11,empty_cavity_test_08-11-2021_09h12,empty_cavity_test_08-11-2021_09h12,empty_cavity_test_08-11-2021_09h12,empty_cavity_test_08-11-2021_09h13,empty_cavity_test_08-11-2021_09h13,empty_cavity_test_08-11-2021_09h13,empty_cavity_test_08-11-2021_09h14,empty_cavity_test_08-11-2021_09h14,empty_cavity_test_08-11-2021_09h14,empty_cavity_test_08-11-2021_09h15,empty_cavity_test_08-11-2021_09h15,empty_cavity_test_08-11-2021_09h15,empty_cavity_test_08-11-2021_09h16,empty_cavity_test_08-11-2021_09h16,empty_cavity_test_08-11-2021_09h16,empty_cavity_test_08-11-2021_09h16,empty_cavity_test_08-11-2021_09h17,empty_cavity_test_08-11-2021_09h17,empty_cavity_test_08-11-2021_09h17,empty_cavity_test_08-11-2021_09h18,empty_cavity_test_08-11-2021_09h18,empty_cavity_test_08-11-2021_09h18,empty_cavity_test_08-11-2021_09h19,empty_cavity_test_08-11-2021_09h19,empty_cavity_test_08-11-2021_09h19,
Wavenumbers [1/cm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
6993.571,0.763045,0.7632598,0.7637395,0.7623908,0.762627,0.7630612,0.7639059,0.7633692,0.7625062,0.7626294,0.7630196,0.7633972,0.7631657,0.7619811,0.7637987,0.7627286,0.7620994,0.7631425,0.7623336,0.7634177,0.7630826,0.7628034,0.7631426,0.7630304,0.7621081,0.7625174,0.7630313,0.7623559,0.7626489,0.763437,0.7633434,0.7637534,0.7625495,0.76332,0.7633058,0.7633176,0.7634307,0.764376,0.7631021,0.7622082,0.763557,0.7638081,0.7634434,0.7635063,0.7634937,0.7629592,0.7628314,0.7649418,0.7632934,0.7635726,0.7632435,0.7636296,0.7627055,0.7637323,0.7647125,0.763946,0.7635447,0.7640722,0.7639303,0.7630636,0.7637373,0.7639284,0.7638519,0.7641555,0.7645096,0.7632607,0.7638987,0.7632642,0.7647617,0.7637571,0.7640846,0.7637699,0.7639166,0.7635397,
6989.713,0.7627959,0.7631204,0.7627628,0.7622287,0.762396,0.7628556,0.7635436,0.7633151,0.7631972,0.7629598,0.7629971,0.7631885,0.7632297,0.7624086,0.7637438,0.7627774,0.7627914,0.7632378,0.7624022,0.7638626,0.7637863,0.7634283,0.7634351,0.7636285,0.7625964,0.7630736,0.7641729,0.7634503,0.7633554,0.7638983,0.763988,0.7649513,0.7638857,0.7642031,0.7638229,0.7644222,0.7644371,0.7657241,0.7648433,0.763693,0.7649096,0.7652806,0.7648528,0.7646456,0.7649249,0.7645745,0.7645125,0.7655902,0.7648798,0.7649259,0.7647293,0.7655426,0.7639043,0.7658422,0.7667333,0.7655025,0.7653883,0.7658797,0.7657178,0.7650393,0.7655893,0.7661771,0.7656077,0.7657117,0.7668227,0.7650136,0.7661839,0.7652962,0.7668254,0.7664441,0.7663426,0.7658689,0.7667571,0.7660366,
6985.856,0.7644293,0.76471,0.7637796,0.7641934,0.7640854,0.7639219,0.7647265,0.7650867,0.7654133,0.7648869,0.7646711,0.7649984,0.7648335,0.7648963,0.7652112,0.7647715,0.7651256,0.7649883,0.7647716,0.7659841,0.7661512,0.7658526,0.7657958,0.7658718,0.7652825,0.765583,0.7668488,0.7661698,0.7657476,0.7662347,0.7662498,0.7674485,0.7669804,0.7668925,0.7664911,0.7672486,0.7673025,0.7684929,0.7683989,0.7667142,0.7679861,0.7681816,0.7684065,0.7678346,0.7679011,0.7678365,0.7682023,0.7683877,0.7682835,0.7685066,0.7680376,0.7691444,0.7675393,0.7696928,0.7697108,0.768779,0.7691805,0.7690992,0.7691721,0.7690541,0.7694417,0.7699188,0.7692742,0.7694703,0.7704546,0.768947,0.770304,0.7692653,0.77047,0.7706936,0.7703012,0.7698116,0.7711064,0.7701718,
6981.999,0.7679608,0.7678522,0.7671853,0.7679214,0.7677178,0.7671039,0.7677342,0.7685335,0.768954,0.7682445,0.7684408,0.7688562,0.7680637,0.7692853,0.7686518,0.7690697,0.7692334,0.7690095,0.7693934,0.7699303,0.7702657,0.7702115,0.770283,0.770437,0.7701861,0.770022,0.7711543,0.7704163,0.7703875,0.7708781,0.7709768,0.7714936,0.7715386,0.7716333,0.7714946,0.7716329,0.7724636,0.7728348,0.7733821,0.7718335,0.7729161,0.7729934,0.7738649,0.7729087,0.773036,0.7726603,0.7737494,0.7736805,0.7738131,0.7741411,0.7733458,0.774353,0.7734305,0.7749905,0.7744061,0.773891,0.7749504,0.7741764,0.7743994,0.7750496,0.7752564,0.7752818,0.774942,0.7753647,0.7755852,0.7750015,0.7761347,0.7750664,0.7759346,0.7763127,0.7760836,0.7754018,0.776729,0.7761229,
6978.141,0.7730961,0.7725809,0.7725719,0.7731175,0.7726876,0.7727073,0.7727528,0.7735372,0.773828,0.773398,0.7742031,0.7743257,0.7732421,0.7749028,0.7741417,0.7751793,0.7750616,0.7749903,0.7757732,0.775859,0.7761313,0.7763444,0.7762206,0.7767989,0.7766599,0.7764021,0.7772542,0.7766032,0.7769727,0.7775446,0.7778001,0.7777226,0.7778228,0.7778678,0.7780551,0.7776424,0.7794015,0.7789789,0.7795521,0.7790095,0.7796385,0.7797947,0.7806655,0.7795975,0.7798042,0.7793328,0.7808316,0.7806875,0.7810202,0.7812089,0.7806068,0.780958,0.7807794,0.7817159,0.7809527,0.780951,0.7823785,0.7812048,0.7812549,0.7825623,0.7826064,0.7824475,0.7823315,0.7827689,0.7822406,0.7828659,0.7835253,0.7824291,0.783094,0.7833913,0.7838551,0.7825098,0.7835852,0.7838723,
6974.284,0.7797638,0.7791286,0.7792701,0.7797194,0.7791039,0.7799042,0.7798046,0.7803739,0.7801756,0.7806637,0.7815742,0.7813511,0.7807223,0.7814808,0.7816173,0.7824842,0.7824046,0.7823726,0.7834583,0.7834444,0.7833647,0.7839558,0.7834929,0.7843776,0.7843339,0.7846961,0.7848337,0.7847688,0.7846671,0.785511,0.7859229,0.785966,0.7859448,0.7856867,0.7860905,0.7854437,0.787448,0.7868771,0.7870117,0.7873486,0.7876514,0.7880995,0.7884192,0.7878804,0.787791,0.7879624,0.7892315,0.7886794,0.7893619,0.7895139,0.7894233,0.7889535,0.7891374,0.7898244,0.7891119,0.7898054,0.7911096,0.7897891,0.7896517,0.7913035,0.7910692,0.7910284,0.7912472,0.7912103,0.7908132,0.7921047,0.7921929,0.7913057,0.7916833,0.7919388,0.7930554,0.7913338,0.7920734,0.7929835,
6970.426,0.7880457,0.7874231,0.7872581,0.7875662,0.7875757,0.7883065,0.7886177,0.7889253,0.7883822,0.789504,0.7899975,0.7901214,0.7900745,0.7895507,0.7906182,0.7911472,0.7910883,0.7910053,0.7922418,0.7920153,0.7921985,0.7928643,0.7924874,0.7934306,0.7932366,0.7941766,0.7937872,0.7943417,0.7935426,0.7943141,0.7952309,0.7955576,0.7954635,0.7954713,0.7957966,0.7950405,0.7963849,0.7963877,0.7960671,0.7964905,0.7968948,0.7975757,0.7971817,0.797434,0.7975898,0.7981402,0.7987847,0.7979701,0.7989888,0.7993429,0.7992008,0.7985229,0.7988455,0.7992202,0.7989442,0.800063,0.8007945,0.7998451,0.7997604,0.8013793,0.8006455,0.8008057,0.8014659,0.8010353,0.801342,0.8020715,0.8021587,0.8018321,0.8017247,0.8020259,0.8029852,0.8019511,0.8023376,0.8031161,
6966.569,0.7977593,0.7971451,0.7969338,0.7970343,0.7977389,0.7982376,0.7986882,0.7988583,0.7985922,0.7995894,0.7993214,0.8003533,0.8006781,0.7994474,0.8005987,0.8013351,0.8009582,0.8010343,0.8023289,0.8016411,0.8029971,0.8029546,0.8031287,0.8040006,0.8037474,0.8042338,0.8042043,0.8048628,0.8041744,0.8043578,0.8057266,0.8063658,0.8061652,0.8066682,0.80668,0.806308,0.8065963,0.8073622,0.8069845,0.8066033,0.8074997,0.8082375,0.8077111,0.8081294,0.8092393,0.8092108,0.8091683,0.8090412,0.809772,0.8103046,0.8098346,0.8095977,0.8100501,0.8100551,0.8103665,0.811288,0.8114001,0.8111503,0.8114796,0.8123663,0.8116741,0.8117875,0.8127382,0.8126021,0.8128979,0.8126436,0.8134706,0.8134803,0.8133405,0.8136203,0.8140451,0.8138385,0.8140626,0.8143663,
6962.711,0.8086274,0.8081,0.8079515,0.8084294,0.8088875,0.8095083,0.809644,0.810184,0.810214,0.8108816,0.8099297,0.8113649,0.811998,0.8108565,0.811437,0.8124645,0.8117817,0.8124439,0.8138373,0.8127569,0.8148162,0.814431,0.8150133,0.8155618,0.8157098,0.8151674,0.815626,0.8160976,0.8162156,0.8158938,0.8170939,0.8180898,0.8179535,0.8184956,0.8182205,0.8185274,0.8183457,0.819284,0.8194506,0.8182216,0.8190566,0.8199596,0.8200564,0.8202015,0.8214751,0.8209714,0.8204732,0.821224,0.8213031,0.8217154,0.8217089,0.8219207,0.8220103,0.8220348,0.8228164,0.8232275,0.8230627,0.8230032,0.8239796,0.8239169,0.8240222,0.8235911,0.8247014,0.8251868,0.8249671,0.8243538,0.8258004,0.8253852,0.8260704,0.8260168,0.8265015,0.826358,0.8266754,0.8266841,
