Wavelength [nm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
190.000,2.916126,2.645092,2.699004,3.398433,3.149983,2.95947,3.450048,3.319142,2.994039,2.741156,3.340803,2.857824,3.051954,2.726875,3.034461,3.397266,3.37108,3.393586,3.432261,3.484179,3.083594,3.452488,2.854853,3.101928,2.906574,3.142881,2.672115,3.42696,3.438659,3.124125,2.907989,3.358497,3.407353,2.981006,2.910094,2.919499,3.076046,3.389124,3.359328,3.095108,2.751997,3.398919,2.943429,3.074611,2.767565,3.411523,2.899533,3.461078,2.943408,2.482471,3.050257,2.939928,2.882693,3.333629,3.449393,3.089304,3.019315,3.425733,3.460164,3.109296,3.042727,3.487216,3.129125,3.34976,2.927536,2.613503,3.343434,3.005464,3.369092,3.433211,2.709584,2.787405,3.497109,2.93828,2.881142,2.784404,3.356291,3.117696,2.776549,2.85338,3.087144,2.594447,2.768105,2.494008,2.860373,3.10567,3.123014,2.683657,3.37089,3.356774,2.72792,3.02625,3.339752,3.485675,3.503207,2.941448,3.298954,3.098848,3.343761,2.627637,2.582072,2.94643,2.883289,2.692425,2.635026,2.474427,2.947961,3.438452,2.965891,3.358807,2.817559,3.382002,2.76562,3.080939,3.087219,3.489114,2.636071,2.792995,2.650241,3.41584,3.511347,2.603269,2.592336,2.75055,3.352828,2.914954,3.405259,2.679152,2.272859,3.057657,2.566453,2.50601,2.651307,3.404687,2.57777,2.564664,2.785832,3.100549,2.63126,2.476798,2.604869,3.400078,2.54433,2.91215,2.340151,2.569231,2.488071,2.575181,5.432226E-312,2.502499,2.769868,2.699313,2.624684,2.461834,2.525477,3.142561,2.807584,2.549398,2.724329,2.382218,2.27264,2.565999,2.437277,2.797018,2.69717,2.67082,2.557735,2.630105,2.775853,3.367732,2.90033,2.651851,2.783422,2.785561,2.565926,3.048682,2.665316,3.071156,2.442338,2.480096,3.057609,
191.000,3.420524,2.752981,3.093329,3.181474,3.458465,3.142407,3.40574,2.832746,3.515565,3.475704,2.988849,2.655419,2.753161,2.992715,2.867008,3.140955,2.777897,3.492073,3.080236,3.358385,2.942245,3.410243,3.500703,3.491243,3.247419,3.414795,3.546055,3.107139,3.465087,3.4428,3.01721,3.148661,3.42407,3.517875,3.081632,3.174836,2.969553,2.804009,2.897938,3.069855,2.797193,3.452291,3.034019,2.839723,3.453969,3.421009,3.241107,3.406304,2.651478,2.459407,3.075415,3.221276,3.015798,2.754189,3.418158,2.658968,3.43574,3.157493,3.411567,2.995239,2.850055,3.374803,3.400254,2.628427,2.991929,2.824917,2.713059,2.543104,2.47015,3.403214,2.662671,3.257239,3.349881,2.748446,3.544544,2.975178,2.45398,2.970827,3.144888,2.771294,2.741416,2.623707,3.136504,2.668804,3.135656,2.880718,2.864038,3.46562,2.846251,2.315072,2.795945,3.464203,2.711704,3.366955,3.344775,2.817804,2.816245,2.764081,2.659366,2.762446,3.294968,2.731724,2.376701,3.176612,2.681078,2.629843,2.86395,3.103213,2.946798,2.583867,2.82044,2.908208,3.010128,2.8438,2.766502,3.369593,2.583955,2.899006,2.872736,3.432275,3.40652,2.508658,2.824805,2.821935,2.821388,2.863256,3.436702,2.562549,2.616524,3.376728,2.741396,2.550785,3.081483,2.794215,2.697396,2.831827,2.712286,3.174961,2.610413,2.709109,2.555054,2.610506,2.675985,2.783894,2.746796,2.825024,2.883921,2.616096,0,2.602252,2.950803,2.64353,2.578093,3.086751,2.478158,2.930212,3.449052,2.731909,3.490651,2.757124,2.687087,2.797555,2.735245,2.743827,2.672143,2.605901,2.564628,2.640456,2.496857,2.56185,2.481202,2.692989,2.552677,2.563873,2.5862,2.452842,2.954868,2.43124,2.86383,2.37535,2.439122,
192.000,2.761032,2.995537,3.463381,3.524549,3.173639,2.900892,2.796447,3.117007,3.45302,2.808335,3.212306,3.55974,3.56569,3.416631,3.079247,3.226711,3.161473,3.439354,2.97594,2.812997,3.438003,2.97156,3.111223,3.082103,3.45437,2.903514,3.471203,2.861749,3.508801,2.996463,3.244477,2.955391,2.968446,3.460434,3.432831,3.008226,3.112356,3.500272,3.540838,3.395325,2.525931,3.127124,3.125821,3.492252,2.868528,2.975794,3.494996,2.979722,2.903938,3.009936,3.427622,3.535185,3.001899,3.031873,2.941279,2.824046,3.020176,3.117028,2.962202,3.237367,3.482794,2.735249,2.825524,2.879992,3.052143,3.272333,3.004767,3.599006,2.803397,3.030847,2.635822,3.460276,2.839151,2.973469,3.359762,2.527181,2.888882,3.048078,2.786414,3.107064,2.67789,3.030653,2.709558,3.106098,2.800891,3.212636,2.982707,2.810178,2.992328,2.744393,3.529117,2.885549,2.859185,2.64956,2.725955,2.796927,3.560799,2.835827,3.570817,3.254794,3.354113,2.555556,2.91062,2.840987,2.786785,3.048302,2.860556,2.864948,2.450633,3.133836,3.408901,3.460983,2.7193,2.771205,3.041582,2.524467,2.805863,3.275016,2.562551,2.921652,2.922697,3.21535,3.434015,3.25231,3.468225,2.899992,3.193605,2.581635,2.800973,2.398204,2.427093,2.608155,3.511777,2.830665,2.623109,2.964318,2.879102,2.920166,2.846415,2.715946,3.10828,2.56847,2.857105,3.04011,3.410022,2.98867,2.568218,2.885111,0,2.662385,2.493924,2.770763,2.717987,3.104055,2.618664,2.84709,2.846193,2.316155,2.698244,2.6179,3.416059,2.764206,2.769246,2.505361,2.803767,3.137144,2.456026,2.680797,2.893118,2.970655,2.548131,2.71154,2.496107,2.615719,2.595236,2.607279,3.106156,2.583315,2.512065,2.593629,2.652143,
193.000,3.043162,2.989459,2.94733,3.492237,3.14932,3.247962,2.620597,3.470133,3.118322,3.203894,3.204638,3.537879,3.476576,2.835513,3.609463,3.588582,2.731012,3.225056,3.475003,3.174872,2.651064,3.074511,3.099571,3.047177,2.925639,3.632164,3.511249,3.186559,3.430066,3.213367,3.525364,3.052447,3.075857,3.078265,3.115716,3.268931,3.401309,3.274216,3.547672,2.578946,3.230884,2.87269,2.884266,2.964317,3.23568,3.345231,3.560036,3.343551,3.557311,3.543126,2.932398,3.380705,3.070689,3.093387,2.999553,3.126367,3.62255,2.65102,3.11756,3.587696,3.001073,3.021486,3.581024,3.196028,3.149184,3.463961,3.509429,3.414148,2.959096,3.617052,3.081926,3.186625,3.576937,3.614615,2.860069,2.811934,3.241211,3.202013,3.045246,2.738471,2.911557,2.89076,3.36859,3.539919,3.293025,3.242512,3.048689,3.199303,2.860168,3.346629,3.082294,2.688756,3.252969,2.908188,3.245945,3.634194,3.483788,2.63104,3.525249,3.574577,2.842145,2.815356,3.050302,3.194626,3.207245,3.00894,3.060476,3.178711,2.518223,3.517589,2.826107,2.890337,2.78915,3.070615,3.023561,2.771256,2.996873,3.431296,2.761775,2.774066,2.796607,3.070458,2.995721,3.571532,3.110246,3.08221,3.602931,2.866843,2.648677,2.952139,2.778927,3.026158,3.547821,3.055375,2.994805,2.687522,2.862088,2.769019,2.61801,3.003505,3.594546,2.663546,2.964665,3.315556,2.514227,2.826035,2.641188,2.861156,3.112614E-322,2.626978,2.879659,2.974175,2.763598,2.569276,3.020941,3.194374,3.047012,2.581781,2.574549,2.673817,2.606166,2.919449,2.914802,2.808354,2.645402,2.574255,2.809853,2.695883,2.764217,2.752013,2.996059,2.878639,2.757636,2.857816,2.524976,2.704924,2.85536,2.652188,2.944725,2.671785,2.665018,
194.000,2.651606,3.077956,2.696556,3.051928,2.684391,2.909401,2.652041,2.776803,2.688943,3.331923,2.926737,3.341861,3.069558,3.172988,3.278879,3.317996,2.878076,3.082402,2.672841,2.517667,2.667093,2.946762,3.097125,3.380409,2.578356,3.309448,3.028955,3.349849,2.809567,2.807368,3.035716,3.39063,2.941019,2.459057,3.377813,3.082593,2.457438,3.332236,3.323224,2.778506,2.744619,2.589839,3.10991,2.729541,2.778605,3.324308,3.320081,3.331692,3.03848,3.036347,3.135138,2.558086,2.918894,3.099697,3.109044,3.056453,3.300398,2.695045,3.081445,3.308704,2.973096,3.113535,3.026787,2.702079,2.589316,2.735551,2.878445,2.765679,3.438632,3.31072,2.80305,2.908604,3.035909,3.304924,3.141093,3.131376,2.888844,2.798094,2.75183,3.461977,3.414674,2.766989,3.340747,3.018959,3.08125,3.076388,3.378762,3.35513,2.944155,3.350475,2.526682,2.984409,2.869748,2.945129,2.793414,3.310899,3.040113,3.001262,3.388762,3.339379,3.430338,3.087032,3.370272,3.336945,2.710794,2.741804,3.388392,3.383026,3.061577,3.088664,3.431026,2.973267,3.138436,3.383265,2.86205,3.448298,3.130982,2.706387,3.438018,2.857192,2.986572,3.100073,3.386291,3.358839,3.361419,2.909903,3.293761,3.103716,3.447417,3.428724,2.996541,2.614982,3.358707,2.828007,3.396208,2.910023,2.98618,3.139633,3.045143,3.15732,3.313074,2.977932,3.409425,3.379173,2.82648,2.875441,3.238828,2.980039,1.264808E-321,3.23174,3.12301,3.407517,2.946172,2.707039,3.108828,2.753495,2.738087,3.06713,3.471607,3.435618,3.028211,3.119477,3.132322,3.142533,3.463716,2.865977,3.460886,2.993073,2.849967,3.453737,3.407512,2.998161,3.462612,3.402831,3.075562,3.444951,3.466173,3.007686,3.139812,2.896001,2.896411,
195.000,2.223445,2.042846,2.302652,2.133613,2.358111,2.192821,2.23143,2.228508,2.376335,2.0311,2.2146,2.201565,2.230373,2.302026,1.997007,2.139299,2.235541,2.133459,2.231143,2.244908,2.259024,2.230429,2.162953,2.092028,2.272986,2.129083,2.050834,2.088916,2.313272,2.219181,2.123252,2.136764,2.198714,2.272147,2.097283,2.183117,2.265954,2.007024,2.114427,2.095304,2.399797,2.084123,2.084338,2.114775,2.133456,2.038192,2.118932,2.092453,2.166174,2.14566,2.162726,2.199339,2.114425,2.150128,2.147602,2.049269,2.087542,2.170187,2.111886,2.08819,2.258915,2.209238,2.144105,2.197205,2.251525,2.046546,2.198022,2.15482,2.297878,2.139499,2.185228,2.090542,2.20687,2.119266,2.16822,2.17673,2.10546,2.170594,2.335845,2.259897,2.205404,2.308855,2.173026,2.097331,2.2171,2.138588,2.094131,2.104422,2.1123,2.201879,2.177365,2.209451,2.031071,2.192638,2.240755,2.170774,2.104829,2.221972,2.359943,2.231022,2.164988,2.023903,2.082896,2.018646,2.252136,2.242376,2.139414,2.212629,2.443201,2.364796,2.175663,2.196426,2.172571,2.149055,2.339983,2.250761,2.286381,2.304123,2.240711,2.226183,2.259735,2.131416,2.080788,2.282062,2.041265,2.098875,2.093962,2.127546,2.216306,2.311067,2.332781,2.356864,2.243195,2.257662,2.18143,2.382035,2.296661,2.190156,2.400521,2.394917,2.156916,2.177081,2.217843,2.240705,2.277648,2.313768,2.547145,2.2616,0,2.469022,2.231258,2.213655,2.581266,2.464543,2.232383,2.401783,2.272622,3.009908,2.2698,2.179036,2.292561,2.248316,2.256533,2.245681,2.27965,2.170952,2.343383,2.275699,2.168372,2.276167,2.250087,2.371982,2.365204,2.167614,2.502693,2.243802,2.342994,2.291234,2.323354,2.349342,2.351622,
196.000,1.786462,1.834133,1.778985,1.733675,1.71868,1.79374,1.75818,1.752071,1.774484,1.855809,1.795546,1.843226,1.804419,1.793783,1.81983,1.807308,1.759475,1.776937,1.794197,1.77715,1.731426,1.766706,1.805682,1.797412,1.739474,1.756855,1.748348,1.836428,1.733536,1.752501,1.777061,1.761189,1.757248,1.753095,1.799708,1.762994,1.710601,1.831154,1.82619,1.756107,1.746758,1.75291,1.800132,1.797996,1.77711,1.793788,1.825327,1.841075,1.761625,1.782712,1.731612,1.728466,1.808374,1.760771,1.772052,1.850086,1.791755,1.822947,1.80415,1.801226,1.785884,1.800008,1.775295,1.80578,1.76483,1.786773,1.793165,1.83981,1.769142,1.812054,1.812827,1.783615,1.795888,1.823522,1.777618,1.802345,1.812106,1.759182,1.808708,1.833118,1.827652,1.858965,1.859352,1.833858,1.787697,1.799546,1.793542,1.824372,1.825792,1.870445,1.827836,1.843226,1.819012,1.847252,1.836667,1.828666,1.795024,1.798873,1.779725,1.8459,1.820164,1.865596,1.846478,1.833499,1.834293,1.823431,1.78809,1.831205,1.799925,1.804393,1.852532,1.789004,1.81479,1.821311,1.782196,1.789324,1.856805,1.788707,1.866506,1.848205,1.834528,1.807634,1.857281,1.799845,1.853618,1.834031,1.908769,1.889289,1.914608,1.824092,1.81813,1.839262,1.780972,1.809352,1.864445,1.82437,1.81875,1.871363,1.803458,1.836442,1.876517,1.843943,1.884074,1.802626,1.826356,1.821662,1.852829,1.841218,0,1.791311,1.896806,1.861526,1.790625,1.881138,1.890731,1.804174,1.829178,1.746728,1.871547,1.891402,1.876673,1.952276,1.887834,1.857105,1.888296,1.95112,1.819572,1.888312,1.837979,1.872504,1.885851,1.836543,1.915887,1.926347,1.846708,1.892069,1.836945,1.860049,1.878179,1.860169,1.871157,
197.000,1.477509,1.439463,1.462565,1.474965,1.494258,1.464263,1.5038,1.49374,1.457654,1.465347,1.479469,1.480861,1.49524,1.481572,1.477664,1.484892,1.470055,1.488081,1.475384,1.467173,1.466047,1.483511,1.480424,1.483913,1.496313,1.481527,1.486567,1.46836,1.49548,1.491918,1.481102,1.47055,1.485134,1.474842,1.474561,1.488802,1.484625,1.477523,1.511513,1.477223,1.50065,1.489223,1.48132,1.508192,1.483176,1.483931,1.490322,1.490633,1.517494,1.513095,1.484725,1.507624,1.506637,1.496956,1.502963,1.477237,1.498688,1.476048,1.514009,1.510123,1.509476,1.51386,1.513457,1.49633,1.518062,1.499703,1.50877,1.488945,1.501113,1.50414,1.482685,1.500041,1.483534,1.512799,1.509505,1.506681,1.490995,1.500447,1.493882,1.539039,1.501513,1.498837,1.494754,1.493209,1.513431,1.515572,1.481615,1.504097,1.508369,1.511842,1.520619,1.487541,1.496871,1.497261,1.520528,1.518832,1.490442,1.509614,1.526221,1.513237,1.519554,1.48924,1.506904,1.518196,1.527822,1.5113,1.513499,1.51726,1.524769,1.527616,1.50557,1.528506,1.54812,1.513905,1.543976,1.545922,1.525103,1.52649,1.505486,1.524848,1.547159,1.539072,1.507467,1.547702,1.50573,1.529355,1.518847,1.510827,1.509091,1.52589,1.505836,1.54214,1.528171,1.503051,1.547737,1.519282,1.520086,1.530217,1.520397,1.552947,1.516052,1.536318,1.532684,1.542804,1.54597,1.517705,1.573226,1.573212,0,1.566387,1.528647,1.517537,1.552607,1.548728,1.539006,1.570725,1.529668,1.552371,1.521813,1.528749,1.566218,1.52154,1.549338,1.542162,1.510371,1.542282,1.553073,1.539003,1.559928,1.530695,1.563251,1.554408,1.552866,1.537791,1.593408,1.542951,1.579447,1.595141,1.554032,1.565592,1.571539,
198.000,1.265107,1.252818,1.264657,1.254989,1.265855,1.259256,1.269066,1.253938,1.266663,1.264283,1.255188,1.260028,1.280052,1.271453,1.252337,1.260384,1.273519,1.267231,1.277734,1.278448,1.274284,1.268029,1.274277,1.265162,1.262652,1.270668,1.266657,1.272661,1.279182,1.267343,1.266651,1.270842,1.265453,1.290988,1.275189,1.260002,1.271269,1.285425,1.271797,1.27945,1.290791,1.266641,1.275181,1.263535,1.282864,1.283023,1.291091,1.291569,1.282147,1.271103,1.274835,1.279603,1.277678,1.275041,1.272092,1.280013,1.280077,1.292358,1.288537,1.288815,1.283387,1.276936,1.274161,1.287229,1.281975,1.283312,1.290995,1.287157,1.285552,1.272115,1.296139,1.283289,1.294747,1.295257,1.282966,1.286538,1.287297,1.284483,1.313838,1.282846,1.29321,1.299819,1.29715,1.289778,1.289356,1.291183,1.288339,1.292635,1.294939,1.296425,1.30408,1.306315,1.276987,1.305354,1.291595,1.283532,1.292204,1.303545,1.299809,1.28868,1.295552,1.305053,1.301699,1.292917,1.298975,1.287603,1.296113,1.299732,1.302436,1.287182,1.300213,1.302301,1.297757,1.29247,1.289862,1.295117,1.30012,1.287385,1.292552,1.309503,1.295971,1.296705,1.299129,1.296317,1.299423,1.301151,1.306782,1.301005,1.300142,1.323877,1.315519,1.317254,1.300715,1.295969,1.304695,1.305332,1.309622,1.312591,1.314975,1.313526,1.305776,1.310825,1.313286,1.312135,1.307766,1.319753,1.3169,1.310851,6.87319E-198,1.311652,1.324267,1.305741,1.31926,1.32532,1.310154,1.311064,1.32022,1.317362,1.343036,1.319544,1.304989,1.340026,1.320072,1.318593,1.332742,1.332969,1.326117,1.333769,1.320776,1.333745,1.331757,1.325412,1.318465,1.326003,1.343583,1.33724,1.322588,1.335326,1.329395,1.340575,1.348409,
199.000,1.136437,1.154035,1.140105,1.151968,1.146278,1.143023,1.15087,1.14737,1.144023,1.152371,1.149705,1.150308,1.145289,1.155953,1.159714,1.155581,1.158478,1.155846,1.16219,1.156204,1.144969,1.15575,1.166343,1.157333,1.154526,1.161875,1.162022,1.150594,1.154368,1.159932,1.169001,1.164443,1.169837,1.165296,1.154316,1.161836,1.16265,1.164157,1.163436,1.168742,1.159936,1.170022,1.167084,1.169211,1.16642,1.163649,1.168981,1.174278,1.165457,1.171372,1.169569,1.166985,1.173611,1.172768,1.168429,1.170614,1.180724,1.184764,1.180389,1.172565,1.177165,1.174146,1.182697,1.181013,1.168055,1.184474,1.179636,1.182431,1.178046,1.172817,1.173979,1.181246,1.17875,1.181659,1.181526,1.179197,1.176381,1.170827,1.181208,1.186779,1.170238,1.187032,1.181572,1.172016,1.180015,1.186363,1.176841,1.175752,1.183634,1.180206,1.18459,1.181531,1.186143,1.179447,1.181762,1.180557,1.176945,1.175064,1.180219,1.185611,1.183668,1.182379,1.188285,1.187591,1.193503,1.192441,1.190172,1.194064,1.189739,1.183374,1.192369,1.18279,1.202916,1.187077,1.196023,1.186602,1.19282,1.19087,1.195113,1.195666,1.196285,1.19088,1.192322,1.194622,1.194813,1.198908,1.195203,1.207509,1.202509,1.189821,1.188582,1.203641,1.193071,1.189376,1.196291,1.197004,1.19768,1.197268,1.200701,1.203922,1.199369,1.210764,1.20014,1.192116,1.204278,1.201136,1.214718,1.211853,0,1.208777,1.208407,1.207221,1.201215,1.216019,1.209768,1.216333,1.203727,1.199012,1.226323,1.230349,1.217702,1.217955,1.208015,1.218288,1.211038,1.212045,1.221037,1.213909,1.219826,1.212331,1.214292,1.221946,1.226317,1.214987,1.218257,1.222621,1.220514,1.220429,1.219319,1.222563,1.229393,
