,180,172,188,192,196,200,204,208,212,182,186,190,176,194,198,202,206,210,178,174,170,166,162,168,158,154,150,181,185,189,193,197,201,205,164,209,213,177,173,169,165,161,157,153,149,160,179,175,156,152,148,184,
Wavenumbers [1/cm],Transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,
6993.571,0.06303453,0.0492452,0.02874552,0.01083014,0.002067432,0.05596361,0.0472099,0.02135631,0.004760442,0.0986781,0.09098382,0.0952625,0.04291966,0.07961804,0.03210672,0.03913026,0.03030566,0.04250966,0.08585746,0.1022786,0.08738595,0.07835124,0.06942755,0.04017194,0.03288813,0.01774443,0.04771197,0.09966796,0.09135725,0.08594475,0.08197657,0.07327087,0.07017323,0.05432994,0.06759443,0.04142503,0.02504621,0.09704967,0.08539027,0.09171399,0.08123925,0.06591574,0.03138177,0.0108013,0.0113453,0.07167638,0.09977624,0.103397,0.05915338,0.05706524,0.04361056,0.04900692,
6989.713,0.06096252,0.04871061,0.02880688,0.01076692,0.002063608,0.05633949,0.04690214,0.0214705,0.004841204,0.0987581,0.09119818,0.09593999,0.04538069,0.0789187,0.03213971,0.03900256,0.03037216,0.04240053,0.08633525,0.1019471,0.08641645,0.07847791,0.06994064,0.04218942,0.03296854,0.01757196,0.04707787,0.09984422,0.09162278,0.08691676,0.08116236,0.07384862,0.0696037,0.05432328,0.06831622,0.04141091,0.02496043,0.0979894,0.08414395,0.09119327,0.08200915,0.06557339,0.03190951,0.01065354,0.01153057,0.07135899,0.1002155,0.1034107,0.05976401,0.05670492,0.04330772,0.04872473,
6985.856,0.0594322,0.04877759,0.02896352,0.0107205,0.002140217,0.05673257,0.04663277,0.021403,0.005092244,0.09858415,0.09138098,0.09647777,0.04824604,0.07828405,0.03229398,0.03891416,0.03042766,0.04254331,0.08692795,0.101403,0.0857164,0.07903521,0.07024656,0.0436983,0.03318705,0.0173712,0.04670363,0.1001035,0.09208775,0.08777927,0.08048169,0.07428353,0.06925172,0.05437702,0.06873099,0.04155231,0.02484362,0.09911807,0.08290955,0.09063987,0.08312309,0.06508986,0.0327175,0.010524,0.01160184,0.07103898,0.1010243,0.103264,0.06032509,0.05624143,0.04306928,0.04829409,
6981.999,0.05860849,0.04938314,0.02927304,0.0106752,0.002227408,0.05716183,0.04642604,0.02111363,0.005211026,0.09843836,0.0916122,0.09699668,0.05128627,0.07769443,0.0324892,0.03873988,0.03038666,0.04276592,0.08782075,0.1007095,0.08522565,0.07998784,0.07040252,0.04483032,0.0334211,0.01695259,0.04665369,0.1005243,0.09274808,0.08859568,0.07987767,0.07456125,0.06932184,0.05435409,0.0687431,0.0418051,0.02471529,0.100224,0.08188984,0.09008741,0.08425094,0.06440548,0.0335975,0.01047622,0.01167204,0.07052974,0.1020994,0.1029855,0.06078614,0.05598501,0.0428383,0.04758889,
6978.141,0.05860087,0.0507019,0.02947177,0.01064961,0.002236671,0.0577563,0.04617414,0.02083252,0.004988244,0.09860394,0.09217158,0.0974009,0.05458684,0.07700125,0.03290101,0.03845421,0.03022025,0.04290469,0.08916797,0.09992152,0.08477582,0.08099194,0.07056907,0.04581684,0.03366161,0.01635638,0.04678893,0.1008461,0.09350482,0.08939985,0.07932379,0.07479887,0.06944665,0.05418887,0.06866883,0.04207341,0.02469396,0.1012921,0.0811111,0.08960547,0.08524113,0.06355227,0.0343285,0.01044275,0.01170821,0.07006432,0.1030441,0.1025959,0.06108006,0.05602588,0.04235797,0.04704962,
6974.284,0.05933794,0.05288534,0.02940224,0.01051855,0.002170124,0.05843424,0.04592806,0.0207165,0.004679246,0.09891511,0.0930533,0.0976129,0.05828897,0.076362,0.0335147,0.03822541,0.029927,0.04299966,0.09073414,0.09888613,0.08437075,0.08198316,0.07062197,0.04662981,0.03409297,0.01570661,0.04702603,0.1010363,0.09417989,0.09012961,0.07891887,0.07522133,0.06940527,0.05401732,0.06866845,0.04227961,0.02473938,0.1024533,0.08041817,0.08924195,0.08615053,0.06267469,0.03488031,0.01049526,0.01173096,0.06983174,0.1037511,0.1020953,0.06124495,0.05616342,0.04187108,0.04691203,
6970.426,0.06069982,0.05578623,0.02936484,0.01023076,0.002267396,0.05912469,0.04601884,0.02077269,0.004538356,0.09894599,0.09393244,0.09750939,0.06237195,0.07597329,0.0338489,0.03811094,0.02966896,0.04317955,0.09223115,0.09743184,0.08420619,0.08305211,0.0704394,0.04694185,0.03472992,0.01496171,0.04739545,0.1013164,0.09472815,0.09076171,0.078757,0.07581259,0.06927881,0.05396578,0.0685083,0.04233389,0.02471319,0.1034208,0.07990553,0.08894739,0.08706315,0.06188279,0.03544417,0.01070894,0.0118731,0.0697614,0.1043221,0.1013768,0.0615015,0.05637724,0.0415782,0.04690272,
6966.569,0.06276437,0.05937896,0.0295379,0.009969608,0.002540686,0.05980182,0.04641048,0.02088583,0.004555295,0.09849927,0.09462339,0.09703992,0.06646494,0.07572597,0.03380167,0.03808684,0.02973959,0.04338599,0.09370913,0.09589043,0.08430334,0.08413667,0.07016539,0.04659659,0.0353902,0.01418707,0.04784036,0.1016273,0.0952474,0.09104243,0.07872231,0.07617848,0.0693263,0.05390727,0.06809992,0.04219862,0.02458547,0.1039814,0.07981135,0.08878113,0.08786225,0.06101782,0.036085,0.0109426,0.01198767,0.06969199,0.1048804,0.100441,0.061967,0.05669482,0.04131606,0.04682132,
