,18000,18025,18225,18250,18275,18300,18325,18350,18375,18400,18425,18450,18050,18475,18500,18525,18550,18575,18600,18625,18650,18675,18700,18075,18725,18750,18775,18800,18825,18850,18875,18900,18925,18950,18100,18975,19000,19025,19050,19075,19100,19125,19150,19175,19200,18125,19225,19250,19275,19300,19325,19350,19375,19400,19425,19450,18150,19475,19500,19525,19550,19575,19600,19625,19650,19675,19700,18150,19725,19750,19775,19800,19825,19850,19875,19900,19925,19950,18175,19975,20000,18200,
Wavenumbers [1/cm],Transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,
6993.571,0.033847,0.0335991,0.02974684,0.02943764,0.02886523,0.02826311,0.02835467,0.02788278,0.02819443,0.0280949,0.02866891,0.02923528,0.03373923,0.02950089,0.03026488,0.03068458,0.03142145,0.03234687,0.03314952,0.0341007,0.03456031,0.03553713,0.03618824,0.03362627,0.03708541,0.0376446,0.03828513,0.03897661,0.03931098,0.03952241,0.03947561,0.03937531,0.03930933,0.03921073,0.03330009,0.03861286,0.03835953,0.03769977,0.03690731,0.0362585,0.0354602,0.03448309,0.03317313,0.03208327,0.03055562,0.03282613,0.02932064,0.02787353,0.02747028,0.02590055,0.02490816,0.0238571,0.02337191,0.02195833,0.02150805,0.02059385,0.03165679,0.01959894,0.0185306,0.0174208,0.01637102,0.01475304,0.01341073,0.0120809,0.01060134,0.009341776,0.008790944,0.03146146,0.008181715,0.007547323,0.00734093,0.006808409,0.006728627,0.006244507,0.005582873,0.005528403,0.00477684,0.004704453,0.03111554,0.003999014,0.003683289,0.03079209,
6989.713,0.03290338,0.032828,0.02915907,0.02906522,0.02850048,0.02782461,0.02818697,0.02780906,0.02849651,0.02844233,0.02901328,0.02969817,0.03301932,0.03018627,0.03096139,0.0314165,0.0323104,0.03324188,0.0342985,0.03510257,0.03577556,0.03667356,0.03727829,0.03276667,0.0380546,0.0385999,0.03915499,0.03977433,0.04004145,0.03993108,0.03969221,0.03943494,0.03917246,0.03898644,0.03272127,0.03845022,0.03821133,0.03716493,0.03641882,0.03574004,0.03514428,0.03407,0.03273644,0.03183738,0.03030368,0.03209836,0.02915872,0.02787858,0.02719868,0.02583867,0.02482583,0.02402807,0.02339503,0.02223581,0.0213878,0.0207185,0.03121499,0.01980125,0.0188151,0.01749141,0.0164441,0.01447332,0.01316207,0.01160591,0.01043149,0.009303281,0.008595988,0.03083045,0.008295922,0.007737504,0.007516636,0.006917368,0.006830809,0.006520423,0.005596687,0.005620898,0.004738821,0.00473061,0.03042929,0.003840383,0.003831225,0.0302166,
6985.856,0.03211775,0.03232526,0.02886031,0.0288851,0.02836723,0.02782157,0.0282557,0.02812316,0.02894125,0.02911702,0.02976786,0.03049699,0.03240195,0.03103522,0.03186499,0.03243897,0.0332704,0.03426611,0.03548884,0.03614379,0.03686933,0.03770018,0.03823997,0.03203028,0.03896375,0.03952455,0.03983429,0.0403797,0.04047467,0.04026763,0.03972833,0.03945023,0.038963,0.03871493,0.03211728,0.03814238,0.03784403,0.03673773,0.03598762,0.03527953,0.03469938,0.03376061,0.03227739,0.0315519,0.03005336,0.0314982,0.0289383,0.02781039,0.02707772,0.02584309,0.02479197,0.02429972,0.02332956,0.02254527,0.02146178,0.0208261,0.0309844,0.01996141,0.01895077,0.01763313,0.0165221,0.01424546,0.01294493,0.01134561,0.01049946,0.009405831,0.008585261,0.03054608,0.008342273,0.007881458,0.007748344,0.007087741,0.006887553,0.006588908,0.005665055,0.005551677,0.00456473,0.004705923,0.02999138,0.003870026,0.003868988,0.02986796,
6981.999,0.0315881,0.03199923,0.02898846,0.02891282,0.02840733,0.02828468,0.02858516,0.02882165,0.02956468,0.02997239,0.03086092,0.0316083,0.03186918,0.03217598,0.03296424,0.03371843,0.03428926,0.03556225,0.03665723,0.03722762,0.03786936,0.03868186,0.03928259,0.03155209,0.03980841,0.04033566,0.04030602,0.0407623,0.04066008,0.04030739,0.03970947,0.03931087,0.03885359,0.03833486,0.03150342,0.03762658,0.03721759,0.0363787,0.03562168,0.03489531,0.03419637,0.03337326,0.03193471,0.03128255,0.02979239,0.03104379,0.0288222,0.02777657,0.02720745,0.02608969,0.02499983,0.02455001,0.02350009,0.02277376,0.02163739,0.02099622,0.03076612,0.02005139,0.01885504,0.01755069,0.01639156,0.01398385,0.01279526,0.01130785,0.01057999,0.009605155,0.008728126,0.03042928,0.00840331,0.007961944,0.007924999,0.00716385,0.006814798,0.006446048,0.005689955,0.005381681,0.004376854,0.004561011,0.02996263,0.003982351,0.003713627,0.02971669,
6978.141,0.03138182,0.03185749,0.02943278,0.02913143,0.02877287,0.02908228,0.02911985,0.02976587,0.03041199,0.03101994,0.03208325,0.03290413,0.03157217,0.03352471,0.0342971,0.03509616,0.03556614,0.03700639,0.03779189,0.03838299,0.03892426,0.03974753,0.0402863,0.03139254,0.04051887,0.04098038,0.04066497,0.04096622,0.04068532,0.03998727,0.03950033,0.03888566,0.03863762,0.03781508,0.03124516,0.0370681,0.03660151,0.03601256,0.03522609,0.03459547,0.03368711,0.03295234,0.03178989,0.03093912,0.02957133,0.03095496,0.02894098,0.02792982,0.02736443,0.02639115,0.02525803,0.02469878,0.0238625,0.02295022,0.02182736,0.02106128,0.03073461,0.02005312,0.01857864,0.01724197,0.01609675,0.01381439,0.01257226,0.01134258,0.01051097,0.009742189,0.008808879,0.03042004,0.008611058,0.008092282,0.007963821,0.007120588,0.006679609,0.006277577,0.005698254,0.005266692,0.004479062,0.004358734,0.03019924,0.003900232,0.003579658,0.02981133,
6974.284,0.03146311,0.03198893,0.03002168,0.02966238,0.0296356,0.03005086,0.02996127,0.03084205,0.03152765,0.03228467,0.03337614,0.03428608,0.03157531,0.0349028,0.03576048,0.0364839,0.0371705,0.03837253,0.0389007,0.03958092,0.04006412,0.04072998,0.04095727,0.03153522,0.04112963,0.0413221,0.04100547,0.04103949,0.04056209,0.03954487,0.03902525,0.03841764,0.03814379,0.03725327,0.03149402,0.03658934,0.03610814,0.03555448,0.03476791,0.03426998,0.03324099,0.03266786,0.03172592,0.0306034,0.02952124,0.03129375,0.02912718,0.02811315,0.02744053,0.02659839,0.02552981,0.02477589,0.02414417,0.02310613,0.02200793,0.02104087,0.03094879,0.02003325,0.01836266,0.01700949,0.01572013,0.01376951,0.01223266,0.01140781,0.01035356,0.009790482,0.008749588,0.03067113,0.008897824,0.008210161,0.007954629,0.007085727,0.006676288,0.006167563,0.005758575,0.005241653,0.004720247,0.004150704,0.0305408,0.003789745,0.003460649,0.03025159,
6970.426,0.03180816,0.03233124,0.03075448,0.03060799,0.03084823,0.03116116,0.03128358,0.0321302,0.03300469,0.03380739,0.03479593,0.03574175,0.0318019,0.03633021,0.03728684,0.0379091,0.03886912,0.03959214,0.03997083,0.04069693,0.04112559,0.04145074,0.04134893,0.03195922,0.04160466,0.04134968,0.04120811,0.04094027,0.04031121,0.03911243,0.03852262,0.03808761,0.0376037,0.03674269,0.03212519,0.03606291,0.03556004,0.03501468,0.03425699,0.03385941,0.03297174,0.03237928,0.0316695,0.03049503,0.02962536,0.03193203,0.0292071,0.02829094,0.02758219,0.02680119,0.02591881,0.02482878,0.02439936,0.02321675,0.02214332,0.02105794,0.03141317,0.02000878,0.01841083,0.0169755,0.01531881,0.01366978,0.01203795,0.01141625,0.01020387,0.009842515,0.008781083,0.03134273,0.009021555,0.008231305,0.007996899,0.007115813,0.006810484,0.006092085,0.005751867,0.005265232,0.004719891,0.004079768,0.0310491,0.003868989,0.003341516,0.0310455,
6966.569,0.03245118,0.03279602,0.03180565,0.03193658,0.03223142,0.03256606,0.03307569,0.03374406,0.03470993,0.03553946,0.0363594,0.03720642,0.0323827,0.0378119,0.03883356,0.03936568,0.04035048,0.04064491,0.04095715,0.04161566,0.04189997,0.04195561,0.04166268,0.03279265,0.04180395,0.04123003,0.04107535,0.04053327,0.03993758,0.03863373,0.03809698,0.03765589,0.03713316,0.03629772,0.0330523,0.03547012,0.0349534,0.03455112,0.03379821,0.03350938,0.03284782,0.03193071,0.03157959,0.03063197,0.02975215,0.03288728,0.02922443,0.0285479,0.02788429,0.02698992,0.02623739,0.02497908,0.0247244,0.02330049,0.02225306,0.02106852,0.03234239,0.01985699,0.01847516,0.0169454,0.01499161,0.01348406,0.01208202,0.01131166,0.01017525,0.009905735,0.009000914,0.03241781,0.008963133,0.008361723,0.008041473,0.007201839,0.00689155,0.006086255,0.005609438,0.005242904,0.004588137,0.0042378,0.03192475,0.003988557,0.00342696,0.03209536,
