,50_hexanon_in_hexane,60_hexanon_in_hexane,60_hexanon_in_hexane,70_hexanon_in_hexane,70_hexanon_in_hexane,80_hexanon_in_hexane,80_hexanon_in_hexane,90_hexanon_in_hexane,90_hexanon_in_hexane,100_hexanon_in_hexane,100_hexanon_in_hexane,20_hexanon_in_hexane,20_hexanon_in_hexane,30_hexanon_in_hexane,30_hexanon_in_hexane,40_hexanon_in_hexane,40_hexanon_in_hexane,50_hexanon_in_hexane,10_hexanon_in_hexane,10_hexanon_in_hexane,
Wavenumbers [1/cm],Transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,transmittance,
6993.571,0.1552303,0.09873229,0.1351072,0.1162202,0.09753136,0.1011549,0.1057719,0.07950577,0.1011353,0.1026471,0.07028797,0.09971353,0.1143201,0.1301123,0.1107645,0.1024636,0.1534568,0.09570423,0.1152224,0.08478937,
6989.713,0.1574065,0.09753224,0.1429769,0.1251874,0.09680316,0.1002311,0.1143287,0.08543982,0.1001877,0.1020482,0.07417402,0.09268384,0.1149441,0.1214199,0.1114415,0.103346,0.1498424,0.09505638,0.1154553,0.08039332,
6985.856,0.1563881,0.09655522,0.1493,0.1339918,0.09643178,0.09917295,0.1231187,0.09223306,0.09908349,0.101319,0.07888491,0.08656137,0.1153315,0.1127266,0.1121498,0.1044335,0.1437795,0.09466547,0.115562,0.07692926,
6981.999,0.1525727,0.09581577,0.1534391,0.1419758,0.09635873,0.09804373,0.1318468,0.09978503,0.09803374,0.1005013,0.08451299,0.08155716,0.1156482,0.1044379,0.1128076,0.1055616,0.1360803,0.09454137,0.1156465,0.07450811,
6978.141,0.1464907,0.09544633,0.1549954,0.1486411,0.0966137,0.09704763,0.1399662,0.1078734,0.09715579,0.09957157,0.09107441,0.0777247,0.1157383,0.09694713,0.113341,0.1066665,0.1275534,0.094886,0.115693,0.07309882,
6974.284,0.1386121,0.09549484,0.1537088,0.1532696,0.09715395,0.09630802,0.1467944,0.1162115,0.09623346,0.09853944,0.09833449,0.07479428,0.1153887,0.09037936,0.1137926,0.1076812,0.118688,0.09570747,0.1156318,0.07257514,
6970.426,0.1296586,0.09587794,0.1496819,0.1552356,0.09781887,0.09587735,0.1516945,0.1247707,0.09543484,0.09751298,0.1061597,0.07274485,0.1148061,0.08463594,0.1141083,0.1086525,0.1099241,0.09682233,0.1154034,0.07304314,
6966.569,0.1202732,0.09651001,0.1434251,0.1544082,0.09856846,0.09570184,0.154166,0.1332866,0.09522701,0.09654916,0.1146048,0.07172431,0.1142501,0.07982272,0.1142061,0.1096084,0.101781,0.09818324,0.1149027,0.07454026,
6962.711,0.1109187,0.09743812,0.1355361,0.1508604,0.09941617,0.09571371,0.1538347,0.1409241,0.09551287,0.0956594,0.1234055,0.07173319,0.1137107,0.07603201,0.1141926,0.1104966,0.09446682,0.09974392,0.1141024,0.07691189,
6958.854,0.1020138,0.09864664,0.1265422,0.1447865,0.1003021,0.09608449,0.1506832,0.1469627,0.09590978,0.09494465,0.1319382,0.07276969,0.1130811,0.07323484,0.1140937,0.1113252,0.08789126,0.101323,0.1131193,0.08012527,
6954.996,0.09389978,0.09993697,0.1171052,0.136802,0.1012783,0.09691162,0.1451063,0.1511129,0.09640028,0.09441841,0.1396936,0.07475013,0.1122742,0.07148241,0.113856,0.112067,0.08219761,0.1029038,0.1120804,0.08424626,
