Created as New Dataset,Sample 082 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,1.1915
7501.00,1.1868
7500.00,1.1823
7499.00,1.1777
7498.00,1.1732
7497.00,1.1688
7496.00,1.1644
7495.00,1.1599
7494.00,1.1553
7493.00,1.1507
7492.00,1.1461
7491.00,1.1412
7490.00,1.1360
7489.00,1.1304
7488.00,1.1239
7487.00,1.1162
7486.00,1.1075
7485.00,1.0987
7484.00,1.0904
7483.00,1.0825
7482.00,1.0746
7481.00,1.0659
7480.00,1.0563
7479.00,1.0464
7478.00,1.0367
7477.00,1.0273
7476.00,1.0178
7475.00,1.0078
7474.00,0.9971
7473.00,0.9865
7472.00,0.9765
7471.00,0.9671
7470.00,0.9574
7469.00,0.9472
7468.00,0.9365
7467.00,0.9258
7466.00,0.9153
7465.00,0.9051
7464.00,0.8950
7463.00,0.8850
7462.00,0.8749
7461.00,0.8649
7460.00,0.8551
7459.00,0.8459
7458.00,0.8373
7457.00,0.8293
7456.00,0.8218
7455.00,0.8147
7454.00,0.8079
7453.00,0.8017
7452.00,0.7961
7451.00,0.7912
7450.00,0.7869
7449.00,0.7831
7448.00,0.7796
7447.00,0.7768
7446.00,0.7746
7445.00,0.7733
7444.00,0.7728
7443.00,0.7727
7442.00,0.7729
7441.00,0.7735
7440.00,0.7748
7439.00,0.7770
7438.00,0.7799
7437.00,0.7834
7436.00,0.7875
7435.00,0.7922
7434.00,0.7971
7433.00,0.8024
7432.00,0.8081
7431.00,0.8143
7430.00,0.8211
7429.00,0.8283
7428.00,0.8358
7427.00,0.8438
7426.00,0.8522
7425.00,0.8609
7424.00,0.8697
7423.00,0.8785
7422.00,0.8875
7421.00,0.8964
7420.00,0.9051
7419.00,0.9135
7418.00,0.9222
7417.00,0.9313
7416.00,0.9404
7415.00,0.9491
7414.00,0.9574
7413.00,0.9659
7412.00,0.9750
7411.00,0.9843
7410.00,0.9934
7409.00,1.0019
7408.00,1.0103
7407.00,1.0187
7406.00,1.0270
7405.00,1.0350
7404.00,1.0428
7403.00,1.0504
7402.00,1.0575
7401.00,1.0641
7400.00,1.0698
7399.00,1.0747
7398.00,1.0788
7397.00,1.0827
7396.00,1.0871
7395.00,1.0918
7394.00,1.0961
7393.00,1.0996
7392.00,1.1024
7391.00,1.1051
7390.00,1.1071
7389.00,1.1080
7388.00,1.1082
7387.00,1.1086
7386.00,1.1097
7385.00,1.1118
7384.00,1.1145
7383.00,1.1168
7382.00,1.1182
7381.00,1.1186
7380.00,1.1189
7379.00,1.1194
7378.00,1.1198
7377.00,1.1189
7376.00,1.1164
7375.00,1.1124
7374.00,1.1075
7373.00,1.1022
7372.00,1.0965
7371.00,1.0905
7370.00,1.0843
