Created as New Dataset,Sample 014 By Administrator Date Wednesday, November 24 2021
cm-1,A
7502.00,0.7939
7501.00,0.7846
7500.00,0.7754
7499.00,0.7665
7498.00,0.7577
7497.00,0.7491
7496.00,0.7407
7495.00,0.7323
7494.00,0.7242
7493.00,0.7166
7492.00,0.7101
7491.00,0.7047
7490.00,0.7003
7489.00,0.6962
7488.00,0.6916
7487.00,0.6851
7486.00,0.6763
7485.00,0.6653
7484.00,0.6530
7483.00,0.6406
7482.00,0.6290
7481.00,0.6188
7480.00,0.6106
7479.00,0.6038
7478.00,0.5978
7477.00,0.5921
7476.00,0.5869
7475.00,0.5825
7474.00,0.5788
7473.00,0.5751
7472.00,0.5708
7471.00,0.5660
7470.00,0.5609
7469.00,0.5557
7468.00,0.5503
7467.00,0.5448
7466.00,0.5395
7465.00,0.5346
7464.00,0.5299
7463.00,0.5253
7462.00,0.5209
7461.00,0.5171
7460.00,0.5136
7459.00,0.5100
7458.00,0.5066
7457.00,0.5038
7456.00,0.5020
7455.00,0.5010
7454.00,0.5005
7453.00,0.5002
7452.00,0.4998
7451.00,0.4997
7450.00,0.5000
7449.00,0.5009
7448.00,0.5022
7447.00,0.5038
7446.00,0.5055
7445.00,0.5075
7444.00,0.5098
7443.00,0.5125
7442.00,0.5157
7441.00,0.5194
7440.00,0.5237
7439.00,0.5284
7438.00,0.5334
7437.00,0.5388
7436.00,0.5447
7435.00,0.5511
7434.00,0.5580
7433.00,0.5653
7432.00,0.5729
7431.00,0.5805
7430.00,0.5882
7429.00,0.5961
7428.00,0.6042
7427.00,0.6129
7426.00,0.6222
7425.00,0.6318
7424.00,0.6412
7423.00,0.6504
7422.00,0.6600
7421.00,0.6699
7420.00,0.6797
7419.00,0.6889
7418.00,0.6977
7417.00,0.7068
7416.00,0.7165
7415.00,0.7265
7414.00,0.7364
7413.00,0.7462
7412.00,0.7559
7411.00,0.7655
7410.00,0.7751
7409.00,0.7850
7408.00,0.7951
7407.00,0.8051
7406.00,0.8146
7405.00,0.8238
7404.00,0.8327
7403.00,0.8415
7402.00,0.8498
7401.00,0.8577
7400.00,0.8654
7399.00,0.8731
7398.00,0.8808
7397.00,0.8882
7396.00,0.8954
7395.00,0.9023
7394.00,0.9090
7393.00,0.9152
7392.00,0.9210
7391.00,0.9266
7390.00,0.9323
7389.00,0.9382
7388.00,0.9435
7387.00,0.9481
7386.00,0.9522
7385.00,0.9563
7384.00,0.9603
7383.00,0.9636
7382.00,0.9661
7381.00,0.9684
7380.00,0.9710
7379.00,0.9735
7378.00,0.9752
7377.00,0.9759
7376.00,0.9756
7375.00,0.9746
7374.00,0.9731
7373.00,0.9712
7372.00,0.9695
7371.00,0.9684
7370.00,0.9677
7369.00,0.9674
7368.00,0.9670
7367.00,0.9663
7366.00,0.9647
7365.00,0.9622
7364.00,0.9590
7363.00,0.9556
7362.00,0.9522
7361.00,0.9485
7360.00,0.9443
7359.00,0.9396
7358.00,0.9344
7357.00,0.9287
7356.00,0.9221
7355.00,0.9146
7354.00,0.9068
7353.00,0.8995
7352.00,0.8927
7351.00,0.8859
7350.00,0.8788
7349.00,0.8714
7348.00,0.8643
7347.00,0.8573
7346.00,0.8500
7345.00,0.8422
7344.00,0.8344
7343.00,0.8268
7342.00,0.8193
7341.00,0.8114
7340.00,0.8030
7339.00,0.7942
7338.00,0.7855
7337.00,0.7768
7336.00,0.7682
7335.00,0.7597
7334.00,0.7517
7333.00,0.7443
7332.00,0.7371
7331.00,0.7297
7330.00,0.7222
7329.00,0.7150
7328.00,0.7080
7327.00,0.7012
7326.00,0.6943
7325.00,0.6878
7324.00,0.6817
7323.00,0.6760
7322.00,0.6705
7321.00,0.6654
7320.00,0.6608
7319.00,0.6565
7318.00,0.6524
7317.00,0.6485
7316.00,0.6452
7315.00,0.6426
7314.00,0.6406
7313.00,0.6391
7312.00,0.6381
7311.00,0.6378
7310.00,0.6383
7309.00,0.6394
7308.00,0.6406
7307.00,0.6418
7306.00,0.6431
7305.00,0.6449
7304.00,0.6470
7303.00,0.6495
7302.00,0.6523
7301.00,0.6559
7300.00,0.6604
7299.00,0.6655
7298.00,0.6708
7297.00,0.6762
7296.00,0.6818
7295.00,0.6879
7294.00,0.6946
7293.00,0.7016
7292.00,0.7089
7291.00,0.7163
7290.00,0.7238
7289.00,0.7316
7288.00,0.7399
7287.00,0.7485
7286.00,0.7573
7285.00,0.7664
7284.00,0.7758
7283.00,0.7854
7282.00,0.7948
7281.00,0.8038
7280.00,0.8125
7279.00,0.8212
7278.00,0.8301
7277.00,0.8391
7276.00,0.8481
7275.00,0.8574
7274.00,0.8671
7273.00,0.8768
7272.00,0.8860
7271.00,0.8944
7270.00,0.9026
7269.00,0.9110
7268.00,0.9196
7267.00,0.9280
7266.00,0.9358
7265.00,0.9432
7264.00,0.9504
7263.00,0.9576
7262.00,0.9648
7261.00,0.9716
7260.00,0.9781
7259.00,0.9845
7258.00,0.9910
7257.00,0.9975
7256.00,1.0035
7255.00,1.0081
7254.00,1.0118
7253.00,1.0151
7252.00,1.0183
7251.00,1.0211
7250.00,1.0232
7249.00,1.0249
7248.00,1.0270
7247.00,1.0296
7246.00,1.0322
7245.00,1.0348
7244.00,1.0376
7243.00,1.0408
7242.00,1.0441
7241.00,1.0469
7240.00,1.0485
7239.00,1.0487
7238.00,1.0476
7237.00,1.0453
7236.00,1.0420
7235.00,1.0384
7234.00,1.0355
7233.00,1.0334
7232.00,1.0317
7231.00,1.0296
7230.00,1.0265
7229.00,1.0228
7228.00,1.0188
7227.00,1.0146
7226.00,1.0101
7225.00,1.0053
7224.00,1.0003
7223.00,0.9952
7222.00,0.9901
7221.00,0.9849
7220.00,0.9793
7219.00,0.9733
7218.00,0.9667
7217.00,0.9597
7216.00,0.9527
7215.00,0.9456
7214.00,0.9383
7213.00,0.9306
7212.00,0.9223
7211.00,0.9135
7210.00,0.9045
7209.00,0.8956
7208.00,0.8869
7207.00,0.8783
7206.00,0.8698
7205.00,0.8615
7204.00,0.8532
7203.00,0.8449
7202.00,0.8366
7201.00,0.8284
7200.00,0.8200
7199.00,0.8116
7198.00,0.8032
7197.00,0.7948
7196.00,0.7865
7195.00,0.7784
7194.00,0.7707
7193.00,0.7636
7192.00,0.7568
7191.00,0.7501
7190.00,0.7432
7189.00,0.7364
7188.00,0.7298
7187.00,0.7235
7186.00,0.7174
7185.00,0.7116
7184.00,0.7063
7183.00,0.7016
7182.00,0.6977
7181.00,0.6942
7180.00,0.6909
7179.00,0.6877
7178.00,0.6847
7177.00,0.6822
7176.00,0.6802
7175.00,0.6787
7174.00,0.6778
7173.00,0.6774
7172.00,0.6776
7171.00,0.6782
7170.00,0.6790
7169.00,0.6802
7168.00,0.6818
7167.00,0.6838
7166.00,0.6862
7165.00,0.6890
7164.00,0.6925
7163.00,0.6968
7162.00,0.7017
7161.00,0.7071
7160.00,0.7128
7159.00,0.7186
7158.00,0.7248
7157.00,0.7312
7156.00,0.7379
7155.00,0.7448
7154.00,0.7522
7153.00,0.7601
7152.00,0.7683
7151.00,0.7765
7150.00,0.7848
7149.00,0.7934
7148.00,0.8022
7147.00,0.8113
7146.00,0.8207
7145.00,0.8302
7144.00,0.8397
7143.00,0.8489
7142.00,0.8579
7141.00,0.8668
7140.00,0.8760
7139.00,0.8856
7138.00,0.8955
7137.00,0.9052
7136.00,0.9149
7135.00,0.9246
7134.00,0.9343
7133.00,0.9436
7132.00,0.9522
7131.00,0.9602
7130.00,0.9679
7129.00,0.9759
7128.00,0.9840
7127.00,0.9923
7126.00,1.0008
7125.00,1.0093
7124.00,1.0174
7123.00,1.0248
7122.00,1.0318
7121.00,1.0386
7120.00,1.0455
7119.00,1.0523
7118.00,1.0589
7117.00,1.0652
7116.00,1.0707
7115.00,1.0751
7114.00,1.0788
7113.00,1.0823
7112.00,1.0857
7111.00,1.0891
7110.00,1.0926
7109.00,1.0962
7108.00,1.0999
7107.00,1.1033
7106.00,1.1060
7105.00,1.1083
7104.00,1.1102
7103.00,1.1119
7102.00,1.1133
7101.00,1.1142
7100.00,1.1146
7099.00,1.1141
7098.00,1.1130
7097.00,1.1115
7096.00,1.1099
7095.00,1.1080
7094.00,1.1059
7093.00,1.1035
7092.00,1.1009
7091.00,1.0978
7090.00,1.0940
7089.00,1.0899
7088.00,1.0857
7087.00,1.0815
7086.00,1.0769
7085.00,1.0717
7084.00,1.0663
7083.00,1.0610
7082.00,1.0557
7081.00,1.0501
7080.00,1.0438
7079.00,1.0370
7078.00,1.0299
7077.00,1.0228
7076.00,1.0156
7075.00,1.0084
7074.00,1.0009
7073.00,0.9932
7072.00,0.9852
7071.00,0.9769
7070.00,0.9682
7069.00,0.9593
7068.00,0.9502
7067.00,0.9409
7066.00,0.9317
7065.00,0.9228
7064.00,0.9139
7063.00,0.9049
7062.00,0.8958
7061.00,0.8866
7060.00,0.8774
7059.00,0.8681
7058.00,0.8591
7057.00,0.8505
7056.00,0.8421
7055.00,0.8337
7054.00,0.8253
7053.00,0.8173
7052.00,0.8095
7051.00,0.8018
7050.00,0.7940
7049.00,0.7863
7048.00,0.7791
7047.00,0.7726
7046.00,0.7665
7045.00,0.7608
7044.00,0.7555
7043.00,0.7507
7042.00,0.7466
7041.00,0.7429
7040.00,0.7395
7039.00,0.7365
7038.00,0.7338
7037.00,0.7317
7036.00,0.7303
7035.00,0.7293
7034.00,0.7288
7033.00,0.7289
7032.00,0.7295
7031.00,0.7308
7030.00,0.7326
7029.00,0.7347
7028.00,0.7371
7027.00,0.7401
7026.00,0.7438
7025.00,0.7480
7024.00,0.7525
7023.00,0.7573
7022.00,0.7625
7021.00,0.7681
7020.00,0.7742
7019.00,0.7805
7018.00,0.7871
7017.00,0.7939
7016.00,0.8011
7015.00,0.8088
7014.00,0.8170
7013.00,0.8254
7012.00,0.8338
7011.00,0.8423
7010.00,0.8512
7009.00,0.8604
7008.00,0.8697
7007.00,0.8788
7006.00,0.8878
7005.00,0.8968
7004.00,0.9059
7003.00,0.9150
7002.00,0.9242
7001.00,0.9335
7000.00,0.9428
6999.00,0.9519
6998.00,0.9610
6997.00,0.9702
6996.00,0.9793
6995.00,0.9880
6994.00,0.9962
6993.00,1.0043
6992.00,1.0124
6991.00,1.0205
6990.00,1.0286
6989.00,1.0365
6988.00,1.0440
6987.00,1.0512
6986.00,1.0582
6985.00,1.0652
6984.00,1.0720
6983.00,1.0783
6982.00,1.0842
6981.00,1.0900
6980.00,1.0957
6979.00,1.1008
6978.00,1.1053
6977.00,1.1092
6976.00,1.1128
6975.00,1.1162
6974.00,1.1195
6973.00,1.1226
6972.00,1.1254
6971.00,1.1279
6970.00,1.1301
6969.00,1.1320
6968.00,1.1334
6967.00,1.1341
6966.00,1.1343
6965.00,1.1343
6964.00,1.1341
6963.00,1.1331
6962.00,1.1315
6961.00,1.1296
6960.00,1.1279
6959.00,1.1262
6958.00,1.1243
6957.00,1.1219
6956.00,1.1189
6955.00,1.1152
6954.00,1.1112
6953.00,1.1069
6952.00,1.1025
6951.00,1.0981
6950.00,1.0934
6949.00,1.0883
6948.00,1.0826
6947.00,1.0764
6946.00,1.0700
6945.00,1.0634
6944.00,1.0561
6943.00,1.0484
6942.00,1.0405
6941.00,1.0330
6940.00,1.0256
6939.00,1.0179
6938.00,1.0096
6937.00,1.0010
6936.00,0.9925
6935.00,0.9837
6934.00,0.9746
6933.00,0.9652
6932.00,0.9557
6931.00,0.9462
6930.00,0.9366
6929.00,0.9271
6928.00,0.9178
6927.00,0.9085
6926.00,0.8990
6925.00,0.8895
6924.00,0.8801
6923.00,0.8707
6922.00,0.8613
6921.00,0.8521
6920.00,0.8431
6919.00,0.8343
6918.00,0.8257
6917.00,0.8176
6916.00,0.8099
6915.00,0.8023
6914.00,0.7950
6913.00,0.7880
6912.00,0.7812
6911.00,0.7747
6910.00,0.7683
6909.00,0.7621
6908.00,0.7564
6907.00,0.7512
6906.00,0.7466
6905.00,0.7424
6904.00,0.7388
6903.00,0.7356
6902.00,0.7329
6901.00,0.7306
6900.00,0.7287
6899.00,0.7271
6898.00,0.7259
6897.00,0.7254
6896.00,0.7254
6895.00,0.7259
6894.00,0.7270
6893.00,0.7287
6892.00,0.7308
6891.00,0.7334
6890.00,0.7366
6889.00,0.7403
6888.00,0.7446
6887.00,0.7493
6886.00,0.7545
6885.00,0.7601
6884.00,0.7659
6883.00,0.7719
6882.00,0.7781
6881.00,0.7845
6880.00,0.7914
6879.00,0.7987
6878.00,0.8063
6877.00,0.8143
6876.00,0.8225
6875.00,0.8311
6874.00,0.8399
6873.00,0.8488
6872.00,0.8577
6871.00,0.8667
6870.00,0.8760
6869.00,0.8857
6868.00,0.8956
6867.00,0.9055
6866.00,0.9155
6865.00,0.9255
6864.00,0.9355
6863.00,0.9453
6862.00,0.9550
6861.00,0.9646
6860.00,0.9742
6859.00,0.9835
6858.00,0.9927
6857.00,1.0017
6856.00,1.0108
6855.00,1.0199
6854.00,1.0292
6853.00,1.0383
6852.00,1.0473
6851.00,1.0560
6850.00,1.0644
6849.00,1.0725
6848.00,1.0798
6847.00,1.0866
6846.00,1.0933
6845.00,1.1002
6844.00,1.1075
6843.00,1.1145
6842.00,1.1207
6841.00,1.1260
6840.00,1.1305
6839.00,1.1347
6838.00,1.1388
6837.00,1.1431
6836.00,1.1473
6835.00,1.1512
6834.00,1.1550
6833.00,1.1590
6832.00,1.1625
6831.00,1.1651
6830.00,1.1668
6829.00,1.1680
6828.00,1.1694
6827.00,1.1705
6826.00,1.1712
6825.00,1.1716
6824.00,1.1717
6823.00,1.1714
6822.00,1.1704
6821.00,1.1690
6820.00,1.1674
6819.00,1.1656
6818.00,1.1634
6817.00,1.1605
6816.00,1.1574
6815.00,1.1544
6814.00,1.1514
6813.00,1.1481
6812.00,1.1443
6811.00,1.1400
6810.00,1.1352
6809.00,1.1301
6808.00,1.1246
6807.00,1.1187
6806.00,1.1123
6805.00,1.1057
6804.00,1.0987
6803.00,1.0911
6802.00,1.0831
6801.00,1.0747
6800.00,1.0663
6799.00,1.0580
6798.00,1.0498
6797.00,1.0414
6796.00,1.0329
6795.00,1.0239
6794.00,1.0146
6793.00,1.0049
6792.00,0.9951
6791.00,0.9854
6790.00,0.9758
6789.00,0.9664
6788.00,0.9569
6787.00,0.9472
6786.00,0.9372
6785.00,0.9271
6784.00,0.9171
6783.00,0.9072
6782.00,0.8975
6781.00,0.8880
6780.00,0.8787
6779.00,0.8695
6778.00,0.8605
6777.00,0.8515
6776.00,0.8427
6775.00,0.8342
6774.00,0.8261
6773.00,0.8185
6772.00,0.8112
6771.00,0.8043
6770.00,0.7977
6769.00,0.7916
6768.00,0.7859
6767.00,0.7807
6766.00,0.7759
6765.00,0.7716
6764.00,0.7678
6763.00,0.7644
6762.00,0.7616
6761.00,0.7596
6760.00,0.7581
6759.00,0.7571
6758.00,0.7565
6757.00,0.7563
6756.00,0.7566
6755.00,0.7575
6754.00,0.7589
6753.00,0.7609
6752.00,0.7635
6751.00,0.7668
6750.00,0.7707
6749.00,0.7752
6748.00,0.7800
6747.00,0.7851
6746.00,0.7908
6745.00,0.7970
6744.00,0.8036
6743.00,0.8105
6742.00,0.8178
6741.00,0.8255
6740.00,0.8334
6739.00,0.8415
6738.00,0.8498
6737.00,0.8585
6736.00,0.8675
6735.00,0.8768
6734.00,0.8861
6733.00,0.8954
6732.00,0.9047
6731.00,0.9140
6730.00,0.9237
6729.00,0.9336
6728.00,0.9435
6727.00,0.9532
6726.00,0.9629
6725.00,0.9726
6724.00,0.9822
6723.00,0.9915
6722.00,1.0005
6721.00,1.0094
6720.00,1.0184
6719.00,1.0275
6718.00,1.0362
6717.00,1.0447
6716.00,1.0528
6715.00,1.0610
6714.00,1.0692
6713.00,1.0776
6712.00,1.0858
6711.00,1.0935
