Created as New Dataset,Sample 160 By Administrator Date Thursday, November 25 2021
cm-1,A
7000.00,0.7774
6999.00,0.7749
6998.00,0.7727
6997.00,0.7704
6996.00,0.7681
6995.00,0.7657
6994.00,0.7635
6993.00,0.7614
6992.00,0.7594
6991.00,0.7575
6990.00,0.7557
6989.00,0.7541
6988.00,0.7525
6987.00,0.7507
6986.00,0.7487
6985.00,0.7466
6984.00,0.7447
6983.00,0.7430
6982.00,0.7416
6981.00,0.7404
6980.00,0.7393
6979.00,0.7383
6978.00,0.7373
6977.00,0.7363
6976.00,0.7353
6975.00,0.7343
6974.00,0.7333
6973.00,0.7325
6972.00,0.7319
6971.00,0.7313
6970.00,0.7308
6969.00,0.7303
6968.00,0.7297
6967.00,0.7291
6966.00,0.7286
6965.00,0.7284
6964.00,0.7283
6963.00,0.7282
6962.00,0.7284
6961.00,0.7287
6960.00,0.7289
6959.00,0.7290
6958.00,0.7292
6957.00,0.7295
6956.00,0.7300
6955.00,0.7305
6954.00,0.7312
6953.00,0.7321
6952.00,0.7332
6951.00,0.7341
6950.00,0.7350
6949.00,0.7360
6948.00,0.7371
6947.00,0.7385
6946.00,0.7398
6945.00,0.7412
6944.00,0.7428
6943.00,0.7445
6942.00,0.7464
6941.00,0.7484
6940.00,0.7502
6939.00,0.7519
6938.00,0.7538
6937.00,0.7558
6936.00,0.7578
6935.00,0.7599
6934.00,0.7620
6933.00,0.7643
6932.00,0.7666
6931.00,0.7688
6930.00,0.7711
6929.00,0.7735
6928.00,0.7761
6927.00,0.7788
6926.00,0.7815
6925.00,0.7844
6924.00,0.7874
6923.00,0.7905
6922.00,0.7936
6921.00,0.7967
6920.00,0.7998
6919.00,0.8029
6918.00,0.8063
6917.00,0.8098
6916.00,0.8133
6915.00,0.8167
6914.00,0.8200
6913.00,0.8233
6912.00,0.8266
6911.00,0.8298
6910.00,0.8331
6909.00,0.8365
6908.00,0.8401
6907.00,0.8439
6906.00,0.8480
6905.00,0.8521
6904.00,0.8561
6903.00,0.8599
6902.00,0.8636
6901.00,0.8673
6900.00,0.8709
6899.00,0.8745
6898.00,0.8783
6897.00,0.8824
6896.00,0.8867
6895.00,0.8910
6894.00,0.8952
6893.00,0.8995
6892.00,0.9038
6891.00,0.9082
6890.00,0.9125
6889.00,0.9168
6888.00,0.9209
6887.00,0.9248
6886.00,0.9287
6885.00,0.9326
6884.00,0.9364
6883.00,0.9402
6882.00,0.9443
6881.00,0.9486
6880.00,0.9531
6879.00,0.9574
6878.00,0.9614
6877.00,0.9654
6876.00,0.9692
6875.00,0.9729
6874.00,0.9767
6873.00,0.9809
6872.00,0.9854
6871.00,0.9900
6870.00,0.9944
6869.00,0.9986
6868.00,1.0027
6867.00,1.0066
6866.00,1.0103
6865.00,1.0140
6864.00,1.0177
6863.00,1.0215
6862.00,1.0253
6861.00,1.0292
6860.00,1.0332
6859.00,1.0372
6858.00,1.0409
6857.00,1.0446
6856.00,1.0483
6855.00,1.0521
6854.00,1.0557
6853.00,1.0590
6852.00,1.0623
6851.00,1.0657
6850.00,1.0695
6849.00,1.0733
6848.00,1.0772
6847.00,1.0809
6846.00,1.0846
6845.00,1.0881
6844.00,1.0913
6843.00,1.0945
6842.00,1.0977
6841.00,1.1010
6840.00,1.1045
6839.00,1.1081
6838.00,1.1116
6837.00,1.1148
6836.00,1.1178
6835.00,1.1207
6834.00,1.1236
6833.00,1.1265
6832.00,1.1293
6831.00,1.1320
6830.00,1.1349
6829.00,1.1382
6828.00,1.1414
6827.00,1.1442
6826.00,1.1467
6825.00,1.1493
6824.00,1.1522
6823.00,1.1552
6822.00,1.1580
6821.00,1.1603
6820.00,1.1624
6819.00,1.1647
6818.00,1.1673
6817.00,1.1699
6816.00,1.1719
6815.00,1.1736
6814.00,1.1754
6813.00,1.1775
6812.00,1.1795
6811.00,1.1813
6810.00,1.1828
6809.00,1.1845
6808.00,1.1865
6807.00,1.1886
6806.00,1.1905
6805.00,1.1924
6804.00,1.1942
6803.00,1.1958
6802.00,1.1972
6801.00,1.1988
6800.00,1.2003
6799.00,1.2018
6798.00,1.2033
6797.00,1.2047
6796.00,1.2060
6795.00,1.2071
6794.00,1.2081
6793.00,1.2092
6792.00,1.2106
6791.00,1.2123
6790.00,1.2140
6789.00,1.2158
6788.00,1.2176
6787.00,1.2193
6786.00,1.2207
6785.00,1.2216
6784.00,1.2222
6783.00,1.2227
6782.00,1.2233
6781.00,1.2238
6780.00,1.2244
6779.00,1.2249
6778.00,1.2254
6777.00,1.2259
6776.00,1.2261
6775.00,1.2262
6774.00,1.2262
6773.00,1.2262
6772.00,1.2263
6771.00,1.2264
6770.00,1.2265
6769.00,1.2265
6768.00,1.2264
6767.00,1.2265
6766.00,1.2267
6765.00,1.2271
6764.00,1.2276
6763.00,1.2280
6762.00,1.2282
6761.00,1.2283
6760.00,1.2281
6759.00,1.2277
6758.00,1.2275
6757.00,1.2278
6756.00,1.2283
6755.00,1.2285
6754.00,1.2284
6753.00,1.2279
6752.00,1.2269
6751.00,1.2255
6750.00,1.2239
6749.00,1.2228
6748.00,1.2222
6747.00,1.2218
6746.00,1.2213
6745.00,1.2208
6744.00,1.2200
6743.00,1.2187
6742.00,1.2171
6741.00,1.2155
6740.00,1.2142
6739.00,1.2133
6738.00,1.2126
6737.00,1.2119
6736.00,1.2111
6735.00,1.2099
6734.00,1.2085
6733.00,1.2070
6732.00,1.2056
6731.00,1.2041
6730.00,1.2025
6729.00,1.2011
6728.00,1.1999
6727.00,1.1987
6726.00,1.1972
6725.00,1.1953
6724.00,1.1932
6723.00,1.1913
6722.00,1.1894
6721.00,1.1874
6720.00,1.1852
6719.00,1.1829
6718.00,1.1808
6717.00,1.1790
6716.00,1.1770
6715.00,1.1749
6714.00,1.1728
6713.00,1.1708
6712.00,1.1687
6711.00,1.1662
6710.00,1.1636
6709.00,1.1611
6708.00,1.1587
6707.00,1.1564
6706.00,1.1542
6705.00,1.1521
6704.00,1.1499
6703.00,1.1473
6702.00,1.1444
6701.00,1.1414
6700.00,1.1384
6699.00,1.1353
6698.00,1.1322
6697.00,1.1293
6696.00,1.1265
6695.00,1.1237
6694.00,1.1208
6693.00,1.1179
6692.00,1.1151
6691.00,1.1123
6690.00,1.1092
6689.00,1.1058
6688.00,1.1023
6687.00,1.0986
6686.00,1.0950
6685.00,1.0915
6684.00,1.0880
6683.00,1.0848
6682.00,1.0818
6681.00,1.0789
6680.00,1.0759
6679.00,1.0726
6678.00,1.0693
6677.00,1.0661
6676.00,1.0630
6675.00,1.0596
6674.00,1.0559
6673.00,1.0519
6672.00,1.0478
6671.00,1.0436
6670.00,1.0394
6669.00,1.0355
6668.00,1.0319
6667.00,1.0286
6666.00,1.0255
6665.00,1.0223
6664.00,1.0189
6663.00,1.0153
6662.00,1.0115
6661.00,1.0076
6660.00,1.0037
6659.00,0.9997
6658.00,0.9958
6657.00,0.9921
6656.00,0.9883
6655.00,0.9844
6654.00,0.9804
6653.00,0.9764
6652.00,0.9724
6651.00,0.9683
6650.00,0.9642
6649.00,0.9601
6648.00,0.9563
6647.00,0.9526
6646.00,0.9490
6645.00,0.9455
6644.00,0.9420
6643.00,0.9384
6642.00,0.9348
6641.00,0.9311
6640.00,0.9273
6639.00,0.9236
6638.00,0.9200
6637.00,0.9162
6636.00,0.9124
6635.00,0.9086
6634.00,0.9047
6633.00,0.9009
6632.00,0.8970
6631.00,0.8931
6630.00,0.8893
6629.00,0.8857
6628.00,0.8823
6627.00,0.8789
6626.00,0.8754
6625.00,0.8718
6624.00,0.8684
6623.00,0.8650
6622.00,0.8617
6621.00,0.8583
6620.00,0.8549
6619.00,0.8517
6618.00,0.8485
6617.00,0.8454
6616.00,0.8422
6615.00,0.8388
6614.00,0.8355
6613.00,0.8323
6612.00,0.8292
6611.00,0.8262
6610.00,0.8231
6609.00,0.8201
6608.00,0.8172
6607.00,0.8143
6606.00,0.8114
6605.00,0.8087
6604.00,0.8060
6603.00,0.8032
6602.00,0.8006
6601.00,0.7981
6600.00,0.7957
6599.00,0.7934
6598.00,0.7912
6597.00,0.7892
6596.00,0.7872
6595.00,0.7851
6594.00,0.7830
6593.00,0.7810
6592.00,0.7790
6591.00,0.7769
6590.00,0.7749
6589.00,0.7730
6588.00,0.7714
6587.00,0.7698
6586.00,0.7683
6585.00,0.7669
6584.00,0.7656
6583.00,0.7645
6582.00,0.7633
6581.00,0.7621
6580.00,0.7609
6579.00,0.7597
6578.00,0.7587
6577.00,0.7579
6576.00,0.7572
6575.00,0.7567
6574.00,0.7563
6573.00,0.7562
6572.00,0.7562
6571.00,0.7562
6570.00,0.7562
6569.00,0.7563
6568.00,0.7565
6567.00,0.7567
6566.00,0.7570
6565.00,0.7574
6564.00,0.7578
6563.00,0.7583
6562.00,0.7589
6561.00,0.7596
6560.00,0.7605
6559.00,0.7614
6558.00,0.7625
6557.00,0.7637
6556.00,0.7650
6555.00,0.7664
6554.00,0.7678
6553.00,0.7694
6552.00,0.7711
6551.00,0.7730
6550.00,0.7751
6549.00,0.7772
6548.00,0.7793
6547.00,0.7814
6546.00,0.7835
6545.00,0.7856
6544.00,0.7878
6543.00,0.7900
6542.00,0.7925
6541.00,0.7953
6540.00,0.7982
6539.00,0.8011
6538.00,0.8042
6537.00,0.8072
6536.00,0.8103
6535.00,0.8134
6534.00,0.8166
6533.00,0.8198
6532.00,0.8230
6531.00,0.8263
6530.00,0.8296
6529.00,0.8331
6528.00,0.8366
6527.00,0.8402
6526.00,0.8439
6525.00,0.8478
6524.00,0.8517
6523.00,0.8555
6522.00,0.8594
6521.00,0.8634
6520.00,0.8674
6519.00,0.8714
6518.00,0.8753
6517.00,0.8793
6516.00,0.8833
6515.00,0.8874
6514.00,0.8915
6513.00,0.8955
6512.00,0.8997
6511.00,0.9039
6510.00,0.9082
6509.00,0.9125
6508.00,0.9168
6507.00,0.9211
6506.00,0.9256
6505.00,0.9302
6504.00,0.9347
6503.00,0.9391
6502.00,0.9434
6501.00,0.9477
6500.00,0.9521
6499.00,0.9564
6498.00,0.9607
6497.00,0.9650
6496.00,0.9693
6495.00,0.9737
6494.00,0.9780
6493.00,0.9823
6492.00,0.9867
6491.00,0.9910
6490.00,0.9953
6489.00,0.9996
6488.00,1.0040
6487.00,1.0083
6486.00,1.0126
6485.00,1.0170
6484.00,1.0215
6483.00,1.0259
6482.00,1.0303
6481.00,1.0346
6480.00,1.0388
6479.00,1.0427
6478.00,1.0465
6477.00,1.0502
6476.00,1.0540
6475.00,1.0581
6474.00,1.0622
6473.00,1.0664
6472.00,1.0704
6471.00,1.0742
6470.00,1.0779
6469.00,1.0815
6468.00,1.0852
6467.00,1.0889
6466.00,1.0927
6465.00,1.0965
6464.00,1.1003
6463.00,1.1039
6462.00,1.1076
6461.00,1.1112
6460.00,1.1146
6459.00,1.1180
6458.00,1.1215
6457.00,1.1252
6456.00,1.1289
6455.00,1.1324
6454.00,1.1357
6453.00,1.1389
6452.00,1.1421
6451.00,1.1453
6450.00,1.1484
6449.00,1.1515
6448.00,1.1546
6447.00,1.1577
6446.00,1.1608
6445.00,1.1638
6444.00,1.1668
6443.00,1.1697
6442.00,1.1726
6441.00,1.1756
6440.00,1.1783
6439.00,1.1808
6438.00,1.1832
6437.00,1.1855
6436.00,1.1876
6435.00,1.1898
6434.00,1.1923
6433.00,1.1952
6432.00,1.1981
6431.00,1.2007
6430.00,1.2029
6429.00,1.2051
6428.00,1.2073
6427.00,1.2093
6426.00,1.2111
6425.00,1.2129
6424.00,1.2148
6423.00,1.2166
6422.00,1.2182
6421.00,1.2197
6420.00,1.2211
6419.00,1.2226
6418.00,1.2243
6417.00,1.2261
6416.00,1.2279
6415.00,1.2295
6414.00,1.2310
6413.00,1.2323
6412.00,1.2336
6411.00,1.2351
6410.00,1.2368
6409.00,1.2384
6408.00,1.2399
6407.00,1.2410
6406.00,1.2419
6405.00,1.2428
6404.00,1.2436
6403.00,1.2445
6402.00,1.2454
6401.00,1.2464
6400.00,1.2473
6399.00,1.2481
6398.00,1.2487
6397.00,1.2493
6396.00,1.2498
6395.00,1.2504
6394.00,1.2510
6393.00,1.2517
6392.00,1.2522
6391.00,1.2523
6390.00,1.2523
6389.00,1.2526
6388.00,1.2531
6387.00,1.2535
6386.00,1.2538
6385.00,1.2541
6384.00,1.2543
6383.00,1.2543
6382.00,1.2542
6381.00,1.2541
6380.00,1.2539
6379.00,1.2537
6378.00,1.2536
6377.00,1.2535
6376.00,1.2533
6375.00,1.2531
6374.00,1.2528
6373.00,1.2527
6372.00,1.2526
6371.00,1.2523
6370.00,1.2517
6369.00,1.2509
6368.00,1.2501
6367.00,1.2495
6366.00,1.2488
6365.00,1.2480
6364.00,1.2471
6363.00,1.2462
6362.00,1.2450
6361.00,1.2438
6360.00,1.2424
6359.00,1.2412
6358.00,1.2401
6357.00,1.2389
6356.00,1.2375
6355.00,1.2359
6354.00,1.2341
6353.00,1.2324
6352.00,1.2309
6351.00,1.2298
6350.00,1.2289
6349.00,1.2279
6348.00,1.2266
6347.00,1.2250
6346.00,1.2231
6345.00,1.2209
6344.00,1.2183
6343.00,1.2158
6342.00,1.2137
6341.00,1.2118
6340.00,1.2099
6339.00,1.2076
6338.00,1.2053
6337.00,1.2031
6336.00,1.2010
6335.00,1.1990
6334.00,1.1970
6333.00,1.1950
6332.00,1.1929
6331.00,1.1907
6330.00,1.1882
6329.00,1.1855
6328.00,1.1826
6327.00,1.1798
6326.00,1.1772
6325.00,1.1748
6324.00,1.1722
6323.00,1.1694
6322.00,1.1664
6321.00,1.1633
6320.00,1.1602
6319.00,1.1571
6318.00,1.1542
6317.00,1.1514
6316.00,1.1484
6315.00,1.1452
6314.00,1.1418
6313.00,1.1384
6312.00,1.1348
6311.00,1.1310
6310.00,1.1274
6309.00,1.1241
6308.00,1.1210
6307.00,1.1179
6306.00,1.1149
6305.00,1.1118
6304.00,1.1084
6303.00,1.1047
6302.00,1.1010
6301.00,1.0972
6300.00,1.0934
6299.00,1.0895
6298.00,1.0857
6297.00,1.0820
6296.00,1.0783
6295.00,1.0744
6294.00,1.0706
6293.00,1.0668
6292.00,1.0630
6291.00,1.0591
6290.00,1.0550
6289.00,1.0510
6288.00,1.0470
6287.00,1.0430
6286.00,1.0390
6285.00,1.0350
6284.00,1.0310
6283.00,1.0268
6282.00,1.0225
6281.00,1.0181
6280.00,1.0137
6279.00,1.0094
6278.00,1.0053
6277.00,1.0013
6276.00,0.9973
6275.00,0.9932
6274.00,0.9890
6273.00,0.9847
6272.00,0.9804
6271.00,0.9762
6270.00,0.9720
6269.00,0.9680
6268.00,0.9640
6267.00,0.9599
6266.00,0.9558
6265.00,0.9517
6264.00,0.9474
6263.00,0.9431
6262.00,0.9389
6261.00,0.9349
6260.00,0.9309
6259.00,0.9269
6258.00,0.9228
6257.00,0.9189
6256.00,0.9149
6255.00,0.9107
6254.00,0.9065
6253.00,0.9025
6252.00,0.8986
6251.00,0.8949
6250.00,0.8912
6249.00,0.8875
6248.00,0.8837
6247.00,0.8798
6246.00,0.8759
6245.00,0.8720
6244.00,0.8681
6243.00,0.8642
6242.00,0.8605
6241.00,0.8570
6240.00,0.8535
6239.00,0.8499
6238.00,0.8464
6237.00,0.8429
6236.00,0.8395
6235.00,0.8360
6234.00,0.8326
6233.00,0.8292
6232.00,0.8258
6231.00,0.8224
6230.00,0.8192
6229.00,0.8162
6228.00,0.8132
6227.00,0.8101
6226.00,0.8071
6225.00,0.8040
6224.00,0.8009
6223.00,0.7978
6222.00,0.7948
6221.00,0.7921
6220.00,0.7894
6219.00,0.7868
6218.00,0.7842
6217.00,0.7816
6216.00,0.7791
6215.00,0.7765
6214.00,0.7740
6213.00,0.7715
6212.00,0.7691
6211.00,0.7667
6210.00,0.7645
6209.00,0.7623
6208.00,0.7601
6207.00,0.7579
6206.00,0.7558
6205.00,0.7538
6204.00,0.7520
6203.00,0.7502
6202.00,0.7484
6201.00,0.7468
6200.00,0.7453
6199.00,0.7439
6198.00,0.7424
6197.00,0.7410
6196.00,0.7397
6195.00,0.7384
6194.00,0.7372
6193.00,0.7362
6192.00,0.7354
6191.00,0.7346
6190.00,0.7339
6189.00,0.7333
6188.00,0.7327
6187.00,0.7322
6186.00,0.7317
6185.00,0.7314
6184.00,0.7312
6183.00,0.7311
6182.00,0.7312
6181.00,0.7314
6180.00,0.7316
6179.00,0.7319
6178.00,0.7322
6177.00,0.7327
6176.00,0.7334
6175.00,0.7342
6174.00,0.7350
6173.00,0.7360
6172.00,0.7371
6171.00,0.7383
6170.00,0.7396
6169.00,0.7411
6168.00,0.7428
6167.00,0.7445
6166.00,0.7464
6165.00,0.7483
6164.00,0.7502
6163.00,0.7522
6162.00,0.7544
6161.00,0.7567
6160.00,0.7592
6159.00,0.7616
6158.00,0.7642
6157.00,0.7669
6156.00,0.7697
6155.00,0.7725
6154.00,0.7754
6153.00,0.7785
6152.00,0.7816
6151.00,0.7848
6150.00,0.7881
6149.00,0.7915
