Created as New Dataset,Sample 177 By Administrator Date Friday, November 26 2021
cm-1,A
7000.00,1.1664
6999.00,1.1643
6998.00,1.1619
6997.00,1.1597
6996.00,1.1578
6995.00,1.1562
6994.00,1.1545
6993.00,1.1525
6992.00,1.1503
6991.00,1.1482
6990.00,1.1460
6989.00,1.1435
6988.00,1.1405
6987.00,1.1375
6986.00,1.1348
6985.00,1.1324
6984.00,1.1299
6983.00,1.1271
6982.00,1.1242
6981.00,1.1212
6980.00,1.1182
6979.00,1.1151
6978.00,1.1120
6977.00,1.1090
6976.00,1.1061
6975.00,1.1032
6974.00,1.1006
6973.00,1.0982
6972.00,1.0956
6971.00,1.0924
6970.00,1.0887
6969.00,1.0849
6968.00,1.0815
6967.00,1.0784
6966.00,1.0753
6965.00,1.0723
6964.00,1.0694
6963.00,1.0664
6962.00,1.0630
6961.00,1.0593
6960.00,1.0555
6959.00,1.0517
6958.00,1.0480
6957.00,1.0444
6956.00,1.0407
6955.00,1.0372
6954.00,1.0339
6953.00,1.0306
6952.00,1.0270
6951.00,1.0231
6950.00,1.0192
6949.00,1.0153
6948.00,1.0116
6947.00,1.0077
6946.00,1.0037
6945.00,0.9997
6944.00,0.9959
6943.00,0.9921
6942.00,0.9884
6941.00,0.9846
6940.00,0.9806
6939.00,0.9765
6938.00,0.9722
6937.00,0.9680
6936.00,0.9639
6935.00,0.9600
6934.00,0.9561
6933.00,0.9524
6932.00,0.9486
6931.00,0.9449
6930.00,0.9411
6929.00,0.9371
6928.00,0.9330
6927.00,0.9290
6926.00,0.9252
6925.00,0.9214
6924.00,0.9176
6923.00,0.9139
6922.00,0.9101
6921.00,0.9062
6920.00,0.9020
6919.00,0.8978
6918.00,0.8937
6917.00,0.8898
6916.00,0.8861
6915.00,0.8824
6914.00,0.8789
6913.00,0.8753
6912.00,0.8716
6911.00,0.8679
6910.00,0.8642
6909.00,0.8606
6908.00,0.8570
6907.00,0.8536
6906.00,0.8504
6905.00,0.8472
6904.00,0.8440
6903.00,0.8405
6902.00,0.8369
6901.00,0.8334
6900.00,0.8299
6899.00,0.8266
6898.00,0.8234
6897.00,0.8204
6896.00,0.8175
6895.00,0.8148
6894.00,0.8120
6893.00,0.8093
6892.00,0.8066
6891.00,0.8038
6890.00,0.8009
6889.00,0.7981
6888.00,0.7952
6887.00,0.7925
6886.00,0.7899
6885.00,0.7875
6884.00,0.7852
6883.00,0.7830
6882.00,0.7809
6881.00,0.7787
6880.00,0.7767
6879.00,0.7747
6878.00,0.7728
6877.00,0.7709
6876.00,0.7691
6875.00,0.7674
6874.00,0.7659
6873.00,0.7645
6872.00,0.7630
6871.00,0.7616
6870.00,0.7603
6869.00,0.7591
6868.00,0.7580
6867.00,0.7569
6866.00,0.7560
6865.00,0.7551
6864.00,0.7542
6863.00,0.7534
6862.00,0.7528
6861.00,0.7524
6860.00,0.7520
6859.00,0.7516
6858.00,0.7513
6857.00,0.7514
6856.00,0.7516
6855.00,0.7518
6854.00,0.7521
6853.00,0.7524
6852.00,0.7529
6851.00,0.7534
6850.00,0.7538
6849.00,0.7543
6848.00,0.7550
6847.00,0.7558
6846.00,0.7567
6845.00,0.7579
6844.00,0.7592
6843.00,0.7605
6842.00,0.7619
6841.00,0.7634
6840.00,0.7651
6839.00,0.7668
6838.00,0.7685
6837.00,0.7702
6836.00,0.7720
6835.00,0.7739
6834.00,0.7760
6833.00,0.7782
6832.00,0.7806
6831.00,0.7832
6830.00,0.7859
6829.00,0.7886
6828.00,0.7913
6827.00,0.7941
6826.00,0.7971
6825.00,0.8000
6824.00,0.8029
6823.00,0.8059
6822.00,0.8093
6821.00,0.8127
6820.00,0.8160
6819.00,0.8192
6818.00,0.8225
6817.00,0.8260
6816.00,0.8297
6815.00,0.8335
6814.00,0.8371
6813.00,0.8408
6812.00,0.8446
6811.00,0.8483
6810.00,0.8520
6809.00,0.8557
6808.00,0.8595
6807.00,0.8635
6806.00,0.8677
6805.00,0.8721
6804.00,0.8764
6803.00,0.8808
6802.00,0.8853
6801.00,0.8898
6800.00,0.8941
6799.00,0.8981
6798.00,0.9019
6797.00,0.9059
6796.00,0.9100
6795.00,0.9141
6794.00,0.9182
6793.00,0.9225
6792.00,0.9270
6791.00,0.9317
6790.00,0.9363
6789.00,0.9407
6788.00,0.9449
6787.00,0.9490
6786.00,0.9531
6785.00,0.9573
6784.00,0.9616
6783.00,0.9662
6782.00,0.9709
6781.00,0.9756
6780.00,0.9801
6779.00,0.9844
6778.00,0.9886
6777.00,0.9927
6776.00,0.9968
6775.00,1.0009
6774.00,1.0051
6773.00,1.0096
6772.00,1.0141
6771.00,1.0182
6770.00,1.0221
6769.00,1.0260
6768.00,1.0300
6767.00,1.0342
6766.00,1.0383
6765.00,1.0424
6764.00,1.0466
6763.00,1.0508
6762.00,1.0549
6761.00,1.0586
6760.00,1.0622
6759.00,1.0657
6758.00,1.0692
6757.00,1.0729
6756.00,1.0765
6755.00,1.0800
6754.00,1.0836
6753.00,1.0872
6752.00,1.0908
6751.00,1.0944
6750.00,1.0982
6749.00,1.1020
6748.00,1.1058
6747.00,1.1095
6746.00,1.1131
6745.00,1.1166
6744.00,1.1199
6743.00,1.1228
6742.00,1.1255
6741.00,1.1282
6740.00,1.1309
6739.00,1.1337
6738.00,1.1364
6737.00,1.1391
6736.00,1.1420
6735.00,1.1451
6734.00,1.1481
6733.00,1.1509
6732.00,1.1535
6731.00,1.1560
6730.00,1.1585
6729.00,1.1608
6728.00,1.1631
6727.00,1.1656
6726.00,1.1683
6725.00,1.1710
6724.00,1.1734
6723.00,1.1755
6722.00,1.1775
6721.00,1.1796
6720.00,1.1817
6719.00,1.1837
6718.00,1.1860
6717.00,1.1884
6716.00,1.1907
6715.00,1.1924
6714.00,1.1937
6713.00,1.1950
6712.00,1.1964
6711.00,1.1977
6710.00,1.1990
6709.00,1.2003
6708.00,1.2017
6707.00,1.2030
6706.00,1.2040
6705.00,1.2047
6704.00,1.2053
6703.00,1.2060
6702.00,1.2070
6701.00,1.2081
6700.00,1.2093
6699.00,1.2105
6698.00,1.2117
6697.00,1.2129
6696.00,1.2139
6695.00,1.2148
6694.00,1.2154
6693.00,1.2161
6692.00,1.2166
6691.00,1.2171
6690.00,1.2178
6689.00,1.2184
6688.00,1.2186
6687.00,1.2186
6686.00,1.2184
6685.00,1.2182
6684.00,1.2181
6683.00,1.2179
6682.00,1.2177
6681.00,1.2175
6680.00,1.2174
6679.00,1.2174
6678.00,1.2177
6677.00,1.2180
6676.00,1.2181
6675.00,1.2179
6674.00,1.2177
6673.00,1.2176
6672.00,1.2174
6671.00,1.2167
6670.00,1.2156
6669.00,1.2146
6668.00,1.2140
6667.00,1.2137
6666.00,1.2132
6665.00,1.2124
6664.00,1.2111
6663.00,1.2097
6662.00,1.2082
6661.00,1.2068
6660.00,1.2054
6659.00,1.2040
6658.00,1.2027
6657.00,1.2017
6656.00,1.2008
6655.00,1.1997
6654.00,1.1983
6653.00,1.1967
6652.00,1.1951
6651.00,1.1936
6650.00,1.1923
6649.00,1.1909
