,2,
Wavenumbers [1/cm],Transmittance,
7496.969,0.1197858,
7495.040,0.1211989,
7493.112,0.1206632,
7491.183,0.1187909,
7489.254,0.117745,
7487.326,0.1187336,
7485.397,0.1202441,
7483.468,0.1207095,
7481.539,0.1207014,
7479.611,0.1208147,
7477.682,0.1206794,
7475.753,0.1198898,
7473.824,0.1187283,
7471.896,0.1181828,
7469.967,0.1185927,
7468.038,0.1191922,
7466.110,0.1191688,
7464.181,0.118858,
7462.252,0.1190299,
7460.323,0.1194467,
7458.395,0.1199966,
7456.466,0.12072,
7454.537,0.1208758,
7452.608,0.1202686,
7450.680,0.1194301,
7448.751,0.1184829,
7446.822,0.1177726,
7444.893,0.1178352,
7442.965,0.1181024,
7441.036,0.1181074,
7439.107,0.1182474,
7437.179,0.1183483,
7435.250,0.1181161,
7433.321,0.1177999,
7431.392,0.1174183,
7429.464,0.1169707,
7427.535,0.1165444,
7425.606,0.1157706,
7423.677,0.1149235,
7421.749,0.1147638,
7419.820,0.1150075,
7417.891,0.1152103,
7415.963,0.1152544,
7414.034,0.115149,
7412.105,0.1150838,
7410.176,0.114829,
7408.248,0.1143062,
7406.319,0.1139469,
7404.390,0.1137934,
7402.461,0.1132853,
7400.533,0.1124479,
7398.604,0.1121218,
7396.675,0.1123311,
7394.747,0.1122095,
7392.818,0.1117088,
7390.889,0.1115033,
7388.960,0.1114468,
7387.032,0.1110391,
7385.103,0.1103781,
7383.174,0.1098633,
7381.245,0.1100087,
7379.317,0.1103942,
7377.388,0.1099885,
7375.459,0.1092131,
7373.531,0.1091809,
7371.602,0.1096541,
7369.673,0.109717,
7367.744,0.1091068,
7365.816,0.1081775,
7363.887,0.1077669,
7361.958,0.1081281,
7360.029,0.1083299,
7358.101,0.1079022,
7356.172,0.1073188,
7354.243,0.1070803,
7352.314,0.1071737,
7350.386,0.1071652,
7348.457,0.1070346,
7346.528,0.1071485,
7344.600,0.1073166,
7342.671,0.1072597,
7340.742,0.1074235,
7338.813,0.1079537,
7336.885,0.1082627,
7334.956,0.1080601,
7333.027,0.1077003,
7331.098,0.1076021,
7329.170,0.1075549,
7327.241,0.1073031,
7325.312,0.107313,
7323.384,0.1077876,
7321.455,0.1078829,
7319.526,0.1072793,
7317.597,0.1069989,
7315.669,0.1073372,
7313.740,0.1077561,
7311.811,0.1082495,
7309.882,0.1084192,
7307.954,0.1078419,
7306.025,0.1072785,
7304.096,0.107367,
7302.168,0.1076762,
7300.239,0.1077887,
7298.310,0.1078758,
7296.381,0.1080156,
7294.453,0.1081128,
7292.524,0.1081956,
7290.595,0.1082622,
7288.666,0.1083205,
7286.738,0.1084065,
7284.809,0.1086014,
7282.880,0.1089199,
7280.952,0.1092077,
7279.023,0.109426,
7277.094,0.1096443,
7275.165,0.1097907,
7273.237,0.1096236,
7271.308,0.109133,
7269.379,0.1088328,
