,1,
Wavenumbers [1/cm],Transmittance,
7496.969,0.07416819,
7495.040,0.074555,
7493.112,0.07498193,
7491.183,0.07461318,
7489.254,0.07365704,
7487.326,0.07344706,
7485.397,0.07396892,
7483.468,0.0745173,
7481.539,0.07516757,
7479.611,0.07580789,
7477.682,0.07625997,
7475.753,0.07684698,
7473.824,0.0774837,
7471.896,0.07788719,
7469.967,0.07862777,
7468.038,0.08005123,
7466.110,0.08162005,
7464.181,0.08312171,
7462.252,0.08438508,
7460.323,0.08521426,
7458.395,0.08606313,
7456.466,0.08737861,
7454.537,0.08907931,
7452.608,0.0908583,
7450.680,0.09287808,
7448.751,0.09534641,
7446.822,0.09732307,
7444.893,0.09814265,
7442.965,0.09908579,
7441.036,0.1013879,
7439.107,0.1043195,
7437.179,0.1068742,
7435.250,0.1091447,
7433.321,0.1113475,
7431.392,0.1134394,
7429.464,0.1153053,
7427.535,0.1169551,
7425.606,0.1189259,
7423.677,0.1215787,
7421.749,0.1243851,
7419.820,0.1264836,
7417.891,0.1279223,
7415.963,0.1296512,
7414.034,0.1318493,
7412.105,0.1340851,
7410.176,0.1363531,
7408.248,0.1385388,
7406.319,0.140288,
7404.390,0.1416815,
7402.461,0.1430702,
7400.533,0.144625,
7398.604,0.1466631,
7396.675,0.1489966,
7394.747,0.150821,
7392.818,0.1522098,
7390.889,0.1534501,
7388.960,0.1542485,
7387.032,0.1544571,
7385.103,0.1540995,
7383.174,0.1536926,
7381.245,0.1540218,
7379.317,0.1549042,
7377.388,0.1554062,
7375.459,0.1551959,
7373.531,0.154606,
7371.602,0.1536276,
7369.673,0.1520159,
7367.744,0.1499487,
7365.816,0.1478315,
7363.887,0.1459199,
7361.958,0.1444493,
7360.029,0.1431175,
7358.101,0.1410065,
7356.172,0.1383905,
7354.243,0.1362688,
7352.314,0.1340881,
7350.386,0.1311939,
7348.457,0.1287469,
7346.528,0.1274819,
7344.600,0.1258982,
7342.671,0.1227538,
7340.742,0.1190711,
7338.813,0.116307,
7336.885,0.1143479,
7334.956,0.1123295,
7333.027,0.1101831,
7331.098,0.1081565,
7329.170,0.105957,
7327.241,0.1034589,
7325.312,0.1011132,
7323.384,0.09910702,
7321.455,0.09712899,
7319.526,0.0950544,
7317.597,0.09303734,
7315.669,0.09137507,
7313.740,0.09045327,
7311.811,0.08986575,
7309.882,0.08864077,
7307.954,0.08668667,
7306.025,0.08482465,
7304.096,0.08357549,
7302.168,0.08251623,
7300.239,0.08105874,
7298.310,0.07946604,
7296.381,0.07842129,
7294.453,0.07780466,
7292.524,0.07706901,
7290.595,0.07639065,
7288.666,0.07602408,
7286.738,0.07579248,
7284.809,0.07559949,
7282.880,0.07545295,
7280.952,0.07526857,
7279.023,0.07526254,
7277.094,0.07573,
