,cavity_after2,
Wavenumbers [1/cm],Transmittance %,
7000.000,11.76,
6999.000,11.83,
6998.000,11.9,
6997.000,11.97,
6996.000,12.03,
6995.000,12.1,
6994.000,12.18,
6993.000,12.25,
6992.000,12.31,
6991.000,12.38,
6990.000,12.46,
6989.000,12.54,
6988.000,12.62,
6987.000,12.7,
6986.000,12.77,
6985.000,12.85,
6984.000,12.92,
6983.000,12.99,
6982.000,13.06,
6981.000,13.13,
6980.000,13.2,
6979.000,13.27,
6978.000,13.34,
6977.000,13.41,
6976.000,13.47,
6975.000,13.55,
6974.000,13.62,
6973.000,13.69,
6972.000,13.76,
6971.000,13.83,
6970.000,13.91,
6969.000,13.99,
6968.000,14.06,
6967.000,14.13,
6966.000,14.2,
6965.000,14.26,
6964.000,14.32,
6963.000,14.39,
6962.000,14.45,
6961.000,14.51,
6960.000,14.58,
6959.000,14.65,
6958.000,14.73,
6957.000,14.8,
6956.000,14.87,
6955.000,14.93,
6954.000,14.98,
6953.000,15.04,
6952.000,15.09,
6951.000,15.15,
6950.000,15.21,
6949.000,15.26,
6948.000,15.31,
6947.000,15.36,
6946.000,15.41,
6945.000,15.46,
6944.000,15.5,
6943.000,15.53,
6942.000,15.56,
6941.000,15.58,
6940.000,15.59,
6939.000,15.62,
6938.000,15.64,
6937.000,15.66,
6936.000,15.68,
6935.000,15.7,
6934.000,15.71,
6933.000,15.72,
6932.000,15.71,
6931.000,15.7,
6930.000,15.69,
6929.000,15.68,
6928.000,15.66,
6927.000,15.64,
6926.000,15.59,
6925.000,15.54,
6924.000,15.49,
6923.000,15.45,
6922.000,15.39,
6921.000,15.34,
6920.000,15.27,
6919.000,15.21,
6918.000,15.14,
6917.000,15.05,
6916.000,14.96,
6915.000,14.86,
6914.000,14.77,
6913.000,14.67,
6912.000,14.57,
6911.000,14.46,
6910.000,14.35,
6909.000,14.23,
6908.000,14.11,
6907.000,13.98,
6906.000,13.85,
6905.000,13.73,
6904.000,13.6,
6903.000,13.46,
6902.000,13.33,
6901.000,13.19,
6900.000,13.04,
6899.000,12.9,
6898.000,12.76,
6897.000,12.62,
6896.000,12.47,
6895.000,12.33,
6894.000,12.19,
6893.000,12.05,
6892.000,11.91,
6891.000,11.76,
6890.000,11.61,
6889.000,11.46,
6888.000,11.31,
6887.000,11.16,
6886.000,11.02,
6885.000,10.89,
6884.000,10.76,
6883.000,10.64,
6882.000,10.51,
6881.000,10.38,
6880.000,10.25,
6879.000,10.13,
6878.000,10.01,
6877.000,9.9,
6876.000,9.8,
6875.000,9.71,
6874.000,9.62,
6873.000,9.52,
6872.000,9.42,
6871.000,9.31,
6870.000,9.19,
6869.000,9.09,
6868.000,8.99,
6867.000,8.89,
6866.000,8.8,
6865.000,8.72,
6864.000,8.65,
6863.000,8.57,
6862.000,8.5,
6861.000,8.43,
6860.000,8.37,
6859.000,8.31,
6858.000,8.26,
6857.000,8.2,
6856.000,8.14,
6855.000,8.08,
6854.000,8.03,
6853.000,7.97,
6852.000,7.92,
6851.000,7.87,
6850.000,7.82,
6849.000,7.78,
6848.000,7.74,
6847.000,7.71,
6846.000,7.68,
6845.000,7.65,
6844.000,7.62,
6843.000,7.6,
6842.000,7.58,
6841.000,7.56,
6840.000,7.54,
6839.000,7.52,
6838.000,7.51,
6837.000,7.5,
6836.000,7.49,
6835.000,7.48,
6834.000,7.47,
6833.000,7.46,
6832.000,7.46,
6831.000,7.47,
6830.000,7.47,
6829.000,7.48,
6828.000,7.49,
6827.000,7.49,
6826.000,7.49,
6825.000,7.5,
6824.000,7.51,
6823.000,7.52,
6822.000,7.53,
6821.000,7.55,
6820.000,7.57,
6819.000,7.59,
6818.000,7.61,
6817.000,7.63,
6816.000,7.65,
6815.000,7.67,
6814.000,7.7,
6813.000,7.73,
6812.000,7.77,
6811.000,7.8,
6810.000,7.84,
6809.000,7.86,
6808.000,7.89,
6807.000,7.92,
6806.000,7.95,
6805.000,7.99,
6804.000,8.02,
6803.000,8.06,
6802.000,8.1,
6801.000,8.14,
6800.000,8.19,
6799.000,8.23,
6798.000,8.27,
6797.000,8.32,
6796.000,8.36,
6795.000,8.41,
6794.000,8.45,
6793.000,8.5,
6792.000,8.54,
6791.000,8.59,
6790.000,8.64,
6789.000,8.69,
6788.000,8.74,
6787.000,8.79,
6786.000,8.84,
6785.000,8.9,
6784.000,8.96,
6783.000,9.01,
6782.000,9.08,
6781.000,9.13,
6780.000,9.19,
6779.000,9.24,
6778.000,9.29,
6777.000,9.35,
6776.000,9.41,
6775.000,9.47,
6774.000,9.54,
6773.000,9.6,
6772.000,9.66,
6771.000,9.72,
6770.000,9.78,
6769.000,9.83,
6768.000,9.89,
6767.000,9.96,
6766.000,10.03,
6765.000,10.1,
6764.000,10.17,
6763.000,10.24,
6762.000,10.31,
6761.000,10.37,
6760.000,10.43,
6759.000,10.49,
6758.000,10.55,
6757.000,10.62,
6756.000,10.68,
6755.000,10.75,
6754.000,10.81,
6753.000,10.88,
6752.000,10.94,
6751.000,11.01,
6750.000,11.08,
6749.000,11.15,
6748.000,11.23,
6747.000,11.31,
6746.000,11.39,
6745.000,11.48,
6744.000,11.57,
6743.000,11.65,
6742.000,11.73,
6741.000,11.8,
6740.000,11.87,
6739.000,11.94,
6738.000,12,
6737.000,12.06,
6736.000,12.13,
6735.000,12.21,
6734.000,12.3,
6733.000,12.38,
6732.000,12.46,
6731.000,12.53,
6730.000,12.61,
6729.000,12.68,
6728.000,12.76,
6727.000,12.83,
6726.000,12.91,
6725.000,13,
6724.000,13.08,
6723.000,13.16,
6722.000,13.23,
6721.000,13.29,
6720.000,13.35,
6719.000,13.42,
6718.000,13.48,
6717.000,13.54,
6716.000,13.6,
6715.000,13.67,
6714.000,13.73,
6713.000,13.78,
6712.000,13.83,
6711.000,13.88,
6710.000,13.92,
6709.000,13.97,
6708.000,14.01,
6707.000,14.05,
6706.000,14.09,
6705.000,14.12,
6704.000,14.15,
6703.000,14.17,
6702.000,14.19,
6701.000,14.2,
6700.000,14.2,
6699.000,14.19,
6698.000,14.19,
6697.000,14.19,
6696.000,14.17,
6695.000,14.16,
6694.000,14.14,
6693.000,14.12,
6692.000,14.09,
6691.000,14.05,
6690.000,14.01,
6689.000,13.96,
6688.000,13.9,
6687.000,13.84,
6686.000,13.77,
6685.000,13.7,
6684.000,13.61,
6683.000,13.53,
6682.000,13.44,
6681.000,13.35,
6680.000,13.25,
6679.000,13.16,
6678.000,13.06,
6677.000,12.95,
6676.000,12.84,
6675.000,12.74,
6674.000,12.63,
6673.000,12.51,
6672.000,12.4,
6671.000,12.28,
6670.000,12.16,
6669.000,12.03,
6668.000,11.9,
6667.000,11.77,
6666.000,11.63,
6665.000,11.5,
6664.000,11.37,
6663.000,11.24,
6662.000,11.11,
6661.000,10.98,
6660.000,10.85,
6659.000,10.72,
6658.000,10.6,
6657.000,10.47,
6656.000,10.35,
6655.000,10.23,
6654.000,10.11,
6653.000,10,
6652.000,9.89,
6651.000,9.78,
6650.000,9.67,
6649.000,9.56,
6648.000,9.45,
6647.000,9.35,
6646.000,9.26,
6645.000,9.16,
6644.000,9.06,
6643.000,8.96,
6642.000,8.87,
6641.000,8.77,
6640.000,8.68,
6639.000,8.59,
6638.000,8.51,
6637.000,8.43,
6636.000,8.36,
6635.000,8.29,
6634.000,8.22,
6633.000,8.15,
6632.000,8.09,
6631.000,8.03,
6630.000,7.97,
6629.000,7.92,
6628.000,7.87,
6627.000,7.82,
6626.000,7.77,
6625.000,7.72,
6624.000,7.68,
6623.000,7.64,
6622.000,7.61,
6621.000,7.58,
6620.000,7.55,
6619.000,7.52,
6618.000,7.5,
6617.000,7.47,
6616.000,7.44,
6615.000,7.42,
6614.000,7.4,
6613.000,7.39,
6612.000,7.38,
6611.000,7.38,
6610.000,7.37,
6609.000,7.37,
6608.000,7.36,
6607.000,7.36,
6606.000,7.36,
6605.000,7.37,
6604.000,7.38,
6603.000,7.39,
6602.000,7.4,
6601.000,7.42,
6600.000,7.43,
6599.000,7.44,
6598.000,7.46,
6597.000,7.48,
6596.000,7.5,
6595.000,7.52,
6594.000,7.54,
6593.000,7.56,
6592.000,7.58,
6591.000,7.61,
6590.000,7.64,
6589.000,7.67,
6588.000,7.71,
6587.000,7.74,
6586.000,7.79,
6585.000,7.83,
6584.000,7.87,
6583.000,7.91,
6582.000,7.95,
6581.000,7.99,
6580.000,8.03,
6579.000,8.07,
6578.000,8.11,
6577.000,8.15,
6576.000,8.19,
6575.000,8.24,
6574.000,8.28,
6573.000,8.33,
6572.000,8.38,
6571.000,8.44,
6570.000,8.5,
6569.000,8.55,
6568.000,8.61,
6567.000,8.67,
6566.000,8.72,
6565.000,8.78,
6564.000,8.84,
6563.000,8.9,
6562.000,8.96,
6561.000,9.01,
6560.000,9.07,
6559.000,9.13,
6558.000,9.18,
6557.000,9.23,
6556.000,9.29,
6555.000,9.36,
6554.000,9.43,
6553.000,9.51,
6552.000,9.57,
6551.000,9.64,
6550.000,9.7,
6549.000,9.77,
6548.000,9.83,
6547.000,9.9,
6546.000,9.97,
6545.000,10.03,
6544.000,10.11,
6543.000,10.18,
6542.000,10.25,
6541.000,10.32,
6540.000,10.39,
6539.000,10.47,
6538.000,10.54,
6537.000,10.62,
6536.000,10.68,
6535.000,10.75,
6534.000,10.82,
6533.000,10.89,
6532.000,10.96,
6531.000,11.05,
6530.000,11.13,
6529.000,11.21,
6528.000,11.29,
6527.000,11.36,
6526.000,11.44,
6525.000,11.51,
6524.000,11.58,
6523.000,11.66,
6522.000,11.74,
6521.000,11.83,
6520.000,11.91,
6519.000,11.99,
6518.000,12.07,
6517.000,12.15,
6516.000,12.22,
6515.000,12.3,
6514.000,12.38,
6513.000,12.46,
6512.000,12.54,
6511.000,12.62,
6510.000,12.7,
6509.000,12.79,
6508.000,12.87,
6507.000,12.95,
6506.000,13.03,
6505.000,13.11,
6504.000,13.19,
6503.000,13.26,
6502.000,13.34,
6501.000,13.42,
6500.000,13.49,
6499.000,13.57,
6498.000,13.65,
6497.000,13.73,
6496.000,13.8,
6495.000,13.88,
6494.000,13.95,
6493.000,14.02,
6492.000,14.09,
6491.000,14.16,
6490.000,14.22,
6489.000,14.29,
6488.000,14.35,
6487.000,14.42,
6486.000,14.49,
6485.000,14.55,
6484.000,14.61,
6483.000,14.68,
6482.000,14.73,
6481.000,14.78,
6480.000,14.82,
6479.000,14.87,
6478.000,14.92,
6477.000,14.96,
6476.000,15.01,
6475.000,15.05,
6474.000,15.07,
6473.000,15.09,
6472.000,15.1,
6471.000,15.11,
6470.000,15.12,
6469.000,15.12,
6468.000,15.12,
6467.000,15.11,
6466.000,15.1,
6465.000,15.08,
6464.000,15.05,
6463.000,15.02,
6462.000,14.98,
6461.000,14.93,
6460.000,14.89,
6459.000,14.84,
6458.000,14.78,
6457.000,14.71,
6456.000,14.63,
6455.000,14.54,
6454.000,14.45,
6453.000,14.35,
6452.000,14.24,
6451.000,14.14,
6450.000,14.03,
6449.000,13.92,
6448.000,13.81,
6447.000,13.68,
6446.000,13.56,
6445.000,13.43,
6444.000,13.29,
6443.000,13.16,
6442.000,13.02,
6441.000,12.89,
6440.000,12.75,
6439.000,12.61,
6438.000,12.46,
6437.000,12.31,
6436.000,12.16,
6435.000,12.02,
6434.000,11.87,
6433.000,11.72,
6432.000,11.57,
6431.000,11.41,
6430.000,11.26,
6429.000,11.11,
6428.000,10.95,
6427.000,10.8,
6426.000,10.66,
6425.000,10.52,
6424.000,10.38,
6423.000,10.24,
6422.000,10.1,
6421.000,9.97,
6420.000,9.84,
6419.000,9.71,
6418.000,9.59,
6417.000,9.47,
6416.000,9.36,
6415.000,9.24,
6414.000,9.13,
6413.000,9.01,
6412.000,8.9,
6411.000,8.79,
6410.000,8.68,
6409.000,8.57,
6408.000,8.46,
6407.000,8.36,
6406.000,8.27,
6405.000,8.18,
6404.000,8.1,
6403.000,8.02,
6402.000,7.94,
6401.000,7.87,
6400.000,7.8,
6399.000,7.72,
6398.000,7.65,
6397.000,7.57,
6396.000,7.5,
6395.000,7.44,
6394.000,7.38,
6393.000,7.32,
6392.000,7.27,
6391.000,7.23,
6390.000,7.19,
6389.000,7.16,
6388.000,7.12,
6387.000,7.09,
6386.000,7.05,
6385.000,7.02,
