Created as New Dataset,Sample 017 By Administrator Date Tuesday, November 30 2021
cm-1,%T
7000.00,11.64
6999.00,11.70
6998.00,11.77
6997.00,11.85
6996.00,11.92
6995.00,11.99
6994.00,12.07
6993.00,12.13
6992.00,12.20
6991.00,12.27
6990.00,12.33
6989.00,12.40
6988.00,12.47
6987.00,12.54
6986.00,12.61
6985.00,12.69
6984.00,12.76
6983.00,12.83
6982.00,12.90
6981.00,12.97
6980.00,13.04
6979.00,13.11
6978.00,13.18
6977.00,13.25
6976.00,13.31
6975.00,13.39
6974.00,13.47
6973.00,13.55
6972.00,13.64
6971.00,13.72
6970.00,13.80
6969.00,13.88
6968.00,13.96
6967.00,14.03
6966.00,14.09
6965.00,14.16
6964.00,14.24
6963.00,14.32
6962.00,14.39
6961.00,14.46
6960.00,14.52
6959.00,14.59
6958.00,14.65
6957.00,14.72
6956.00,14.78
6955.00,14.84
6954.00,14.91
6953.00,14.98
6952.00,15.05
6951.00,15.12
6950.00,15.17
6949.00,15.22
6948.00,15.26
6947.00,15.30
6946.00,15.35
6945.00,15.40
6944.00,15.45
6943.00,15.50
6942.00,15.54
6941.00,15.57
6940.00,15.59
6939.00,15.61
6938.00,15.62
6937.00,15.64
6936.00,15.65
6935.00,15.67
6934.00,15.69
6933.00,15.71
6932.00,15.72
6931.00,15.72
6930.00,15.71
6929.00,15.69
6928.00,15.67
6927.00,15.64
6926.00,15.60
6925.00,15.57
6924.00,15.52
6923.00,15.48
6922.00,15.42
6921.00,15.36
6920.00,15.28
6919.00,15.21
6918.00,15.13
6917.00,15.04
6916.00,14.96
6915.00,14.87
6914.00,14.79
6913.00,14.69
6912.00,14.60
6911.00,14.49
6910.00,14.38
6909.00,14.25
6908.00,14.12
6907.00,13.99
6906.00,13.86
6905.00,13.72
6904.00,13.57
6903.00,13.43
6902.00,13.28
6901.00,13.14
6900.00,12.99
6899.00,12.84
6898.00,12.69
6897.00,12.55
6896.00,12.40
6895.00,12.26
6894.00,12.12
6893.00,11.98
6892.00,11.84
6891.00,11.71
6890.00,11.57
6889.00,11.43
6888.00,11.29
