,cavity_before,
Wavenumbers [1/cm],Transmittance %,
7000.000,8.97,
6999.000,9.07,
6998.000,9.18,
6997.000,9.3,
6996.000,9.42,
6995.000,9.55,
6994.000,9.69,
6993.000,9.83,
6992.000,9.98,
6991.000,10.13,
6990.000,10.29,
6989.000,10.45,
6988.000,10.61,
6987.000,10.77,
6986.000,10.93,
6985.000,11.09,
6984.000,11.25,
6983.000,11.42,
6982.000,11.59,
6981.000,11.77,
6980.000,11.95,
6979.000,12.14,
6978.000,12.33,
6977.000,12.52,
6976.000,12.71,
6975.000,12.91,
6974.000,13.11,
6973.000,13.31,
6972.000,13.52,
6971.000,13.72,
6970.000,13.93,
6969.000,14.13,
6968.000,14.34,
6967.000,14.55,
6966.000,14.76,
6965.000,14.95,
6964.000,15.15,
6963.000,15.36,
6962.000,15.56,
6961.000,15.77,
6960.000,15.97,
6959.000,16.18,
6958.000,16.39,
6957.000,16.59,
6956.000,16.79,
6955.000,16.99,
6954.000,17.17,
6953.000,17.33,
6952.000,17.49,
6951.000,17.64,
6950.000,17.79,
6949.000,17.94,
6948.000,18.08,
6947.000,18.21,
6946.000,18.33,
6945.000,18.44,
6944.000,18.55,
6943.000,18.66,
6942.000,18.75,
6941.000,18.83,
6940.000,18.9,
6939.000,18.97,
6938.000,19.02,
6937.000,19.05,
6936.000,19.07,
6935.000,19.09,
6934.000,19.11,
6933.000,19.12,
6932.000,19.12,
6931.000,19.1,
6930.000,19.08,
6929.000,19.04,
6928.000,18.98,
6927.000,18.91,
6926.000,18.82,
6925.000,18.72,
6924.000,18.61,
6923.000,18.5,
6922.000,18.38,
6921.000,18.25,
6920.000,18.12,
6919.000,17.98,
6918.000,17.83,
6917.000,17.68,
6916.000,17.51,
6915.000,17.33,
6914.000,17.15,
6913.000,16.96,
6912.000,16.77,
6911.000,16.58,
6910.000,16.38,
6909.000,16.18,
6908.000,15.99,
6907.000,15.79,
6906.000,15.58,
6905.000,15.38,
6904.000,15.16,
6903.000,14.95,
6902.000,14.74,
6901.000,14.52,
6900.000,14.3,
6899.000,14.08,
6898.000,13.86,
6897.000,13.65,
6896.000,13.44,
6895.000,13.23,
6894.000,13.01,
6893.000,12.8,
6892.000,12.59,
6891.000,12.38,
6890.000,12.19,
6889.000,11.99,
6888.000,11.81,
6887.000,11.63,
6886.000,11.45,
6885.000,11.28,
6884.000,11.11,
6883.000,10.93,
6882.000,10.75,
6881.000,10.57,
6880.000,10.4,
6879.000,10.23,
6878.000,10.06,
6877.000,9.9,
6876.000,9.74,
6875.000,9.59,
6874.000,9.45,
6873.000,9.3,
6872.000,9.16,
6871.000,9.03,
6870.000,8.9,
6869.000,8.77,
6868.000,8.64,
6867.000,8.52,
6866.000,8.4,
6865.000,8.28,
6864.000,8.17,
6863.000,8.07,
6862.000,7.97,
6861.000,7.88,
6860.000,7.78,
6859.000,7.69,
6858.000,7.59,
6857.000,7.5,
6856.000,7.41,
6855.000,7.32,
6854.000,7.24,
6853.000,7.16,
6852.000,7.08,
6851.000,7.01,
6850.000,6.94,
6849.000,6.87,
6848.000,6.8,
6847.000,6.74,
6846.000,6.68,
6845.000,6.63,
6844.000,6.58,
6843.000,6.53,
6842.000,6.47,
6841.000,6.42,
6840.000,6.38,
6839.000,6.35,
6838.000,6.32,
6837.000,6.29,
6836.000,6.25,
6835.000,6.22,
6834.000,6.19,
6833.000,6.16,
6832.000,6.14,
6831.000,6.11,
6830.000,6.09,
6829.000,6.06,
6828.000,6.04,
6827.000,6.02,
6826.000,6,
6825.000,5.98,
6824.000,5.97,
6823.000,5.96,
6822.000,5.96,
6821.000,5.96,
6820.000,5.96,
6819.000,5.97,
6818.000,5.96,
6817.000,5.96,
6816.000,5.97,
6815.000,5.98,
6814.000,5.99,
6813.000,6.01,
6812.000,6.02,
6811.000,6.04,
6810.000,6.06,
6809.000,6.08,
6808.000,6.11,
6807.000,6.13,
6806.000,6.17,
6805.000,6.2,
6804.000,6.23,
6803.000,6.26,
6802.000,6.29,
6801.000,6.33,
6800.000,6.36,
6799.000,6.41,
6798.000,6.45,
6797.000,6.5,
6796.000,6.55,
6795.000,6.6,
6794.000,6.65,
6793.000,6.71,
6792.000,6.77,
6791.000,6.83,
6790.000,6.89,
6789.000,6.96,
6788.000,7.03,
6787.000,7.1,
6786.000,7.18,
6785.000,7.27,
6784.000,7.36,
6783.000,7.45,
6782.000,7.55,
6781.000,7.64,
6780.000,7.73,
6779.000,7.83,
6778.000,7.93,
6777.000,8.04,
6776.000,8.15,
6775.000,8.26,
6774.000,8.38,
6773.000,8.5,
6772.000,8.62,
6771.000,8.74,
6770.000,8.87,
6769.000,9,
6768.000,9.15,
6767.000,9.3,
6766.000,9.46,
6765.000,9.62,
6764.000,9.77,
6763.000,9.93,
6762.000,10.09,
6761.000,10.25,
6760.000,10.42,
6759.000,10.6,
6758.000,10.78,
6757.000,10.96,
6756.000,11.14,
6755.000,11.33,
6754.000,11.52,
6753.000,11.71,
6752.000,11.9,
6751.000,12.1,
6750.000,12.31,
6749.000,12.51,
6748.000,12.72,
6747.000,12.92,
6746.000,13.13,
6745.000,13.34,
6744.000,13.56,
6743.000,13.77,
6742.000,13.97,
6741.000,14.18,
6740.000,14.38,
6739.000,14.59,
6738.000,14.79,
6737.000,14.99,
6736.000,15.19,
6735.000,15.38,
6734.000,15.58,
6733.000,15.76,
6732.000,15.93,
6731.000,16.09,
6730.000,16.25,
6729.000,16.4,
6728.000,16.55,
6727.000,16.68,
6726.000,16.81,
6725.000,16.93,
6724.000,17.04,
6723.000,17.14,
6722.000,17.24,
6721.000,17.32,
6720.000,17.39,
6719.000,17.45,
6718.000,17.5,
6717.000,17.53,
6716.000,17.55,
6715.000,17.56,
6714.000,17.55,
6713.000,17.53,
6712.000,17.5,
6711.000,17.46,
6710.000,17.41,
6709.000,17.35,
6708.000,17.29,
6707.000,17.21,
6706.000,17.12,
6705.000,17.02,
6704.000,16.9,
6703.000,16.78,
6702.000,16.64,
6701.000,16.5,
6700.000,16.36,
6699.000,16.22,
6698.000,16.07,
6697.000,15.91,
6696.000,15.74,
6695.000,15.56,
6694.000,15.36,
6693.000,15.17,
6692.000,14.97,
6691.000,14.78,
6690.000,14.59,
6689.000,14.39,
6688.000,14.2,
6687.000,14,
6686.000,13.81,
6685.000,13.61,
6684.000,13.41,
6683.000,13.2,
6682.000,12.99,
6681.000,12.79,
6680.000,12.58,
6679.000,12.38,
6678.000,12.19,
6677.000,11.99,
6676.000,11.8,
6675.000,11.62,
6674.000,11.43,
6673.000,11.25,
6672.000,11.06,
6671.000,10.88,
6670.000,10.71,
6669.000,10.54,
6668.000,10.37,
6667.000,10.2,
6666.000,10.04,
6665.000,9.88,
6664.000,9.72,
6663.000,9.57,
6662.000,9.42,
6661.000,9.28,
6660.000,9.13,
6659.000,9,
6658.000,8.86,
6657.000,8.72,
6656.000,8.59,
6655.000,8.46,
6654.000,8.34,
6653.000,8.22,
6652.000,8.1,
6651.000,8,
6650.000,7.89,
6649.000,7.79,
6648.000,7.69,
6647.000,7.6,
6646.000,7.5,
6645.000,7.41,
6644.000,7.32,
6643.000,7.24,
6642.000,7.16,
6641.000,7.08,
6640.000,7.01,
6639.000,6.93,
6638.000,6.86,
6637.000,6.78,
6636.000,6.71,
6635.000,6.64,
6634.000,6.58,
6633.000,6.52,
6632.000,6.47,
6631.000,6.41,
6630.000,6.36,
6629.000,6.32,
6628.000,6.28,
6627.000,6.24,
6626.000,6.2,
6625.000,6.16,
6624.000,6.12,
6623.000,6.09,
6622.000,6.06,
6621.000,6.03,
6620.000,6,
6619.000,5.98,
6618.000,5.95,
6617.000,5.94,
6616.000,5.92,
6615.000,5.91,
6614.000,5.9,
6613.000,5.89,
6612.000,5.89,
6611.000,5.88,
6610.000,5.87,
6609.000,5.87,
6608.000,5.87,
6607.000,5.87,
6606.000,5.88,
6605.000,5.89,
6604.000,5.9,
6603.000,5.91,
6602.000,5.92,
6601.000,5.93,
6600.000,5.94,
6599.000,5.96,
6598.000,5.97,
6597.000,5.99,
6596.000,6.02,
6595.000,6.05,
6594.000,6.08,
6593.000,6.11,
6592.000,6.14,
6591.000,6.17,
6590.000,6.2,
6589.000,6.24,
6588.000,6.29,
6587.000,6.34,
6586.000,6.39,
6585.000,6.45,
6584.000,6.51,
6583.000,6.57,
6582.000,6.63,
6581.000,6.69,
6580.000,6.75,
6579.000,6.81,
6578.000,6.88,
6577.000,6.95,
6576.000,7.02,
6575.000,7.09,
6574.000,7.17,
6573.000,7.25,
6572.000,7.34,
6571.000,7.43,
6570.000,7.52,
6569.000,7.62,
6568.000,7.71,
6567.000,7.82,
6566.000,7.92,
6565.000,8.03,
6564.000,8.15,
6563.000,8.28,
6562.000,8.41,
6561.000,8.54,
6560.000,8.66,
6559.000,8.79,
6558.000,8.93,
6557.000,9.07,
6556.000,9.21,
6555.000,9.36,
6554.000,9.51,
6553.000,9.67,
6552.000,9.83,
6551.000,9.99,
6550.000,10.16,
6549.000,10.33,
6548.000,10.51,
6547.000,10.69,
6546.000,10.88,
6545.000,11.07,
6544.000,11.26,
6543.000,11.45,
6542.000,11.64,
6541.000,11.84,
6540.000,12.03,
6539.000,12.22,
6538.000,12.42,
6537.000,12.62,
6536.000,12.82,
6535.000,13.02,
6534.000,13.23,
6533.000,13.44,
6532.000,13.65,
6531.000,13.87,
6530.000,14.08,
6529.000,14.29,
6528.000,14.5,
6527.000,14.7,
6526.000,14.91,
6525.000,15.12,
6524.000,15.32,
6523.000,15.52,
6522.000,15.72,
6521.000,15.92,
6520.000,16.11,
6519.000,16.3,
6518.000,16.48,
6517.000,16.66,
6516.000,16.83,
6515.000,17,
6514.000,17.17,
6513.000,17.34,
6512.000,17.49,
6511.000,17.63,
6510.000,17.76,
6509.000,17.88,
6508.000,17.99,
6507.000,18.1,
6506.000,18.2,
6505.000,18.28,
6504.000,18.35,
6503.000,18.41,
6502.000,18.47,
6501.000,18.5,
6500.000,18.53,
6499.000,18.54,
6498.000,18.53,
6497.000,18.52,
6496.000,18.5,
6495.000,18.46,
6494.000,18.4,
6493.000,18.34,
6492.000,18.26,
6491.000,18.17,
6490.000,18.07,
6489.000,17.95,
6488.000,17.83,
6487.000,17.7,
6486.000,17.56,
6485.000,17.41,
6484.000,17.26,
6483.000,17.11,
6482.000,16.94,
6481.000,16.77,
6480.000,16.58,
6479.000,16.39,
6478.000,16.19,
6477.000,15.98,
6476.000,15.76,
6475.000,15.55,
6474.000,15.33,
6473.000,15.12,
6472.000,14.9,
6471.000,14.69,
6470.000,14.48,
6469.000,14.26,
6468.000,14.04,
6467.000,13.81,
6466.000,13.59,
6465.000,13.36,
6464.000,13.14,
6463.000,12.92,
6462.000,12.71,
6461.000,12.49,
6460.000,12.28,
6459.000,12.07,
6458.000,11.87,
6457.000,11.66,
6456.000,11.46,
6455.000,11.26,
6454.000,11.06,
6453.000,10.87,
6452.000,10.69,
6451.000,10.51,
6450.000,10.33,
6449.000,10.15,
6448.000,9.97,
6447.000,9.81,
6446.000,9.64,
6445.000,9.48,
6444.000,9.32,
6443.000,9.17,
6442.000,9.02,
6441.000,8.88,
6440.000,8.73,
6439.000,8.59,
6438.000,8.45,
6437.000,8.32,
6436.000,8.2,
6435.000,8.09,
6434.000,7.97,
6433.000,7.86,
6432.000,7.75,
6431.000,7.65,
6430.000,7.54,
6429.000,7.44,
6428.000,7.33,
6427.000,7.23,
6426.000,7.13,
6425.000,7.04,
6424.000,6.95,
6423.000,6.86,
6422.000,6.79,
6421.000,6.72,
6420.000,6.64,
6419.000,6.57,
6418.000,6.5,
6417.000,6.43,
6416.000,6.36,
6415.000,6.3,
6414.000,6.24,
6413.000,6.19,
6412.000,6.14,
6411.000,6.1,
6410.000,6.06,
6409.000,6.02,
6408.000,5.97,
6407.000,5.93,
6406.000,5.89,
6405.000,5.85,
6404.000,5.81,
6403.000,5.78,
6402.000,5.75,
6401.000,5.72,
6400.000,5.7,
6399.000,5.67,
6398.000,5.65,
6397.000,5.63,
6396.000,5.61,
6395.000,5.6,
6394.000,5.59,
6393.000,5.58,
6392.000,5.57,
6391.000,5.56,
6390.000,5.55,
6389.000,5.55,
6388.000,5.54,
6387.000,5.54,
6386.000,5.54,
6385.000,5.55,
6384.000,5.55,
6383.000,5.57,
6382.000,5.58,
6381.000,5.59,
6380.000,5.6,
6379.000,5.61,
6378.000,5.62,
6377.000,5.64,
6376.000,5.66,
6375.000,5.68,
6374.000,5.7,
6373.000,5.73,
6372.000,5.76,
6371.000,5.79,
6370.000,5.82,
6369.000,5.85,
6368.000,5.88,
6367.000,5.92,
6366.000,5.96,
6365.000,6,
6364.000,6.05,
6363.000,6.1,
6362.000,6.15,
6361.000,6.21,
6360.000,6.27,
6359.000,6.33,
6358.000,6.39,
6357.000,6.46,
6356.000,6.53,
6355.000,6.6,
6354.000,6.67,
6353.000,6.75,
6352.000,6.82,
6351.000,6.9,
6350.000,6.99,
6349.000,7.07,
6348.000,7.17,
6347.000,7.26,
6346.000,7.36,
6345.000,7.47,
6344.000,7.58,
6343.000,7.69,
6342.000,7.81,
6341.000,7.93,
6340.000,8.06,
6339.000,8.19,
6338.000,8.32,
6337.000,8.46,
6336.000,8.61,
6335.000,8.75,
6334.000,8.91,
6333.000,9.06,
6332.000,9.22,
6331.000,9.38,
6330.000,9.54,
6329.000,9.71,
6328.000,9.89,
6327.000,10.07,
6326.000,10.26,
6325.000,10.46,
6324.000,10.65,
6323.000,10.85,
6322.000,11.06,
6321.000,11.28,
6320.000,11.49,
6319.000,11.71,
6318.000,11.93,
6317.000,12.16,
6316.000,12.39,
6315.000,12.62,
6314.000,12.86,
6313.000,13.09,
6312.000,13.33,
6311.000,13.57,
6310.000,13.81,
6309.000,14.05,
6308.000,14.3,
6307.000,14.54,
6306.000,14.78,
6305.000,15.03,
6304.000,15.27,
6303.000,15.5,
6302.000,15.74,
6301.000,15.96,
6300.000,16.18,
6299.000,16.4,
6298.000,16.62,
6297.000,16.82,
6296.000,17.01,
6295.000,17.19,
6294.000,17.36,
6293.000,17.53,
6292.000,17.69,
6291.000,17.84,
6290.000,17.98,
6289.000,18.11,
6288.000,18.22,
6287.000,18.32,
6286.000,18.41,
6285.000,18.48,
6284.000,18.54,
6283.000,18.58,
6282.000,18.61,
6281.000,18.62,
6280.000,18.62,
6279.000,18.61,
6278.000,18.58,
6277.000,18.54,
6276.000,18.48,
6275.000,18.41,
6274.000,18.32,
6273.000,18.21,
6272.000,18.1,
6271.000,17.97,
6270.000,17.84,
6269.000,17.7,
6268.000,17.54,
6267.000,17.38,
6266.000,17.21,
6265.000,17.02,
6264.000,16.83,
6263.000,16.64,
6262.000,16.44,
6261.000,16.23,
6260.000,16.02,
6259.000,15.81,
6258.000,15.6,
6257.000,15.38,
6256.000,15.15,
6255.000,14.93,
6254.000,14.71,
6253.000,14.48,
6252.000,14.25,
6251.000,14.02,
6250.000,13.79,
6249.000,13.56,
6248.000,13.34,
6247.000,13.11,
6246.000,12.9,
6245.000,12.68,
6244.000,12.46,
6243.000,12.25,
6242.000,12.04,
6241.000,11.83,
6240.000,11.62,
6239.000,11.41,
6238.000,11.21,
6237.000,11,
6236.000,10.81,
6235.000,10.62,
6234.000,10.43,
6233.000,10.26,
6232.000,10.08,
6231.000,9.91,
6230.000,9.75,
6229.000,9.6,
6228.000,9.44,
6227.000,9.29,
6226.000,9.14,
6225.000,8.99,
6224.000,8.84,
6223.000,8.7,
6222.000,8.55,
6221.000,8.42,
6220.000,8.29,
6219.000,8.17,
6218.000,8.06,
6217.000,7.95,
6216.000,7.84,
6215.000,7.74,
6214.000,7.64,
6213.000,7.53,
6212.000,7.43,
6211.000,7.32,
6210.000,7.23,
6209.000,7.14,
6208.000,7.06,
6207.000,6.98,
6206.000,6.91,
6205.000,6.85,
6204.000,6.78,
6203.000,6.72,
6202.000,6.66,
6201.000,6.6,
6200.000,6.54,
6199.000,6.49,
6198.000,6.44,
6197.000,6.4,
6196.000,6.35,
6195.000,6.31,
6194.000,6.27,
6193.000,6.23,
6192.000,6.19,
6191.000,6.16,
6190.000,6.13,
6189.000,6.1,
6188.000,6.08,
6187.000,6.06,
6186.000,6.04,
6185.000,6.02,
6184.000,6,
6183.000,5.99,
6182.000,5.98,
6181.000,5.97,
6180.000,5.97,
6179.000,5.97,
6178.000,5.98,
6177.000,5.98,
6176.000,5.98,
6175.000,5.98,
6174.000,5.98,
6173.000,5.99,
6172.000,6.01,
6171.000,6.03,
6170.000,6.04,
6169.000,6.06,
6168.000,6.08,
6167.000,6.1,
6166.000,6.13,
6165.000,6.16,
6164.000,6.19,
6163.000,6.23,
6162.000,6.27,
6161.000,6.31,
6160.000,6.35,
6159.000,6.39,
6158.000,6.43,
6157.000,6.49,
6156.000,6.54,
6155.000,6.59,
6154.000,6.65,
6153.000,6.7,
6152.000,6.75,
6151.000,6.81,
6150.000,6.87,
6149.000,6.93,
6148.000,6.99,
6147.000,7.06,
6146.000,7.12,
6145.000,7.19,
6144.000,7.25,
6143.000,7.32,
6142.000,7.39,
6141.000,7.46,
6140.000,7.54,
