,6,
Wavenumbers [1/cm],Transmittance,
7496.969,0.08949627,
7495.040,0.09231368,
7493.112,0.09487679,
7491.183,0.09697342,
7489.254,0.0994041,
7487.326,0.1024044,
7485.397,0.1055552,
7483.468,0.108897,
7481.539,0.1120331,
7479.611,0.1143103,
7477.682,0.1163922,
7475.753,0.1192115,
7473.824,0.1224373,
7471.896,0.1258293,
7469.967,0.1298177,
7468.038,0.1341015,
7466.110,0.1380146,
7464.181,0.141541,
7462.252,0.1447924,
7460.323,0.1479164,
7458.395,0.1510748,
7456.466,0.1539406,
7454.537,0.1561407,
7452.608,0.1579092,
7450.680,0.1599112,
7448.751,0.161914,
7446.822,0.162787,
7444.893,0.1628806,
7442.965,0.1633443,
7441.036,0.1640081,
7439.107,0.1643882,
7437.179,0.1644942,
7435.250,0.1643365,
7433.321,0.1636676,
7431.392,0.1625085,
7429.464,0.1612783,
7427.535,0.1597815,
7425.606,0.1579196,
7423.677,0.1561478,
7421.749,0.1542269,
7419.820,0.1519167,
7417.891,0.149348,
7415.963,0.1464131,
7414.034,0.1435491,
7412.105,0.141192,
7410.176,0.1389015,
7408.248,0.1362338,
7406.319,0.1332849,
7404.390,0.1305569,
7402.461,0.1282465,
7400.533,0.1258835,
7398.604,0.1232491,
7396.675,0.1207498,
7394.747,0.1184781,
7392.818,0.1159174,
7390.889,0.1131806,
7388.960,0.1109473,
7387.032,0.1089707,
7385.103,0.1065745,
7383.174,0.1040005,
7381.245,0.1017479,
7379.317,0.09947532,
7377.388,0.09693182,
7375.459,0.094706,
7373.531,0.09309647,
7371.602,0.09167381,
7369.673,0.09012114,
7367.744,0.08872164,
7365.816,0.0876788,
7363.887,0.08653512,
7361.958,0.08490252,
7360.029,0.08313563,
7358.101,0.08170378,
7356.172,0.08047877,
7354.243,0.07927326,
7352.314,0.0781539,
7350.386,0.07726003,
7348.457,0.07674687,
7346.528,0.07625401,
7344.600,0.07543649,
7342.671,0.07455342,
7340.742,0.07379302,
7338.813,0.07342371,
7336.885,0.0737531,
7334.956,0.07443424,
7333.027,0.07478794,
7331.098,0.07451484,
7329.170,0.074185,
7327.241,0.07452042,
7325.312,0.07522953,
7323.384,0.07563645,
7321.455,0.07571007,
7319.526,0.07575484,
7317.597,0.07585669,
7315.669,0.07572474,
7313.740,0.07553639,
7311.811,0.07650385,
7309.882,0.0789203,
7307.954,0.08119584,
7306.025,0.08229245,
7304.096,0.08268194,
7302.168,0.08288605,
7300.239,0.08341546,
7298.310,0.08500014,
7296.381,0.08755159,
7294.453,0.09056221,
7292.524,0.09391229,
7290.595,0.09690657,
7288.666,0.09916405,
7286.738,0.1016159,
7284.809,0.1044538,
7282.880,0.1072245,
7280.952,0.1101275,
7279.023,0.1129316,
7277.094,0.1155445,
7275.165,0.118709,
7273.237,0.1222078,
7271.308,0.1251035,
7269.379,0.1275735,
7267.450,0.1305582,
7265.522,0.1341681,
7263.593,0.1373912,
7261.664,0.1394601,
7259.736,0.1411146,
7257.807,0.1440977,
7255.878,0.1488356,
7253.949,0.153898,
7252.021,0.1582081,
7250.092,0.1617482,
7248.163,0.1647361,
7246.234,0.1671143,
7244.306,0.1687654,
7242.377,0.1700308,
7240.448,0.1713246,
7238.519,0.1730494,
7236.591,0.1752638,
7234.662,0.177039,
7232.733,0.177821,
7230.805,0.178124,
7228.876,0.1781384,
7226.947,0.1777137,
7225.018,0.1771477,
7223.090,0.1766456,
7221.161,0.1760238,
