,Part of: cyclohexanone with sp no au,Part of: Part of: cyclohexanone no au,
Wavelength [nm],Transmittance %,Transmittance %,
599.753,0.141968,0.0945993,
601.682,0.146793,0.0987116,
603.610,0.156973,0.103876,
605.539,0.169419,0.10638,
607.467,0.180324,0.10415,
609.396,0.186832,0.0978471,
611.324,0.188175,0.090555,
613.252,0.185694,0.0862804,
615.181,0.181857,0.0879204,
617.109,0.17887,0.0956049,
619.038,0.177742,0.106344,
620.966,0.178245,0.115382,
622.895,0.179599,0.118651,
624.823,0.180796,0.114233,
626.752,0.182685,0.105958,
628.680,0.184351,0.0965214,
630.609,0.185519,0.0897449,
632.537,0.185459,0.0867556,
634.466,0.183344,0.0856488,
636.394,0.178769,0.0830762,
638.323,0.172132,0.0767595,
640.251,0.164595,0.0671981,
642.179,0.15765,0.0574305,
644.108,0.152588,0.0511021,
646.036,0.150116,0.0502308,
647.965,0.150232,0.0541183,
649.893,0.152306,0.0600024,
651.822,0.155278,0.0648449,
653.750,0.157979,0.0669313,
655.679,0.159534,0.0664022,
657.607,0.159686,0.0647229,
659.536,0.158905,0.0635486,
661.464,0.158044,0.0634217,
663.393,0.157706,0.0634217,
665.321,0.157706,0.0623136,
667.250,0.157078,0.0599142,
669.178,0.154674,0.0570886,
671.106,0.149896,0.0547745,
673.035,0.143149,0.0534502,
674.963,0.135791,0.0530656,
676.892,0.129591,0.0529362,
678.820,0.125951,0.0519051,
680.749,0.125346,0.0490931,
682.677,0.127188,0.0445824,
684.606,0.130082,0.0394026,
686.534,0.132315,0.0349904,
688.463,0.132517,0.0325668,
690.391,0.13012,0.0325375,
692.320,0.125454,0.0342197,
694.248,0.119811,0.0362792,
696.177,0.114961,0.0374373,
698.105,0.11237,0.0371539,
700.034,0.112514,0.0359236,
701.962,0.114699,0.0349925,
703.890,0.117455,0.0355629,
705.819,0.119285,0.0379494,
707.747,0.119549,0.0414005,
709.676,0.118395,0.0443638,
711.604,0.116299,0.0453867,
713.533,0.113536,0.0439818,
715.461,0.108108,0.0390471,
717.390,0.104436,0.0363401,
719.318,0.100182,0.0345001,
721.247,0.0960835,0.0340134,
723.175,0.0930974,0.0346567,
725.104,0.0917534,0.0357861,
727.032,0.0917153,0.0367115,
728.961,0.0918764,0.0368985,
730.889,0.0909209,0.0359819,
732.817,0.0879896,0.0337527,
734.746,0.0830706,0.0302437,
736.674,0.0769586,0.0258558,
738.603,0.070886,0.0213491,
740.531,0.0660674,0.0175839,
742.460,0.0633392,0.0151165,
744.388,0.0629385,0.0139146,
746.317,0.064407,0.0134197,
748.245,0.0666449,0.012945,
750.174,0.0681835,0.0121343,
752.102,0.0676776,0.0111463,
754.031,0.0644605,0.0104209,
755.959,0.0588924,0.0102109,
757.888,0.0522741,0.0102503,
759.816,0.0463102,0.00984508,
761.744,0.0423603,0.00835425,
763.673,0.0408425,0.00571909,
765.601,0.041082,0.00263615,
767.530,0.0416694,0.000207385,
769.458,0.0411709,0.00108449,
771.387,0.038865,0.00177332,
773.315,0.0351568,0.00105922,
775.244,0.0314257,0.00759348,
777.172,0.0293082,0.0173563,
779.101,0.029714,0.0265186,
781.029,0.03209,0.035505,
782.958,0.0344086,0.0446524,
784.886,0.0340218,0.0538609,
786.815,0.0290133,0.0624099,
788.743,0.0193174,0.0690603,
790.671,0.00693377,0.0725781,
792.600,0.00237414,0.0726048,
794.528,0.0131212,0.0703945,
796.457,0.0251757,0.0687056,
798.385,0.0377917,0.0704562,
800.314,0.0500099,0.0766435,
802.242,0.0608257,0.0849098,
804.171,0.0694023,0.0902133,
806.099,0.0752537,0.0879625,
808.028,0.0783983,0.0782188,
809.956,0.0795139,0.0683867,
811.885,0.0800072,0.0722274,
813.813,0.0817389,0.105059,
815.742,0.0861888,0.177422,
817.670,0.0932691,0.290605,
819.598,0.10057,0.43645,
821.527,0.104025,0.601312,
823.455,0.100364,0.771774,
825.384,0.0904242,0.939052,
827.312,0.0813415,1.10032,
829.241,0.085725,1.25722,
831.169,0.117495,1.41324,
833.098,0.186194,1.57164,
835.026,0.292799,1.73471,
836.955,0.429398,1.90387,
838.883,0.582859,2.08016,
840.812,0.740354,2.2645,
842.740,0.89379,2.45779,
844.669,1.04124,2.6609,
846.597,1.18547,2.87438,
848.525,1.33115,3.09818,
850.454,1.48243,3.3314,
852.382,1.64178,3.57263,
854.311,1.80981,3.82054,
856.239,1.98562,4.07456,
858.168,2.16716,4.33484,
860.096,2.35181,4.6016,
862.025,2.53711,4.87443,
863.953,2.72153,5.1524,
865.882,2.90515,5.43497,
867.810,3.08997,5.72256,
869.739,3.27997,6.01612,
871.667,3.48064,6.31563,
873.596,3.69793,6.61941,
875.524,3.93656,6.925,
877.452,4.19829,7.2302,
879.381,4.48126,7.53074,
881.309,4.78087,7.81262,
883.238,5.092,8.0438,
885.166,5.41069,8.17548,
887.095,5.73436,8.16197,
889.023,6.06053,7.99586,
890.952,6.38605,7.73912,
892.880,6.708,7.52456,
894.809,7.02471,7.51425,
896.737,7.33329,7.82965,
898.666,7.62177,8.49116,
900.594,7.86034,9.40454,
902.523,8.00212,10.4037,
904.451,8.00246,11.3212,
906.379,7.85341,12.039,
908.308,7.61455,12.4888,
910.236,7.41466,12.6155,
912.165,7.41142,12.3508,
914.093,7.72353,11.6391,
916.022,8.37179,10.5154,
917.950,9.2656,9.17979,
919.879,10.2439,7.99823,
921.807,11.1428,7.39761,
923.736,11.8453,7.69453,
925.664,12.2821,8.95007,
927.593,12.3983,10.9366,
929.521,12.1279,13.2365,
931.450,11.4198,15.4165,
933.378,10.3102,17.1809,
935.306,8.99355,18.4324,
937.235,7.82276,19.2282,
939.163,7.21003,19.6753,
941.092,7.46451,19.8305,
943.020,8.65365,19.655,
944.949,10.5689,19.0401,
