;Part of: cyclohexanone with sp;
Wavelength [nm];Transmittance %;
599,753;0,010714;
601,682;0,00742738;
603,610;0,00553401;
605,539;0,00558569;
607,467;0,00712628;
609,396;0,00900378;
611,324;0,00996295;
613,252;0,00923444;
615,181;0,0068697;
617,109;0,00369573;
619,038;0,000930201;
620,966;1E-8;
622,895;7,08677E-5;
624,823;0,0017434;
626,752;0,00345923;
628,680;0,00401666;
630,609;0,00266737;
632,537;1E-8;
634,466;1E-8;
636,394;1E-8;
638,323;1E-8;
640,251;1E-8;
642,179;1E-8;
644,108;0,00343865;
646,036;0,00693312;
647,965;0,00810451;
649,893;0,00692411;
651,822;0,00410436;
653,750;0,000743377;
655,679;1E-8;
657,607;1E-8;
659,536;1E-8;
661,464;0,000560945;
663,393;0,00205386;
665,321;0,0031447;
667,250;0,00328208;
669,178;0,00208964;
671,106;0,0038936;
673,035;0,00798691;
674,963;0,0104772;
676,892;0,0105675;
678,820;0,00874902;
680,749;0,0062659;
682,677;0,0041772;
684,606;0,00274789;
686,534;0,00157164;
688,463;0,000208339;
690,391;0,000444354;
692,320;0,00157381;
694,248;0,00180591;
696,177;0,00135655;
698,105;0,000904011;
700,034;0,00103742;
701,962;0,00181766;
703,890;0,0027674;
705,819;0,00325626;
707,747;0,00296017;
709,676;0,00205999;
711,604;0,00107938;
713,533;0,000533635;
715,461;0,000660206;
717,390;0,00138255;
719,318;0,00245385;
721,247;0,00361318;
723,175;0,00463538;
725,104;0,00529342;
727,032;0,00534051;
728,961;0,00458723;
730,889;0,00303897;
732,817;0,000983457;
734,746;0,000449847;
736,674;0,00342481;
738,603;0,00642831;
740,531;0,00865129;
742,460;0,00946545;
744,388;0,00866712;
746,317;0,00654967;
748,245;0,00373336;
750,174;0,000847092;
752,102;0,00137296;
754,031;0,00322183;
755,959;0,00418438;
757,888;0,00435136;
759,816;0,00395219;
761,744;0,00318102;
763,673;0,00215381;
765,601;0,000978631;
767,530;0,000477766;
769,458;0,000850794;
771,387;0,00120084;
773,315;0,00173934;
775,244;0,00262965;
777,172;0,00382731;
779,101;0,00504151;
781,029;0,00589368;
782,958;0,00618512;
784,886;0,00606049;
786,815;0,00590514;
788,743;0,0060314;
790,671;0,00640788;
792,600;0,00667302;
794,528;0,00643556;
796,457;0,00560329;
798,385;0,00444583;
800,314;0,00333486;
802,242;0,00240864;
804,171;0,00148741;
806,099;0,00033381;
808,028;0,000159699;
809,956;0,000579331;
811,885;0,000332998;
813,813;0,000844942;
815,742;0,00302527;
817,670;0,00552334;
819,598;0,00741838;
821,527;0,00809313;
823,455;0,00748871;
825,384;0,00600536;
827,312;0,0041646;
829,241;0,0022851;
831,169;0,000388373;
833,098;0,00214364;
835,026;0,00489949;
836,955;0,00690326;
838,883;0,00819116;
840,812;0,00904437;
842,740;0,00976918;
844,669;0,0105214;
846,597;0,0112479;
848,525;0,0117532;
850,454;0,0118541;
852,382;0,0115414;
854,311;0,0110523;
856,239;0,0107764;
858,168;0,0110168;
860,096;0,0117503;
862,025;0,0125777;
863,953;0,0129573;
865,882;0,01261;
867,810;0,0118175;
869,739;0,0113666;
871,667;0,0121281;
873,596;0,0145444;
875,524;0,0183996;
877,452;0,0230554;
879,381;0,0279904;
881,309;0,0332399;
883,238;0,0393887;
885,166;0,0470823;
887,095;0,0563591;
889,023;0,0662427;
890,952;0,0748756;
892,880;0,0801634;
894,809;0,0806212;
896,737;0,0760233;
898,666;0,0675693;
900,594;0,0575061;
902,523;0,04837;
904,451;0,0421574;
906,379;0,0397406;
908,308;0,0407327;
910,236;0,0438133;
912,165;0,0473357;
914,093;0,0499352;
916,022;0,0508936;
917,950;0,0501676;
919,879;0,0481657;
921,807;0,045458;
923,736;0,0425758;
925,664;0,039936;
927,593;0,0378222;
929,521;0,0363381;
931,450;0,0353366;
933,378;0,0344132;
935,306;0,0330585;
937,235;0,0309443;
939,163;0,0281812;
941,092;0,0253399;
943,020;0,0231614;
944,949;0,022103;
946,877;0,0220183;
948,806;0,0222111;
950,734;0,0218501;
952,663;0,0204656;
954,591;0,0181791;
956,520;0,0155115;
958,448;0,0129395;
960,377;0,0105607;
962,305;0,00813563;
964,233;0,00546824;
966,162;0,00280405;
968,090;0,000896858;
970,019;0,000641518;
971,947;0,00250301;
973,876;0,00613392;
975,804;0,0104496;
977,733;0,0141234;
979,661;0,0162007;
981,590;0,0164827;
983,518;0,015506;
985,447;0,0141881;
987,375;0,0133685;
989,304;0,0134709;
991,232;0,0144018;
993,160;0,0156746;
995,089;0,0166718;
997,017;0,0169341;
998,946;0,0163703;
1000,874;0,0153035;
1002,803;0,014321;
1004,731;0,0139812;
1006,660;0,0145177;
1008,588;0,0157057;
1010,517;0,0169769;
1012,445;0,017728;
1014,374;0,017641;
1016,302;0,0168297;
1018,231;0,0157354;
1020,159;0,0148585;
1022,087;0,0145086;
1024,016;0,0147202;
1025,944;0,0153457;
1027,873;0,0162169;
1029,801;0,0172421;
1031,730;0,0183885;
1033,658;0,0196082;
1035,587;0,0208074;
1037,515;0,0219018;
1039,444;0,0229077;
1041,372;0,0239707;
1043,301;0,0252893;
1045,229;0,0269871;
1047,158;0,0290533;
1049,086;0,0314209;
1051,014;0,0341323;
1052,943;0,0378223;
1054,871;0,0419909;
1056,800;0,0471175;
1058,728;0,0526477;
1060,657;0,0573199;
1062,585;0,0595074;
1064,514;0,057895;
1066,442;0,0521453;
1068,371;0,0431643;
1070,299;0,0327933;
1072,228;0,0231344;
1074,156;0,0158405;
1076,085;0,0117602;
1078,013;0,010965;
1079,941;0,0129824;
1081,870;0,0170338;
1083,798;0,0222158;
1085,727;0,0276949;
1087,655;0,0329563;
1089,584;0,0379978;
1091,512;0,0433011;
1093,441;0,0495638;
1095,369;0,0574264;
1097,298;0,0674867;
1099,226;0,0806007;
1101,155;0,0980601;
1103,083;0,121152;
1105,012;0,150084;
1106,940;0,182976;
1108,868;0,215912;
1110,797;0,244581;
1112,725;0,266853;
1114,654;0,284534;
1116,582;0,302563;
1118,511;0,32562;
1120,439;0,354224;
1122,368;0,383081;
1124,296;0,403018;
1126,225;0,405452;
1128,153;0,386688;
1130,082;0,349504;
1132,010;0,301388;
1133,939;0,25094;
1135,867;0,204698;
1137,795;0,165837;
1139,724;0,134711;
1141,652;0,110268;
1143,581;0,0912452;
1145,509;0,0766069;
1147,438;0,0654332;
1149,366;0,0567296;
1151,295;0,049479;
1153,223;0,0428867;
1155,152;0,0366064;
1157,080;0,0307916;
1159,009;0,0260024;
1160,937;0,0230004;
1162,866;0,0225264;
1164,794;0,0250321;
1166,723;0,0303898;
1168,651;0,0377146;
1170,579;0,0454846;
1172,508;0,0520012;
1174,436;0,0559675;
1176,365;0,056857;
1178,293;0,0549171;
1180,222;0,0508987;
1182,150;0,0457198;
1184,079;0,0402336;
1186,007;0,0351521;
1187,936;0,0310701;
1189,864;0,0284349;
1191,793;0,0274398;
1193,721;0,0279324;
1195,650;0,0295093;
1197,578;0,0317525;
1199,506;0,0343807;
1201,435;0,0372009;
1203,363;0,0399724;
1205,292;0,0423477;
1207,220;0,0439505;
1209,149;0,0445316;
1211,077;0,0440991;
1213,006;0,0429623;
1214,934;0,0416448;
1216,863;0,0406662;
1218,791;0,0403127;
1220,720;0,0405625;
1222,648;0,0411745;
1224,577;0,0418226;
1226,505;0,0422125;
1228,433;0,0421902;
1230,362;0,0418143;
1232,290;0,0413319;
1234,219;0,0410655;
1236,147;0,0412833;
1238,076;0,0421107;
1240,004;0,0434983;
1241,933;0,045255;
1243,861;0,047143;
1245,790;0,0489927;
1247,718;0,050766;
1249,647;0,0525343;
1251,575;0,0544011;
1253,504;0,0564465;
1255,432;0,0587307;
1257,360;0,0613115;
1259,289;0,0642014;
1261,217;0,0672618;
1263,146;0,0700943;
1265,074;0,0719901;
1267,003;0,0719911;
1268,931;0,0691859;
1270,860;0,0633458;
1272,788;0,0555496;
1274,717;0,0478746;
1276,645;0,0420517;
1278,574;0,0385825;
1280,502;0,0371792;
1282,431;0,0376635;
1284,359;0,0404112;
1286,287;0,0460498;
1288,216;0,0544557;
1290,144;0,0638193;
1292,073;0,0710403;
1294,001;0,0733906;
1295,930;0,0698741;
1297,858;0,0614341;
1299,787;0,0504206;
1301,715;0,0398348;
1303,644;0,0325734;
1305,572;0,0307507;
1307,501;0,0350454;
1309,429;0,0441389;
1311,358;0,0550443;
1313,286;0,0649868;
1315,214;0,073223;
1317,143;0,0809051;
1319,071;0,0900912;
