used spectral range:	447.614654002714	to	716.772048846676
#	time stamp	area under curve	
			
1	8	209.81	
2	10	205.87	
3	12	202.07	
4	14	198.42	
5	16	194.47	
6	18	191.05	
7	20	187.75	
8	22	184.08	
9	24	180.67	
10	26	177.21	
11	28	173.98	
12	30	170.44	
13	32	167.38	
14	34	164.15	
15	36	161.13	
16	38	158.09	
17	40	155.12	
18	42	152.2	
19	44	149.39	
20	46	146.45	
21	48	143.76	
22	50	140.94	
23	52	138.32	
24	54	135.82	
25	56	133.26	
26	58	130.76	
27	60	128.17	
28	62	125.87	
29	64	123.33	
30	66	121.17	
31	68	118.73	
32	70	116.55	
33	72	114.31	
34	74	112.25	
35	76	110.01	
36	78	108.1	
37	80	105.89	
38	82	103.98	
39	84	101.93	
40	86	100.09	
41	88	98.161	
42	90	96.379	
43	92	94.686	
44	94	92.808	
45	96	91.137	
46	98	89.394	
47	100	87.829	
48	102	86.083	
49	104	84.511	
50	106	82.898	
51	108	81.475	
52	110	79.894	
53	112	78.478	
54	114	77.008	
55	116	75.61	
56	118	74.084	
57	120	72.871	
58	122	71.485	
59	124	70.25	
60	126	68.988	
61	128	67.714	
62	130	66.551	
63	132	65.276	
64	134	64.115	
65	136	62.91	
66	138	61.912	
67	140	60.72	
68	142	59.737	
69	144	58.615	
70	146.02	57.582	
71	148.06	56.567	
72	150.13	55.572	
73	152.2	54.489	
74	154.3	53.448	
75	156.42	52.532	
76	158.55	51.574	
77	160.69	50.638	
78	162.86	49.68	
79	165.03	48.823	
80	167.22	47.94	
81	169.44	47.05	
82	171.67	46.123	
83	173.92	45.225	
84	176.2	44.473	
85	178.49	43.633	
86	180.78	42.845	
87	183.09	41.919	
88	185.44	41.103	
89	187.81	40.365	
90	190.17	39.588	
91	192.56	38.905	
92	194.97	38.14	
93	197.39	37.473	
94	199.83	36.796	
95	202.28	36.069	
96	204.75	35.334	
97	207.22	34.67	
98	220	31.619	
99	240	27.511	
100	260	24.216	
101	280	21.538	
102	300	19.465	
103	320	17.83	
104	340	16.42	
105	360	15.42	
106	380	14.565	
107	400	13.828	
108	420	13.28	
109	440	12.83	
110	460	12.501	
111	480	12.209	
112	500	11.959	
113	520	11.73	
114	540	11.586	
115	560	11.511	
116	580	11.349	
117	600	11.238	
118	620	11.165	
119	640	11.055	
120	660	11.051	
121	680	10.968	
122	700	10.965	
123	720	10.873	
124	740	10.868	
125	760	10.864	
126	780	10.849	
127	800	10.82	
128	820	10.765	
129	840	10.775	
130	860	10.723	
131	880	10.707	
132	900	10.71	
133	920	10.751	
134	940	10.663	
135	960	10.632	
136	980	10.599	
137	1000	10.656	
138	1020	10.582	
139	1040	10.552	
140	1060	10.641	
141	1080	10.555	
142	1100	10.58	
143	1120	10.531	
144	1140	10.528	
145	1160	10.513	
146	1180	10.452	
147	1200	10.472	
148	1220	10.431	
149	1240	10.471	
150	1260	10.376	
151	1280	10.379	
152	1300	10.31	
153	1320	10.33	
154	1340	10.352	
155	1360	10.269	
156	1380	10.317	
157	1400	10.292	
158	1420	10.31	
159	1440	10.276	
160	1460	10.272	
161	1480	10.24	
162	1500	10.184	
163	1520	10.218	
164	1540	10.184	
165	1560	10.16	
166	1580	10.149	
167	1600	10.16	
168	1620	10.163	
169	1640	10.118	
170	1660	10.111	
171	1680	10.09	
172	1700	10.061	
173	1720	10.081	
174	1740	10.041	
175	1760	10.005	
176	1780	9.9997	
177	1800	9.9805	
178	1820	9.9744	
179	1840	9.8687	
180	1860	9.9652	
181	1880	10.009	
182	1900	9.8169	
183	1920	9.8831	
184	1940	9.892	
185	1960	9.8438	
186	1980	9.7875	
187	2000	9.7919	
188	2020	9.7347	
189	2040	9.7077	
190	2060	9.6764	
191	2080	9.6986	
192	2100	9.692	
193	2120	9.7351	
194	2140	9.714	
195	2160	9.6759	
196	2180	9.6709	
197	2200	9.7047	
198	2220	9.6239	
199	2240	9.6435	
200	2260	9.5946	
201	2280	9.6112	
202	2300	9.6469	
203	2320	9.571	
204	2340	9.5443	
205	2360	9.5628	
206	2380	9.4967	
207	2400	9.5357	
208	2420	9.5618	
209	2440	9.5052	
210	2460	9.4564	
211	2480	9.4782	
212	2500	9.4838	
213	2520	9.472	
214	2540	9.4304	
215	2560	9.4628	
216	2580	9.4073	
217	2600	9.4605	
218	2620	9.4052	
219	2640	9.4306	
220	2660	9.4014	
221	2680	9.4106	
222	2700	9.3617	
223	2720	9.4297	
224	2740	9.4354	
