used spectral range:	491.99	to	627.25
#	time stamp	area under curve	
			
1	14	111.87	
2	16	109.89	
3	18	108.64	
4	20	107.57	
5	22	106.74	
6	24	105.76	
7	26	105.09	
8	28	104.31	
9	30	103.57	
10	32	102.87	
11	34	102.16	
12	36	101.59	
13	38	100.96	
14	40	100.31	
15	42	99.681	
16	44	99.125	
17	46	98.524	
18	48	97.971	
19	50	97.325	
20	52	96.824	
21	54	96.25	
22	56	95.65	
23	58	95.211	
24	60	94.698	
25	62	94.06	
26	64	93.65	
27	66	93.227	
28	68	92.723	
29	70	92.269	
30	72	91.79	
31	74	91.292	
32	76	90.909	
33	78	90.452	
34	80	89.895	
35	82	89.514	
36	84	89.106	
37	86	88.673	
38	88	88.325	
39	90	87.881	
40	92	87.516	
41	94	87.158	
42	96	86.758	
43	98	86.413	
44	100	86.005	
45	102	85.662	
46	104	85.314	
47	106	84.927	
48	108	84.662	
49	110	84.313	
50	112	83.895	
51	114	83.673	
52	116	83.285	
53	118	82.962	
54	120.02	82.69	
55	122.2	82.347	
56	124.17	82.027	
57	126.14	81.8	
58	128.16	81.434	
59	130.17	81.231	
60	132.2	80.926	
61	134.24	80.589	
62	136.28	80.326	
63	138.36	80.126	
64	140.45	79.835	
65	142.58	79.584	
66	144.69	79.307	
67	146.84	78.999	
68	149.02	78.75	
69	151.19	78.533	
70	153.39	78.266	
71	155.61	77.958	
72	157.84	77.664	
73	160.09	77.498	
74	162.38	77.269	
75	164.64	77.015	
76	166.94	76.79	
77	169.27	76.506	
78	171.61	76.342	
79	173.97	76.1	
80	176.34	75.878	
81	178.75	75.652	
82	181.16	75.457	
83	183.59	75.247	
84	186.05	75.036	
85	188.56	74.809	
86	191.06	74.629	
87	193.58	74.41	
88	196.11	74.208	
89	198.66	74.05	
90	201.22	73.814	
91	203.8	73.691	
92	206.41	73.532	
93	209.02	73.35	
94	211.66	73.159	
95	220	72.656	
96	240	71.598	
97	260	70.608	
98	280	69.82	
99	300	68.952	
100	320	68.181	
101	340	67.605	
102	360	67.058	
103	380	66.611	
104	400	66.274	
105	420	66.021	
106	440	65.711	
107	460	65.516	
108	480	65.411	
109	500	65.244	
110	520	65.15	
111	540	65.029	
112	560	64.923	
113	580	64.866	
114	600	64.801	
115	620	64.649	
116	640	64.597	
117	660	64.615	
118	680	64.467	
119	700	64.508	
120	720	64.475	
121	740	64.396	
122	760	64.371	
123	780	64.344	
124	800	64.351	
125	820	64.405	
126	840	64.374	
127	860	64.345	
128	880	64.313	
129	900	64.339	
130	920	64.235	
131	940	64.302	
132	960	64.263	
133	980	64.243	
134	1000	64.29	
135	1020	64.244	
136	1040	64.163	
137	1060	64.194	
138	1080	64.147	
139	1100	64.134	
140	1120	64.064	
141	1140	64.079	
142	1160	63.976	
143	1180	64.089	
144	1200	64.018	
145	1220	63.926	
146	1240	64.006	
147	1260	64.053	
148	1280	63.961	
149	1300	63.908	
150	1320	63.923	
151	1340	63.921	
152	1360	63.9	
153	1380	63.862	
154	1400	63.97	
155	1420	63.831	
156	1440	63.857	
157	1460	63.807	
158	1480	63.706	
159	1500	63.774	
160	1520	63.779	
161	1540	63.8	
162	1560	63.787	
163	1580	63.834	
164	1600	63.778	
165	1620	63.74	
166	1640	63.722	
167	1660	63.739	
168	1680	63.736	
169	1700	63.687	
170	1720	63.761	
171	1740	63.651	
172	1760	63.703	
173	1780	63.673	
174	1800	63.621	
175	1820	63.668	
176	1840	63.626	
177	1860	63.588	
178	1880	63.581	
179	1900	63.543	
180	1920	63.558	
181	1940	63.57	
182	1960	63.622	
183	1980	63.516	
184	2000	63.557	
185	2020	63.481	
186	2040	63.513	
187	2060	63.537	
188	2080	63.433	
189	2100	63.466	
190	2120	63.456	
191	2140	63.48	
192	2160	63.499	
193	2180	63.527	
194	2200	63.525	
195	2220	63.519	
196	2240	63.469	
197	2260	63.472	
198	2280	63.394	
199	2300	63.384	
200	2320	63.345	
201	2340	63.393	
202	2360	63.333	
203	2380	63.37	
204	2400	63.329	
205	2420	63.309	
206	2440	63.397	
207	2460	63.388	
208	2480	63.326	
209	2500	63.322	
210	2520	63.277	
211	2540	63.286	
212	2560	63.389	
213	2580	63.215	
