,cavity_after,
Wavenumbers [1/cm],Transmittance,
7496.969,0.1285396,
7495.040,0.128189,
7493.112,0.1272528,
7491.183,0.1254535,
7489.254,0.1233448,
7487.326,0.1218503,
7485.397,0.1207059,
7483.468,0.1189256,
7481.539,0.1166304,
7479.611,0.1149467,
7477.682,0.1144264,
7475.753,0.1143218,
7473.824,0.1135018,
7471.896,0.1117699,
7469.967,0.1099714,
7468.038,0.1085297,
7466.110,0.1070009,
7464.181,0.105425,
7462.252,0.1043477,
7460.323,0.1035462,
7458.395,0.1022035,
7456.466,0.1002709,
7454.537,0.09871125,
7452.608,0.09796759,
7450.680,0.09722136,
7448.751,0.09600636,
7446.822,0.09488052,
7444.893,0.09419411,
7442.965,0.09370455,
7441.036,0.09280554,
7439.107,0.09136832,
7437.179,0.08998235,
7435.250,0.08877058,
7433.321,0.08770369,
7431.392,0.08708952,
7429.464,0.08650503,
7427.535,0.0853226,
7425.606,0.08403917,
7423.677,0.08335605,
7421.749,0.08297144,
7419.820,0.08224805,
7417.891,0.08136474,
7415.963,0.0809896,
7414.034,0.08078734,
7412.105,0.08004634,
7410.176,0.07908411,
7408.248,0.07830375,
7406.319,0.07761919,
7404.390,0.07715588,
7402.461,0.07709088,
7400.533,0.07714963,
7398.604,0.07680989,
7396.675,0.07602207,
7394.747,0.07537836,
7392.818,0.07517707,
7390.889,0.07497901,
7388.960,0.074504,
7387.032,0.07392588,
7385.103,0.07337567,
7383.174,0.07300766,
7381.245,0.07300531,
7379.317,0.07298057,
7377.388,0.07235913,
7375.459,0.07143692,
7373.531,0.07074652,
7371.602,0.07059518,
7369.673,0.07120012,
7367.744,0.07192218,
7365.816,0.07198229,
7363.887,0.07154483,
7361.958,0.07102706,
7360.029,0.0706166,
7358.101,0.07038701,
7356.172,0.07021346,
7354.243,0.06987266,
7352.314,0.06951412,
7350.386,0.06962006,
7348.457,0.07019188,
7346.528,0.07057432,
7344.600,0.07035047,
7342.671,0.06984295,
7340.742,0.06974649,
7338.813,0.07035335,
7336.885,0.07107522,
7334.956,0.07130441,
7333.027,0.07117512,
7331.098,0.07118812,
7329.170,0.07143002,
7327.241,0.07151443,
7325.312,0.07150244,
7323.384,0.07190894,
7321.455,0.07264377,
7319.526,0.07310057,
7317.597,0.07322707,
7315.669,0.07333624,
7313.740,0.07343937,
7311.811,0.07366128,
7309.882,0.07421001,
7307.954,0.07506537,
7306.025,0.07601035,
7304.096,0.07668097,
7302.168,0.07676759,
7300.239,0.07646125,
7298.310,0.07670172,
7296.381,0.07773327,
7294.453,0.07876816,
7292.524,0.07958128,
7290.595,0.08040628,
7288.666,0.08122929,
7286.738,0.08193193,
7284.809,0.08265475,
7282.880,0.08353862,
7280.952,0.08427088,
7279.023,0.08476856,
7277.094,0.08528949,
7275.165,0.08599652,
7273.237,0.08707042,
7271.308,0.08849614,
7269.379,0.08986901,
7267.450,0.09095596,
7265.522,0.09193397,
7263.593,0.09267964,
7261.664,0.09285814,
7259.736,0.09283596,
7257.807,0.09355957,
7255.878,0.09539285,
7253.949,0.09755428,
7252.021,0.09924954,
7250.092,0.1006041,
7248.163,0.1018463,
7246.234,0.102899,
7244.306,0.1039486,
7242.377,0.1051546,
7240.448,0.1065468,
7238.519,0.1084155,
7236.591,0.1106235,
7234.662,0.1125601,
7232.733,0.114055,
7230.805,0.1152535,
7228.876,0.1163265,
7226.947,0.1176452,
7225.018,0.1194434,
7223.090,0.1214332,
7221.161,0.1233716,
7219.232,0.1254009,
7217.303,0.1274811,
7215.375,0.129497,
7213.446,0.1316308,
7211.517,0.1339722,
7209.589,0.136454,
7207.660,0.1388722,
7205.731,0.140707,
7203.802,0.1419523,
7201.874,0.1436849,
7199.945,0.1463174,
7198.016,0.1487817,
7196.087,0.1507071,
7194.159,0.1526069,
7192.230,0.154501,
7190.301,0.1566004,
7188.373,0.1589598,
7186.444,0.1610465,
7184.515,0.1627796,
7182.586,0.1642911,
7180.658,0.1658139,
7178.729,0.1677499,
7176.800,0.1699919,
7174.871,0.1721835,
7172.943,0.1741861,
7171.014,0.1760138,
7169.085,0.1778289,
7167.157,0.1796944,
7165.228,0.1814117,
7163.299,0.1827269,
7161.370,0.1835723,
7159.442,0.1845015,
7157.513,0.186129,
7155.584,0.1880791,
7153.655,0.1895822,
7151.727,0.1902913,
7149.798,0.1906129,
7147.869,0.1912593,
7145.941,0.192161,
7144.012,0.1929143,
7142.083,0.1934115,
7140.154,0.1935187,
7138.226,0.1932984,
7136.297,0.193197,
7134.368,0.1934916,
7132.439,0.1940247,
7130.511,0.1944375,
7128.582,0.19446,
7126.653,0.1943619,
7124.724,0.1943449,
7122.796,0.193877,
7120.867,0.1928252,
7118.938,0.1917395,
7117.010,0.1909342,
7115.081,0.19033,
7113.152,0.1895652,
7111.223,0.1884404,
7109.295,0.1871807,
7107.366,0.186026,
7105.437,0.1849458,
7103.508,0.1836587,
7101.580,0.1823857,
7099.651,0.1814651,
7097.722,0.1802097,
7095.794,0.1782813,
7093.865,0.1763143,
7091.936,0.1746265,
7090.007,0.1731806,
7088.079,0.1717909,
7086.150,0.1702666,
7084.221,0.168643,
7082.292,0.1667675,
7080.364,0.1645339,
7078.435,0.162341,
7076.506,0.1603968,
