,cavity_before,
Wavenumbers [1/cm],Transmittance,
7496.969,0.07283846,
7495.040,0.07245431,
7493.112,0.07184888,
7491.183,0.07131529,
7489.254,0.07073997,
7487.326,0.07029115,
7485.397,0.06993442,
7483.468,0.06958003,
7481.539,0.06950073,
7479.611,0.06994336,
7477.682,0.0705931,
7475.753,0.07092669,
7473.824,0.07111304,
7471.896,0.07110626,
7469.967,0.07057159,
7468.038,0.06998269,
7466.110,0.06986389,
7464.181,0.07008893,
7462.252,0.07041022,
7460.323,0.0709134,
7458.395,0.0717253,
7456.466,0.07237937,
7454.537,0.07226323,
7452.608,0.07149442,
7450.680,0.07067591,
7448.751,0.07038464,
7446.822,0.07090495,
7444.893,0.07185856,
7442.965,0.07264532,
7441.036,0.07302693,
7439.107,0.07306311,
7437.179,0.07289343,
7435.250,0.07285547,
7433.321,0.07331916,
7431.392,0.0739933,
7429.464,0.07450688,
7427.535,0.07498278,
7425.606,0.07529873,
7423.677,0.0754064,
7421.749,0.07578567,
7419.820,0.07649222,
7417.891,0.07716405,
7415.963,0.07795467,
7414.034,0.07913408,
7412.105,0.08023109,
7410.176,0.0806684,
7408.248,0.08077339,
7406.319,0.08115853,
7404.390,0.08180113,
7402.461,0.08253397,
7400.533,0.08340926,
7398.604,0.08433549,
7396.675,0.08528156,
7394.747,0.0861524,
7392.818,0.08667003,
7390.889,0.08712117,
7388.960,0.08792677,
7387.032,0.08877498,
7385.103,0.08959448,
7383.174,0.09073755,
7381.245,0.09198622,
7379.317,0.09312353,
7377.388,0.09431718,
7375.459,0.09547894,
7373.531,0.09651248,
7371.602,0.09764273,
7369.673,0.09895124,
7367.744,0.1002515,
7365.816,0.101583,
7363.887,0.1030178,
7361.958,0.1043851,
7360.029,0.1057187,
7358.101,0.1070866,
7356.172,0.1082364,
7354.243,0.1092672,
7352.314,0.1106185,
7350.386,0.1122892,
7348.457,0.1140505,
7346.528,0.1156859,
7344.600,0.1170619,
7342.671,0.1186184,
7340.742,0.1206939,
7338.813,0.1226729,
7336.885,0.1241788,
7334.956,0.1257931,
7333.027,0.1277712,
7331.098,0.1296387,
7329.170,0.1312795,
7327.241,0.1330373,
7325.312,0.1349292,
7323.384,0.1370817,
7321.455,0.1396796,
7319.526,0.1420603,
7317.597,0.143884,
7315.669,0.1456078,
7313.740,0.1474742,
7311.811,0.1494774,
7309.882,0.1514396,
7307.954,0.1534217,
7306.025,0.1555872,
7304.096,0.157618,
7302.168,0.1592728,
7300.239,0.1609552,
7298.310,0.1632037,
7296.381,0.1655566,
7294.453,0.1674949,
7292.524,0.1696003,
7290.595,0.1719312,
7288.666,0.1740059,
7286.738,0.176153,
7284.809,0.1783896,
7282.880,0.1800413,
7280.952,0.1813668,
7279.023,0.1830387,
7277.094,0.1847614,
7275.165,0.1861493,
7273.237,0.1873777,
7271.308,0.1885643,
7269.379,0.1896595,
7267.450,0.190863,
7265.522,0.1922823,
7263.593,0.1935156,
7261.664,0.194454,
7259.736,0.1953703,
7257.807,0.1963125,
7255.878,0.1972453,
