,kine_135610_0,kine_135610_1,kine_135610_2,kine_135610_3,kine_135610_4,kine_135610_5,kine_135610_6,kine_135610_7,kine_135610_8,kine_135610_10,kine_135610_11,kine_135610_12,kine_135610_13,kine_135610_14,kine_135610_15,kine_135610_16,kine_135610_17,kine_135610_18,kine_135610_19,kine_135610_20,kine_135610_21,kine_135610_22,kine_135610_23,kine_135610_24,kine_135610_25,kine_135610_26,kine_135610_27,kine_135610_28,kine_135610_29,kine_135610_30,kine_135610_31,kine_135610_33,kine_135610_34,kine_135610_35,kine_135610_36,kine_135610_37,kine_135610_38,kine_135610_39,kine_135610_40,kine_135610_41,kine_135610_42,kine_135610_43,kine_135610_44,kine_135610_45,kine_135610_46,kine_135610_47,kine_135610_48,kine_135610_49,kine_135610_50,kine_135610_51,kine_135610_52,kine_135610_53,kine_135610_54,kine_135610_55,kine_135610_56,kine_135610_57,kine_135610_58,kine_135610_59,kine_135610_60,kine_135610_61,kine_135610_62,kine_135610_63,kine_135610_64,kine_135610_65,kine_135610_66,kine_135610_67,kine_135610_68,kine_135610_69,kine_135610_70,kine_135610_71,kine_135610_72,kine_135610_73,kine_135610_74,kine_135610_75,kine_135610_76,kine_135610_77,kine_135610_78,kine_135610_79,kine_135610_80,kine_135610_81,kine_135610_82,kine_135610_83,kine_135610_84,kine_135610_85,kine_135610_86,kine_135610_87,kine_135610_88,kine_135610_89,kine_135610_90,kine_135610_91,kine_135610_92,kine_135610_93,kine_135610_94,kine_135610_95,kine_135610_96,kine_135610_97,kine_135610_98,kine_135610_99,kine_135610_100,kine_135610_101,kine_135610_102,kine_135610_103,
Wavelength [nm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
500.000,0.60875,0.60273,0.59554,0.59042,0.58418,0.57935,0.57421,0.56904,0.56504,0.55984,0.55609,0.55173,0.54808,0.54497,0.54157,0.53721,0.53491,0.5317,0.52938,0.52633,0.52343,0.52143,0.51843,0.5167,0.51504,0.51265,0.51057,0.50861,0.50695,0.50483,0.50428,0.50186,0.50007,0.50009,0.50009,0.49798,0.49665,0.49548,0.49548,0.49464,0.49367,0.49255,0.49147,0.4906,0.4895,0.48861,0.4875,0.48734,0.48644,0.48566,0.48517,0.48431,0.48344,0.48259,0.48181,0.48201,0.48121,0.48067,0.48054,0.47963,0.47945,0.47893,0.47862,0.4783,0.47782,0.47799,0.47829,0.47793,0.47766,0.47659,0.47651,0.47642,0.4761,0.47696,0.47616,0.47544,0.47606,0.47605,0.47546,0.47537,0.47487,0.4752,0.47479,0.47449,0.47447,0.47499,0.47272,0.4712,0.47091,0.4704,0.47113,0.47062,0.47073,0.47043,0.47118,0.47137,0.47113,0.47168,0.47133,0.47185,0.47217,0.47095,
501.000,0.61873,0.61235,0.60589,0.60031,0.59473,0.58978,0.58516,0.58021,0.57526,0.57167,0.56754,0.56361,0.55956,0.55613,0.55296,0.54972,0.54645,0.54363,0.54081,0.53888,0.53621,0.53414,0.53178,0.5296,0.52753,0.52441,0.52404,0.52156,0.52072,0.51825,0.51655,0.51565,0.51409,0.5122,0.5122,0.51151,0.51018,0.5099,0.5099,0.50746,0.50741,0.50571,0.50541,0.50386,0.50344,0.503,0.50136,0.50145,0.50088,0.49992,0.4995,0.4984,0.4982,0.49766,0.49627,0.49614,0.49625,0.49539,0.49536,0.49485,0.49454,0.49441,0.49367,0.4935,0.49355,0.49334,0.49348,0.49277,0.49312,0.49223,0.49124,0.4916,0.49226,0.4924,0.49181,0.49188,0.49151,0.49108,0.49168,0.49033,0.49128,0.4918,0.49116,0.49046,0.49081,0.49115,0.48783,0.48609,0.48596,0.48634,0.48576,0.4861,0.4866,0.48623,0.48678,0.48648,0.48707,0.48766,0.48723,0.48747,0.48765,0.48787,
502.000,0.63255,0.6256,0.61982,0.61496,0.61025,0.6039,0.59951,0.59456,0.59034,0.58575,0.58224,0.57828,0.57469,0.57136,0.56785,0.56499,0.56161,0.55887,0.55662,0.55417,0.55203,0.54932,0.54648,0.54494,0.54269,0.54154,0.53963,0.53754,0.53594,0.53443,0.53218,0.5317,0.53013,0.52926,0.52926,0.52883,0.5266,0.52555,0.52555,0.52482,0.52427,0.52255,0.52134,0.52149,0.51947,0.51871,0.51826,0.51798,0.51731,0.51645,0.51614,0.51531,0.51491,0.51449,0.51298,0.51323,0.5129,0.51222,0.51246,0.51154,0.51149,0.50984,0.5103,0.51011,0.50982,0.50931,0.50947,0.5091,0.50937,0.50908,0.50909,0.50845,0.50855,0.5084,0.50874,0.50752,0.50787,0.5079,0.50735,0.5065,0.50711,0.50751,0.50669,0.50672,0.50669,0.50688,0.50427,0.50275,0.50246,0.50231,0.50263,0.50274,0.50382,0.50304,0.50296,0.50258,0.50326,0.50323,0.50408,0.5031,0.50345,0.50411,
503.000,0.64437,0.6385,0.63193,0.62676,0.62041,0.61567,0.6112,0.60653,0.6024,0.59788,0.59432,0.59003,0.58634,0.58279,0.57969,0.57666,0.57394,0.57189,0.56869,0.56603,0.56353,0.56081,0.55936,0.55737,0.55508,0.55347,0.55104,0.54957,0.54781,0.54655,0.54546,0.54334,0.54286,0.54128,0.54128,0.53945,0.53832,0.5379,0.5379,0.53649,0.536,0.53472,0.53392,0.53252,0.53179,0.53183,0.5305,0.5298,0.52789,0.5272,0.52792,0.52707,0.52616,0.52523,0.52486,0.52457,0.52367,0.52384,0.52253,0.52184,0.52184,0.52161,0.5213,0.52042,0.52009,0.51965,0.52008,0.51916,0.51979,0.51929,0.51836,0.51844,0.51812,0.51803,0.51777,0.51748,0.51754,0.51694,0.51658,0.51705,0.5167,0.51601,0.51615,0.51624,0.51542,0.51552,0.51392,0.51345,0.51347,0.51367,0.51301,0.51326,0.51379,0.51312,0.5127,0.51275,0.51218,0.51239,0.51228,0.51196,0.51221,0.51252,
504.000,0.65022,0.64423,0.6385,0.63269,0.62696,0.62225,0.61731,0.61258,0.60726,0.60333,0.59964,0.59575,0.59249,0.58827,0.58521,0.58215,0.5798,0.57715,0.5738,0.57088,0.56869,0.56659,0.56371,0.56231,0.55937,0.55795,0.55589,0.55473,0.55223,0.55145,0.54976,0.54841,0.54655,0.54476,0.54476,0.54398,0.54316,0.54151,0.54151,0.54047,0.53846,0.5379,0.53748,0.53682,0.53517,0.53368,0.53387,0.53274,0.53172,0.53104,0.53062,0.52983,0.52919,0.52774,0.52731,0.52635,0.52568,0.52496,0.5246,0.52464,0.52399,0.5234,0.52272,0.52189,0.52174,0.52165,0.52083,0.52052,0.52017,0.52007,0.51923,0.51835,0.51837,0.51799,0.51695,0.51741,0.51744,0.51689,0.51543,0.51608,0.51591,0.51531,0.51525,0.51518,0.51408,0.51475,0.51413,0.51416,0.51531,0.51395,0.51332,0.51317,0.51346,0.51296,0.51239,0.51265,0.51203,0.51254,0.51172,0.51171,0.5115,0.51075,
505.000,0.65095,0.64508,0.63851,0.63279,0.62697,0.62169,0.61642,0.61114,0.60533,0.60209,0.59816,0.5941,0.58967,0.58611,0.58282,0.57934,0.57683,0.5731,0.57124,0.56845,0.565,0.56269,0.56038,0.55878,0.55621,0.55469,0.55206,0.55022,0.54896,0.54726,0.54555,0.54327,0.54301,0.54121,0.54121,0.53872,0.53792,0.53612,0.53612,0.53515,0.53319,0.53287,0.53148,0.53038,0.52968,0.52866,0.52728,0.52698,0.52655,0.52443,0.52397,0.52322,0.52265,0.52121,0.52107,0.52031,0.5193,0.51902,0.51792,0.518,0.51626,0.51584,0.51433,0.51457,0.51459,0.51373,0.51281,0.51203,0.51152,0.51094,0.51012,0.50977,0.50971,0.50868,0.50797,0.50835,0.50693,0.50714,0.50663,0.50546,0.50584,0.50504,0.50489,0.50484,0.50388,0.50408,0.50566,0.50561,0.50566,0.50556,0.50449,0.50427,0.50374,0.50359,0.50368,0.50217,0.50244,0.50201,0.50174,0.50045,0.50069,0.49999,
506.000,0.64621,0.63919,0.63202,0.62598,0.62007,0.61366,0.60855,0.60347,0.59877,0.59354,0.58953,0.58587,0.58068,0.57783,0.57326,0.57052,0.56616,0.56336,0.56102,0.55808,0.55502,0.55362,0.54986,0.54772,0.54588,0.54369,0.54166,0.53976,0.53773,0.53486,0.53289,0.53144,0.53006,0.52855,0.52855,0.52646,0.52588,0.52422,0.52422,0.52277,0.52072,0.51966,0.51855,0.51701,0.51584,0.51499,0.51442,0.5132,0.51249,0.5108,0.50999,0.50914,0.50782,0.50716,0.5069,0.50669,0.50527,0.50429,0.50357,0.50289,0.50128,0.50042,0.50009,0.49938,0.49861,0.49808,0.49786,0.49639,0.49576,0.49514,0.49465,0.49402,0.49364,0.49208,0.49232,0.49165,0.49148,0.48975,0.4896,0.48917,0.48913,0.48853,0.48849,0.48782,0.48675,0.48715,0.4884,0.49043,0.4894,0.48909,0.48891,0.48813,0.48732,0.48762,0.48651,0.48618,0.4856,0.48576,0.48459,0.48447,0.48343,0.48222,
507.000,0.63733,0.63039,0.62318,0.61614,0.60971,0.60418,0.59708,0.59242,0.58699,0.58196,0.57686,0.57309,0.56798,0.56413,0.56059,0.558,0.55343,0.55006,0.54755,0.54408,0.54175,0.53817,0.53585,0.53365,0.53039,0.5287,0.5264,0.52422,0.52177,0.52002,0.51753,0.51615,0.51422,0.51273,0.51273,0.51132,0.50927,0.50854,0.50854,0.50643,0.5057,0.50377,0.50233,0.50086,0.49958,0.49904,0.49722,0.49513,0.49598,0.49404,0.49253,0.49159,0.49157,0.49024,0.48917,0.48859,0.48749,0.48616,0.48616,0.48459,0.48327,0.48324,0.48256,0.48147,0.48122,0.47976,0.47934,0.47867,0.47786,0.47697,0.47619,0.47599,0.47518,0.47445,0.47396,0.47246,0.47249,0.47199,0.47148,0.47104,0.4704,0.47031,0.46969,0.46876,0.46904,0.46817,0.47014,0.47165,0.47148,0.47111,0.46956,0.47018,0.46906,0.46907,0.46887,0.46784,0.46732,0.46602,0.46555,0.46543,0.46509,0.4647,
508.000,0.62602,0.61908,0.61131,0.60461,0.59727,0.59015,0.58486,0.57867,0.57331,0.56807,0.56278,0.55873,0.55461,0.55002,0.54543,0.5417,0.53844,0.53527,0.5312,0.52813,0.52524,0.52251,0.51956,0.51752,0.51424,0.51273,0.50992,0.50719,0.50437,0.50221,0.50151,0.49806,0.49754,0.49549,0.49549,0.49394,0.4916,0.48993,0.48993,0.4882,0.48721,0.4857,0.48411,0.48232,0.48089,0.48072,0.47919,0.47862,0.47705,0.47595,0.47513,0.47344,0.47312,0.47175,0.47154,0.47072,0.4699,0.46797,0.46724,0.46663,0.46565,0.46513,0.464,0.46385,0.46373,0.46165,0.4611,0.46061,0.46034,0.45973,0.4593,0.4581,0.45715,0.45631,0.45587,0.45554,0.4543,0.45399,0.45397,0.45288,0.4532,0.45253,0.45169,0.45138,0.45121,0.45007,0.45194,0.4532,0.45338,0.45316,0.45116,0.4519,0.45084,0.45069,0.4497,0.44928,0.44855,0.44834,0.44793,0.4474,0.44755,0.44652,
509.000,0.61755,0.60989,0.60213,0.59519,0.58682,0.58045,0.57502,0.56806,0.56267,0.55701,0.55243,0.54759,0.54332,0.5379,0.53435,0.53046,0.52575,0.52207,0.51858,0.51581,0.51261,0.50941,0.50687,0.50362,0.50155,0.49908,0.49666,0.49414,0.49197,0.48912,0.48718,0.4856,0.48444,0.48225,0.48225,0.48066,0.47798,0.47752,0.47752,0.47604,0.47337,0.47254,0.47127,0.46984,0.46907,0.46801,0.46604,0.46458,0.4648,0.46297,0.46184,0.46105,0.46009,0.45855,0.45762,0.45734,0.4561,0.45531,0.45426,0.45386,0.45354,0.45191,0.45184,0.45084,0.45086,0.4493,0.4492,0.44765,0.44854,0.44737,0.44725,0.44575,0.44626,0.44475,0.44439,0.4442,0.44337,0.44325,0.44263,0.44274,0.44138,0.44152,0.44106,0.44165,0.44097,0.44082,0.44069,0.44147,0.44044,0.44014,0.43958,0.43986,0.43912,0.43821,0.43899,0.43807,0.43778,0.43722,0.4374,0.43637,0.43674,0.43625,
510.000,0.61536,0.60708,0.59959,0.59207,0.58468,0.57826,0.57177,0.56464,0.56002,0.55292,0.54827,0.5439,0.53898,0.53449,0.53041,0.52606,0.52274,0.51862,0.51478,0.51185,0.50954,0.5061,0.50278,0.50079,0.49849,0.4945,0.49242,0.49043,0.48826,0.48553,0.48369,0.48244,0.48041,0.4785,0.4785,0.47705,0.47466,0.47329,0.47329,0.47155,0.47139,0.4688,0.46825,0.46711,0.46531,0.46446,0.46356,0.4619,0.46141,0.46061,0.45922,0.45862,0.45751,0.4567,0.45542,0.45554,0.45418,0.45303,0.45262,0.45214,0.45138,0.45073,0.45016,0.44984,0.44966,0.44863,0.44883,0.44712,0.44756,0.44618,0.44645,0.44586,0.4456,0.44485,0.4453,0.44502,0.44445,0.44352,0.44355,0.44374,0.44307,0.44302,0.44265,0.4427,0.44239,0.44225,0.44015,0.44017,0.43959,0.43935,0.43891,0.43963,0.43948,0.43929,0.4382,0.43895,0.43859,0.43843,0.43864,0.43845,0.43852,0.43809,
