;1;
Wavenumbers [1/cm];Transmittance;
7496,969;0,08932315;
7495,040;0,09008377;
7493,112;0,09068744;
7491,183;0,09149738;
7489,254;0,09267897;
7487,326;0,09428252;
7485,397;0,0958578;
7483,468;0,09683798;
7481,539;0,09740906;
7479,611;0,09789594;
7477,682;0,09821536;
7475,753;0,09851337;
7473,824;0,09916902;
7471,896;0,1001924;
7469,967;0,1011985;
7468,038;0,1016633;
7466,110;0,1017996;
7464,181;0,1025996;
7462,252;0,1040286;
7460,323;0,1054308;
7458,395;0,1068122;
7456,466;0,1081053;
7454,537;0,1091542;
7452,608;0,1100357;
7450,680;0,1109809;
7448,751;0,1123881;
7446,822;0,1141172;
7444,893;0,1155299;
7442,965;0,1164295;
7441,036;0,117289;
7439,107;0,1185999;
7437,179;0,1202654;
7435,250;0,1218928;
7433,321;0,1230428;
7431,392;0,1236347;
7429,464;0,1244609;
7427,535;0,1260048;
7425,606;0,1277021;
7423,677;0,1293903;
7421,749;0,1313519;
7419,820;0,1329691;
7417,891;0,1338126;
7415,963;0,134867;
7414,034;0,1366587;
7412,105;0,1383853;
7410,176;0,1397597;
7408,248;0,1412702;
7406,319;0,1428712;
7404,390;0,1441702;
7402,461;0,145325;
7400,533;0,1470095;
7398,604;0,1494315;
7396,675;0,1518034;
7394,747;0,1533663;
7392,818;0,1543977;
7390,889;0,1557477;
7388,960;0,1576017;
7387,032;0,1593115;
7385,103;0,1605468;
7383,174;0,1619039;
7381,245;0,1637517;
7379,317;0,1656236;
7377,388;0,1674421;
7375,459;0,1692971;
7373,531;0,1708864;
7371,602;0,1722985;
7369,673;0,1737648;
7367,744;0,1752876;
7365,816;0,176705;
7363,887;0,1779111;
7361,958;0,1792537;
7360,029;0,1809457;
7358,101;0,1827453;
7356,172;0,1843495;
7354,243;0,1857047;
7352,314;0,1871995;
7350,386;0,1890483;
7348,457;0,1908044;
7346,528;0,1920592;
7344,600;0,1928559;
7342,671;0,1936685;
7340,742;0,1949133;
7338,813;0,1960905;
7336,885;0,1968262;
7334,956;0,1977106;
7333,027;0,1989733;
7331,098;0,2001031;
7329,170;0,2009578;
7327,241;0,2020894;
7325,312;0,2035987;
7323,384;0,2048603;
7321,455;0,2055506;
7319,526;0,205863;
7317,597;0,2061998;
7315,669;0,2068441;
7313,740;0,2076103;
7311,811;0,2080704;
7309,882;0,2082883;
7307,954;0,2086907;
7306,025;0,2089518;
7304,096;0,2085765;
7302,168;0,2081926;
7300,239;0,2083613;
7298,310;0,2085955;
7296,381;0,2085727;
7294,453;0,208337;
7292,524;0,207872;
7290,595;0,2075904;
7288,666;0,2077132;
7286,738;0,2075965;
7284,809;0,206922;
7282,880;0,2063011;
7280,952;0,2060387;
7279,023;0,2056177;
7277,094;0,2047854;
7275,165;0,2039528;
7273,237;0,2032028;
7271,308;0,2021334;
7269,379;0,2009649;
7267,450;0,2002251;
7265,522;0,1997083;
7263,593;0,1989683;
7261,664;0,1979583;
7259,736;0,1969002;
7257,807;0,1956649;
7255,878;0,1939361;
7253,949;0,1921838;
7252,021;0,1909368;
7250,092;0,1899107;
7248,163;0,188758;
7246,234;0,1875822;
7244,306;0,186466;
7242,377;0,1850614;
7240,448;0,1832424;
7238,519;0,1813927;
7236,591;0,1797297;
7234,662;0,1783914;
7232,733;0,1772808;
7230,805;0,1756695;
7228,876;0,1734532;
7226,947;0,1715093;
7225,018;0,1700879;
7223,090;0,1687584;
7221,161;0,1673792;
7219,232;0,165867;
7217,303;0,1641377;
7215,375;0,1623235;
7213,446;0,1604543;
7211,517;0,1586017;
7209,589;0,1570513;
7207,660;0,1558737;
7205,731;0,154666;
7203,802;0,1530281;
7201,874;0,1511533;
7199,945;0,1492665;
7198,016;0,1472948;
7196,087;0,1454644;
7194,159;0,1439807;
7192,230;0,142666;
7190,301;0,1411947;
7188,373;0,1392632;
7186,444;0,1370762;
7184,515;0,1352323;
7182,586;0,1338758;
7180,658;0,1326312;
7178,729;0,131222;
7176,800;0,1295846;
7174,871;0,1279468;
7172,943;0,1266773;
7171,014;0,1254351;
7169,085;0,1238552;
7167,157;0,1223356;
7165,228;0,1210556;
7163,299;0,1197342;
7161,370;0,1181815;
7159,442;0,1165769;
7157,513;0,1152062;
7155,584;0,1139947;
7153,655;0,1127968;
7151,727;0,1116277;
7149,798;0,1105759;
7147,869;0,1095376;
7145,941;0,1081851;
7144,012;0,1065997;
7142,083;0,1052543;
7140,154;0,1043185;
7138,226;0,1034435;
7136,297;0,102372;
7134,368;0,1012257;
7132,439;0,09992936;
7130,511;0,09849261;
7128,582;0,09741457;
7126,653;0,09672752;
7124,724;0,09588576;
7122,796;0,0947771;
7120,867;0,09361839;
7118,938;0,09257989;
7117,010;0,09171522;
7115,081;0,09076426;
7113,152;0,08967654;
7111,223;0,08877875;
7109,295;0,0880534;
7107,366;0,08724748;
7105,437;0,08645441;
7103,508;0,08567113;
7101,580;0,08472872;
7099,651;0,08404888;
7097,722;0,08375826;
7095,794;0,08309213;
7093,865;0,08178707;
7091,936;0,08042157;
7090,007;0,07959639;
7088,079;0,07925263;
7086,150;0,07881767;
7084,221;0,07817497;
7082,292;0,0777171;
7080,364;0,07744297;
7078,435;0,07675613;
7076,506;0,07553168;
7074,578;0,07443456;
7072,649;0,07370872;
7070,720;0,07313164;
7068,791;0,07264016;
7066,863;0,07214704;
7064,934;0,07172655;
7063,005;0,07153582;
7061,076;0,07132537;
7059,148;0,07087465;
7057,219;0,07038263;
7055,290;0,06999358;
7053,362;0,06963728;
7051,433;0,06941351;
7049,504;0,06927219;
7047,575;0,06888673;
7045,647;0,06848305;
7043,718;0,06830652;
7041,789;0,0679515;
7039,860;0,06738913;
7037,932;0,06682372;
7036,003;0,06613609;
7034,074;0,06562822;
7032,146;0,0656093;
7030,217;0,06565428;
7028,288;0,06534218;
7026,359;0,0647479;
7024,431;0,06429821;
7022,502;0,06428678;
7020,573;0,06436781;
7018,644;0,06424896;
7016,716;0,06404081;
7014,787;0,0635339;
7012,858;0,06266204;
7010,929;0,0621188;
7009,001;0,06227747;
7007,072;0,06250378;
7005,143;0,06237379;
7003,215;0,06222511;
7001,286;0,06213405;
6999,357;0,06187413;
6997,428;0,06157747;
6995,500;0,06145973;
6993,571;0,06140738;
6991,642;0,06123162;
6989,713;0,06101041;
6987,785;0,06089685;
6985,856;0,06094724;
6983,927;0,0611482;
6981,999;0,06132281;
6980,070;0,06126062;
6978,141;0,0610205;
6976,212;0,06089606;
6974,284;0,06097084;
6972,355;0,06102635;
6970,426;0,0610317;
6968,497;0,06119389;
6966,569;0,06147844;
6964,640;0,06148579;
6962,711;0,06121753;
6960,783;0,06114343;
6958,854;0,06126006;
6956,925;0,06137222;
6954,996;0,06144031;
6953,068;0,06132831;
6951,139;0,06106246;
6949,210;0,06082409;
6947,281;0,06079264;
6945,353;0,06097986;
6943,424;0,06129003;
6941,495;0,06168599;
6939,567;0,06193854;
6937,638;0,06198071;
6935,709;0,06208522;
6933,780;0,06237179;
6931,852;0,06274859;
6929,923;0,06294726;
6927,994;0,06285997;
6926,065;0,06286675;
6924,137;0,06328338;
6922,208;0,06388567;
6920,279;0,06420503;
6918,350;0,06402915;
6916,422;0,06378214;
6914,493;0,06402285;
6912,564;0,06463547;
6910,636;0,06518725;
6908,707;0,0655729;
6906,778;0,06589849;
6904,849;0,06615271;
6902,921;0,06632733;
6900,992;0,06666131;
6899,063;0,06725547;
6897,134;0,06786209;
6895,206;0,06832005;
6893,277;0,06868336;
6891,348;0,06900936;
6889,420;0,06934386;
6887,491;0,06964194;
6885,562;0,06981062;
6883,633;0,07000435;
6881,705;0,07052098;
6879,776;0,07129004;
6877,847;0,07197823;
6875,918;0,07253826;
6873,990;0,07303379;
6872,061;0,07344019;
6870,132;0,07385529;
6868,204;0,07441804;
6866,275;0,07517885;
6864,346;0,07598836;
6862,417;0,07676201;
6860,489;0,07755286;
6858,560;0,07812081;
6856,631;0,07844681;
6854,702;0,07903775;
6852,774;0,08004238;
6850,845;0,08102027;
6848,916;0,08166159;
6846,988;0,08211534;
6845,059;0,08266586;
6843,130;0,08341936;
6841,201;0,08428877;
6839,273;0,0852077;
6837,344;0,08623475;
6835,415;0,08737073;
6833,486;0,08846769;
6831,558;0,08941378;
6829,629;0,09034707;
6827,700;0,09126201;
6825,772;0,0919451;
6823,843;0,09263403;
6821,914;0,09357493;
6819,985;0,09451111;
6818,057;0,09534734;
6816,128;0,09634432;
6814,199;0,09765573;
6812,270;0,09907445;
6810,342;0,1002772;
6808,413;0,1013404;
6806,484;0,1026044;
6804,555;0,1040036;
6802,627;0,1051439;
6800,698;0,1060586;
6798,769;0,1071865;
6796,841;0,1087094;
6794,912;0,1103718;
6792,983;0,1118211;
6791,054;0,1131071;
6789,126;0,114469;
6787,197;0,1158015;
6785,268;0,1170132;
6783,339;0,1182447;
6781,411;0,1195897;
6779,482;0,1211018;
6777,553;0,1227451;
6775,625;0,1242791;
6773,696;0,1255791;
6771,767;0,1269319;
6769,838;0,1284433;
6767,910;0,1299353;
6765,981;0,1315484;
6764,052;0,1332393;
6762,123;0,134732;
6760,195;0,1362312;
6758,266;0,1378643;
6756,337;0,139392;
6754,409;0,140929;
6752,480;0,1426883;
6750,551;0,1443956;
6748,622;0,1458314;
6746,694;0,1473725;
6744,765;0,1492683;
6742,836;0,1510418;
6740,907;0,1524858;
6738,979;0,1540566;
6737,050;0,1558546;
6735,121;0,1575373;
6733,193;0,1589847;
6731,264;0,1604517;
6729,335;0,1620815;
6727,406;0,1635954;
6725,478;0,1649297;
6723,549;0,1664293;
6721,620;0,1681042;
6719,691;0,1695973;
6717,763;0,1709125;
6715,834;0,1722617;
6713,905;0,1735122;
6711,977;0,1746367;
6710,048;0,1758814;
6708,119;0,1772576;
6706,190;0,1785972;
6704,262;0,1797122;
6702,333;0,1804994;
