Wavelength nm.	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...	kine_114252 - ...
500.00	0.60430	0.59321	0.58185	0.57465	0.56580	0.55866	0.55238	0.54814	0.54321	0.53847	0.53437	0.53037	0.52634	0.52310	0.51953	0.51675	0.51285	0.51003	0.50749	0.50523	0.50310	0.50107	0.49825	0.49661	0.49486	0.49279	0.49069	0.48932	0.48780	0.48645	0.48555	0.48385	0.48225	0.48182	0.47931	0.47907	0.47718	0.47671	0.47632	0.47484	0.47436	0.47323	0.47312	0.47259	0.47087	0.47083	0.47014	0.46962	0.46867	0.46798	0.46784	0.46732	0.46652	0.46614	0.46575	0.46493	0.46475	0.46466	0.46289	0.46331	0.46326	0.46276	0.46234	0.46195	0.46161	0.46115	0.46151	0.46088	0.46009	0.46032	0.46004	0.45898	0.45970	0.45873	0.45881	0.45846	0.45845	0.45739	0.45805	0.45758	0.45661
501.00	0.60243	0.59082	0.57995	0.56959	0.56275	0.55584	0.54882	0.54345	0.53924	0.53479	0.53048	0.52615	0.52169	0.51896	0.51453	0.51176	0.50809	0.50613	0.50271	0.50089	0.49855	0.49665	0.49357	0.49188	0.48910	0.48786	0.48532	0.48351	0.48257	0.48093	0.47926	0.47763	0.47635	0.47556	0.47374	0.47324	0.47135	0.47154	0.47048	0.46926	0.46911	0.46710	0.46710	0.46547	0.46555	0.46554	0.46442	0.46444	0.46314	0.46205	0.46197	0.46177	0.46088	0.46133	0.46058	0.46058	0.46027	0.46041	0.45980	0.45975	0.45917	0.45874	0.45832	0.45757	0.45685	0.45619	0.45588	0.45549	0.45503	0.45353	0.45483	0.45375	0.45354	0.45295	0.45208	0.45170	0.45095	0.45113	0.45059	0.45037	0.44925
502.00	0.59815	0.58638	0.57531	0.56566	0.55684	0.54947	0.54336	0.53716	0.53255	0.52750	0.52361	0.51954	0.51459	0.51134	0.50734	0.50402	0.49988	0.49793	0.49534	0.49278	0.49110	0.48830	0.48660	0.48368	0.48134	0.47960	0.47775	0.47473	0.47359	0.47176	0.47058	0.46984	0.46726	0.46575	0.46428	0.46320	0.46293	0.46140	0.46171	0.46015	0.45923	0.45820	0.45735	0.45685	0.45663	0.45631	0.45594	0.45562	0.45466	0.45416	0.45380	0.45275	0.45220	0.45282	0.45218	0.45216	0.45215	0.45225	0.45222	0.45263	0.45093	0.45046	0.45033	0.44912	0.44807	0.44824	0.44719	0.44612	0.44592	0.44551	0.44415	0.44369	0.44409	0.44296	0.44251	0.44154	0.44100	0.43999	0.43999	0.43938	0.43908
503.00	0.59228	0.57944	0.56781	0.55739	0.54918	0.54112	0.53470	0.52856	0.52374	0.51903	0.51370	0.50897	0.50447	0.50060	0.49680	0.49336	0.49060	0.48741	0.48487	0.48252	0.47957	0.47707	0.47540	0.47228	0.47014	0.46739	0.46608	0.46384	0.46220	0.46052	0.45864	0.45751	0.45520	0.45478	0.45366	0.45214	0.45143	0.44979	0.44865	0.44849	0.44661	0.44601	0.44545	0.44470	0.44394	0.44419	0.44419	0.44322	0.44206	0.44167	0.44165	0.44169	0.43982	0.44073	0.43938	0.43966	0.44090	0.44051	0.43996	0.43983	0.43926	0.43878	0.43857	0.43707	0.43605	0.43529	0.43451	0.43381	0.43229	0.43215	0.43155	0.43118	0.43074	0.43005	0.42951	0.42824	0.42795	0.42701	0.42649	0.42674	0.42561
504.00	0.58519	0.57176	0.56025	0.54979	0.54076	0.53321	0.52540	0.51969	0.51436	0.50993	0.50461	0.49902	0.49395	0.49107	0.48667	0.48365	0.48016	0.47728	0.47417	0.47156	0.46874	0.46724	0.46387	0.46123	0.45909	0.45665	0.45455	0.45242	0.45016	0.44840	0.44728	0.44550	0.44443	0.44339	0.44141	0.43968	0.43914	0.43780	0.43678	0.43623	0.43536	0.43407	0.43288	0.43270	0.43219	0.43142	0.43084	0.43076	0.43026	0.42887	0.42911	0.42780	0.42791	0.42804	0.42703	0.42746	0.42753	0.42685	0.42744	0.42680	0.42610	0.42582	0.42527	0.42378	0.42325	0.42211	0.42152	0.42040	0.42020	0.41928	0.41881	0.41831	0.41767	0.41673	0.41659	0.41547	0.41569	0.41502	0.41420	0.41327	0.41321
505.00	0.58123	0.56737	0.55422	0.54385	0.53426	0.52564	0.51862	0.51240	0.50674	0.50166	0.49681	0.49150	0.48698	0.48357	0.47913	0.47462	0.47172	0.46850	0.46567	0.46330	0.46050	0.45710	0.45449	0.45229	0.45008	0.44715	0.44526	0.44314	0.44101	0.43957	0.43721	0.43639	0.43528	0.43345	0.43222	0.43102	0.43000	0.42905	0.42799	0.42706	0.42501	0.42445	0.42356	0.42310	0.42209	0.42091	0.42076	0.42001	0.41936	0.41856	0.41835	0.41747	0.41751	0.41721	0.41597	0.41617	0.41588	0.41565	0.41632	0.41528	0.41484	0.41365	0.41281	0.41256	0.41197	0.41158	0.41066	0.40999	0.40921	0.40924	0.40790	0.40767	0.40784	0.40693	0.40615	0.40613	0.40561	0.40481	0.40460	0.40471	0.40446
506.00	0.58093	0.56582	0.55311	0.54159	0.53223	0.52458	0.51614	0.50966	0.50394	0.49928	0.49411	0.48870	0.48413	0.47998	0.47587	0.47166	0.46748	0.46458	0.46189	0.45808	0.45585	0.45305	0.45106	0.44804	0.44564	0.44384	0.44109	0.43976	0.43770	0.43526	0.43413	0.43282	0.43059	0.42915	0.42832	0.42684	0.42536	0.42442	0.42331	0.42229	0.42095	0.42013	0.41922	0.41873	0.41735	0.41633	0.41548	0.41536	0.41457	0.41358	0.41241	0.41273	0.41141	0.41130	0.41026	0.41020	0.40917	0.40928	0.40905	0.40872	0.40791	0.40707	0.40700	0.40612	0.40532	0.40548	0.40462	0.40453	0.40384	0.40406	0.40302	0.40304	0.40277	0.40235	0.40183	0.40156	0.40192	0.40152	0.40119	0.40050	0.40030
507.00	0.58405	0.56975	0.55654	0.54479	0.53511	0.52660	0.51984	0.51361	0.50719	0.50147	0.49794	0.49195	0.48704	0.48286	0.47879	0.47503	0.46999	0.46696	0.46395	0.46097	0.45793	0.45485	0.45245	0.45025	0.44768	0.44586	0.44408	0.44261	0.44075	0.43849	0.43645	0.43547	0.43475	0.43259	0.43067	0.42985	0.42863	0.42693	0.42659	0.42530	0.42316	0.42261	0.42203	0.42092	0.41938	0.41958	0.41823	0.41667	0.41560	0.41552	0.41519	0.41403	0.41283	0.41236	0.41222	0.41099	0.40976	0.40964	0.40902	0.40893	0.40791	0.40716	0.40679	0.40682	0.40597	0.40650	0.40633	0.40553	0.40561	0.40558	0.40556	0.40603	0.40488	0.40540	0.40510	0.40436	0.40522	0.40431	0.40483	0.40492	0.40481
508.00	0.59059	0.57643	0.56351	0.55184	0.54230	0.53305	0.52652	0.52008	0.51346	0.50875	0.50393	0.49868	0.49467	0.49028	0.48607	0.48211	0.47827	0.47425	0.47145	0.46715	0.46408	0.46193	0.45888	0.45726	0.45550	0.45398	0.45159	0.45031	0.44767	0.44621	0.44465	0.44341	0.44199	0.44031	0.43913	0.43719	0.43626	0.43513	0.43434	0.43331	0.43138	0.43016	0.42964	0.42892	0.42722	0.42714	0.42497	0.42374	0.42321	0.42290	0.42268	0.42108	0.41985	0.41921	0.41916	0.41804	0.41585	0.41521	0.41430	0.41389	0.41316	0.41323	0.41307	0.41312	0.41247	0.41303	0.41358	0.41313	0.41347	0.41379	0.41289	0.41308	0.41247	0.41297	0.41375	0.41330	0.41416	0.41404	0.41355	0.41399	0.41426
509.00	0.60051	0.58529	0.57293	0.56174	0.55262	0.54352	0.53658	0.53021	0.52444	0.51913	0.51449	0.50921	0.50511	0.50131	0.49615	0.49217	0.48872	0.48473	0.48104	0.47778	0.47551	0.47235	0.46966	0.46783	0.46613	0.46448	0.46227	0.46074	0.45987	0.45700	0.45551	0.45406	0.45315	0.45179	0.45044	0.44925	0.44726	0.44622	0.44537	0.44434	0.44326	0.44152	0.44103	0.44007	0.43920	0.43803	0.43708	0.43592	0.43455	0.43418	0.43409	0.43217	0.43188	0.43116	0.43131	0.42876	0.42734	0.42625	0.42481	0.42459	0.42430	0.42415	0.42330	0.42429	0.42496	0.42468	0.42518	0.42498	0.42509	0.42514	0.42551	0.42583	0.42529	0.42610	0.42580	0.42611	0.42676	0.42650	0.42636	0.42656	0.42722
