;1;
Wavenumbers [1/cm];Transmittance;
7496,969;0,1079819;
7495,040;0,1072315;
7493,112;0,1064162;
7491,183;0,1053136;
7489,254;0,10394;
7487,326;0,1030747;
7485,397;0,1027099;
7483,468;0,1022296;
7481,539;0,1014619;
7479,611;0,100375;
7477,682;0,09908495;
7475,753;0,09777887;
7473,824;0,09659193;
7471,896;0,09587485;
7469,967;0,09565173;
7468,038;0,09512364;
7466,110;0,0939424;
7464,181;0,09286158;
7462,252;0,09245545;
7460,323;0,09244208;
7458,395;0,09209473;
7456,466;0,09119167;
7454,537;0,090307;
7452,608;0,08961978;
7450,680;0,08870663;
7448,751;0,08767033;
7446,822;0,08697511;
7444,893;0,08639628;
7442,965;0,08550981;
7441,036;0,08461271;
7439,107;0,08422041;
7437,179;0,08425043;
7435,250;0,08408126;
7433,321;0,08356912;
7431,392;0,0830765;
7429,464;0,08223508;
7427,535;0,08076596;
7425,606;0,07982375;
7423,677;0,08003215;
7421,749;0,07994716;
7419,820;0,07878473;
7417,891;0,07766353;
7415,963;0,07726601;
7414,034;0,07733518;
7412,105;0,07758754;
7410,176;0,07754007;
7408,248;0,07674539;
7406,319;0,07569435;
7404,390;0,07537536;
7402,461;0,07555499;
7400,533;0,07521601;
7398,604;0,07447347;
7396,675;0,07389738;
7394,747;0,07338616;
7392,818;0,07293844;
7390,889;0,07252695;
7388,960;0,07199482;
7387,032;0,07174443;
7385,103;0,07172156;
7383,174;0,07139212;
7381,245;0,07069869;
7379,317;0,06980944;
7377,388;0,0696126;
7375,459;0,07053764;
7373,531;0,07106749;
7371,602;0,07063577;
7369,673;0,07038675;
7367,744;0,07054719;
7365,816;0,07070725;
7363,887;0,07069211;
7361,958;0,07018561;
7360,029;0,06950156;
7358,101;0,06936684;
7356,172;0,06921281;
7354,243;0,06812228;
7352,314;0,06698207;
7350,386;0,06697651;
7348,457;0,06755979;
7346,528;0,06786215;
7344,600;0,06775356;
7342,671;0,06741913;
7340,742;0,06755214;
7338,813;0,06856193;
7336,885;0,0695875;
7334,956;0,06987476;
7333,027;0,06969491;
7331,098;0,06940719;
7329,170;0,06916084;
7327,241;0,06923445;
7325,312;0,0697399;
7323,384;0,07025319;
7321,455;0,07036228;
7319,526;0,07036403;
7317,597;0,07060508;
7315,669;0,07057961;
7313,740;0,07003982;
7311,811;0,06975004;
7309,882;0,07017435;
7307,954;0,07089966;
7306,025;0,07122742;
7304,096;0,07079068;
7302,168;0,06978001;
7300,239;0,06898049;
7298,310;0,06921116;
7296,381;0,07015662;
7294,453;0,07127748;
7292,524;0,07256383;
7290,595;0,07342869;
7288,666;0,07354971;
7286,738;0,0736046;
7284,809;0,07399143;
7282,880;0,07449005;
7280,952;0,07485299;
7279,023;0,07516394;
7277,094;0,07575328;
7275,165;0,07635357;
7273,237;0,07638899;
7271,308;0,07621738;
7269,379;0,0764904;
7267,450;0,0771758;
7265,522;0,07785062;
7263,593;0,07796196;
7261,664;0,07743961;
7259,736;0,07712667;
7257,807;0,07778174;
7255,878;0,07909097;
7253,949;0,08032001;
7252,021;0,08133311;
7250,092;0,08225233;
7248,163;0,08297408;
7246,234;0,08347198;
7244,306;0,08378348;
7242,377;0,08383951;
7240,448;0,08397146;
7238,519;0,08469652;
7236,591;0,08583819;
7234,662;0,086965;
7232,733;0,08785103;
7230,805;0,08838965;
7228,876;0,08880719;
7226,947;0,08938079;
7225,018;0,09040911;
7223,090;0,09161332;
7221,161;0,09192412;
7219,232;0,09166031;
7217,303;0,09219536;
7215,375;0,09358598;
7213,446;0,09538408;
7211,517;0,09709335;
7209,589;0,09796698;
7207,660;0,09817634;
7205,731;0,09832415;
7203,802;0,09885354;
7201,874;0,1001369;
7199,945;0,1018058;
7198,016;0,1032759;
7196,087;0,1043765;
7194,159;0,1050673;
7192,230;0,1056687;
7190,301;0,1065312;
7188,373;0,1075793;
7186,444;0,1088692;
7184,515;0,1103651;
7182,586;0,1115597;
7180,658;0,1122024;
7178,729;0,1127273;
7176,800;0,1136841;
7174,871;0,1149849;
7172,943;0,1164988;
7171,014;0,118371;
7169,085;0,1201259;
7167,157;0,1213407;
7165,228;0,122267;
7163,299;0,1229904;
7161,370;0,1236112;
7159,442;0,1246507;
7157,513;0,1262315;
7155,584;0,1278098;
7153,655;0,1290147;
7151,727;0,1300426;
7149,798;0,1313552;
7147,869;0,1328438;
7145,941;0,1338682;
7144,012;0,1347327;
7142,083;0,1360623;
7140,154;0,1371418;
7138,226;0,1374846;
7136,297;0,1380869;
7134,368;0,139444;
7132,439;0,1411695;
7130,511;0,143089;
7128,582;0,1447846;
7126,653;0,1459493;
7124,724;0,1469606;
7122,796;0,1479861;
7120,867;0,1487319;
7118,938;0,1492584;
7117,010;0,1500888;
7115,081;0,1514607;
7113,152;0,1530081;
7111,223;0,154227;
7109,295;0,1551374;
7107,366;0,1560107;
7105,437;0,1570244;
7103,508;0,1583283;
7101,580;0,1596938;
7099,651;0,1609194;
7097,722;0,161945;
7095,794;0,1624953;
7093,865;0,1627047;
7091,936;0,1631724;
7090,007;0,1642535;
7088,079;0,1655971;
7086,150;0,1666049;
7084,221;0,1672436;
7082,292;0,1679372;
7080,364;0,1689316;
7078,435;0,1699567;
7076,506;0,1706134;
7074,578;0,1708996;
7072,649;0,1712462;
7070,720;0,1719009;
7068,791;0,1726615;
7066,863;0,1734662;
7064,934;0,1742861;
7063,005;0,1748406;
7061,076;0,1749095;
7059,148;0,1748108;
7057,219;0,1750452;
7055,290;0,1752707;
7053,362;0,1750591;
7051,433;0,1748812;
7049,504;0,1752687;
7047,575;0,1760436;
7045,647;0,1767264;
7043,718;0,1770992;
7041,789;0,1770786;
7039,860;0,1767493;
7037,932;0,1764051;
7036,003;0,1762997;
7034,074;0,1764653;
7032,146;0,1765529;
7030,217;0,1763891;
7028,288;0,1762032;
7026,359;0,1759741;
7024,431;0,1756424;
7022,502;0,1753272;
7020,573;0,1749167;
7018,644;0,1744333;
7016,716;0,1739962;
7014,787;0,1733402;
7012,858;0,1724538;
7010,929;0,1715429;
7009,001;0,1707885;
7007,072;0,1705592;
7005,143;0,1704365;
7003,215;0,1696916;
7001,286;0,1685714;
6999,357;0,1674008;
6997,428;0,166329;
6995,500;0,1656914;
6993,571;0,1653503;
6991,642;0,1647926;
6989,713;0,1639023;
6987,785;0,1629911;
6985,856;0,1620912;
6983,927;0,1610589;
6981,999;0,1600135;
6980,070;0,1588371;
6978,141;0,1575543;
6976,212;0,1565853;
6974,284;0,1557898;
6972,355;0,1547414;
6970,426;0,1534238;
6968,497;0,1520413;
6966,569;0,1507284;
6964,640;0,1494536;
6962,711;0,1481713;
6960,783;0,1468933;
6958,854;0,145671;
6956,925;0,1445179;
6954,996;0,1433448;
6953,068;0,1420038;
6951,139;0,1404124;
6949,210;0,1389083;
6947,281;0,1378307;
6945,353;0,1368776;
6943,424;0,1357265;
6941,495;0,1344057;
6939,567;0,1330218;
6937,638;0,1317042;
6935,709;0,1303024;
6933,780;0,1286732;
6931,852;0,1271975;
6929,923;0,1261692;
6927,994;0,125236;
6926,065;0,1239073;
6924,137;0,1223962;
6922,208;0,1211643;
6920,279;0,1199419;
6918,350;0,1184779;
6916,422;0,1171904;
6914,493;0,1162811;
6912,564;0,1153588;
6910,636;0,1141057;
6908,707;0,1127126;
6906,778;0,1114479;
6904,849;0,1101601;
6902,921;0,108691;
6900,992;0,1072885;
6899,063;0,1061304;
6897,134;0,1050786;
6895,206;0,1040707;
6893,277;0,1031964;
6891,348;0,1023718;
6889,420;0,1012952;
6887,491;0,0999423;
6885,562;0,09878054;
6883,633;0,09803131;
6881,705;0,09727003;
6879,776;0,0962324;
6877,847;0,09522864;
6875,918;0,09440723;
6873,990;0,09346303;
6872,061;0,09225631;
6870,132;0,09092258;
6868,204;0,08958512;
6866,275;0,0884961;
6864,346;0,08776752;
6862,417;0,08713635;
6860,489;0,08640894;
6858,560;0,08547304;
6856,631;0,08425886;
6854,702;0,08311998;
6852,774;0,08244225;
6850,845;0,08199643;
6848,916;0,08134643;
6846,988;0,08056227;
6845,059;0,0799852;
6843,130;0,07948244;
6841,201;0,07865056;
6839,273;0,07767098;
6837,344;0,07695681;
6835,415;0,07642423;
6833,486;0,07580428;
6831,558;0,07498916;
6829,629;0,07410648;
6827,700;0,07338326;
6825,772;0,07289996;
6823,843;0,07251301;
6821,914;0,07195926;
6819,985;0,07132355;
6818,057;0,07087676;
6816,128;0,07046293;
6814,199;0,06989143;
6812,270;0,06926861;
6810,342;0,0686002;
6808,413;0,06792972;
6806,484;0,06752519;
6804,555;0,06735028;
6802,627;0,06707463;
6800,698;0,06674702;
6798,769;0,06654846;
6796,841;0,06617587;
6794,912;0,0654871;
6792,983;0,06488812;
6791,054;0,0645896;
6789,126;0,06438284;
6787,197;0,06403311;
6785,268;0,06365639;
6783,339;0,0634415;
6781,411;0,06323046;
6779,482;0,06292133;
6777,553;0,06257031;
6775,625;0,06223872;
6773,696;0,06201115;
6771,767;0,06179478;
6769,838;0,06148128;
6767,910;0,06117637;
6765,981;0,06101804;
6764,052;0,06098649;
6762,123;0,06096832;
6760,195;0,06100421;
6758,266;0,06108902;
6756,337;0,06090882;
6754,409;0,06046151;
6752,480;0,06008162;
6750,551;0,05970814;
6748,622;0,05937308;
6746,694;0,05930137;
6744,765;0,05923332;
6742,836;0,05908259;
6740,907;0,05915359;
6738,979;0,05931245;
6737,050;0,05932283;
6735,121;0,05928354;
6733,193;0,05922187;
6731,264;0,05912364;
6729,335;0,05904714;
6727,406;0,05904624;
6725,478;0,05921896;
6723,549;0,05947001;
6721,620;0,05959908;
6719,691;0,05958021;
6717,763;0,05944426;
6715,834;0,05931305;
6713,905;0,05931484;
6711,977;0,05940181;
6710,048;0,05956957;
6708,119;0,05986761;
6706,190;0,06008803;
6704,262;0,06013097;
6702,333;0,06020797;
6700,404;0,06030776;
6698,475;0,06035959;
6696,547;0,06051886;
6694,618;0,06085929;
6692,689;0,06124225;
6690,760;0,06147457;
6688,832;0,06156708;
6686,903;0,06168804;
6684,974;0,06192636;
6683,046;0,0622494;
6681,117;0,06249177;
6679,188;0,06258619;
6677,259;0,06278545;
6675,331;0,06324147;
6673,402;0,06375889;
6671,473;0,06418055;
6669,544;0,06444399;
6667,616;0,06461384;
6665,687;0,06493215;
6663,758;0,06541412;
6661,830;0,06594385;
6659,901;0,0665091;
6657,972;0,06701208;
6656,043;0,06737963;
6654,115;0,0676925;
6652,186;0,06786305;
6650,257;0,06788171;
6648,328;0,06824976;
6646,400;0,06912102;
6644,471;0,07003313;
6642,542;0,0708823;
6640,614;0,07180659;
6638,685;0,0726468;
6636,756;0,07318389;
6634,827;0,07338873;
6632,899;0,0734981;
6630,970;0,07396656;
6629,041;0,07493213;
6627,112;0,07594918;
6625,184;0,07662056;
6623,255;0,07707152;
6621,326;0,07769784;
6619,398;0,07857782;
6617,469;0,07948937;
6615,540;0,08029359;
6613,611;0,08081865;
6611,683;0,08120674;
6609,754;0,08197082;
6607,825;0,08306874;
6605,896;0,08401834;
