Wavelength nm.	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...	kine_164638 - ...
500.00	0.49057	0.48990	0.48667	0.48505	0.48304	0.48041	0.47873	0.47756	0.47515	0.47366	0.47162	0.46997	0.46874	0.46714	0.46565	0.46466	0.46335	0.46162	0.46070	0.45965	0.45874	0.45674	0.45645	0.45499	0.45452	0.45358	0.45180	0.45117	0.45095	0.44980	0.44886	0.44853	0.44738	0.44652	0.44660	0.44520	0.44494	0.44388	0.44357	0.44311	0.44283	0.44199	0.44154	0.44077	0.44017	0.43969	0.43911	0.43939	0.43776	0.43781	0.43765	0.43690	0.43724	0.43662	0.43593	0.43564	0.43510	0.43520	0.43473	0.43446	0.43377	0.43333	0.43293	0.43236	0.43298	0.43264	0.43217	0.43188	0.43156	0.43128	0.43083	0.43115	0.43063	0.43097	0.43026	0.42994	0.42947	0.42990	0.42903	0.42928	0.42929	0.42872	0.42857	0.42878	0.42880	0.42842	0.42862	0.42773	0.42742	0.42762	0.42697	0.42771	0.42763	0.42727	0.42670	0.42690	0.42653	0.42622	0.42597	0.42582
501.00	0.49481	0.49218	0.49054	0.48799	0.48651	0.48428	0.48229	0.47994	0.47903	0.47743	0.47592	0.47384	0.47284	0.47138	0.46924	0.46760	0.46611	0.46488	0.46405	0.46299	0.46187	0.46023	0.45947	0.45836	0.45695	0.45591	0.45530	0.45493	0.45430	0.45311	0.45202	0.45129	0.45044	0.44947	0.44903	0.44802	0.44798	0.44678	0.44639	0.44583	0.44541	0.44485	0.44513	0.44299	0.44340	0.44296	0.44157	0.44220	0.44075	0.44076	0.43977	0.44018	0.43929	0.43962	0.43861	0.43885	0.43828	0.43853	0.43777	0.43717	0.43683	0.43660	0.43676	0.43576	0.43611	0.43497	0.43503	0.43547	0.43500	0.43407	0.43391	0.43394	0.43360	0.43371	0.43359	0.43240	0.43325	0.43273	0.43294	0.43278	0.43261	0.43238	0.43153	0.43221	0.43154	0.43168	0.43113	0.43117	0.43145	0.43035	0.43100	0.43109	0.43090	0.43067	0.43031	0.43004	0.43023	0.43054	0.42989	0.43000
502.00	0.49897	0.49632	0.49506	0.49270	0.49072	0.48919	0.48691	0.48451	0.48341	0.48106	0.47953	0.47848	0.47660	0.47528	0.47338	0.47181	0.47021	0.46907	0.46857	0.46694	0.46537	0.46425	0.46346	0.46171	0.46154	0.46059	0.45909	0.45774	0.45787	0.45726	0.45651	0.45507	0.45484	0.45353	0.45363	0.45294	0.45163	0.45175	0.45035	0.44997	0.44963	0.44937	0.44775	0.44756	0.44730	0.44699	0.44587	0.44600	0.44540	0.44508	0.44470	0.44440	0.44320	0.44330	0.44365	0.44300	0.44225	0.44190	0.44211	0.44191	0.44166	0.44016	0.44065	0.44008	0.44038	0.43973	0.43928	0.43951	0.43873	0.43844	0.43915	0.43840	0.43800	0.43790	0.43817	0.43783	0.43723	0.43720	0.43671	0.43635	0.43686	0.43683	0.43685	0.43645	0.43654	0.43619	0.43626	0.43590	0.43578	0.43520	0.43580	0.43571	0.43531	0.43536	0.43454	0.43492	0.43469	0.43501	0.43406	0.43433
503.00	0.50488	0.50297	0.50066	0.49877	0.49639	0.49473	0.49342	0.49106	0.48974	0.48697	0.48566	0.48390	0.48215	0.48108	0.47936	0.47748	0.47591	0.47531	0.47422	0.47272	0.47161	0.47091	0.46967	0.46828	0.46777	0.46647	0.46591	0.46408	0.46341	0.46268	0.46221	0.46155	0.46087	0.46019	0.45936	0.45835	0.45750	0.45691	0.45656	0.45639	0.45502	0.45514	0.45441	0.45409	0.45311	0.45252	0.45259	0.45242	0.45173	0.45119	0.45093	0.44995	0.44983	0.44954	0.44959	0.44928	0.44893	0.44826	0.44827	0.44802	0.44779	0.44722	0.44637	0.44686	0.44699	0.44617	0.44650	0.44534	0.44597	0.44536	0.44493	0.44482	0.44483	0.44453	0.44365	0.44381	0.44386	0.44409	0.44348	0.44365	0.44295	0.44288	0.44254	0.44315	0.44242	0.44254	0.44219	0.44224	0.44204	0.44181	0.44248	0.44209	0.44188	0.44193	0.44179	0.44117	0.44038	0.44105	0.44139	0.44136
504.00	0.50977	0.50893	0.50657	0.50464	0.50299	0.50085	0.49840	0.49691	0.49468	0.49325	0.49176	0.49028	0.48910	0.48664	0.48615	0.48430	0.48259	0.48171	0.48038	0.47908	0.47748	0.47645	0.47583	0.47388	0.47374	0.47295	0.47236	0.47141	0.46994	0.47047	0.46836	0.46737	0.46757	0.46704	0.46618	0.46511	0.46408	0.46386	0.46366	0.46275	0.46208	0.46105	0.46102	0.46079	0.46071	0.45934	0.45949	0.45893	0.45877	0.45836	0.45740	0.45740	0.45654	0.45648	0.45609	0.45561	0.45518	0.45523	0.45453	0.45373	0.45426	0.45377	0.45373	0.45260	0.45288	0.45257	0.45237	0.45241	0.45184	0.45148	0.45135	0.45152	0.45129	0.45088	0.45040	0.45036	0.45044	0.44991	0.45025	0.44984	0.45008	0.44990	0.44939	0.44922	0.44928	0.44907	0.44852	0.44800	0.44888	0.44837	0.44803	0.44833	0.44809	0.44880	0.44833	0.44768	0.44779	0.44697	0.44751	0.44734
505.00	0.51457	0.51314	0.51123	0.50954	0.50810	0.50523	0.50302	0.50160	0.49957	0.49787	0.49641	0.49503	0.49323	0.49149	0.49039	0.48878	0.48736	0.48640	0.48520	0.48408	0.48263	0.48189	0.48091	0.47937	0.47855	0.47777	0.47695	0.47578	0.47551	0.47441	0.47382	0.47266	0.47229	0.47093	0.47116	0.46995	0.46979	0.46834	0.46788	0.46808	0.46648	0.46730	0.46609	0.46505	0.46491	0.46491	0.46422	0.46292	0.46285	0.46298	0.46227	0.46201	0.46232	0.46169	0.46081	0.46054	0.46005	0.45946	0.45962	0.45926	0.45812	0.45913	0.45852	0.45798	0.45749	0.45775	0.45735	0.45683	0.45565	0.45643	0.45652	0.45599	0.45585	0.45542	0.45562	0.45562	0.45546	0.45554	0.45568	0.45462	0.45546	0.45470	0.45421	0.45456	0.45357	0.45407	0.45396	0.45382	0.45317	0.45355	0.45251	0.45343	0.45278	0.45282	0.45239	0.45282	0.45273	0.45223	0.45224	0.45189
506.00	0.51683	0.51613	0.51373	0.51149	0.50984	0.50848	0.50579	0.50395	0.50239	0.50048	0.49875	0.49713	0.49532	0.49398	0.49201	0.49180	0.49010	0.48810	0.48849	0.48659	0.48495	0.48424	0.48280	0.48220	0.48096	0.48027	0.47907	0.47859	0.47722	0.47676	0.47661	0.47554	0.47489	0.47401	0.47362	0.47230	0.47225	0.47136	0.47134	0.47021	0.47053	0.46969	0.46927	0.46828	0.46798	0.46746	0.46709	0.46713	0.46581	0.46535	0.46584	0.46537	0.46434	0.46427	0.46401	0.46373	0.46352	0.46270	0.46239	0.46230	0.46162	0.46179	0.46083	0.46070	0.45992	0.46048	0.46023	0.45998	0.45967	0.45925	0.45917	0.45927	0.45893	0.45874	0.45846	0.45798	0.45816	0.45780	0.45711	0.45739	0.45685	0.45677	0.45750	0.45737	0.45620	0.45631	0.45632	0.45588	0.45607	0.45571	0.45580	0.45521	0.45582	0.45472	0.45562	0.45547	0.45467	0.45474	0.45453	0.45438
507.00	0.51870	0.51642	0.51473	0.51211	0.50980	0.50805	0.50629	0.50434	0.50237	0.50102	0.49859	0.49744	0.49539	0.49449	0.49335	0.49220	0.49091	0.48937	0.48891	0.48689	0.48539	0.48461	0.48374	0.48265	0.48234	0.48092	0.48068	0.47980	0.47812	0.47734	0.47630	0.47579	0.47562	0.47466	0.47471	0.47320	0.47275	0.47206	0.47176	0.47114	0.47053	0.46966	0.46898	0.46819	0.46794	0.46761	0.46720	0.46695	0.46654	0.46637	0.46568	0.46562	0.46599	0.46455	0.46487	0.46365	0.46318	0.46376	0.46291	0.46321	0.46262	0.46225	0.46095	0.46117	0.46113	0.46111	0.46064	0.46048	0.46047	0.45978	0.45985	0.45958	0.45968	0.45886	0.45864	0.45854	0.45794	0.45797	0.45773	0.45826	0.45784	0.45670	0.45697	0.45735	0.45685	0.45608	0.45703	0.45599	0.45545	0.45577	0.45600	0.45595	0.45545	0.45561	0.45488	0.45496	0.45501	0.45465	0.45492	0.45402
508.00	0.51687	0.51565	0.51265	0.51045	0.50874	0.50566	0.50477	0.50244	0.50003	0.49904	0.49736	0.49571	0.49441	0.49267	0.49194	0.48949	0.48907	0.48745	0.48635	0.48447	0.48403	0.48259	0.48201	0.48099	0.48034	0.47989	0.47813	0.47717	0.47587	0.47507	0.47534	0.47479	0.47373	0.47283	0.47228	0.47097	0.47117	0.47049	0.46996	0.46868	0.46849	0.46814	0.46695	0.46667	0.46604	0.46588	0.46541	0.46459	0.46485	0.46426	0.46435	0.46276	0.46353	0.46278	0.46237	0.46162	0.46173	0.46135	0.46117	0.46071	0.46014	0.45944	0.45938	0.45961	0.45847	0.45819	0.45882	0.45814	0.45797	0.45731	0.45743	0.45724	0.45705	0.45681	0.45611	0.45623	0.45683	0.45502	0.45495	0.45544	0.45485	0.45477	0.45469	0.45419	0.45397	0.45392	0.45411	0.45386	0.45318	0.45317	0.45333	0.45349	0.45293	0.45262	0.45254	0.45211	0.45230	0.45199	0.45203	0.45190
509.00	0.51249	0.51013	0.50776	0.50633	0.50324	0.50142	0.49906	0.49779	0.49591	0.49387	0.49296	0.49056	0.48948	0.48832	0.48668	0.48528	0.48389	0.48256	0.48120	0.48036	0.47914	0.47800	0.47689	0.47607	0.47516	0.47443	0.47324	0.47226	0.47156	0.47046	0.46946	0.46919	0.46802	0.46718	0.46736	0.46701	0.46627	0.46510	0.46472	0.46364	0.46318	0.46292	0.46287	0.46211	0.46210	0.46082	0.46063	0.45996	0.45964	0.45832	0.45812	0.45847	0.45776	0.45745	0.45723	0.45643	0.45606	0.45567	0.45623	0.45507	0.45489	0.45369	0.45529	0.45411	0.45325	0.45315	0.45287	0.45297	0.45256	0.45156	0.45234	0.45207	0.45173	0.45170	0.45105	0.45008	0.45022	0.45086	0.45010	0.44961	0.44941	0.44889	0.44894	0.44842	0.44838	0.44859	0.44792	0.44781	0.44851	0.44748	0.44768	0.44732	0.44708	0.44701	0.44601	0.44653	0.44586	0.44626	0.44603	0.44575
