wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
190,000;0,6336908;0,6556091;0,6986094;0,02243519;0,6430378;0,7854071;0,4101691;-0,05778027;0,104569;0,5754137;0,702858;-0,0001940727;0,7237639;0,2340508;0,02310181;0,2525282;-0,08110571;0,09210682;-0,03085089;-0,2107034;0,4302597;-0,1653919;0,6580129;0,1981211;0,3075914;0,1999917;0,7606382;-0,1069026;0,04189873;0,6938844;0,6911097;0,3740349;0,6156173;0,007029057;0,3017898;0,3504453;-0,03298616;0,01761436;0,05347586;0,718719;0,023283;0,1168451;-0,1097016;0,04696894;0,06971121;0,07159281;-0,1003957;0,6119509;0,209969;0,006674767;0,7483077;0,1939783;0,3151422;0,01182938;0,1685405;0,3009071;0,1857834;-0,2150612;0,3792839;0,7933645;0,8055778;-0,1293526;0,6080747;0,730207;0,6535387;0,07220507;0,2885003;-0,1545491;-0,2120757;0,6755466;0,3913207;0,1924267;0,7088614;0,1671748;-0,08462381;-0,1548996;-0,02321053;0,6579218;0,2009845;0,658927;0,1312566;-0,0658865;0,1891413;0,4169545;0,04690742;-0,2914701;-0,3253055;0,4252014;0,6529436;-0,2350378;0,2814407;-0,1834631;-0,1857386;0,1975827;0,6638865;0,3846741;0,1792798;0,09027576;0,3315582;-0,0526104;-0,1129193;0,3620872;0,6678066;-0,1811261;0,7179923;0,6784792;0,2543235;0,6953802;-0,1351748;-0,1853981;0,1566844;-0,2344737;0,03912401;-0,1113744;0,1573334;-0,2940779;-0,0323;-0,2198062;-0,1341319;0,6287427;-0,274158;0,2692509;0,7499604;-0,4040394;0,7442465;0,775136;0,4431968;0,5905075;0,6827297;0,01390886;-0,02883148;0,7697096;-0,2914915;-0,1431899;0,3842759;0,7796783;0,4912691;-0,08853006;-0,1317;0,3865252;0,3271379;0,08492327;0,3207769;0,1229358;0,0761795;0,1957316;-0,2687931;-0,009812355;-0,2023616;0,3478899;0,7643375;-0,02124166;0,679296;0,2376504;0,09852171;0,0993948;0,2299657;-0,2652345;0,4921756;0,0731039;0,340251;-0,1888537;
191,000;0,01216745;-0,09271097;0,6731439;-0,1690936;-0,04775953;0,5322738;0,2066278;0,05102301;0,1017685;-0,3638749;0,3686557;-0,1270962;0,6108537;0,3166552;0,2734013;0,01872826;0,00138855;-0,08577681;-0,009662628;-0,09442997;0,1232805;-0,04648781;-0,2111373;-0,1228385;-0,05318451;0,07451773;0,2689853;-0,0893445;-0,1895294;0,2617159;0,2816267;-0,1284194;-0,04679489;0,6632743;-0,2194114;0,2335515;-0,1651654;-0,3363166;0,6048236;-0,02020741;-0,08098984;0,4322286;-0,06971169;0,1223388;-0,02550411;-0,08699656;-0,07422304;-0,1765738;0,0602684;0,01670456;0,5975456;-0,2344737;-0,1018076;0,1615882;-0,01482916;0,2895751;0,01526117;0,2413297;-0,1079559;0,5286765;0,4995956;-0,1277246;-0,2290277;0,3281193;-0,02763081;0,006323814;0,718585;-0,112896;0,2569366;-4,148483E-5;-0,2033887;0,6026044;0,6180711;0,6703138;0,1466432;-0,05510378;-0,06823778;-0,07454252;0,01689339;0,3564382;0,06757069;-0,02881718;-0,1202478;0,4061809;-0,2151079;-0,1985407;-0,3696413;0,3459854;0,005755424;0,01905632;0,3631077;-0,02362967;0,4113259;-0,2271805;0,1204267;0,1285086;-0,01816559;0,3594513;-0,3304162;0,07896852;-0,2694349;0,4263754;0,298779;0,1222706;0,5310135;-0,1805177;0,2591105;0,09774446;0,7653794;-0,2350101;0,2931271;-0,296804;0,6489482;0,06622839;0,5741501;-0,4585042;0,6163807;-0,1498075;-0,2679014;-0,3763628;-0,3453116;0,1259742;0,2180047;-0,327271;0,1506472;0,5524344;0,3064179;-0,0731926;-0,1821566;0,1136732;-0,1106133;0,5038023;0,05106449;0,169065;0,00801754;0,5680289;0,6738806;-0,2715888;0,1836905;-0,1492176;-0,06212616;-0,1495829;-0,2899599;0,146244;-0,2544746;-0,20438;-0,2739758;0,3863492;-0,05764818;-0,05973482;0,6011052;0,02082539;0,2966719;-0,08643103;-0,0977869;0,02312756;0,1242537;0,09043121;0,5628166;0,2324157;-0,09104013;0,1748347;
192,000;0,1874294;-0,1226845;0,1743879;-0,468019;-0,0329628;-0,4106226;0,3153229;-0,2833185;-0,0987916;-0,3204713;0,2289643;0,235014;-0,05247355;-0,2948446;0,1788654;-0,2831845;0,2217298;-0,417695;-0,2053108;-0,07245398;-0,2906518;-0,056005;-0,4209561;0,3211746;0,3041759;0,01019859;-0,1542802;-0,1596098;-0,3949041;-0,5209112;-0,4773822;-0,1959972;-0,001945972;-0,3071351;0,2911758;0,2718325;-0,5255494;-0,0857749;-0,5166945;-0,3078718;0,2489252;0,1942673;0,03832674;-0,1208;-0,3809328;-0,6626964;-0,2338729;-0,2421551;-0,4197702;-0,09124947;-0,02647257;-0,4085412;0,2174616;-0,5420599;0,02915859;-0,4038606;-0,1293273;-0,01797724;-0,01470518;-0,4055843;-0,6136847;-0,4409585;-0,4431672;-0,09800291;-0,5823288;-0,04455805;0,1002679;-0,05657339;-0,09304094;-0,1440105;-0,1709332;-0,473093;-0,07120132;-0,117312;0,2783871;0,2176948;-0,426754;0,06482029;0,3229704;-0,1424947;0,02394485;-0,3364105;-0,1477308;0,176033;-0,4116111;-0,06277323;-0,6716466;-0,04691935;-0,1455607;0,002942562;-0,08265352;-0,5489941;-0,09503126;0,3232393;-0,4855828;0,1561155;0,1629157;-0,4103293;-0,2052612;0,1839991;0,339478;0,15381;-0,3790202;-0,704339;-0,4566298;0,3627086;0,1358719;0,1518908;0,0755887;-0,2226987;-0,578361;-0,3267097;-0,2175441;-0,4941058;-0,7796965;-0,2029834;-0,6341929;-0,4866309;0,2909193;0,287364;-0,2856846;-0,6290302;-0,591516;0,3413715;-0,08465815;-0,6174526;-0,1678944;0,2803946;0,3689489;-0,6056943;-0,4489522;-0,814899;-0,1125774;0,1998367;-0,4146791;-0,4160438;0,1890182;-0,4907379;0,1696491;0,3471489;-0,4559526;-0,3401146;-0,3717504;0,1607618;-0,4030762;-0,04453611;-0,2312713;-0,2879357;0,002246857;-0,1288776;-0,3464885;-0,3434029;-0,1783376;-0,4898701;-0,2389746;0,3224115;0,2297554;0,1908412;-0,4264808;-0,101491;-0,569066;0,2297158;
193,000;-0,7125778;-0,102108;-0,5824037;-0,8008657;-0,2869596;-0,005474091;-0,2239347;-0,01222754;-0,7722573;-0,6287622;-0,3886471;-0,5442328;0,01046848;-0,07130194;-0,6801105;0,02014875;-0,5488644;-0,08486414;-0,6237311;-0,4520574;0,02016878;-0,7552061;0,03558111;-0,1136351;-0,06286478;-0,0670042;-0,1121755;0,01144743;-0,3203869;-0,5365305;-0,4045248;-0,2760887;-0,4403505;-0,4599981;-0,4317603;-0,04321384;-0,1034451;-0,7717261;0,05181074;-0,3188734;-0,3227506;-0,3066144;-0,1559615;-0,8233342;-0,5422039;-0,2244258;-0,459805;-0,0543232;-0,6945019;-0,7728519;-0,09997225;-0,04839897;-0,6597614;-0,4355659;-0,1216378;0,03965139;-0,7206073;-0,04656315;-0,3653736;-0,02600193;0,07062387;0,02689314;-0,5428987;-0,6687613;-0,4076233;-0,3060799;-0,7997465;-0,7280812;-0,5230179;-0,03665113;-0,3569503;-0,3084397;-0,4215488;-0,5689826;-0,06105089;-0,5074911;-0,06500435;-0,2173071;-0,1898737;-0,6452169;-0,1306911;-0,2459617;-0,006747723;-0,4821277;-0,05708027;-0,6657333;-0,5963826;-0,4225984;-0,03399277;-0,03867674;-0,2722998;-0,5497851;-0,2751355;-0,07130861;-0,6724319;-1,07839;-1,063089;-0,7524519;-0,6550126;-0,612411;-0,1599693;-0,7736034;-0,8281512;-0,015203;-0,1423106;-0,240365;-0,7514315;-0,8281579;-1,041956;-0,4442787;-0,306345;-0,4757996;-0,05371141;-0,6565065;-0,4856968;-0,1750054;-0,5182457;-0,7372227;-0,4428363;-0,6133623;-0,3507509;-0,4975882;-0,4195418;-0,1588478;-0,4289641;-0,7249031;-0,08622313;-0,4337535;-0,2683277;-0,07937145;-0,6195078;-0,6288524;-0,7140851;-0,7410889;-0,5908809;-0,7728524;-0,3607411;0,04431057;-0,7762127;-0,2084417;-0,58111;-0,07045412;-0,7423849;-0,6867404;-0,5376501;-0,709022;-0,1232429;-0,6328773;0,002877712;-0,1162596;-0,6973152;-0,1390023;-0,02104998;-0,2480898;-0,7936368;-0,1996608;-0,3123941;-0,6728268;0,03280783;-0,4483194;-0,4655547;-0,3762794;
194,000;0,2268271;-0,3709197;-0,265142;-0,2574663;0,06105089;-0,2814665;-0,4276285;0,1976433;-0,2218919;-0,07518482;-0,1354771;-0,1977401;0,01922417;-0,3824763;-0,3584304;0,0505681;-0,1612005;-0,2924504;-0,3439322;0,1005816;0,05790901;-0,3409901;0,03122044;-0,2146902;0,1145115;-0,2522202;-0,6764817;0,02113438;-0,1680288;-0,3768792;0,1152687;0,08554649;-0,3792534;-0,2320876;-0,02384233;0,06683254;-0,570437;0,2770205;0,07492924;-0,2023315;0,07565117;0,07397366;-0,2054644;-0,3033347;0,152092;0,09598541;0,2136154;-0,2090154;0,1357985;-0,2278938;-0,05533266;-0,1503425;-0,1805215;0,2752295;-0,3514066;0,04784393;0,1021914;0,2265267;-0,153101;-0,1908441;0,02890205;0,09034443;0,1624355;0,04328156;0,1520205;0,154253;-0,1483836;-0,6059775;-0,09998846;0,2230191;-0,1226435;-0,1159587;-0,548501;-0,1688442;0,1387997;0,2005281;-0,3725543;-0,7255569;-0,589406;0,1223164;-0,5186524;0,0386982;0,09012747;0,1411228;-0,1145239;-0,3356185;-0,3538518;-0,1698599;0,212636;0,1686034;0,05600071;0,2672358;0,07881451;0,1305027;-0,1552477;-0,2545209;-0,5097837;-0,1392026;-0,3305478;0,185451;-0,354939;-0,006363392;-0,6941667;-0,1239386;-0,5257092;-0,772974;0,1269379;0,1720648;-0,3240299;0,1280308;-0,101336;0,3088131;-0,1549726;0,3272686;-0,2209668;-0,5725188;-0,3706179;0,3415294;-0,5135903;-0,4829679;-0,4096398;0,08982611;-0,5930781;-0,3574471;0,02473593;-0,1400561;-0,06595182;-0,3231869;-0,5522041;-0,4387827;-0,03093863;-0,307961;-0,1515865;-0,113245;-0,5267978;-0,6928835;-0,2087846;0,02997684;-0,3313222;-0,6763344;-0,1934085;-0,3978996;0,2947927;0,142261;-0,2403483;-0,5593581;-0,2273402;-0,01014042;-0,01547861;-0,3011351;0,1515217;-0,311729;0,196094;0,1115489;-0,4729185;-0,6900711;0,05584669;-0,09251213;0,1072097;0,1210823;-0,1461835;-0,2046461;
195,000;0,6195512;0,09982967;0,4738607;0,2821283;0,2086458;0,09844303;1,022884;0,9091301;0,3770781;0,6636095;0,5101399;0,1843572;0,1041851;0,4525056;0,1456141;-0,04710913;0,3007646;0,6245704;0,8389349;0,2737989;0,04252577;0,9028783;0,289135;0,3101802;0,2186365;0,2746892;0,06934547;0,09720182;0,1647844;0,7228699;0,3300109;0,2323823;0,3962035;0,1370454;0,9459691;0,07877636;0,2206607;0,4177241;0,4943538;0,312304;-0,04483414;0,187005;0,8807249;0,3400025;0,4834423;0,3068147;0,5167718;0,3938122;0,06772089;0,4001613;0,8778658;0,6836224;0,1646214;0,7685089;0,1869998;0,2139449;-0,07577085;0,8170638;0,327549;0,5126052;0,1104136;0,456636;0,2026396;0,7459464;0,398675;0,380188;0,08483362;0,04524946;0,4069071;0,8130016;0,1792765;0,6614189;0,3147287;0,9229774;0,3386612;0,6310177;0,4042811;0,6033573;0,2634559;0,2682414;0,281209;0,1419954;0,4932475;0,3050146;0,5286036;0,2580905;0,2564273;0,856986;0,8569403;0,5096478;-0,1112309;0,870532;-0,0007557869;0,1503625;0,006967545;0,5311894;-0,2632108;0,8648176;-0,1158361;0,4185677;0,10711;0,4726496;0,5471029;0,5282683;1,032785;0,2867093;-0,1479025;0,0209713;0,2449789;0,1395454;0,5857339;0,6684084;0,7154956;0,6693215;0,4975729;0,7270503;0,6764665;0,6531596;0,117538;0,1663818;0,07198429;0,02122068;0,6385932;0,1192689;-0,05515194;-0,0458374;0,9077911;0,09800577;1,018088;0,4251657;0,4658928;1,009022;0,3194189;0,7997708;0,7221489;0,04957104;0,01702833;0,2912273;0,1891932;0,2161217;0,2532721;0,3426728;0,8635998;-0,04361916;0,6387863;0,04639101;0,9458952;0,947422;0,06993723;0,7031975;-0,000254631;0,8092041;0,9191546;0,08511734;0,3603129;0,06468296;-0,06050825;0,4813924;0,3697371;0,3587699;0,1283898;0,1250286;
196,000;0,2517662;-0,4685888;-0,1034656;-0,3465672;0,3053217;-0,07825184;0,0665288;0,2433252;-0,03722143;0,2360473;0,2642975;0,2699261;-0,04450083;0,1847115;0,2924819;-0,1419644;0,3191957;-0,009703159;-0,1073556;0,2933955;-0,2826872;-0,0715642;0,3074441;0,3432608;0,03036499;0,2003808;0,306848;-0,008999348;0,02578068;0,1505651;0,4358168;-0,08192921;-0,2528296;0,2712126;0,164793;-0,02881718;-0,4130344;-0,2282152;0,2520704;0,3064694;-0,2495937;0,3973837;1,478195E-5;0,1977477;0,2107744;-0,02611828;-0,1915898;0,3683209;-0,3133869;-0,1466131;-0,07244825;0,2394886;0,3409781;-0,3877459;-0,3976011;0,04530811;-0,1099124;-0,3047962;0,0126543;0,3165207;-0,1411924;0,4235916;0,04272223;-0,1648912;0,02475357;0,1138177;0,07693815;-0,04439735;-0,2329707;-0,2829175;-0,5159369;0,2929945;-0,1072373;0,3447738;-0,2702041;0,2305827;0,409893;0,206522;0,4434037;0,290575;0,3228393;0,3562374;0,2483325;-0,06995487;-0,4566941;0,2804503;0,3100333;0,07042933;-0,1301618;-0,3445196;-0,3352728;0,3387618;-0,4023609;-0,5111833;-0,3284287;-0,2792263;-0,1750021;-0,3646708;-0,4006419;-0,1138635;-0,1612062;-0,6128731;-0,2020235;-0,4478149;0,08570814;0,4418411;-0,3984385;-0,4857426;-0,5099673;-0,2957587;-0,3109565;-0,639854;0,08924627;-0,321044;-0,2804928;0,2754254;-0,2367973;-0,394268;0,3221049;0,2733512;0,4836411;-0,3357177;-0,2671561;0,03134775;0,4389181;-0,5108466;-0,2003641;-0,5145698;0,157917;-0,325201;-0,2579603;0,02926874;0,2167835;-0,3286738;0,2430477;-0,2380261;0,225781;0,3008442;0,3114157;0,4377494;0,2307248;0,3103371;0,3414636;-0,2762194;-0,137814;0,05989361;0,3173294;0,1305799;0,2838988;0,2327805;-0,4979677;-0,6868091;0,1889758;-0,3591428;0,01401186;0,0942173;-0,1262741;0,3573155;-0,1401458;0,2930937;-0,07468367;-0,03377104;
197,000;0,3216558;0,00584507;0,3183961;0,3537626;0,06088209;0,1258335;0,215477;0,5518346;0,8666105;0,08588457;0,302731;0,2103333;0,1345525;0,04589367;0,386189;0,7574644;0,5519638;0,2761822;0,8891182;0,07706642;0,6950297;0,3797212;0,262671;0,4350014;0,6888947;0,09066963;0,3392572;0,1455116;0,7225938;0,2009382;0,6812472;0,2339172;0,687469;0,2300663;0,2283111;0,4046998;0,480876;0,8752542;0,1301465;0,234777;0,1376576;0,9200954;0,4501743;0,2235417;-0,04129028;0,1120052;0,2378364;0,9062676;0,05910587;0,3458724;0,4154525;0,3090639;0,1763592;0,1148934;-0,05859756;0,3083234;0,4974771;0,1943011;0,3631029;0,4365025;0,05247259;0,6513853;0,6559777;0,7532005;0,663106;0,9109173;0,2325816;0,4459567;0,2642636;0,1002288;0,4672656;0,4614096;0,2433233;0,7009978;0,2070379;0,1467957;0,7066441;0,4591608;0,6273599;0,09367371;0,1592174;0,5077386;0,4031587;0,3039804;0,1578612;0,1068425;0,2439189;0,7839661;0,07895803;0,2266278;0,01764488;0,7974586;0,2449336;0,2219672;0,2663159;0,3592858;0,6866889;0,03758574;0,09190512;0,003336906;0,4525552;0,1808186;0,05186558;0,2822776;0,2898092;0,6010494;0,3873801;-0,06241465;0,4012666;0,07254887;0,07864571;0,5555892;0,1801682;0,8303161;1,016743;0,4559383;-0,01513433;0,9049296;0,0003342628;-0,017735;0,5826659;-0,224319;0,4396305;0,7118044;0,2643347;0,1182837;0,1950812;-0,02306318;0,1689968;0,6111889;0,9491863;0,1404161;0,3684254;0,4251409;0,6160269;-0,1724229;0,609046;0,2899113;0,6437378;0,6749239;0,3511658;0,5480623;0,789104;0,3580179;0,3695469;0,03966522;0,797174;0,0115695;0,2328806;0,6772556;0,1190662;0,1630802;0,160264;0,7088847;0,3151612;0,4915915;0,5453825;0,9120159;0,3556437;0,2919879;0,7165451;0,4245214;
198,000;0,0038867;0,02927303;0,6855702;0,6718607;-0,1558619;0,2774072;0,7636271;0,330111;0,2376499;-0,06761408;0,07325077;-0,02744007;0,09721088;0,09960175;0,3096962;0,1010671;0,2458911;-0,1526775;0,2129736;-0,2051969;0,6214342;0,246222;-0,009310722;0,08766747;-0,3415151;0,1466045;0,1144543;-0,1540027;-0,2098775;0,4044528;0,1010089;0,7214031;0,6614833;-0,1171322;0,2869058;-0,07464981;0,508368;0,3259716;0,1431556;-0,1941748;0,02815771;0,3591185;0,07778549;0,2538567;0,08850861;0,2273316;-0,2106624;0,4486847;0,3439407;0,1383581;0,4600143;0,06247568;-0,09335327;0,1839442;-0,0004277229;0,1645293;0,7001543;0,4313989;0,2166591;-0,09230614;0,02278328;-0,1427851;-0,07142496;-0,007799149;0,5922556;0,5952477;-0,05112982;0,06843948;0,3483462;0,1816216;0,08985472;0,03850365;0,7044725;0,117723;0,1256785;0,1033888;0,01305771;0,7198582;-0,04946184;-0,1697898;-0,1143408;0,4029732;0,278049;0,7142038;0,2874999;-0,2212553;-0,09789562;0,1808395;0,1811204;-0,06468868;-0,1354914;0,339571;0,2050991;0,03334951;-0,1209912;-0,2098255;-0,09659004;0,4955273;-0,2723536;0,2655482;-0,2129183;0,4083028;0,7790017;0,03591967;0,7262969;-0,3179979;0,2435155;-0,07500219;0,5585551;-0,2591348;0,4525714;0,1854644;0,6219935;-0,0503006;0,3824096;-0,1333666;0,7979889;-0,05977678;-0,1697407;-0,3395157;-0,2768345;0,06109333;0,633234;-0,001022816;-0,2646208;-0,4558382;0,7566051;0,1519828;0,07064724;0,3759546;0,01891375;0,6392026;0,6172438;-0,07251596;0,6865263;-0,302372;-0,1235752;-0,1280975;0,4853864;0,1152239;0,6862764;0,2585926;0,3761859;0,1348653;0,4946914;-0,1791553;-0,02671146;-0,06069851;0,1226473;0,4206862;0,1813345;0,3353491;0,08750772;0,6140385;-0,04274178;0,2510934;0,5055771;0,445416;0,08132553;0,08495712;0,04149675;0,5142341;
199,000;0,0811367;0,5192776;0,3800263;0,3960743;0,008001328;-0,1703439;0,09549809;-0,0001688004;-0,2075949;0,4757066;0,1809273;0,01795197;-0,0361557;0,2246618;0,215354;0,3821149;0,002199173;0,257987;-0,1141596;0,2303033;0,3972001;0,4756508;0,2062387;0,02238607;-0,08331871;0,07029581;-0,2237501;-0,1550765;0,07890701;-0,1072612;0,4803543;0,2623134;0,2174993;-0,2653332;0,4160523;0,4892983;-0,313179;0,4453702;0,2636695;0,102047;0,07547379;-0,2668462;0,3356948;-0,09807587;0,3215151;0,2521672;-0,1028147;-0,2781115;0,2255831;0,4951682;0,1593003;-0,1852627;0,5306525;0,4329658;0,2127781;0,4188452;0,1690149;0,4262738;-0,05278635;0,07247353;0,2711434;-0,1631918;0,3023863;0,5039716;-0,1128993;0,3941488;0,506496;0,3787537;0,08125019;0,4557319;0,020679;0,227016;0,3477221;0,3783503;0,2559896;0,4459505;0,1921425;0,1407957;0,5194063;-0,148603;0,4371676;0,396843;-0,05805445;0,2510166;0,4178967;-0,2007666;-0,08829784;-0,1773534;0,4848881;-0,4274244;0,1025634;0,4756937;-0,4995461;0,3462472;-0,572392;-0,3846455;0,3771491;0,2348123;0,3958125;-0,04554224;-0,2967815;-0,1642714;0,1192069;-0,1020813;0,218833;-0,002328396;-0,2261586;-0,0433116;-0,497879;-0,04532862;0,413291;-0,3105001;-0,3053117;-0,07489252;-0,3180847;-0,03397751;0,07808399;-0,09640551;0,3033996;0,1668248;0,2191701;0,268024;-0,1613026;0,5186181;0,5682597;-0,2882051;0,1191006;-0,01865482;-0,108839;-0,3334179;-0,2464552;-0,3624158;-0,002643585;-0,1914458;0,1876717;-0,2774167;0,3538594;-0,1767006;0,02132845;0,4193316;0,3765211;-0,3414669;0,3147225;0,4921622;-0,1480837;0,3005719;-0,3008194;-0,1092696;0,08942223;-0,3924766;0,4354548;0,1793766;0,4985785;0,4103231;-0,1009345;0,3878574;-0,03789091;0,02218485;0,07292175;0,124414;0,3017545;0,01273346;
