Wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
190,000;0,6043992;0,5654807;0,5884662;0,559773;-0,004994869;0,5388823;0,07066631;-0,04014444;0,06193209;0,5676398;0,2055116;0,05513906;-0,1890054;0,01328659;0,5244246;-0,1345654;0,1648321;0,2434869;0,245894;0,5827885;0,5580697;-0,04767418;0,5441055;-0,002261162;0,02022457;0,1418509;-0,07654619;0,1247501;0,1303859;0,6277337;0,2402859;0,1453843;0,5680137;0,03944492;-0,02997017;0,5102515;0,2686138;0,4965348;-0,03845501;-0,07013988;-0,02963209;0,05172157;0,1329713;0,1323509;0,5936551;0,3362784;-0,002007484;0,05887413;-0,06583595;0,2050729;0,1462746;0,5806909;0,6285024;-0,02787542;0,1643586;-0,02483082;-0,1771946;0,3563323;0,3364673;-0,2274327;-0,0006222725;-0,3065729;-0,1944952;0,4841585;0,5779552;0,03671074;0,230329;0,33564;0,1063781;0,02279854;0,3066616;-0,07400513;0,3407726;-0,05463886;0,07317305;0,07175255;-0,01537657;0,0382061;0,05342054;0,2716599;0,1006179;0,5077639;0,3502827;0,5638547;0,141757;-0,1219306;-0,2276177;0,08423662;0,1089373;0,1016417;-0,02417707;0,1106086;0,05907869;-0,3658071;-0,3313866;-0,2525201;0,2541966;-0,0730772;-0,1312556;-0,02782583;-0,01168442;0,2073064;0,471467;0,1104331;0,4606304;0,2930355;-0,2492385;0,06832552;0,003274441;-0,2105427;0,4802055;0,5968165;-0,178081;0,2135491;0,02806044;0,007321835;0,163363;0,6185589;0,247118;0,2629166;0,267097;0,04802418;-0,1219401;0,4887128;-0,225276;0,2787566;0,565732;-0,2322202;-0,1710038;0,2326875;0,4821744;0,3338528;0,1184311;0,04421091;0,4876742;0,6246076;0,472218;-0,414094;0,1717148;-0,2402296;-0,1812072;-0,08198404;-0,004152298;0,5262213;0,0395484;0,4942274;0,657268;-0,1906481;0,5566459;0,5826082;0,5757971;0,2116494;0,2668991;-0,07406855;-0,04670048;0,07926846;-0,07590532;0,5885363;-0,2863865;0,5805755;-0,1085687;0,3291249;-0,1649337;-0,2070308;0,4996996;0,5597224;-0,2889071;0,2814403;0,6250968;0,1333408;0,6485658;0,522778;0,1813359;-0,2678585;0,5047832;0,117353;0,5555668;0,5244246;0,3081021;0,2055273;0,1708212;
191,000;0,05172682;-0,02810526;0,05035782;-0,2609529;0,01488066;-0,7505913;-0,5811014;-0,8082957;-0,445138;-0,5122919;-0,3640456;0,04973984;0,08810329;-0,6356635;-0,2783813;-0,5946255;0,01574898;-0,3135815;-0,2882981;-0,5579467;-0,2656436;0,001008511;-0,2255373;-0,2307544;-0,7073612;-0,0637064;-0,2711005;-0,496438;-0,3115373;0,02803183;-0,2674236;0,01400757;-0,4589252;-0,4171371;-0,4473906;-0,2123098;-0,581975;-0,5840783;0,04249763;-0,7262769;-0,5829949;-0,4569087;-0,01422596;0,09833717;0,05666542;0,004904747;0,02196312;-0,01891232;-0,6405959;-0,701849;0,03861761;-0,3393564;-0,102787;-0,2853446;-0,010818;0,08074379;-0,2275472;0,01102877;0,002599239;-0,5207777;-0,7098694;-0,3977952;-0,025177;-0,5683899;-0,3138299;0,1032019;-0,6165156;0,06687212;0,006396294;0,002929211;0,03552818;-0,5571561;0,001106739;0,03037596;-0,277678;-0,2851391;-0,4008703;0,03293037;0,02035856;-0,2561669;-0,5938778;-0,5295711;-0,005052567;0,007045746;-0,05271721;-0,4564414;-0,4164181;-0,5274587;0,01976967;0,108151;-0,4667945;-0,7460842;-0,7082143;-0,4233427;-0,2955275;-0,2645707;-0,820169;-0,04502249;0,00435257;-0,5995822;-0,6740203;-0,7337146;-0,8545151;-0,3348517;-0,7278814;0,05403996;0,03568506;0,002258301;0,0002498627;-0,5582247;-0,6727161;-0,01914263;-0,1688704;-0,9480519;-0,007040977;-0,3098125;0,06044769;-0,02415085;-0,5805116;-0,5763783;-0,4682536;-0,3468447;-0,3718877;-0,6164813;-0,7418799;0,0281148;0,01353931;-0,1648216;-0,3999376;-0,2799788;-0,7640524;0,005434513;-0,2822733;-0,4976134;-0,539011;-0,004006863;-0,5163574;-0,5143456;0,0001559258;-0,3613691;-0,410769;0,003804684;-0,1878638;-0,2716918;-0,01498079;-0,6608853;-0,08435583;-0,4396777;0,04901552;-0,04518938;-0,3490443;-0,8311563;0,09653854;-0,568049;0,1146936;-0,2822509;-0,3540344;-0,05903101;-0,7241874;-0,04405212;0,1178308;-0,3151979;-0,3967552;-0,3541608;-0,6395531;0,00578928;-0,1617293;-0,4673333;0,02603483;-0,003173828;-0,09297657;-0,473309;-0,5325909;-0,4978342;-0,3930669;0,01051617;-0,5107813;-0,276299;-0,3024406;-0,7272072;0,03203011;
192,000;0,4512339;0,09449625;0,4810443;0,6084347;-0,06608963;-0,008674145;-0,2760482;0,5913515;-0,04944801;0,002865314;0,5041161;0,1846251;0,1731663;-0,1630135;0,2456589;-0,3384876;0,3020687;-0,1234174;-0,07875681;-0,2913351;0,6308661;-0,02085066;0,4669118;0,2061429;0,5363069;-0,2725167;-0,0723443;-0,04923248;-0,2547722;0,5343475;0,3112783;0,05556154;0,2389984;0,04621124;-0,02523708;0,4463277;-0,09667873;0,3508687;0,2621984;-0,3187151;-0,1150146;-0,266819;-0,0009326935;0,4459271;0,4458237;0,2767501;-0,1014652;0,01184702;0,1230264;0,2360215;0,2203202;0,1716824;-0,228488;0,01221323;-0,05938101;0,1421032;0,2666097;0,2297387;0,008522034;0,4625173;0,1010852;-0,1000471;-0,2261214;0,2926898;0,05787849;0,4476724;0,6468587;0,4826193;-0,2239466;-0,2043624;0,1749349;-0,02186728;0,008719444;0,05148411;-0,05636644;-0,1770301;0,2262015;0,2855988;0,03760624;0,2195554;-0,1347442;-0,414897;0,02123547;0,2215571;-0,2267823;-0,2325082;0,1395617;0,2273693;-0,1327991;0,4419041;0,466414;-0,279305;0,02008963;-0,153307;-0,4807982;-0,04352856;-0,4083591;-0,4815092;-0,2846375;-0,1698637;0,2360697;0,09003973;0,545938;-0,3212409;0,2760158;0,5908179;-0,09320974;-0,09746361;-0,1629748;0,6154723;0,06380367;0,2999535;0,491704;-0,07366037;-0,00358963;-0,3151541;0,5812383;0,01592922;0,1241155;0,08981848;0,1332488;0,481461;0,625761;0,564569;0,3449955;-0,04184484;0,1959229;0,5384626;0,3367872;-0,1039681;0,1265321;-0,001166344;0,1088095;0,6248426;0,6417775;0,1978703;0,5533185;-0,070364;0,08033943;0,1863041;0,05152941;0,005338192;0,4956193;0,2164345;0,01639318;-0,1701341;-0,1159954;0,4802752;0,5226827;-0,1970663;0,02714109;-0,1150312;0,4326806;-0,1286349;0,4211569;-0,04172087;0,5706601;0,01107407;0,5023413;-0,2002649;0,4819202;0,1411881;0,3182511;0,599206;-0,2715425;0,2342172;0,5000834;0,1172676;0,5414147;0,1410823;-0,1909842;0,07690239;0,2647491;0,007241726;0,4982233;-0,1011481;0,008217812;0,2367544;-0,091887;0,06259108;0,2244701;
193,000;-0,6450725;-0,3537641;-0,6258574;-0,04589844;-0,5163932;0,01567698;-0,7421598;-0,2722936;-0,3713183;-0,5384402;-0,5690293;-0,3789468;-0,3685055;0,003873348;-0,476706;-0,6551957;-0,09267235;-0,496202;-0,5056257;-0,4544783;-0,149241;0,09614897;-0,7290111;-0,5662751;-0,7365685;-0,001276493;-0,5648818;0,0578084;-0,4451599;-0,3426366;0,002537727;-0,2218509;-0,5635028;-0,6633387;-0,186295;-0,9491873;-0,6935406;-0,01397753;0,06681442;0,08926392;-0,643105;-0,6312323;0,01715279;-0,5163174;-0,6273417;0,05308723;-0,3510489;-0,0375948;-0,2440639;-0,6316986;-0,2330332;-0,04751968;0,1106558;0,07238388;-0,2114878;-0,5850387;-0,3465204;-0,2449374;-0,658936;-0,8461013;-0,6203651;-0,5627093;-0,006994247;-0,2625031;-0,7267189;-0,7002621;-0,0818038;-0,4428635;-0,5631361;-0,6602893;-0,5176058;-0,46174;-0,6595101;-0,222836;-0,4162602;-0,4809341;-0,5862303;-0,03070736;-0,4447007;-0,5941677;-0,6957426;-0,752285;-0,3333406;-0,5005155;0,03473043;-0,6693306;0,06958103;-0,5176945;-0,7137718;-0,8153701;-0,8730311;0,1321135;-0,7479348;-0,7271557;-0,4048676;-0,202435;-0,4442701;-0,1648369;-0,6416717;-0,2027359;-0,668056;-0,537837;-0,8142734;-0,1552567;-0,4111962;-0,1365337;-0,4125333;-0,5670881;-0,1747403;-0,004281044;-0,7316375;-0,02945185;-0,4160542;-0,6375656;0,02398968;-0,4660454;-0,104866;-0,6633506;-0,2490606;-0,3956571;-0,3461208;-0,8967743;-0,12675;-0,4960556;0,03497028;-0,8861208;-0,3774557;-0,3435578;-0,0854063;-0,6926608;-0,4601011;-0,6163931;-0,3363528;-0,05282068;-0,08007383;-0,3736382;-0,4975686;-0,6573386;-0,3269434;-0,7394571;-0,7056966;-0,03586054;-0,4121137;-0,5588474;-0,062819;0,08885527;-0,2992272;-0,6212912;-0,3130851;-0,6340513;0,0836525;-0,5004959;-0,6136951;-0,3736501;-0,8352814;-0,4829559;-0,3976698;0,01965904;-0,7250109;-0,4495149;-0,5076866;0,06349611;-0,00288868;-0,01727057;-0,4762335;-0,2535553;-0,4699349;-0,2730799;-0,3762608;-0,09849167;-0,290451;-0,3631458;-0,4723892;-0,9048142;-0,9175515;-0,7187171;-0,5699353;-0,4377079;-0,5901823;-0,7156901;-0,2485714;
194,000;0,3535767;-0,4247398;0,09358597;-0,1187658;-0,3269458;-0,1221776;0,2754641;0,1748738;0,2518692;-0,3134713;0,3478131;0,2137589;0,1717715;-0,2935882;0,03689671;-0,1172419;-0,6000042;-0,2422795;0,3636107;-0,1340847;-0,2279787;0,1420383;0,3746023;-0,04408789;0,1124277;-0,1806407;0,08383942;0,2778606;0,1933236;0,03513479;-0,1868048;0,2886109;-0,09111547;0,05477476;0,1403365;0,09999228;0,2051578;-0,1596293;0,1291809;0,2550941;-0,2960052;0,2915111;-0,07287979;0,1883688;0,2820311;0,1786914;0,2306633;-0,1589327;0,2996655;0,3471346;0,258111;-0,2207985;0,1653347;0,2023253;0,3001943;0,2480741;-0,1482425;0,3020139;0,08546019;0,3717608;-0,1141682;0,2359185;-0,1710286;0,2993288;-0,2097402;0,06246424;-0,006341934;0,3421254;0,3294425;-0,3392963;0,3228745;-0,2309151;0,08952284;0,2976604;-0,08047771;0,3086348;-0,2934093;0,0001573563;0,02797318;0,06792831;-0,4392176;-0,2415042;0,089818;-0,3692145;-0,04222822;-0,1006393;0,1424351;0,2556772;-0,2361622;-0,2977138;-0,04935884;0,05126381;0,1505513;-0,2830811;0,1278367;0,237556;0,2208734;0,2996082;-0,1587439;0,2706151;-0,03491831;-0,1504683;-0,2027717;0,1573367;0,2406321;-0,2363682;-0,04334641;-0,1876473;0,1885586;0,2162423;0,008319855;-0,01932907;0,2068448;-0,3706536;-0,1013422;0,3139176;-0,3662143;0,09917736;0,3255544;0,2792888;-0,3315253;-0,03660727;-0,4959602;-0,06188393;0,1640244;-0,2285385;0,1908908;0,02457523;-0,1415329;-0,04886246;-0,01823807;-0,09075356;-0,3476629;-0,1148329;-0,01176929;0,1789322;-0,04592752;0,07985449;-0,1265979;0,01002741;-0,07459688;-0,1615286;0,1874123;-0,08828497;-0,2760468;0,1835351;-0,1564207;0,202054;-0,08922958;-0,2419801;0,137342;0,3233075;0,2310195;0,2951818;0,08535242;-0,111908;-0,3126078;-0,09471035;0,3072376;0,1989098;-0,2275538;0,1742992;-0,1713338;0,2987809;0,3055191;0,3307533;-0,1032314;-0,1014981;-0,1366439;-0,3587365;-0,1604047;0,152566;-0,01278973;0,1075425;-0,1827712;-0,3150487;-0,4390411;-0,133503;0,3559055;-0,0626626;0,3222423;
195,000;0,01212883;-0,09419584;-0,05067587;-0,3081431;0,1195283;-0,5989342;-0,5324049;-0,6881413;-0,2787895;0,07172871;0,009532928;-0,4246306;-0,8046603;-0,3184824;0,1040239;0,1357927;-0,3259377;0,1192188;-0,1378279;0,1069388;-0,07416582;-0,3733387;-0,02870083;-0,3849216;-0,05728722;0,07041311;-0,06887865;-0,05601645;-0,3313241;0,05789804;-0,6205802;0,05258799;-0,414989;0,1127558;-0,4506941;0,09320641;-0,8018398;-0,3984208;-0,696651;0,01124525;0,05287981;-0,3312283;-0,2517214;-0,4540615;-0,2413869;-0,1650643;-0,2047877;0,01445866;0,02067614;0,02885437;-0,3626261;-0,2617168;-0,1741171;-0,287446;-0,01604462;-0,4647756;0,1535521;0,01450634;-0,03008413;0,05046463;0,1388922;-0,440733;0,03845215;0,047997;0,1124291;0,1273065;0,118772;-0,03724194;0,03287601;-0,2748537;0,06231594;-0,3356218;-0,04456472;0,0111618;-0,5595117;0,08145142;-0,6659012;0,03458023;0,1132169;0,02894211;-0,4234748;-0,404325;-0,7160225;-0,4263563;0,1453352;0,076262;-0,346683;-0,1971521;-0,6047277;-0,5566278;-0,5949259;-0,9054337;-0,7549787;0,03490686;-0,8797688;-0,2987509;-0,4624014;-0,06910467;-0,2496295;0,1047421;-0,3631206;-0,6343875;-0,6480408;-0,3334332;-0,1866565;-0,04466629;-0,164885;-0,1487184;-0,4479847;-0,5923429;-0,2080259;0,1155872;-0,5824757;-0,1873741;-0,4653764;0,044209;-0,6178913;-0,08633757;-0,09032965;-0,3739147;-0,1124992;-0,02979088;-0,4215422;-0,3209333;-0,6422811;-0,5414867;-0,3287702;0,1155615;-0,008283138;-0,3237848;-0,2324772;-0,5909891;-0,3786726;-0,5520716;0,1381726;-0,5079765;-0,6187668;-0,004191399;0,03575611;-0,1967196;0,004162788;0,02500629;-0,4935441;-0,4346523;0,04809427;-0,2344112;0,1279969;-0,6346641;-0,5351124;-0,4500036;-0,3445787;0,03911066;-0,3588076;0,0882864;0,09990788;0,04426432;-0,13306;-0,1645508;-0,2899613;-0,3534055;-0,2926326;-0,4836421;-0,5283346;-0,05951071;0,08501673;-0,1054015;-0,718926;-0,5321321;0,1334825;0,04817104;0,1355581;-0,5838265;-0,2390132;0,009140015;0,1243353;0,1673789;0,06654215;-0,6303024;-0,05932331;-0,4648366;-0,06892729;
196,000;0,02630901;0,3559713;-0,3178458;0,4533162;0,5442777;0,09998512;0,01541805;-0,09244871;0,2128525;-0,1895108;0,0523839;0,169879;-0,08412743;0,6156726;0,3981142;0,3347378;0,2969398;0,5060401;-0,2148943;0,5020676;-0,4858913;0,6166887;0,2003098;0,1265411;0,1396103;0,1293311;-0,01985025;-0,145503;0,3468261;0,0236392;0,09972858;0,5156922;0,3730612;0,3429556;0,4319568;0,3782306;-0,1405764;0,3844233;0,001246929;0,1613612;0,2342696;0,06233883;0,3079438;0,3882375;0,5913858;0,3552804;0,4738326;-0,2252145;0,05833149;0,5593767;0,003985405;0,0872035;0,414825;0,3155103;0,224288;0,3252668;0,2974653;0,08033085;-0,2139835;0,4256082;0,3260512;0,2204838;0,2706637;0,5301948;0,4945183;0,2577558;0,3952069;-0,07111311;0,5533323;0,3764124;0,4205856;0,619226;0,1018972;0,1000648;-0,1449957;0,3511443;0,6470175;0,1860518;0,3714142;0,1248546;0,6147943;0,4017644;0,4275641;0,5943875;0,3036623;0,004885674;0,4926958;0,4142947;0,3293848;-0,2586451;0,1531706;-0,04483366;0,538878;-0,04897594;-0,226758;0,3223319;-0,003824711;-0,1228604;-0,05182028;0,2850261;0,6128693;0,4172044;-0,1021247;0,4044414;0,3868771;-0,1060581;0,4474077;0,4512172;-0,04221964;-0,1024961;0,5981898;0,4162722;0,03430748;0,1389074;-0,2118015;0,5253687;-0,1649036;0,035882;-0,04168844;0,03882694;0,3868852;-0,1651583;0,07430744;0,443984;-0,2237501;0,6151023;0,3401971;0,367322;-0,1339064;0,4372325;0,1537981;0,1802936;0,303092;-0,1349897;0,3083162;0,6589389;0,09824848;-0,07755804;0,2335749;0,5470567;-0,03598595;-0,02691507;0,5879011;0,4593177;-0,06571293;0,08734417;0,4181414;0,2084117;0,3504882;0,622386;0,4866519;0,5398126;0,4326677;0,3325434;0,3617935;0,1721616;0,4618664;0,5145302;0,2002039;0,4476128;0,4051094;0,1598716;0,5937109;-0,1551251;0,3343644;0,02134085;-0,1386242;-0,0005736351;0,3712883;-0,2712522;0,3892193;0,6300206;0,1767015;0,1678944;0,4039974;0,2985139;0,2577848;0,07604218;0,01985502;0,5837197;0,1100478;
197,000;-0,672853;-0,3421106;-0,4092336;-0,3533621;-0,02561283;0,05666447;-0,1984243;-0,2750664;-0,06650591;-0,5941091;-0,3661613;-0,4216685;0,01347542;-0,07399702;-0,6069036;-0,5551314;-0,585227;0,1481152;-0,09578133;0,182353;-0,300889;-0,01340199;-0,1567883;-0,2847862;0,05354595;-0,3163457;0,2827353;-0,1522689;-0,734437;-0,7161112;-0,5408907;0,1824703;-0,5638766;-0,3628464;-0,6177373;-0,2445474;-0,3611898;-0,4588995;-0,05555534;-0,02380371;0,2217321;-0,04789257;0,09203148;-0,4182115;0,02506495;-0,4455018;-0,4717207;-0,339519;-0,3995123;0,0134449;-0,2568836;-0,2421527;-0,2394648;0,1018481;-0,2724104;0,1773486;-0,4118009;-0,2898245;-0,3423309;-0,4063172;-0,3220229;-0,3709192;0,07871437;0,1182489;0,2015076;-0,5104642;-0,3473105;-0,2670836;0,03738976;-0,8111863;-0,3954396;-0,07432413;0,2193966;-0,3758583;-0,3413453;-0,360673;-0,007240295;-0,1644392;-0,2320571;-0,5108685;-0,01645613;-0,332531;-0,4386501;0,07279015;-0,4242139;-0,527257;-0,1115398;-0,4801741;0,2044959;-0,4004812;-0,4731698;-0,5697393;-0,4394178;-0,1879787;-0,56282;0,07833576;-0,310802;-0,5006399;-0,2616491;-0,6022925;-0,01992655;-0,621985;-0,4889483;-0,5611076;-0,3633199;0,246213;-0,4013429;-0,07508612;-0,6642809;0,03525925;-0,03917265;-0,4362993;-0,4101334;-0,2140274;-0,4821205;0,1542988;0,2773795;0,05286026;-0,2140145;0,2291207;-0,1991396;-0,3660874;-0,6958432;-0,5600195;-0,6033711;0,06574726;-0,5817075;-0,2195187;-0,2650771;-0,2635641;-0,2272201;-0,5968008;0,175139;-0,6994767;-0,4410348;-0,1153216;0,07679701;-0,2758107;0,2432733;0,1712546;-0,4745746;-0,2737174;0,1807742;-0,5585885;-0,133966;-0,3845696;-0,4590278;-0,6735973;0,0768404;-0,02080393;-0,08902216;0,09011841;-0,4633007;-0,6498594;-0,1853552;-0,1158586;-0,1493411;-0,3402195;-0,3720317;-0,2707982;-0,4237041;0,2293453;0,1530995;-0,3667822;-0,6585226;0,1437788;-0,7063603;-0,3082166;-0,5255365;-0,475533;-0,3358078;0,05052185;-0,3232131;-0,4200234;-0,402483;-0,4307318;0,09311867;-0,6479053;-0,02135372;0,1690812;0,2130256;
198,000;0,01063204;0,1278563;0,193294;-0,06967783;-0,364552;-0,5084209;-0,1969647;0,07901764;0,1479964;0,2580462;0,06649685;-0,0692234;-0,05819225;-0,444488;-0,6569819;-0,2944016;0,07274437;0,1876845;-0,09468079;0,04045963;-0,1657434;-0,2378778;-0,0769062;0,006749153;-0,4675303;-0,3858213;-0,08562279;0,08755589;-0,3324432;-0,1710014;0,1967287;0,02877474;-0,2488074;0,248363;-0,3997974;0,1873927;-0,1631269;0,2339201;0,1940613;0,003961086;0,03634882;0,156733;-0,5014691;0,05365229;-0,3756571;0,2103038;-0,4065599;0,1215034;0,2165656;-0,283617;-0,4016128;-0,3063297;0,1106896;-0,5496831;-0,4414577;0,1318665;0,1161485;0,08490801;0,1282749;-0,1717734;0,07912302;-0,2296996;-0,3915248;-0,3527074;-0,03331327;0,02665377;-0,02917004;0,07708883;-0,3838181;-0,4277949;-0,2094994;-0,4393859;0,1228385;-0,2008433;0,03855515;0,2287455;-0,303453;-0,04125595;0,1279812;-0,2645564;-0,2215915;0,04308224;0,09532452;-0,2218361;0,1666803;0,2593927;0,1596761;-0,3335266;-0,003301144;0,07317495;-0,2088728;-0,7212029;-0,6301875;0,1992588;0,2658195;-0,7178106;0,2001224;-0,5424147;0,02241087;-0,2400217;-0,6788893;-0,03184462;-0,3652511;0,02433634;0,1997461;0,1345921;-0,2163453;0,04015589;-0,4455323;-0,4869075;-0,360321;-0,2979107;-0,047997;0,1824741;-0,3225369;0,1464362;-0,01550531;-0,4007721;-0,3305478;0,09616184;-0,04461479;-0,06790018;-0,3305926;-0,2762456;-0,438674;-0,2190557;0,2508526;0,08079672;-0,06126261;0,1982355;0,222661;-0,3387556;0,1597619;-0,2466187;0,2414832;-0,4758716;-0,5856075;0,1215348;-0,06506729;0,03493929;-0,3211513;-0,08791828;-0,05709553;-0,2954822;-0,03384399;0,1017213;-0,4014835;-0,4013386;-0,09461594;-0,210494;0,06359434;-0,2268777;-0,04671717;-0,1791167;-0,06910658;-0,2386289;-0,2854829;-0,3483424;-0,1989446;0,2160296;-0,2018003;0,007445812;0,05649948;-0,08299208;-0,417388;-0,148582;-0,4432321;0,1787214;-0,5587349;0,2011428;-0,06810617;-0,1651802;-0,02472401;-0,4184756;-0,1662459;0,2145047;-0,4427314;0,2736421;0,08041954;0,002211571;0,1398563;
199,000;0,3131356;-0,3196583;0,4575377;0,5058284;0,4533577;-0,06343365;0,2444086;0,223722;0,4667168;0,3033633;-0,04673386;0,5187769;-0,02634096;0,4760151;0,3236065;0,2920618;-0,1830888;0,1564393;0,3826981;0,130794;0,1549397;0,3548236;0,3728089;-0,09314871;0,1577439;-0,1579595;-0,3111253;0,09510851;-0,3229766;0,4918647;-0,1234069;0,1880102;-0,3042865;0,2137961;-0,07073975;0,4266372;0,2134166;0,3542795;0,2308793;-0,2658534;0,1033564;0,4101868;-0,2995224;0,07390308;0,2821517;0,4549055;0,5660338;0,06003046;0,3785877;0,5469952;0,3515296;0,293066;0,08933926;-0,2344751;0,5696406;0,3808742;-0,2280498;0,2162471;0,03386116;0,305378;-0,1141057;0,5385633;0,2941313;-0,2927647;0,0593071;-0,02674532;0,3049121;0,2278204;0,3045073;0,5832996;0,4795609;0,4509234;0,3764787;0,006499767;-0,2398281;0,309021;-0,03105688;0,2151809;-0,002397537;0,2919946;0,2792516;0,07151842;-0,1061802;0,2408304;-0,04551601;0,2564225;0,4652824;0,01898098;-0,1039243;-0,3639379;0,1195741;-0,1794887;-0,1949973;0,2913723;0,2290688;-0,2767496;0,3900371;0,1713457;-0,4339509;-0,1344862;-0,07671452;0,5110002;0,1378403;0,2070675;0,4497018;0,2944975;0,5134425;-0,1000862;0,1364965;0,5464845;0,4402771;0,4183831;0,4048963;0,4145641;-0,07012653;0,3408346;-0,1313567;0,5304875;0,3717713;0,4882998;-0,3050508;0,4604454;0,1379514;0,4088793;0,4413581;-0,1787939;0,3578672;0,2121973;0,3555403;0,4009342;0,2339983;0,0142498;0,2517452;0,3207245;0,3054795;0,3311305;0,008024693;0,02453756;-0,1286383;-0,2342076;0,5216789;0,4972501;-0,3226533;0,5024977;-0,2533221;-0,1914878;0,5365934;0,35004;0,307126;0,2396107;0,2095189;0,2410693;0,4732246;0,5058417;-0,2016506;0,006955147;-0,006007671;0,2098298;0,3935056;0,3135862;0,07863092;0,2206659;0,07906199;0,520546;0,02768469;0,4882188;-0,1364589;0,4795213;-0,07212257;0,4744949;0,4781923;-0,009968281;0,2473488;0,5616794;0,287014;0,4274144;-0,164681;0,2800255;0,04570436;-0,08295584;0,2978215;
