Wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
190,000;-0,5192246;-0,2441854;0,03504133;-0,5623398;-0,3084574;-0,4803014;0,03924704;-0,654007;0,06176281;-0,5389481;-0,3032341;-0,4692006;-0,5694304;0,05269432;0,002098083;0,039464;0,06708431;-0,6472125;0,03524494;-0,3018494;-0,5650692;-0,2703209;-0,5157394;0,06325912;-0,3389854;0,01341248;-0,06184053;-0,582242;-0,5691104;-0,2356396;-0,07324648;-0,4487133;-0,7868309;-0,5469193;-0,5211329;-0,4332619;-0,07737637;-0,2850566;0,0112319;0,0134201;-0,2570653;-0,6904883;-0,2202339;-0,5112052;-0,3950744;0,03276682;-0,3726068;0,08524895;-0,559248;0,02799273;-0,7270007;-0,3458052;-0,463026;0,05692291;0,03036642;0,02873898;-0,509315;-0,01984835;0,01215792;-0,00812006;0,07038879;0,06819344;-0,435041;-0,006828308;-0,4831581;-0,02983141;-0,8280187;-0,2925005;-0,02304602;-0,474483;0,01619482;-0,2515101;0,06103849;-0,4954672;-0,3663764;-0,3623338;0,05381298;-0,6477365;-0,05238104;0,03856325;-0,0001006126;-0,2525282;-0,3304167;-0,04312658;-0,4898973;0,02876759;-0,07080078;-0,07172251;-0,6749244;0,08025169;0,08472967;
191,000;-0,03283882;0,3968792;0,05709076;-0,1147909;0,104681;-0,3030844;-0,01976776;-0,2849822;0,3045945;0,3372154;0,05181503;-0,2042351;-0,06687403;0,3110199;-0,1145711;0,3254156;0,3021607;0,3572717;0,3403058;-0,2324643;-0,3140278;0,07387161;-0,2159038;0,3052802;-0,2238636;0,03830957;-0,2380548;-0,1050177;-0,1028562;0,3573632;-0,3275709;0,4221725;0,3828201;0,3553176;0,3184137;0,3910513;-0,2145114;0,07026339;-0,1598654;0,3199816;0,3262429;0,06461334;0,3108926;-0,06536818;0,3390865;0,3124704;0,3334117;0,3343449;0,06474066;0,03353739;0,07677794;-0,2379336;0,1028771;0,3462305;0,3214831;-0,01869678;-0,2898793;-0,1298337;0,3261247;-0,2680078;0,3207278;0,3394504;0,3992739;-0,4452343;0,1402521;-0,3925719;0,08942699;-0,2737994;-0,163312;0,11408;0,02615023;0,32587;0,3215337;-0,1608853;-0,3923516;-0,1378241;0,2758427;-0,1064405;-0,2456565;0,2796993;-0,1660733;0,3575082;-0,3047333;-0,2609615;-0,2809448;0,003635883;-0,192029;-0,2352667;0,07774115;0,2765107;0,3079257;
192,000;0,4025569;0,3449841;0,2599626;0,05119514;0,4322453;0,2537718;0,03748322;0,1622415;-0,05885839;-0,01989317;0,1825466;0,09452438;0,1677008;-0,07544565;0,5070925;0,07279062;-0,05549431;0,02833271;0,2894573;0,2744141;-0,01761389;0,3175168;0,09023857;0,2624002;0,1608067;0,3701649;0,2407246;0,02361393;0,09462452;0,0323534;0,3958774;0,3414159;-0,03208113;0,08433104;-0,03524303;0,2683792;0,5077209;0,198205;0,1125951;0,02084303;0,09625769;0,08425522;-0,05841923;0,1860428;-0,1065006;0,1396208;-0,1123862;0,1034641;0,1998992;0,09102583;0,1092415;-0,05520248;0,1343389;0,2379375;-0,005161285;0,0422883;0,1007185;0,01180077;-0,00463438;0,08006954;0,1823702;0,2523518;0,2316852;0,1072407;0,3452559;0,2897191;0,1222105;0,1231279;-0,008193493;0,2577391;0,2670283;0,09097099;0,06172943;0,6914611;0,07368231;0,5582771;0,07631111;0,1277971;0,2662139;0,08080912;0,1523218;0,05199862;0,3669019;-0,006371975;0,5173941;0,2253127;0,401566;0,1165032;-0,1423826;0,04659653;-0,007657528;
193,000;-0,1177778;-0,415143;-0,3758316;-0,001506329;-0,008338451;0,04464293;0,3611927;0,09857464;-0,3134079;0,4082093;0,3850274;-0,286963;-0,185235;-0,3782644;0,2875023;-0,2287822;-0,15976;0,3948193;0,03432655;-0,07327938;-0,2610478;0,00717926;0,1200409;0,2741499;0,0977726;0,3107882;-0,2039142;-0,1762629;0,04429626;-0,2454491;0,3535194;-0,2592049;0,1380186;0,3902082;0,2966881;0,06891727;0,3248177;-0,1622653;0,03285313;-0,06419659;0,3718886;0,2636662;0,1197314;-0,06012535;-0,204937;-0,03009558;-0,1665311;-0,3251286;0,2794452;-0,1738968;0,3919058;-0,166688;-0,2694321;-0,242722;-0,4648356;0,3374319;-0,4151917;-0,438705;-0,1609817;-0,06440353;-0,1813326;-0,08398724;-0,06640387;-0,3251634;-0,5657487;-0,3039398;0,31566;0,2790127;0,1224284;-0,2718;0,3754416;0,3941574;-0,1727815;0,1751194;-0,3911548;-0,2340608;0,2586393;0,4075174;-0,01810074;0,2331195;0,3681169;-0,1667886;-0,05100155;-0,2936826;0,2810497;0,2361913;-0,3847461;-0,179492;-0,3022332;0,4033594;-0,3018227;
194,000;0,702323;0,09131527;0,1589117;-0,0197072;0,3755245;0,7515655;0,6953945;0,5578728;0,3797784;0,5441899;0,5238109;0,6973662;0,6149645;0,3535008;0,2370486;0,3325791;0,6388292;0,5851011;0,2827244;-0,002407551;0,6312203;0,3674879;0,5096765;0,4449644;0,5663195;0,2105646;0,05331278;0,05650282;0,3006673;0,5905328;0,5251102;0,3418894;0,5370312;0,5749073;0,1807909;0,68613;0,6015244;0,145009;0,3363161;0,6814747;0,6429954;0,02317762;0,6247668;0,5539408;0,3234773;-0,08397007;0,7028756;0,5857482;0,1220355;0,6074739;0,5371175;0,6261945;0,6233921;0,314178;-0,01995802;0,2540431;0,3843827;0,8182659;0,6152725;0,6063108;0,0314846;0,6571388;0,5993552;-0,03741932;0,1442413;0,6544418;0,3196216;0,4499969;0,5462255;0,4171376;0,5252309;0,5513964;0,641623;0,3136683;0,05723047;0,6238389;-0,1150045;0,4495864;0,1568313;0,165895;0,5924277;0,6200905;0,02418184;0,7678256;0,2508092;0,06294727;0,4232769;0,5953603;0,3570042;0,5265331;0,3052526;
195,000;0,4273248;-0,02779245;-0,09374762;-0,1126919;0,275692;0,6833467;0,7392941;-0,1986675;-0,03511381;-0,0833602;-0,0903101;0,1899567;-0,06476736;-0,1575737;0,166986;-0,1406622;0,1235476;0,307004;0,0835638;0,3748927;-0,1063275;0,296299;-0,003184319;0,6992321;-0,1233239;0,02254581;0,02291965;0,1252069;-0,00838089;-0,1703815;-0,06451607;-0,01141977;0,08672857;0,1287789;0,5641694;0,386941;0,08038282;0,08431625;0,1671686;0,4597578;0,4046588;0,4579005;0,2723322;-0,2769074;-0,1177835;0,00746727;0,4106002;-0,001117229;0,2866473;-0,04764128;-0,03188276;0,1917109;-0,06338692;-0,1434131;-0,05507517;0,1784925;0,01621437;0,6214795;0,0505929;-0,2219424;0,09771013;0,2598267;0,09449005;-0,1454582;0,1519723;-0,01845884;0,09712791;0,6713109;-0,06402636;0,2240343;0,1842618;-0,1005034;0,128511;0,6703262;-0,03502512;-0,04432487;-0,01427174;0,01024342;0,1154604;0,7387333;0,06659746;0,03621006;0,2233858;0,7617273;0,2605567;0,307035;0,262363;-0,1097836;0,05679607;-0,003942013;-0,273314;
196,000;0,09901094;-0,03646612;-0,1283212;-0,1171088;-0,1651959;0,153574;0,3047156;-0,2424984;-0,1828861;-0,1071019;0,1366129;0,01708651;-0,1542902;-0,2105894;0,5793905;-0,3639541;0,04259729;0,03290033;0,315547;0,03506708;-0,102572;0,1875668;0,6775923;-0,1677938;0,05069876;0,1473727;0,1193433;-0,02633238;-0,2083669;0,1709914;0,2632074;-0,08920193;0,1637163;0,1040626;0,1602139;-0,1252546;-0,04655838;0,03201342;0,03642321;0,3200946;0,03669548;0,609405;0,1511116;-0,1825805;-0,01917219;0,2537522;0,1756454;0,2204885;0,2243009;-0,07301331;0,1372828;0,3410444;-0,1745982;0,02247047;-0,1245956;0,2501192;-0,2126331;-0,2382588;-0,201344;-0,2862177;0,3834605;-0,07748604;0,4006209;-0,05926943;-0,01942015;-0,2007179;-0,08814669;-0,03415108;0,2326045;0,02562618;0,6650944;-0,04077625;0,2633781;-0,1206489;-0,09644175;0,09500074;0,1471815;0,4577579;0,2218251;0,008734226;-0,4139862;-0,1388855;0,1493874;0,1041126;0,4637227;0,08378077;-0,1630354;0,1414623;-0,08506918;0,0149169;-0,07001877;
197,000;-0,1592498;0,1326246;-0,365346;-0,4169583;-0,1494708;0,07444572;0,05184126;-0,2932458;0,1326094;0,2580771;0,1165442;0,1204572;-0,2771759;0,3217001;-0,3219504;-0,4411225;-0,2065258;-0,6323872;-0,2632651;-0,2670975;0,2626595;0,134531;0,004337311;-0,3932071;0,1444941;-0,6268382;0,08989859;-0,3275476;-0,1035767;0,0197587;0,02843571;0,04855776;-0,3997521;0,1378078;-0,2453184;0,0002365112;0,1520209;-0,5286083;-0,2349281;0,1518655;0,2697201;-0,01220417;-0,2982016;-0,2896709;0,1284876;-0,01957369;0,1479459;-0,5987086;-0,3687105;-0,3459206;0,08754206;0,2213321;-0,4467382;0,2670078;-0,09443474;-0,4006176;0,02438688;-0,3055401;-0,3025432;0,2369232;0,03508711;-0,3956141;0,008414745;0,04199648;0,261538;0,01193237;0,04679823;0,0370698;0,1614647;0,03742027;-0,0568881;-0,02543974;-0,07733631;0,0979495;-0,2888994;0,2797995;-0,02041864;-0,6686487;0,07176399;0,1542206;-0,3335323;-0,3601565;-0,4655242;-0,5254526;-0,6957188;0,07672167;-0,4092121;0,1171885;0,0005750656;-0,0184226;0,1904678;
198,000;-0,349339;-0,4404383;-0,110292;-0,2717862;0,1122437;-0,7350249;-0,5240622;-0,2713079;-0,3460622;0,06973171;-0,4911327;-0,6729803;-0,3878942;-0,1467519;-0,4465837;-0,4868188;-0,4062057;-0,5550332;-0,7128406;-0,135994;0,05012941;-0,1947031;-0,330389;-0,7302065;-0,5595412;-0,06050348;-0,825717;-0,7062483;-0,08464956;-0,8807402;-0,4472861;-0,1601071;0,1450124;-0,1708512;-0,3088589;0,1043882;-0,5112486;-0,2310061;-0,4805632;-0,3429375;-0,03816223;-0,4492049;-0,587337;-0,6023836;-0,707777;-0,6010308;-0,2290993;-0,5272765;-0,6786761;-0,6148825;-0,3608856;-0,03154755;-0,3733306;-0,05161667;-0,1543674;-0,5643425;0,03931046;-0,6329417;-0,05638313;-0,3736997;-0,7510262;-0,3628268;-0,81778;-0,8217497;0,02916813;0,07710552;-0,5061107;-0,6202188;-0,36693;-0,6921473;-0,5203905;-0,8811774;-0,7234197;-0,8294516;-0,3684626;-0,1469564;-0,677484;-0,1986961;-0,5904946;-0,5130196;-0,4418311;-0,1183391;-0,194263;-0,2414088;-0,5506911;-0,7253652;-0,2488871;-0,4969521;0,06116724;0,06887054;-0,3105407;
199,000;0,5315819;0,0533514;0,244215;0,3367553;0,2538013;-0,09997416;0,01730347;0,2277346;0,2908959;0,1704116;-0,0930562;0,2438865;0,07394791;-0,2450552;0,2515173;0,4457321;0,3158908;0,3369827;0,01625967;0,3117113;0,2601724;0,3082514;0,3673611;0,06046629;-0,3092074;0,2199354;-0,09004736;-0,1776648;-0,2380667;-0,1814375;0,3670826;-0,3934178;0,2958369;0,1878366;-0,2693186;0,1817217;0,3657508;0,2294426;0,304286;-0,09637928;-0,008956909;0,4337082;0,2661576;-0,1055279;-0,1057682;0,4242692;0,4602532;0,1017365;-0,2617698;-0,09258604;0,407135;0,006810188;0,3179517;0,051579;0,2682624;0,1370072;0,4752884;-0,06030321;-0,2301612;0,3459849;-0,1906986;0,05579758;-0,1925306;0,4233699;0,374032;0,3069682;0,2162447;0,4399281;-0,2785168;0,09328794;0,4155588;0,1264997;0,3209405;0,2727365;0,002517223;-0,1965518;0,5037718;0,2113681;0,3216434;-0,02679396;-0,0503931;0,2753267;0,04050684;0,2722669;0,400279;0,1399779;0,2193151;-0,0702424;0,3949738;0,3718438;0,1087532;
