Wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
190,000;3,051252;3,005165;2,901175;3,290044;2,435625;2,906168;3,250893;2,916843;2,995344;3,221329;2,953578;3,29701;3,249594;2,858592;3,300568;2,706211;3,292192;2,881454;3,319627;3,293835;2,822626;3,209541;2,56724;3,28131;2,532022;2,983606;2,448181;2,591028;2,638994;2,650837;2,886151;2,98982;2,391553;2,58927;2,540501;2,710041;3,026972;2,732073;2,683664;2,990982;2,413511;2,759316;2,451706;2,404608;2,72944;2,733633;2,615224;2,832814;2,525406;2,222101;2,835932;2,529166;2,795514;2,818618;2,900728;2,530314;2,419541;2,499813;2,616369;2,66479;2,260115;2,597631;2,944384;2,311607;2,607852;2,315324;2,449179;2,872106;2,750951;2,375925;2,5237;2,527178;2,680037;2,311418;2,562725;2,629424;2,442683;2,719716;3,012098;2,451645;2,935843;2,367524;2,401748;3,247935;2,742941;2,606219;2,492196;2,645097;2,410374;2,407661;2,488268;2,646935;2,76927;2,672023;2,636047;3,215527;2,59343;2,280201;2,40809;2,943725;2,221044;2,460295;2,513856;2,404383;2,410019;3,272034;2,585408;2,421664;2,665667;2,700251;2,527647;3,247588;2,530491;2,237658;2,563902;3,195095;2,439748;2,418415;2,599107;2,322554;2,321011;2,653062;2,261111;2,52706;2,348841;2,421246;2,394984;2,835654;3,015017;2,233765;2,489405;2,327579;2,612425;2,242784;2,201768;2,567203;2,239898;2,741902;2,367531;2,304458;2,300339;2,3015;2,292248;3,289729;2,76421;2,249754;2,328181;2,379953;2,3575;2,397085;2,465281;2,433282;2,301817;
191,000;3,290877;3,278414;2,928576;2,955894;3,016179;2,766668;2,604289;2,714622;3,376745;2,592;3,057724;3,278504;2,816188;3,356174;3,266389;3,399518;3,252646;3,299024;3,290609;3,281117;2,931835;2,841905;3,385356;3,300935;3,350371;2,843733;2,848813;3,095294;2,569543;3,401785;2,710861;3,090855;2,847968;2,878528;2,889135;2,713216;3,290899;3,396658;3,111237;2,808614;2,627267;3,394038;2,565537;2,740462;2,300949;2,975621;3,427492;2,983287;2,855592;2,49213;3,352957;3,336143;3,423304;3,008964;2,478032;3,060163;2,707403;2,570632;3,418724;3,33019;2,493573;2,74282;2,546058;2,983864;3,139277;2,676578;2,546357;3,31531;2,894862;3,457844;2,575922;2,883489;2,903142;2,410717;3,333676;2,690864;2,679956;2,552049;2,809488;2,797909;2,422863;2,483513;2,729037;2,560423;2,468182;2,430301;2,51373;3,357316;2,881416;2,694896;2,352537;2,631575;2,47809;2,965239;2,842181;2,450441;2,547653;2,883272;2,52968;2,706481;2,584306;3,420176;2,64388;2,341084;2,863716;2,702392;2,642403;2,528148;2,759334;2,916678;2,320238;2,68556;2,439479;2,555927;2,778909;2,885197;2,449264;2,43602;2,893834;2,398471;2,400035;2,694832;2,376617;3,145049;2,575745;2,397199;2,547105;2,848545;3,044144;2,586868;2,436265;2,639172;2,871067;2,491037;2,984769;2,521327;2,623156;2,750922;2,468777;2,85578;2,669093;2,351593;2,7123;2,703771;2,464715;2,739691;2,896551;2,327049;2,38019;2,843352;2,547735;2,535177;3,042834;
192,000;2,920336;2,556482;3,419292;2,859028;2,647151;2,839114;2,963951;2,703134;3,362617;2,701396;3,0561;2,906535;2,974255;3,002253;2,95579;3,377878;2,835101;2,751164;2,825305;2,89763;3,367658;2,906161;2,993275;3,109442;2,716525;2,940329;2,564807;3,022225;2,569119;3,364826;3,45705;3,348117;3,391398;2,95536;2,768263;3,043091;2,951947;3,362926;3,396842;2,88567;2,679023;3,334577;2,807105;2,515116;2,936319;2,700418;3,28835;2,767455;2,876297;3,117936;3,047041;2,575869;3,263365;2,831118;3,115006;2,709796;3,138508;2,731759;3,324134;2,70354;2,649837;2,81497;2,819456;3,34893;3,285476;3,00626;2,76016;2,691103;3,141537;3,241443;3,079991;2,743992;2,806298;2,774216;2,702873;2,862053;2,802886;2,647059;2,579137;2,829484;3,101291;3,095919;2,677935;2,478943;2,73624;2,691664;2,700835;3,089169;2,643356;2,72136;2,629726;2,752667;2,631814;3,302587;3,3556;2,703064;2,452619;2,593771;2,520898;3,396818;2,47027;2,918235;2,59805;2,676598;2,64617;2,913221;2,572887;3,057041;3,272059;3,004728;2,736351;2,815607;2,725455;2,618515;2,885849;3,007897;2,752665;2,426482;2,678977;2,487757;2,577221;2,812319;2,626585;3,293158;2,62212;2,461974;2,533282;2,962574;3,042864;3,377017;3,374366;2,47347;2,759968;2,580657;2,936579;2,794349;2,600546;3,3069;2,708598;2,378755;2,567216;2,672419;3,321217;2,887967;2,412505;3,045772;2,603104;2,758471;2,693607;2,387438;2,736037;2,682025;2,480281;
193,000;3,499282;3,064728;3,404539;3,411319;3,027667;2,77455;3,118968;2,97991;3,465061;2,694881;2,915778;3,068977;3,485331;2,805328;3,35969;3,361273;3,380404;3,214479;2,933021;3,106736;3,129969;2,753023;3,029737;3,386352;3,014566;3,089368;3,19364;3,031428;2,805991;3,418758;3,322663;3,156321;3,023279;3,490929;2,777992;2,903114;3,337553;3,435275;3,408491;3,33817;2,500384;3,057072;3,34876;2,971331;2,671293;3,334157;2,945889;3,369756;3,320845;3,133589;3,108131;2,744848;2,861265;3,482674;2,910179;2,976584;3,471446;3,193311;3,085749;2,717376;2,664481;3,149651;2,944116;3,151039;2,577555;2,768274;2,807858;2,9716;3,389316;2,753643;3,00305;2,731566;2,472878;3,055943;2,879725;2,820224;3,220812;2,95708;2,974351;2,560434;2,786181;2,734704;3,53138;2,613627;2,731127;3,107205;3,062573;3,412693;2,632992;2,567465;2,745016;3,071177;2,695094;2,719582;2,905365;2,617704;2,593101;2,808187;3,076176;2,804403;2,67735;2,448612;2,9238;2,515441;3,09129;2,792902;2,532948;2,90961;2,612812;2,831237;2,778882;2,710931;2,68288;2,44079;2,832032;2,506295;3,152942;2,533047;2,684807;2,693863;2,824788;2,547456;2,73005;2,667112;2,665105;2,822616;2,927228;3,496622;2,989206;2,897468;3,000383;2,531018;2,834829;3,539927;2,558152;2,836963;2,428842;2,810809;2,822085;2,647285;2,740556;2,529458;2,470613;2,919088;2,525165;2,680883;2,360749;2,400037;2,631445;2,619212;2,78852;3,311954;2,672958;
194,000;3,318983;3,490306;3,454941;2,846924;2,665905;3,377786;3,158514;2,887681;3,260165;2,831503;3,017953;2,915287;3,316589;2,827556;2,82035;3,163671;3,010338;3,44992;3,435052;2,756732;3,484774;2,881887;3,4399;2,856019;3,093819;2,782711;3,054564;3,396313;3,366085;3,463237;2,916634;3,392369;3,074434;3,312336;2,851589;3,414629;2,484017;3,389234;3,468155;2,917651;3,447501;2,771894;2,578353;3,387107;2,802469;2,324473;3,118378;2,677186;2,827424;3,018744;2,91118;3,146019;3,541851;3,416303;2,97044;3,294644;3,295999;3,495667;3,19736;2,798357;3,130063;2,800679;2,75;3,409914;2,965773;3,325086;3,032967;3,340776;3,116183;3,108563;3,453029;2,858169;2,981973;2,802431;2,880123;3,47857;3,349616;2,772635;3,342577;2,968277;2,79186;2,587029;3,25929;2,714643;3,332931;3,020234;3,374802;3,081264;2,705738;2,981031;2,817419;2,615558;2,862309;3,178835;2,900407;2,700748;2,991792;2,810468;2,849839;2,648263;2,716091;2,845455;3,544977;2,658926;2,600213;2,874338;2,658053;3,373791;3,379024;3,382907;2,822235;2,642871;3,321155;3,025093;2,953987;2,711305;3,11043;2,59293;3,366688;2,800271;2,883461;3,499069;2,710687;2,714232;2,551176;3,334285;2,529854;3,282018;3,025051;2,909672;3,308342;2,548176;2,785003;3,25253;3,415961;3,273573;2,941241;3,309883;2,834545;2,823059;3,119141;2,748089;2,573941;3,424565;2,871098;2,745981;2,639292;2,616191;2,652174;2,624503;3,360531;2,396609;2,625093;
195,000;2,789625;3,370993;3,411287;3,004904;3,421225;2,733722;3,066951;2,866587;2,770285;3,124813;3,096859;3,521683;3,046344;2,600215;3,219922;3,513149;3,431086;3,482119;3,133752;2,739223;3,422629;3,449872;3,07974;2,995669;2,821468;2,970671;2,89481;2,942177;2,927532;3,36205;3,030233;2,917764;3,387361;3,064833;3,56268;2,936686;2,618484;3,113323;3,350857;3,371472;2,563999;2,60772;3,023384;2,743493;2,955106;2,686726;2,796075;2,884529;3,393659;2,472641;2,899742;2,72767;3,305507;3,496952;2,992231;2,704386;2,928016;3,296567;3,505489;2,928615;2,85027;2,686759;2,622841;2,850033;3,030981;2,708662;2,463269;2,774491;3,123802;2,940039;3,048;2,814596;2,582177;3,073715;2,471794;3,017236;3,038274;2,61293;2,488608;2,598703;2,446815;2,508115;2,693818;2,537633;2,566082;3,53056;2,766631;3,257801;2,834704;2,682468;2,803938;2,673621;2,989941;2,888595;2,625494;2,683922;2,602271;3,154521;3,396822;3,015532;2,503481;2,575171;3,215298;2,448502;2,595208;2,959524;2,520462;2,55266;2,572596;2,874065;3,127641;3,501498;2,643104;2,728842;3,086774;2,38528;2,920834;2,437418;2,437746;2,623765;2,886296;3,063244;2,419779;2,570392;2,796545;2,397932;2,4287;2,956747;2,422765;2,59593;2,319124;2,917469;2,629003;2,302567;2,546306;3,273205;2,357732;2,662661;2,691162;2,537549;2,524296;2,566634;2,594309;3,19757;2,843012;2,518593;2,766858;2,528337;2,746634;2,51849;2,651328;2,765947;2,491243;
196,000;2,938301;3,213996;3,072373;3,409125;2,510289;3,306799;2,779042;3,590921;3,517012;2,672416;2,893072;3,457123;3,469441;2,833023;3,079453;3,364587;2,891203;3,329708;3,078756;3,336596;2,979314;2,830297;2,733714;3,444248;2,690043;3,582331;3,187539;2,912207;3,413934;2,943701;3,168708;3,034015;2,779035;3,380257;3,277921;3,27663;2,958617;2,890657;2,992454;2,972461;2,55382;2,859063;3,478704;2,580807;2,743151;2,984048;2,626694;2,864984;2,928616;3,0955;3,233338;2,782748;2,866677;3,303305;3,280829;3,490785;3,505723;2,775372;3,355474;2,704843;2,949362;3,425776;3,350076;2,741679;2,854474;3,437858;2,910659;3,147098;3,000952;3,496972;2,873016;2,840071;2,800501;2,544799;2,665989;2,992564;3,464744;3,033042;2,783319;2,740051;2,969476;2,880994;2,940943;2,792974;3,253575;3,353484;2,790412;3,348377;3,026414;2,810476;3,312095;2,942814;2,679997;2,667964;2,884972;2,843772;2,736663;2,989839;2,678154;2,997702;2,604035;2,761962;2,810798;2,77764;2,736082;3,12837;2,545401;2,875341;3,07309;3,053148;2,669392;3,08161;3,496187;2,714553;3,440783;2,665853;2,75947;2,442917;2,87314;3,193705;2,867534;2,985519;2,787052;2,793663;2,814149;3,037807;2,900248;3,380096;3,114011;2,82574;2,772686;2,649279;2,935265;2,715048;3,009056;2,829703;2,629996;3,421214;2,629067;2,840786;2,796992;2,736519;2,705443;3,391575;2,875757;2,582444;2,481827;2,627981;3,33467;3,073577;3,367166;2,57762;2,714777;
197,000;3,28453;3,520519;3,116993;2,987302;2,515851;3,485914;3,063524;3,27588;3,048075;2,841383;2,906083;3,470564;3,106834;3,516175;2,891338;3,265478;3,186419;3,102345;2,99649;3,298282;2,892509;2,808504;2,878549;3,207473;2,837019;3,240053;3,259548;2,796316;2,803149;3,035888;3,246638;2,896245;2,972328;2,853121;2,977269;3,497422;3,226671;2,947863;3,196711;3,380499;3,067083;2,955317;3,016566;2,413576;2,801599;2,916127;2,957426;2,871099;3,551306;3,381251;3,042064;3,062848;3,304975;2,938264;3,405842;2,848563;3,015663;2,973656;2,94902;2,880945;2,670547;2,850279;3,311399;3,068128;3,432259;2,819259;2,748904;2,906559;2,903919;3,027751;2,794457;2,930544;3,054007;2,813318;2,708063;3,553278;3,127364;3,562746;3,215091;2,941078;3,265304;3,335563;2,971782;2,984824;3,185436;2,928604;2,953503;2,864412;3,449203;3,206666;3,376588;3,538182;3,368435;3,094004;2,954654;3,409032;3,357922;2,909224;2,658691;2,936485;2,896599;2,85121;3,305112;3,61661;2,934033;3,417962;2,639744;3,027588;2,936825;2,744217;2,487621;2,959775;2,862113;3,131316;3,176983;2,897244;2,974039;2,824708;3,107597;3,32457;3,450302;2,782082;3,397923;2,635103;3,458268;3,342728;3,306951;2,719634;3,330268;2,856663;2,730145;3,268072;2,981847;3,49215;3,377665;3,41619;2,974298;2,716061;2,880798;3,524946;3,330846;2,957032;2,803388;2,998497;2,665541;2,915902;2,938021;2,763433;3,297122;3,427207;3,266144;2,658944;2,82795;
198,000;3,504889;3,486955;3,534351;3,213503;3,095693;3,531728;3,286052;2,992359;2,88246;3,183922;2,879017;3,556314;3,315282;3,044377;3,379481;3,374735;3,345709;3,44111;3,570189;2,829034;3,433341;3,256378;3,371261;3,542669;3,568124;2,94845;3,465755;3,21734;3,165318;3,317351;3,54561;2,675256;3,229611;2,969273;3,560617;3,516989;3,085723;3,520978;3,253388;2,960448;2,996052;2,810913;2,857733;2,590248;3,222931;2,91934;3,330002;2,936789;3,526912;2,803096;2,887112;2,903376;3,506383;3,049899;2,890382;3,102557;3,041688;3,042181;3,073877;2,790983;2,890709;3,309917;2,590802;2,890222;3,056637;3,05653;2,83389;3,240935;2,988009;2,787979;2,630561;2,957991;2,651221;2,662688;2,702155;3,459573;2,850507;3,360757;2,864272;2,784817;2,750377;2,500875;3,351163;2,72428;3,08336;2,686869;3,255399;3,334467;2,849959;2,896095;2,985091;3,524371;2,796312;3,383315;3,189661;2,862856;2,50268;2,542482;2,601048;2,672263;2,58312;3,073165;2,733392;3,271417;2,674816;2,934695;2,831339;2,501668;2,970973;3,09332;2,663548;2,930657;2,654933;3,028125;3,039671;3,18545;3,19564;2,800242;2,625007;2,625072;2,683964;2,894886;2,408556;2,805089;2,676478;2,803373;2,876786;3,182017;2,491391;2,791451;2,624626;3,133405;2,859945;2,814472;2,675008;2,674055;2,549746;3,146741;2,818909;2,997681;2,84764;2,451529;2,794376;3,186059;2,523852;2,847911;2,879323;2,644186;2,667359;2,898676;2,631907;2,609991;2,545682;
199,000;3,551441;3,494131;3,540497;3,272282;3,573837;3,318338;3,520179;3,598062;3,176713;2,765385;3,631885;3,218902;3,392673;3,236828;3,220885;3,114912;2,98788;3,311238;3,46363;3,253979;3,062145;3,155704;2,842973;3,481044;3,547469;3,438267;3,08199;3,338044;3,600876;3,392146;3,406894;3,236116;3,152056;3,09957;3,5363;3,373813;2,973885;3,014375;3,583112;3,621701;3,043644;3,123693;3,332665;3,308157;3,284687;3,041409;2,974534;3,397148;3,262102;2,76065;3,139;3,387187;3,522253;2,669513;2,851572;3,376535;3,531087;3,500219;3,23445;2,975604;3,37035;3,597929;3,119244;3,044632;3,627683;3,00388;2,879992;3,164087;3,435737;2,941852;2,974352;3,549556;2,981391;3,073456;2,971439;3,576462;2,660798;3,346996;3,063684;2,933408;3,47558;2,807912;2,698613;2,815051;3,034916;2,787374;3,036376;3,467991;2,806592;2,740363;2,940376;3,283852;3,673238;3,14172;3,355007;2,954617;2,950046;3,099307;3,285645;2,800755;2,603311;3,450622;3,510774;2,794092;3,184912;3,133764;3,317071;2,799427;3,195037;2,471605;2,818291;2,974097;2,80173;3,455734;3,031799;3,386712;2,895615;2,95039;2,724077;2,602233;2,923277;3,638324;2,908895;3,192273;2,814812;3,302264;3,349531;3,584517;2,695258;2,771656;3,171701;3,381616;2,767291;2,914668;2,630814;2,928058;2,887088;3,055549;2,83464;3,160462;3,456391;2,89253;3,119816;2,96962;3,306413;3,468343;2,891251;2,747455;2,770557;3,009041;2,910661;2,947601;2,654648;
