Wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
190,000;0,7279763;0,1280584;0,04099894;0,619164;-0,03471565;0,0479188;0,1522813;0,2678676;0,6180215;0,1556344;0,001001358;0,1881981;0,01920366;0,3699555;-0,03725004;0,7147222;0,05049324;0,3608975;-0,2982254;0,3618217;-0,1896701;0,6912522;0,00804472;0,6642919;0,6975675;0,08995438;0,5789313;0,6738195;0,382154;0,1500993;0,6254559;0,671329;-0,1680789;0,4064922;0,3126984;0,09193897;0,6835561;0,6331978;0,09122086;0,3175631;-0,1982393;0,7440825;0,02053213;-0,06956673;0,341207;-0,06442595;-0,01856995;0,7385883;-0,2888045;0,09587717;0,3598933;0,2401786;-0,2342949;-0,01244497;0,1096039;-0,1976676;0,535604;0,7478862;-0,2084284;0,1020212;-0,04680872;
191,000;0,2278562;-0,6375999;-0,01351118;-0,5336428;-0,4801836;-0,1470408;0,2921748;0,2534723;-0,5274267;-0,4007044;-0,2130446;-0,02669907;-0,003288746;-0,02008581;0,2990842;0,2338548;-0,4379344;0,3960061;-0,1173496;-0,3446603;-0,2336373;-0,2743845;-0,2489986;-0,4809055;-0,25666;-0,3955374;-0,2811146;0,2225566;-0,2099643;-0,02297926;-0,3631744;-0,3632026;0,4464765;-0,219594;-0,4928393;0,08880854;-0,04030943;-0,5876036;-0,4933147;-0,1798272;0,05653906;0,1983538;-0,2273974;-0,1575236;-0,3096194;0,06546879;-0,4084826;0,1921105;-0,2062945;-0,4192033;-0,2054243;-0,5904608;0,008015633;-0,1423373;-0,3396673;-0,08730698;-0,6619005;0,2123713;0,1613541;-0,6096983;0,2815504;
192,000;-0,06431532;0,04703474;-0,09666061;0,1132641;0,3866081;0,1892219;0,1656675;-0,09630156;0,08791399;0,1776953;0,4783163;-0,3580618;-0,1195216;0,2272105;-0,2562628;-0,07552862;-0,1644177;0,631073;0,1729584;0,007611275;-0,01308727;-0,03180504;0,3552179;-0,03168488;-0,2022972;0,528873;0,551724;0,02242422;0,1448174;0,122756;0,09999752;0,171772;0,6274529;0,03340483;0,1898365;0,3259797;0,1615076;0,04427195;0,3899851;0,2421069;0,1049109;-0,234921;0,5232363;0,7190218;-0,02741432;0,4844732;0,8079672;-0,1969404;0,634644;0,1415825;-0,1809545;0,3104968;0,6096635;0,01807594;0,1172972;0,4715838;0,3043585;-0,1245232;0,610055;-0,1849823;-0,2988167;
193,000;-0,04022694;0,09618521;0,1756649;0,2934136;0,2533031;-0,03453064;0,3900423;0,06690598;0,4110451;0,2348695;-0,04972839;-0,2604961;-0,2363629;0,2664733;-0,4158878;-0,2113338;0,3498144;-0,3865356;-0,001853943;0,3863015;-0,4242597;0,3103352;0,2918539;0,4079547;-0,3214302;0,3288703;0,1998243;0,3641267;0,3218269;0,3202972;0,2724028;0,2873516;-0,4374413;-0,01688242;0,2379107;-0,4008369;-0,206399;-0,1771359;0,252696;0,2673359;-0,2686558;-0,2118597;0,2713571;-0,4019132;-0,5055442;0,3038912;0,3346257;0,1245503;-0,5170398;-0,4985166;-0,5993848;-0,3519135;-0,4993105;-0,1769795;-0,4181051;-0,08776522;0,2210894;-0,04715014;-0,7391405;-0,3186231;-0,1797566;
194,000;0,7813406;0,7697597;0,5446143;0,2167597;0,2679739;0,2218232;0,7024736;0,1789212;0,5794377;-0,08884811;-0,0347085;0,6664829;0,0715704;0,09526777;0,5174804;0,4933205;0,438076;0,5370383;0,318593;0,7417388;0,3915348;0,2350788;0,4483762;0,6542349;0,06954861;0,7315784;0,2020059;0,3297343;0,1061692;0,458899;-0,07094955;0,004050255;0,05130672;-0,2209506;-0,1148071;0,6893115;-0,1501803;0,0001983643;0,2681689;0,2971044;0,3319216;0,2517157;0,4589367;0,1885262;0,02795029;0,3616691;0,5726557;0,2826314;0,7921677;0,02864122;-0,2547894;-0,1321449;0,7425799;0,816617;0,5527325;0,148818;0,199954;0,2983894;0,32793;0,0882864;0,6313019;
195,000;0,6710048;0,6653848;-0,1905737;0,5219207;0,9080448;0,7484956;0,8076067;0,4630303;0,1978893;0,3726149;0,3902764;-0,04020834;0,3615122;0,5795627;0,8196111;0,8282161;0,7728038;0,7790875;0,8072929;0,6283379;0,09020329;0,4223909;0,795095;0,4284091;0,07834244;0,7401528;0,7399402;0,3456783;0,1023312;0,715137;0,1635852;-0,05029678;0,4653144;-0,08137226;0,2512684;-0,00945282;0,1891165;0,09100199;0,9055276;0,7550392;0,8826985;0,2766652;0,7697387;0,7449312;0,864562;0,2838254;0,1468043;-0,02589464;0,3721881;0,5759721;0,2199197;0,05549622;0,24754;0,6034188;0,6885023;0,7400179;0,7179899;-0,09968424;0,6962452;0,7563767;-0,07069063;
196,000;0,374424;0,4198284;0,3022184;0,1784787;0,5494728;0,09331942;0,7710743;0,6593971;0,2175479;0,06232309;0,5975986;-0,03437519;0,6492476;0,3259344;0,7596321;0,7498322;0,4944053;0,3284373;0,3694115;0,03233385;0,3557482;0,03065968;0,371357;0,1126289;0,2803721;0,1083517;0,166183;0,1882248;0,20082;0,1404166;0,09427023;0,2495699;0,6810598;0,4839191;0,1190591;0,198709;0,2345538;0,1696959;0,5590243;0,04049063;0,5825877;0,07594681;0,1245179;0,09971189;0,2384186;0,2018738;0,3927097;0,1442676;0,2063346;0,3144894;0,4806623;-0,09379768;0,329803;0,2100868;-0,205296;0,169343;-0,2122998;0,4738293;0,2172861;-0,07247734;0,05448055;
197,000;0,01833248;-0,1756072;-0,2717977;-0,528059;-0,8702445;-0,7720785;0,01951742;-0,5784822;-0,9050722;-0,7390771;-0,7892632;-0,3843241;-0,844491;-0,5474539;0,05439425;0,08510447;0,08163929;-0,817153;-0,3963346;-0,2394352;-0,210927;-0,1402187;-0,3930025;-0,4220991;-0,5144358;-0,9487467;-0,2634807;-0,8801098;-0,5525293;-0,1101551;-0,8687015;0,09416866;-0,4301724;-0,0851903;-0,7766628;-0,2904205;-0,6023479;-0,2641869;-1,031509;-0,9648232;-0,6897345;-0,3088698;-0,9671206;-0,6010809;-0,6405568;-0,5023308;-0,978168;-0,6845651;-0,5435333;-0,9279346;-0,2035308;-0,8647294;-0,5339999;-0,06842852;-1,124881;-0,287004;-0,7735562;0,01082468;0,1749568;-0,8502188;-0,2859683;
198,000;0,3803158;-0,09545183;0,1124945;0,880888;0,1112409;-0,03059912;0,7828321;0,1369619;0,4164081;0,6659327;0,5506229;0,5451608;0,1670866;0,8810372;0,643806;0,5130901;0,6763396;-0,04130459;0,4000087;0,1958756;0,2194357;0,7773023;0,3834901;0,8173971;0,4518824;0,1377735;0,2290173;0,3420315;0,6411796;0,5973916;0,3368511;0,7239437;0,335638;0,06840277;0,3945851;0,008396149;0,5016365;0,5645032;-0,05332422;0,07912207;0,06821394;0,8113022;-0,1634603;0,3489695;0,8095713;-0,08921003;-0,03090382;0,6048594;-0,1741691;-0,1563325;0,7563105;0,3244495;-0,1785536;-0,304183;0,3397393;-0,1389236;0,151051;0,2905865;0,4514375;0,4034758;0,6932368;
199,000;-0,04947138;0,2986975;0,00401926;0,2820449;-0,2523751;0,1938443;0,3987761;-0,02268505;0,3112297;0,225718;0,1486564;0,5216222;0,386445;0,3102684;0,3337622;0,007743835;0,1396742;-0,1775551;-0,1439443;-0,02595425;-0,2266407;0,4763818;-0,05618;0,4887094;0,3859711;-0,1411901;0,1381798;0,6370354;-0,1831141;0,2128601;0,651577;0,5823498;-0,001511097;0,2873559;0,319088;-0,2891946;0,2158246;0,3611498;-0,06193924;0,5114322;-0,2540445;0,4401922;-0,2877345;0,4104347;0,01078081;0,07827377;-0,1216197;0,47539;-0,1731853;-0,1289401;-0,02871609;-0,1940761;-0,3312049;-0,07654572;0,4075065;-0,2088852;0,04470205;-0,1339574;-0,1374021;0,3109488;-0,1214218;
200,000;0,04970264;-0,2301912;0,3171287;-0,2886872;-0,3168201;-0,3839588;0,2496758;0,1421194;-0,1189723;-0,2463212;-0,05523252;-0,1557603;0,277904;0,1127038;0,2449737;0,318337;-0,04137516;0,03319788;-0,2762928;-0,1005106;0,6144915;-0,09595633;0,3021908;-0,2019472;0,1154504;-0,1399412;0,01810074;0,1493955;-0,09788275;0,1601057;0,09654236;0,2069011;0,4455094;0,2001419;-0,3189735;0,07875109;-0,3095455;-0,590014;-0,2429943;0,168252;0,2773609;-0,3921857;0,06178665;0,0368638;-0,339292;0,383585;-0,2877531;-0,00967598;0,1354628;0,06459188;-0,5033941;-0,6282349;-0,1085949;0,3055344;0,01764297;0,6028409;-0,0169878;-0,3224955;0,4769969;-0,457685;-0,4396362;
201,000;0,1823969;-0,08222008;-0,0001091957;-0,03867722;0,3361363;0,1043901;0,08717346;-0,3670812;0,3138585;0,4393888;0,2569323;-0,2585707;-0,4399819;0,1189227;-0,2157726;-0,3140559;0,2132907;0,3253736;-0,5526242;0,1335669;-0,01514959;-0,1047187;0,1624489;-0,2611909;-0,2599072;-0,004432201;0,1322818;-0,2643204;-0,2903967;-0,1635914;-0,02633333;-0,2067208;-0,1635265;-0,4478903;0,1780195;-0,07657623;-0,1291847;-0,5278721;0,5892005;0,3230391;0,4187365;-0,2430825;0,26055;0,3570828;0,09710932;-0,3941855;0,3502693;0,0239172;0,3173528;-0,2360902;0,2227349;-0,02004814;-0,4185224;-0,494916;0,4500623;0,002660751;-0,2031856;-0,4146166;-0,191102;0,1385283;0,1019082;
202,000;-0,5580378;0,2147012;0,1969028;-0,7255211;-0,2234087;-0,1672149;-0,4533734;0,283977;-0,7240973;-0,406919;-0,02973843;-0,3493257;-0,4157314;-0,6661129;-0,4613466;-0,4108348;0,1480112;-0,6010089;-0,5519352;-0,1013632;-0,4871163;0,2283468;-0,6549988;0,1008129;0,2421255;-0,3717289;-0,1539536;-0,482512;-0,5629582;-0,01581717;-0,2651467;0,01577759;-0,8937302;-0,3327928;-0,7112384;-0,8751607;-0,2459102;-0,4283147;-0,3242455;-0,6550136;0,04559231;-0,1617494;-0,6805277;-0,7201576;-0,5270405;-0,5640631;-0,2907605;-0,4221892;-0,6472621;-0,8303599;-0,1807237;-0,3052192;-0,6818709;-0,9807892;-0,6501007;-0,5509901;-0,6645756;0,0517745;-0,6676474;-0,5955338;-0,1428409;
203,000;-0,1269398;-0,1156998;-0,08815908;-0,625144;-0,5764375;-0,4225059;0,01557589;-0,1964722;-0,1902719;-0,07089663;-0,08457422;-0,5880609;0,04784822;-0,08293009;-0,5184031;-0,01955175;-0,04897451;-0,05154896;0,1653085;-0,7466989;0,03250265;-0,1633635;-0,1311717;-0,2797279;-0,07886219;0,3503661;-0,2152328;-0,3786478;-0,4601321;-0,6137033;-0,6741385;-0,1810966;-0,08491278;-0,2822065;-0,39253;-0,05679369;-0,5785913;-0,2925191;-0,4910054;-0,4417529;0,2821426;-0,8770809;-0,5553017;-0,6103644;-0,5495043;0,3052497;-0,269311;-0,6682854;-0,09528875;-0,5293379;-0,4794393;-0,4133978;-0,1623917;-0,1686168;-0,4768839;0,3237491;-0,4083962;-0,2015891;-0,2879105;-0,4012585;-0,5596089;
204,000;-0,9041004;-0,5313916;-1,069077;-0,5452251;-0,5260491;-0,1696916;-1,003006;-0,9683909;0,07140589;0,05256653;-0,420712;-0,3926215;-0,7989993;-0,3862467;-0,8433084;-0,4264402;-0,4907517;-0,3377147;-0,6155891;-0,6657653;-1,051452;-0,5516405;-0,8254771;-0,77529;-0,4643269;-0,240613;0,04639339;-0,6378727;-0,8050728;-0,5911984;-0,5242648;-0,9334416;-0,314229;-0,8252139;0,07705259;-0,4622984;-0,3297749;-0,2938614;-0,2333574;-0,173883;-0,2617478;-0,5165415;-0,4895239;-0,4004135;-0,1830239;-0,744133;-0,2157159;-0,6978655;-0,4495664;-0,3715067;-0,3935328;-0,2069221;-1,087018;-0,3956671;0,1167874;-0,8290915;-0,08061504;-0,8720002;-0,6998124;-0,1632013;-0,6753435;
205,000;-0,1891751;0,1713157;-0,3752656;-0,4637556;-0,04313946;0,104043;-0,3728771;-0,4066973;-0,2198381;-0,2142038;0,09626532;0,2453585;-0,1955028;0,1714182;-0,1266842;0,04029512;0,2689791;-0,5105896;-0,3756843;0,3010535;-0,5976191;0,03974199;-0,5638847;0,0201354;0,1540012;-0,1092596;-0,05934334;-0,1668062;-0,0903573;0,353303;-0,4386611;-0,3771501;-0,6232333;-0,2769151;-0,07884312;-0,7142158;-0,4396024;-0,07287025;-0,4604774;0,1041589;-0,4656157;0,2473822;0,3072858;-0,2143722;0,2596717;-0,2017164;-0,2105989;-0,3006897;-0,7116981;-0,3483362;-0,320621;-0,7898407;-0,4447808;-0,6082826;-0,1863232;-0,4887795;-0,2241154;-0,1267724;0,149457;-0,3529453;-0,2073116;
