Wavelength [nm];Absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;absorbance;
190,000;0,1604953;0,2975202;0,8279586;0,1181989;0,2966232;0,996788;0,9767051;1,086355;0,5411539;0,5351481;0,5838814;1,045894;0,2503967;0,6456089;0,322104;1,024217;1,006155;1,029972;1,032091;0,1807814;0,7035961;0,4481807;0,7578425;1,142478;0,6092625;1,126779;0,5225816;1,047182;0,7467599;0,2520552;0,4367609;0,3954411;1,040578;0,7677279;1,035477;0,5635009;0,6942611;0,6741009;0,4962659;0,3150368;1,055948;0,2034187;0,9971447;0,2355294;0,7501373;0,3524842;0,4660931;0,5068431;1,012139;0,7536006;0,4134293;0,5666151;1,087113;0,277432;0,1870675;0,3071952;0,9771671;1,034674;0,717196;0,7149105;0,7687407;1,018597;
191,000;0,06485081;0,1790547;0,4052229;0,1583877;0,0854764;-0,1045322;-0,3233404;0,05075264;0,7772675;-0,09544897;0,06440163;0,01879549;0,8018093;0,4669452;0,1265717;-0,05169916;0,05666161;-0,2413044;0,2827582;0,2187696;-0,218164;0,4136686;0,1335444;0,6222553;0,1377039;0,7261972;0,05342531;-0,2097001;-0,2269816;0,06497622;0,0152564;0,5228229;0,1536674;-0,02513647;0,2801681;0,01961994;0,3106179;-0,2294168;0,2464919;0,003816128;-0,04087925;0,2009234;-0,08510637;0,3615847;0,006483078;0,07446384;0,03526449;-0,1842628;-0,06345892;-0,06961441;-0,3131299;-0,06997776;0,185277;-0,1518021;0,1520972;-0,09164238;-0,2666574;0,01226521;0,1125317;0,08453226;0,4722652;-0,1585455;
192,000;-0,3789864;0,09827757;-0,1645293;0,3344884;0,2943521;-0,4011197;-0,07690239;-0,1612387;0,3430576;0,4484978;0,07729006;-0,3610311;0,3507838;0,4034023;0,4210434;0,08672619;0,4479523;-0,09023762;0,362339;0,008002281;-0,2467246;-0,1803837;0,1118546;-0,188036;-0,1409321;0,3244038;0,3349652;-0,28334;-0,430203;0,3808856;-0,2514997;0,2820792;0,3860679;-0,3675332;0,3710189;-0,3273368;0,416141;0,110599;-0,04671383;0,3495798;-0,1327586;0,06188488;0,4576588;0,321435;-0,007567883;0,1387424;-0,02438354;0,4577732;0,3417525;-0,01687908;-0,3684478;-0,1211729;-0,02930355;-0,1752653;0,3573771;0,3191247;0,1433706;0,1326938;-0,02795935;0,4406948;0,3626127;0,003097057;
193,000;0,1511478;0,8102655;0,3901596;-0,01454782;-0,08419657;0,04701138;0,6027017;0,8330555;0,7176766;0,6330824;0,4690051;0,711267;0,6431794;0,5864544;0,6404576;0,2145333;0,5981021;0,6303444;0,3799071;-0,0008802414;-0,006165981;0,6906481;0,8030396;0,6888423;0,3887153;0,3555484;0,06175995;0,7517076;0,3144908;0,3349285;0,7931876;0,0764184;0,3303084;0,5214038;0,3422298;0,3388324;0,5976448;0,4625173;0,6978559;0,2182627;0,7381029;0,4434419;0,6178112;0,171072;0,6483512;0,6723242;0,6948352;0,6273689;-0,03886604;0,7288065;0,1186714;0,6556416;0,6941872;0,4089909;0,3979292;0,1908283;0,3451819;0,7881651;0,6890349;0,5945225;0,7876892;0,7046642;
194,000;0,162416;0,3877258;0,4607015;-0,1619782;-0,1819015;-0,3773093;-0,473237;0,4004736;0,17101;-0,2976599;0,1304898;-0,3778892;-0,2189407;-0,3965173;-0,2970624;-0,1962843;-0,403511;-0,4947128;-0,15062;-0,3368931;0,1213598;-0,4630861;0,4043174;-0,3202991;0,4358096;-0,3063798;-0,2778955;-0,06408834;-0,2087507;-0,29248;0,07413673;-0,2787676;-0,2712126;0,1151605;-0,1653552;0,1919527;-0,3629179;0,1222425;-0,1377115;0,06861591;-0,06664991;-0,05392933;-0,2394204;-0,3421969;-0,3972778;-0,2976818;-0,1500821;-0,285738;-0,2435594;-0,08133221;-0,3295069;-0,3776226;-0,1349649;-0,2135086;-0,005805969;0,5565567;-0,3697295;0,44838;-0,2932277;-0,4819036;0,3718247;0,0006718636;
195,000;-0,2267685;0,05068302;-0,2231636;0,6288033;-0,3843918;-0,2397399;0,1229529;-0,04504395;0,04413509;0,01016521;-0,3213224;-0,2418442;0,2181468;0,0302639;0,001614571;-0,1349392;-0,09018564;0,05196857;-0,2234302;-0,2715769;0,1395097;-0,02230072;-0,1741476;-0,05569744;-0,11093;0,09930277;0,01383305;-0,01879549;-0,15415;-0,1758513;-0,2719312;-0,3659239;-0,032938;-0,2225604;-0,04321909;-0,07641745;0,1125741;0,0498476;-0,1414385;0,06506014;0,1563249;0,00551796;-0,2340136;0,09213018;-0,1758919;-0,03368998;0,06032085;-0,2965403;-0,0883069;-0,03212023;-0,2166176;-0,04149532;-0,006074429;-0,1750236;-0,03166008;0,06484079;-0,02104902;0,2042537;-0,1713834;-0,1544275;-0,3358622;0,07338476;
196,000;-0,2156501;0,2198906;-0,7186675;-0,8444176;-0,7225876;-0,4164619;-0,7696867;-0,2928343;-0,4337497;-0,05266333;-0,5416164;-0,4300642;0,1864448;-0,6387649;-0,01571417;-0,6225662;-0,4768848;-0,205265;-0,4937749;-0,127161;-0,5685358;-0,01719522;-0,4744253;-0,6012244;-0,3739409;0,03298998;0,1103182;-0,1242275;0,05687857;-0,6126428;-0,5562692;-0,49546;-0,3261404;-0,424036;-0,6112437;-0,6640615;-0,2470322;0,01690626;-0,7127237;-0,5064421;-0,008954525;0,05283499;-0,3463535;0,07010221;-0,5199356;0,1520457;-0,4646602;-0,410779;-0,3882494;0,269074;-0,5690246;-0,4399757;-0,4198065;-0,4092412;-0,1269307;-0,7578769;-0,2489829;-0,2097878;-0,3759465;-0,1872501;-0,5979776;-0,4631319;
197,000;0,6297345;1,026328;0,3961086;0,003510952;0,4565935;0,03108168;0,02367353;0,5130081;0,5795355;0,2027979;0,5962896;0,2338357;1,021789;0,0779953;0,1485648;0,2319198;0,2820473;0,4163461;0,08968544;0,8576441;0,2796373;0,05408239;0,2780581;0,5039339;0,4525337;0,5076766;0,480166;0,4021487;0,06241798;0,001730442;0,160253;0,3875513;0,3317456;0,2323027;0,2427778;0,103951;0,1961551;0,011343;0,7364602;0,2458582;0,1730642;0,4951158;0,9500403;0,1448193;0,4116511;0,3285589;0,2771487;0,3887358;0,445961;0,8269987;0,3571205;0,3597584;0,5259409;0,5739341;0,7866583;0,09826231;-0,07069016;0,2137275;0,1249208;0,455565;0,240283;0,4212608;
198,000;0,005329609;0,6519279;0,3115921;0,6013079;0,4133983;0,5796342;0,07888651;0,3831215;0,5745411;0,8089662;0,5330544;0,3610754;0,7091064;0,439096;0,566505;0,5824327;0,716969;0,6665521;0,2623062;0,09133339;0,1088047;0,4094467;0,1308079;0,8026648;0,8869162;0,7629795;0,2837729;0,2895699;0,4692659;0,3621902;0,2034688;0,1303983;0,0774827;0,1925721;0,01417971;0,1460176;0,1358166;-0,01547241;0,6855688;0,0805974;0,6938229;0,7930484;0,3018565;0,2966666;0,2131329;0,2648401;0,9417949;0,5115271;0,9248233;0,4630647;0,1127844;0,4076252;0,1420822;0,2059464;0,7702761;0,4277749;0,1950316;0,3439193;-0,0618577;0,4642682;0,3338957;0,4373126;
199,000;-0,1720595;0,03981256;-0,1914806;0,1080565;-0,4005103;0,2145033;-0,4182272;0,1146226;0,5629892;-0,1351418;0,03689194;0,2135625;0,1881213;0,3277116;-0,1563005;0,05674601;-0,4712548;0,2703738;0,07808685;-0,03957081;-0,0722537;-0,05861807;0,425458;0,05324554;0,398396;-0,1239519;-0,05330849;0,4414377;0,2532482;0,350894;-0,1041164;0,3584561;-0,2230358;-0,009013653;-0,09980249;-0,1310067;-0,2985888;-0,2131596;-0,2642255;-0,2779284;0,3247623;-0,2512789;0,1894965;0,3004837;-0,221787;0,3208389;0,2564383;0,2857561;0,2320414;0,2535391;-0,1383295;0,2876315;0,02703857;0,3769898;0,03350115;0,3442917;0,3915367;0,3154011;-0,3840384;-0,1973014;0,009816647;0,6062179;
