,d2o 166 By Administrator Date Wednesday. December 15 2021,
Time,16:38:58,
Wavenumbers [1/cm],Transmittance %,
7000.000,9.13749,
6999.000,9.19743,
6998.000,9.25667,
6997.000,9.31326,
6996.000,9.36721,
6995.000,9.42067,
6994.000,9.47638,
6993.000,9.53671,
6992.000,9.60251,
6991.000,9.67047,
6990.000,9.73347,
6989.000,9.78731,
6988.000,9.83606,
6987.000,9.88798,
6986.000,9.94612,
6985.000,10.0062,
6984.000,10.0651,
6983.000,10.126,
6982.000,10.1936,
6981.000,10.266,
6980.000,10.3358,
6979.000,10.3983,
6978.000,10.4564,
6977.000,10.5153,
6976.000,10.5761,
6975.000,10.6361,
6974.000,10.6937,
6973.000,10.7504,
6972.000,10.8084,
6971.000,10.8675,
6970.000,10.9266,
6969.000,10.9868,
6968.000,11.0501,
6967.000,11.1154,
6966.000,11.1795,
6965.000,11.2412,
6964.000,11.3019,
6963.000,11.3616,
6962.000,11.4171,
6961.000,11.4676,
6960.000,11.5182,
6959.000,11.5749,
6958.000,11.6383,
6957.000,11.703,
6956.000,11.764,
6955.000,11.8212,
6954.000,11.8776,
6953.000,11.9347,
6952.000,11.9912,
6951.000,12.0447,
6950.000,12.0962,
6949.000,12.1501,
6948.000,12.21,
6947.000,12.2741,
6946.000,12.3364,
6945.000,12.393,
6944.000,12.4448,
6943.000,12.4948,
6942.000,12.5434,
6941.000,12.5884,
6940.000,12.6275,
6939.000,12.6619,
6938.000,12.697,
6937.000,12.7387,
6936.000,12.7869,
6935.000,12.8357,
6934.000,12.8798,
6933.000,12.9219,
6932.000,12.9664,
6931.000,13.0109,
6930.000,13.0479,
6929.000,13.0778,
6928.000,13.1099,
6927.000,13.1495,
6926.000,13.19,
6925.000,13.2221,
6924.000,13.2454,
6923.000,13.2672,
6922.000,13.2916,
6921.000,13.3162,
6920.000,13.3377,
6919.000,13.3563,
6918.000,13.3742,
6917.000,13.3925,
6916.000,13.4098,
6915.000,13.4225,
6914.000,13.4278,
6913.000,13.4273,
6912.000,13.4261,
6911.000,13.4278,
6910.000,13.432,
6909.000,13.4371,
6908.000,13.4418,
6907.000,13.4451,
6906.000,13.4451,
6905.000,13.4416,
6904.000,13.4366,
6903.000,13.4323,
6902.000,13.4291,
6901.000,13.4259,
6900.000,13.4211,
6899.000,13.4115,
6898.000,13.3951,
6897.000,13.3734,
6896.000,13.3488,
6895.000,13.3202,
6894.000,13.2862,
6893.000,13.251,
6892.000,13.2224,
6891.000,13.2014,
6890.000,13.1808,
6889.000,13.1554,
6888.000,13.1288,
6887.000,13.1056,
6886.000,13.083,
6885.000,13.0559,
6884.000,13.0246,
6883.000,12.9925,
6882.000,12.9599,
6881.000,12.9234,
6880.000,12.882,
6879.000,12.8392,
6878.000,12.798,
6877.000,12.7581,
6876.000,12.7164,
6875.000,12.6697,
6874.000,12.6183,
6873.000,12.5673,
6872.000,12.5215,
6871.000,12.4806,
6870.000,12.4409,
6869.000,12.4011,
6868.000,12.3626,
6867.000,12.323,
6866.000,12.2768,
6865.000,12.2229,
6864.000,12.1673,
6863.000,12.1148,
6862.000,12.0638,
6861.000,12.0114,
6860.000,11.9598,
6859.000,11.9124,
6858.000,11.8676,
6857.000,11.8204,
6856.000,11.7689,
6855.000,11.7142,
6854.000,11.6577,
6853.000,11.6007,
6852.000,11.545,
6851.000,11.4909,
6850.000,11.4363,
6849.000,11.3809,
6848.000,11.328,
6847.000,11.2804,
6846.000,11.2361,
6845.000,11.191,
6844.000,11.1435,
6843.000,11.094,
6842.000,11.0428,
6841.000,10.9908,
6840.000,10.9404,
6839.000,10.891,
6838.000,10.8384,
6837.000,10.7802,
6836.000,10.7194,
6835.000,10.6608,
6834.000,10.6056,
6833.000,10.5517,
6832.000,10.4989,
6831.000,10.4489,
6830.000,10.4029,
6829.000,10.3611,
6828.000,10.3223,
6827.000,10.2821,
6826.000,10.2347,
6825.000,10.179,
6824.000,10.1206,
6823.000,10.0644,
6822.000,10.0088,
6821.000,9.9506,
6820.000,9.89266,
6819.000,9.84022,
6818.000,9.79264,
6817.000,9.74422,
6816.000,9.69207,
6815.000,9.63831,
6814.000,9.58494,
6813.000,9.53127,
6812.000,9.47739,
6811.000,9.42591,
6810.000,9.37853,
6809.000,9.33321,
6808.000,9.28626,
6807.000,9.23554,
6806.000,9.1814,
6805.000,9.12589,
6804.000,9.07154,
6803.000,9.01997,
6802.000,8.97149,
6801.000,8.92613,
6800.000,8.88375,
6799.000,8.84276,
6798.000,8.80048,
6797.000,8.75597,
6796.000,8.71063,
6795.000,8.66511,
6794.000,8.61846,
6793.000,8.57143,
6792.000,8.52733,
6791.000,8.48716,
6790.000,8.4466,
6789.000,8.4012,
6788.000,8.35209,
6787.000,8.30303,
6786.000,8.25375,
6785.000,8.20119,
6784.000,8.14606,
6783.000,8.09279,
6782.000,8.04305,
6781.000,7.99388,
6780.000,7.94355,
6779.000,7.89551,
6778.000,7.85417,
6777.000,7.81909,
6776.000,7.78568,
6775.000,7.75081,
6774.000,7.71493,
6773.000,7.67849,
6772.000,7.63833,
6771.000,7.58994,
6770.000,7.53362,
6769.000,7.47655,
6768.000,7.42624,
6767.000,7.38237,
6766.000,7.33795,
6765.000,7.28927,
6764.000,7.24119,
6763.000,7.20038,
6762.000,7.16607,
6761.000,7.13111,
6760.000,7.09101,
6759.000,7.04797,
