Wavelength [nm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
190.000,2.407487,3.279655,3.196198,2.311123,2.962498,2.976707,3.23172,2.889231,3.162636,2.975479,2.698181,2.507058,2.708631,3.173145,2.927319,2.461288,2.871728,2.809421,2.899844,2.692534,2.683661,3.273093,2.593365,2.720304,2.668076,2.37291,2.732659,3.24495,3.220149,2.735655,2.622468,2.80122,3.184953,3.221656,3.210915,3.242605,3.241304,3.19834,3.174726,2.945882,3.136761,2.942623,2.591286,2.736284,3.207222,3.227599,2.621707,2.734942,2.619043,2.764176,2.79457,2.862214,2.703083,3.175047,3.122075,2.96243,2.742208,3.182032,3.280701,3.288593,2.616268,3.265168,3.161215,3.245828,2.699439,3.252028,2.576152,2.634426,3.206306,2.99238,3.207968,2.785705,2.813517,2.516338,3.113414,2.391467,2.591274,3.223284,2.55965,3.175257,2.905831,3.2622,2.978778,3.229292,3.1517,2.913793,2.576668,3.184298,3.227403,3.11576,3.215004,2.810898,2.623584,2.953194,2.68881,3.124468,2.875371,2.608471,2.822757,3.15157,2.775444,3.147074,2.894835,2.601212,3.094463,2.672645,2.466798,3.184666,3.210921,2.872959,3.167881,2.435839,2.515101,2.896921,
191.000,2.750273,3.318943,2.840854,2.636481,3.367193,2.965209,3.351313,2.794185,2.667342,2.99238,2.52149,3.090815,3.315485,2.434487,3.022917,2.745516,2.344158,2.949365,2.606267,3.397061,3.29327,2.752975,2.710611,2.666009,3.093883,3.145823,2.918911,2.994387,3.052652,2.7939,3.036946,3.332972,2.774076,3.048414,3.044888,2.855567,3.330882,2.998086,2.654195,3.074346,2.639547,2.974129,2.80975,2.889947,2.951616,3.052176,2.810049,2.644687,3.062973,3.026497,3.280726,2.431412,3.391921,2.602367,2.604508,3.24748,2.751802,2.55166,3.230737,3.331411,2.947294,3.348568,2.883264,3.347027,2.954556,2.966964,2.496181,3.010607,2.877383,3.344277,2.851684,3.350559,3.306772,2.547099,2.526147,2.416921,2.65559,3.342197,2.83531,2.821458,2.541231,3.285572,3.34703,2.810347,2.59219,2.603631,2.739964,3.060623,3.339712,2.618316,3.014989,3.376584,3.040821,2.987083,2.651867,2.588099,2.912651,2.731958,3.369618,2.759196,3.400684,2.601517,2.729136,2.960313,2.43866,3.294823,2.546084,2.656011,2.778423,2.559313,2.557096,3.14558,3.124671,2.854535,
192.000,2.97797,3.388898,3.08565,3.07585,3.322018,2.849873,3.300104,3.376085,3.423506,2.72516,3.386897,2.958632,2.669827,2.86197,2.846244,2.503199,2.772916,2.420767,2.823941,3.286674,2.648431,2.754804,2.764116,2.834873,3.371871,3.259684,3.413296,2.818501,3.350468,3.428953,2.920903,3.05168,2.762828,3.365321,3.395914,3.44218,3.380909,2.85766,3.465087,3.350986,3.096256,2.847433,3.430437,3.056878,2.858787,3.34287,3.396832,2.915753,3.087653,2.896481,2.821045,3.030027,3.293634,2.938283,3.41042,2.618812,3.128922,2.803343,2.819797,3.317039,3.322338,3.266124,3.416912,3.297629,3.287597,2.931617,3.329032,2.827058,3.383814,3.385726,3.018799,2.998741,2.880642,2.750173,3.481308,3.09675,3.358386,3.346148,3.354962,2.91447,2.961321,3.074316,3.390787,2.897086,2.812385,2.814314,3.344431,3.356665,3.35697,3.354562,3.038888,3.329863,2.699936,2.772679,2.937632,3.481703,3.40416,3.337228,3.347592,3.444951,3.262299,3.393765,2.896114,3.283267,3.425666,2.809189,3.383438,3.444207,2.584429,2.723342,3.084565,3.284452,3.340878,3.156885,
193.000,3.338687,3.298695,3.105919,2.876135,3.046272,3.329573,2.872223,3.058973,2.917016,2.875914,2.819581,2.718997,2.958993,3.023986,2.83125,2.616749,3.038363,2.976279,3.107056,3.176164,3.152432,3.485649,3.394969,2.741487,3.43339,2.585894,3.325456,2.837059,3.080694,3.317516,3.480669,2.99969,3.420092,3.015221,3.392542,3.265275,3.320862,2.810122,3.247647,3.052166,2.839688,3.336776,3.28931,3.180178,3.309542,3.119254,2.930445,3.188192,3.46064,3.090477,3.298081,2.718782,3.151976,2.833268,3.006327,3.509614,3.422412,3.334531,3.372289,2.813466,2.917425,2.523542,3.358984,2.89029,2.698524,3.002547,2.463847,3.383281,3.012371,3.280742,2.597178,2.934851,3.041707,3.019637,3.220368,2.890647,2.668728,2.963226,3.114144,3.141422,3.037376,2.950394,3.252497,2.720498,2.878702,2.851531,2.691434,3.043584,3.429513,2.959423,2.726557,2.996023,2.771342,2.864921,3.074586,3.1915,3.384443,2.734588,3.432611,3.285401,2.607725,2.786607,2.735396,2.879112,3.008299,3.33866,2.807314,3.345545,2.881409,2.664329,2.560653,2.984857,3.034005,3.249278,
194.000,3.003247,3.011336,3.08552,3.064484,2.72925,2.893779,2.794102,3.143458,2.6438,3.081544,2.74419,3.506295,3.318154,2.540542,3.216823,3.443321,2.634913,2.751053,3.190528,3.274093,3.136585,3.333137,2.857989,3.428122,3.284918,3.083877,2.857834,3.357897,3.081489,3.188287,3.291299,2.749109,3.066604,3.039331,3.440746,2.875346,2.921621,2.983868,2.746516,3.208969,2.66397,2.866313,3.000521,3.324708,2.536041,3.461276,2.719953,3.344744,3.300217,2.944116,2.749698,3.414962,3.374117,2.767533,3.020838,3.331432,3.422271,2.543627,2.967804,2.866154,3.103012,2.588981,3.021005,2.939389,3.186874,2.762927,2.715169,2.67637,3.032618,2.876111,2.891497,3.214754,2.786975,2.629251,2.581732,2.974751,2.788443,2.757363,3.461502,3.014499,2.708718,2.622531,2.816529,2.798206,2.94527,2.75106,3.015612,2.923509,3.318406,3.416449,2.596165,2.945999,3.168699,2.883292,2.964635,2.708014,3.461913,2.835927,3.319075,2.999852,2.770721,2.884603,2.872416,3.336948,2.98983,2.897964,2.805995,3.049428,3.105973,3.544029,2.596722,3.384705,2.979945,2.761183,
195.000,3.419762,3.427152,2.992023,3.409272,2.83981,3.397312,2.975184,3.116263,3.555585,2.869561,2.853886,3.434275,2.525415,2.834439,3.435518,2.844397,2.855254,2.869312,3.404393,2.771052,3.045067,3.202442,2.883239,2.866122,2.748446,3.487087,2.638155,2.702072,3.044784,3.350739,2.6628,3.518326,3.215047,3.453967,3.394227,3.550546,3.246975,3.206674,3.17948,3.394641,3.087914,3.512546,3.49215,2.687328,3.115411,3.444493,3.448624,2.999595,3.060671,2.911471,3.34416,2.94893,2.911182,3.519166,3.544528,3.189369,3.445609,2.917981,3.534647,3.436532,3.037144,2.860538,2.93433,2.827357,3.113643,3.446649,2.851453,2.630599,3.492039,3.533512,2.910245,3.403023,3.068532,3.186859,3.011264,3.231066,3.5474,3.523964,3.452892,2.854517,3.093777,3.400981,3.429614,3.441238,3.406701,3.571715,3.241195,3.058346,2.780437,3.16871,2.9353,3.375254,3.109473,3.29855,3.161658,3.364009,3.311971,3.108595,2.779281,3.49525,3.083759,3.377594,3.425482,2.807137,3.122767,3.369491,3.154707,3.054521,2.984534,3.283351,3.54543,2.955903,3.146345,3.344495,
196.000,2.867959,2.821571,3.144819,3.199211,3.40343,3.037907,3.453928,2.91567,3.368412,3.182143,3.104156,3.400664,3.02812,3.277872,2.977862,2.991508,2.735004,3.578798,2.815174,3.405785,3.007636,3.389524,3.296204,2.90833,3.255588,3.390592,3.086895,3.037036,3.506005,2.635148,3.060863,3.481678,3.487855,3.010657,3.076855,3.274946,3.408407,3.52238,2.871546,3.193687,3.532019,3.468133,3.478453,3.152644,3.516595,3.409909,3.219827,3.569643,3.328196,3.0047,2.76629,3.120573,2.995963,3.458907,3.203667,3.448757,3.461493,3.515481,3.304229,3.178601,3.513668,2.881595,3.552396,3.110934,3.228083,3.209257,3.103374,3.317317,3.439973,3.355013,2.815384,3.133739,2.906206,3.248248,3.01559,3.422249,3.29989,3.445507,3.375232,3.504089,3.49874,2.901373,2.924482,3.192656,2.926315,3.225181,2.598384,3.526974,3.147425,3.449773,3.148636,2.826547,3.260556,2.73173,3.164455,2.561401,3.096722,3.32681,3.147414,3.465655,3.000421,2.646963,3.220752,3.509589,2.979227,2.920455,3.268556,3.501925,3.15677,2.879598,3.417055,3.125489,3.226163,2.758446,
197.000,2.965335,2.964633,2.949888,3.450852,3.038126,3.479789,3.103545,2.949386,3.118203,3.233339,3.50983,3.121483,2.97977,3.416785,2.660206,3.582846,3.010428,3.245321,2.862365,2.480468,3.365628,2.669446,3.332343,3.304182,2.989208,3.090488,3.238102,3.313864,3.48046,2.989611,3.378486,3.27932,3.463212,2.998986,2.770726,2.718627,3.14353,3.311265,2.705876,3.501265,3.311481,3.350057,3.328204,3.440108,3.348812,3.066957,3.309269,3.25345,2.807702,3.444295,3.537127,2.846181,2.741195,3.384163,2.746074,3.042445,3.466979,3.47681,2.812372,3.514177,3.455584,2.993416,3.336827,3.507762,3.515159,3.367043,3.512386,3.373361,3.496843,2.839839,3.277978,3.129888,3.403833,3.34361,3.155149,3.100977,3.071905,3.429155,3.215555,2.976972,3.460946,3.5797,3.32169,3.4448,2.973086,2.91951,3.510494,3.364599,3.40624,3.049258,2.934617,2.95487,3.379052,3.475853,3.120702,3.172203,3.313874,2.957116,3.39962,3.382729,3.348014,2.902372,3.334566,3.003826,3.28102,3.53743,3.280991,3.487464,3.277944,3.192032,3.533008,2.824179,3.487074,3.576398,
198.000,3.13595,3.450726,2.826889,3.078885,3.557803,3.060819,3.277999,3.152121,3.305487,3.520611,3.491105,3.266551,2.647148,3.140476,3.101889,3.240661,2.984979,2.539118,3.596984,2.906118,2.525793,2.911908,3.121646,3.371639,2.711961,2.764911,2.740097,3.23891,3.373199,3.454202,3.055776,3.018048,3.481513,3.551906,2.682593,2.955891,3.142731,3.103547,2.934636,3.50991,3.08994,2.98596,3.073047,3.111176,2.931539,3.116575,2.836968,3.036682,3.135087,2.823193,2.975963,2.8241,2.837038,3.22453,3.62088,2.908104,3.496337,3.376338,3.164462,3.47587,3.488746,3.062525,2.943532,3.495744,3.407907,3.073061,3.485012,2.906731,3.38722,3.004545,3.553693,3.014807,3.072252,3.125668,2.945796,2.943235,3.53266,3.032564,3.51478,2.932188,3.476465,3.358367,3.325126,3.121213,2.682478,3.404324,3.195693,2.851536,3.258524,2.672519,3.158243,3.034218,2.964036,2.887008,3.018051,3.540677,2.715232,3.505361,2.913971,3.220569,2.994631,3.18692,2.731258,3.019791,3.447974,3.519094,2.743183,3.347496,3.342826,2.892438,3.245993,3.179113,3.5337,3.459379,
199.000,3.136796,3.264095,3.117126,2.795379,3.446892,3.140475,3.516617,3.066332,3.369249,3.471247,3.400036,3.542081,3.195486,3.231519,2.809562,2.571182,2.819315,3.093014,3.338397,3.265469,2.816561,3.327651,3.359955,2.712024,3.352439,2.925331,3.492577,2.927722,2.910105,3.219712,3.613159,3.405051,3.512513,3.477597,2.929149,3.375978,3.021317,3.477078,3.049026,3.324517,3.553049,3.311442,3.607241,3.332345,3.169544,3.580351,3.130278,3.331912,2.775692,3.048777,2.970885,2.982531,3.609917,3.568325,3.340611,3.38078,3.431825,2.902205,3.53202,3.488052,3.493119,3.160174,3.113753,3.391881,3.106956,3.566592,3.43224,2.955843,3.242363,3.370013,3.253536,3.302847,3.509588,3.33143,3.199686,2.98473,3.535785,3.054306,3.517402,3.623445,3.540246,3.274745,2.920195,3.297589,2.812112,3.145448,3.549151,3.022708,3.352159,2.992719,3.465209,3.499637,3.368176,3.222749,3.300176,3.374692,3.366696,3.052032,3.184228,3.584215,3.421235,3.322082,3.201847,3.584351,3.070199,3.244071,3.269763,3.028061,3.167192,3.114901,2.962807,3.431143,3.235892,3.486059,
