,d2o035,
Wavenumbers [1/cm],Transmittance %,
7000.000,14.7,
6999.000,14.71,
6998.000,14.73,
6997.000,14.74,
6996.000,14.76,
6995.000,14.76,
6994.000,14.77,
6993.000,14.76,
6992.000,14.76,
6991.000,14.76,
6990.000,14.76,
6989.000,14.75,
6988.000,14.75,
6987.000,14.74,
6986.000,14.74,
6985.000,14.72,
6984.000,14.7,
6983.000,14.68,
6982.000,14.66,
6981.000,14.64,
6980.000,14.62,
6979.000,14.6,
6978.000,14.57,
6977.000,14.55,
6976.000,14.52,
6975.000,14.5,
6974.000,14.47,
6973.000,14.45,
6972.000,14.41,
6971.000,14.38,
6970.000,14.34,
6969.000,14.3,
6968.000,14.25,
6967.000,14.21,
6966.000,14.16,
6965.000,14.13,
6964.000,14.1,
6963.000,14.06,
6962.000,14.02,
6961.000,13.98,
6960.000,13.93,
6959.000,13.88,
6958.000,13.83,
6957.000,13.77,
6956.000,13.72,
6955.000,13.68,
6954.000,13.63,
6953.000,13.58,
6952.000,13.53,
6951.000,13.49,
6950.000,13.44,
6949.000,13.4,
6948.000,13.35,
6947.000,13.3,
6946.000,13.25,
6945.000,13.2,
6944.000,13.14,
6943.000,13.09,
6942.000,13.04,
6941.000,13,
6940.000,12.95,
6939.000,12.91,
6938.000,12.86,
6937.000,12.81,
6936.000,12.76,
6935.000,12.7,
6934.000,12.64,
6933.000,12.59,
6932.000,12.54,
6931.000,12.49,
6930.000,12.44,
6929.000,12.39,
6928.000,12.33,
6927.000,12.28,
6926.000,12.22,
6925.000,12.16,
6924.000,12.11,
6923.000,12.07,
6922.000,12.03,
6921.000,11.98,
6920.000,11.94,
6919.000,11.89,
6918.000,11.84,
6917.000,11.79,
6916.000,11.73,
6915.000,11.67,
6914.000,11.6,
6913.000,11.54,
6912.000,11.48,
6911.000,11.43,
6910.000,11.37,
6909.000,11.32,
6908.000,11.27,
6907.000,11.23,
6906.000,11.18,
6905.000,11.14,
6904.000,11.1,
6903.000,11.06,
6902.000,11.01,
6901.000,10.96,
6900.000,10.91,
6899.000,10.86,
6898.000,10.81,
6897.000,10.76,
6896.000,10.71,
6895.000,10.66,
6894.000,10.62,
6893.000,10.57,
6892.000,10.52,
6891.000,10.47,
6890.000,10.42,
6889.000,10.37,
6888.000,10.32,
6887.000,10.28,
6886.000,10.24,
6885.000,10.19,
6884.000,10.14,
6883.000,10.09,
6882.000,10.05,
6881.000,10,
6880.000,9.96,
6879.000,9.91,
6878.000,9.87,
6877.000,9.82,
6876.000,9.78,
6875.000,9.73,
6874.000,9.67,
6873.000,9.62,
6872.000,9.58,
6871.000,9.54,
6870.000,9.51,
6869.000,9.47,
6868.000,9.43,
6867.000,9.39,
6866.000,9.36,
6865.000,9.32,
6864.000,9.28,
6863.000,9.23,
6862.000,9.19,
6861.000,9.15,
6860.000,9.1,
6859.000,9.06,
6858.000,9.01,
6857.000,8.97,
6856.000,8.92,
6855.000,8.88,
6854.000,8.85,
6853.000,8.82,
6852.000,8.78,
6851.000,8.75,
6850.000,8.71,
6849.000,8.67,
6848.000,8.63,
6847.000,8.59,
6846.000,8.55,
6845.000,8.51,
6844.000,8.47,
6843.000,8.43,
6842.000,8.4,
6841.000,8.36,
6840.000,8.33,
6839.000,8.29,
6838.000,8.26,
6837.000,8.23,
6836.000,8.19,
6835.000,8.16,
6834.000,8.13,
6833.000,8.09,
6832.000,8.05,
6831.000,8.01,
6830.000,7.97,
6829.000,7.92,
6828.000,7.88,
6827.000,7.85,
6826.000,7.81,
6825.000,7.77,
6824.000,7.73,
6823.000,7.7,
6822.000,7.66,
6821.000,7.62,
6820.000,7.59,
6819.000,7.55,
6818.000,7.52,
6817.000,7.49,
6816.000,7.46,
6815.000,7.43,
6814.000,7.39,
6813.000,7.36,
6812.000,7.32,
6811.000,7.28,
6810.000,7.25,
6809.000,7.22,
6808.000,7.19,
6807.000,7.15,
6806.000,7.11,
6805.000,7.07,
6804.000,7.04,
6803.000,7.02,
6802.000,6.99,
6801.000,6.95,
6800.000,6.92,
6799.000,6.9,
6798.000,6.87,
6797.000,6.83,
6796.000,6.78,
6795.000,6.74,
6794.000,6.71,
6793.000,6.69,
6792.000,6.66,
6791.000,6.64,
6790.000,6.61,
6789.000,6.58,
6788.000,6.55,
6787.000,6.51,
6786.000,6.48,
6785.000,6.44,
6784.000,6.4,
6783.000,6.37,
6782.000,6.34,
6781.000,6.31,
6780.000,6.28,
6779.000,6.26,
6778.000,6.24,
6777.000,6.22,
6776.000,6.19,
6775.000,6.16,
6774.000,6.13,
6773.000,6.1,
6772.000,6.07,
6771.000,6.04,
6770.000,6.01,
