Created as New Dataset,d2o 035 By Administrator Date Monday, December 13 2021
cm-1,%T
7000.00,14.70
6999.00,14.71
6998.00,14.73
6997.00,14.74
6996.00,14.76
6995.00,14.76
6994.00,14.77
6993.00,14.76
6992.00,14.76
6991.00,14.76
6990.00,14.76
6989.00,14.75
6988.00,14.75
6987.00,14.74
6986.00,14.74
6985.00,14.72
6984.00,14.70
6983.00,14.68
6982.00,14.66
6981.00,14.64
6980.00,14.62
6979.00,14.60
6978.00,14.57
6977.00,14.55
6976.00,14.52
6975.00,14.50
6974.00,14.47
6973.00,14.45
6972.00,14.41
6971.00,14.38
6970.00,14.34
6969.00,14.30
6968.00,14.25
6967.00,14.21
6966.00,14.16
6965.00,14.13
6964.00,14.10
6963.00,14.06
6962.00,14.02
6961.00,13.98
6960.00,13.93
6959.00,13.88
6958.00,13.83
6957.00,13.77
6956.00,13.72
6955.00,13.68
6954.00,13.63
6953.00,13.58
6952.00,13.53
6951.00,13.49
6950.00,13.44
6949.00,13.40
6948.00,13.35
6947.00,13.30
6946.00,13.25
6945.00,13.20
6944.00,13.14
6943.00,13.09
6942.00,13.04
6941.00,13.00
6940.00,12.95
6939.00,12.91
6938.00,12.86
6937.00,12.81
6936.00,12.76
6935.00,12.70
6934.00,12.64
6933.00,12.59
6932.00,12.54
6931.00,12.49
6930.00,12.44
6929.00,12.39
6928.00,12.33
6927.00,12.28
6926.00,12.22
6925.00,12.16
6924.00,12.11
6923.00,12.07
6922.00,12.03
6921.00,11.98
6920.00,11.94
6919.00,11.89
6918.00,11.84
6917.00,11.79
6916.00,11.73
6915.00,11.67
6914.00,11.60
6913.00,11.54
6912.00,11.48
6911.00,11.43
6910.00,11.37
6909.00,11.32
6908.00,11.27
6907.00,11.23
6906.00,11.18
6905.00,11.14
6904.00,11.10
6903.00,11.06
6902.00,11.01
6901.00,10.96
6900.00,10.91
6899.00,10.86
6898.00,10.81
6897.00,10.76
6896.00,10.71
6895.00,10.66
6894.00,10.62
6893.00,10.57
6892.00,10.52
6891.00,10.47
6890.00,10.42
6889.00,10.37
6888.00,10.32
6887.00,10.28
6886.00,10.24
6885.00,10.19
6884.00,10.14
6883.00,10.09
6882.00,10.05
6881.00,10.00
6880.00,9.96
6879.00,9.91
6878.00,9.87
6877.00,9.82
6876.00,9.78
6875.00,9.73
6874.00,9.67
6873.00,9.62
6872.00,9.58
6871.00,9.54
6870.00,9.51
6869.00,9.47
6868.00,9.43
6867.00,9.39
6866.00,9.36
6865.00,9.32
6864.00,9.28
6863.00,9.23
6862.00,9.19
6861.00,9.15
6860.00,9.10
6859.00,9.06
6858.00,9.01
6857.00,8.97
6856.00,8.92
6855.00,8.88
6854.00,8.85
6853.00,8.82
6852.00,8.78
6851.00,8.75
6850.00,8.71
6849.00,8.67
6848.00,8.63
6847.00,8.59
6846.00,8.55
6845.00,8.51
6844.00,8.47
6843.00,8.43
6842.00,8.40
6841.00,8.36
6840.00,8.33
6839.00,8.29
6838.00,8.26
6837.00,8.23
6836.00,8.19
6835.00,8.16
6834.00,8.13
6833.00,8.09
6832.00,8.05
6831.00,8.01
6830.00,7.97
6829.00,7.92
6828.00,7.88
6827.00,7.85
6826.00,7.81
6825.00,7.77
6824.00,7.73
6823.00,7.70
6822.00,7.66
6821.00,7.62
6820.00,7.59
6819.00,7.55
6818.00,7.52
6817.00,7.49
6816.00,7.46
6815.00,7.43
6814.00,7.39
6813.00,7.36
6812.00,7.32
6811.00,7.28
6810.00,7.25
6809.00,7.22
6808.00,7.19
6807.00,7.15
6806.00,7.11
6805.00,7.07
6804.00,7.04
6803.00,7.02
6802.00,6.99
6801.00,6.95
6800.00,6.92
6799.00,6.90
6798.00,6.87
6797.00,6.83
6796.00,6.78
6795.00,6.74
6794.00,6.71
6793.00,6.69
6792.00,6.66
6791.00,6.64
6790.00,6.61
6789.00,6.58
6788.00,6.55
6787.00,6.51
6786.00,6.48
6785.00,6.44
6784.00,6.40
6783.00,6.37
6782.00,6.34
6781.00,6.31
6780.00,6.28
6779.00,6.26
6778.00,6.24
6777.00,6.22
6776.00,6.19
6775.00,6.16
6774.00,6.13
6773.00,6.10
6772.00,6.07
6771.00,6.04
6770.00,6.01
6769.00,5.98
6768.00,5.95
6767.00,5.92
6766.00,5.89
6765.00,5.86
6764.00,5.83
6763.00,5.81
6762.00,5.78
6761.00,5.75
6760.00,5.72
6759.00,5.68
6758.00,5.65
6757.00,5.62
6756.00,5.59
6755.00,5.56
6754.00,5.53
6753.00,5.51
6752.00,5.49
6751.00,5.46
6750.00,5.44
6749.00,5.41
6748.00,5.38
6747.00,5.36
6746.00,5.34
6745.00,5.31
6744.00,5.29
6743.00,5.27
6742.00,5.24
6741.00,5.22
6740.00,5.20
6739.00,5.18
6738.00,5.15
6737.00,5.12
6736.00,5.10
6735.00,5.08
6734.00,5.06
6733.00,5.03
6732.00,5.01
6731.00,4.98
6730.00,4.95
6729.00,4.93
6728.00,4.90
6727.00,4.86
6726.00,4.84
6725.00,4.82
6724.00,4.80
6723.00,4.79
6722.00,4.76
6721.00,4.73
6720.00,4.71
6719.00,4.68
6718.00,4.66
6717.00,4.63
6716.00,4.60
6715.00,4.58
6714.00,4.57
6713.00,4.55
6712.00,4.52
6711.00,4.49
6710.00,4.47
6709.00,4.44
6708.00,4.42
6707.00,4.41
6706.00,4.40
6705.00,4.38
6704.00,4.37
6703.00,4.35
6702.00,4.33
6701.00,4.31
6700.00,4.28
6699.00,4.25
6698.00,4.23
6697.00,4.21
6696.00,4.18
6695.00,4.16
6694.00,4.13
6693.00,4.11
6692.00,4.09
6691.00,4.08
6690.00,4.06
6689.00,4.05
6688.00,4.03
6687.00,4.01
6686.00,3.99
6685.00,3.97
6684.00,3.95
6683.00,3.92
6682.00,3.90
6681.00,3.89
6680.00,3.87
6679.00,3.85
6678.00,3.84
6677.00,3.84
6676.00,3.83
6675.00,3.82
6674.00,3.80
6673.00,3.78
6672.00,3.75
6671.00,3.73
6670.00,3.70
6669.00,3.68
6668.00,3.66
6667.00,3.64
