Wavelength [nm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
190.000,3.305397,2.680141,3.280479,2.569427,3.271021,3.018995,2.52027,2.713282,3.281084,3.244492,3.325839,2.688627,3.312109,2.761521,2.71178,2.903414,2.979556,3.295602,2.520353,3.046098,2.495137,3.03511,3.241086,2.925896,2.508366,3.302551,2.803463,2.642525,2.935602,3.285626,2.523207,3.240077,3.19107,2.858068,2.827387,3.257276,3.282571,2.964309,3.011181,3.241265,3.211345,3.03294,3.285138,3.045879,3.281735,3.030038,3.239459,2.994574,2.655594,3.29016,2.672922,3.271181,2.674806,2.639549,3.281125,2.676076,3.035633,3.252585,2.975043,2.648641,2.464466,3.004513,2.704129,3.044409,2.938097,2.83521,2.966349,3.318612,3.279827,2.776387,2.972014,3.290566,3.270136,3.24972,2.945687,2.637594,3.29579,3.283486,2.493612,3.305087,3.012604,3.021998,3.278406,2.850899,2.987067,2.817683,3.267713,3.223196,3.078733,2.776547,2.525607,2.556684,3.186402,2.830533,2.644322,2.52917,2.933393,2.327694,2.742244,3.289293,3.291938,2.723085,3.049153,2.567514,2.790853,3.022625,3.281615,3.21041,3.271163,2.894833,2.601455,3.297594,3.289982,2.480857,3.053454,2.935088,3.063026,3.34133,2.832806,3.248101,3.343103,3.288865,3.324092,2.663559,2.843261,2.810791,2.782187,3.175919,2.738856,3.196007,2.791533,3.194078,3.037942,2.740807,2.914471,3.320353,2.741574,3.336974,3.200145,2.687746,3.309323,3.278659,2.84105,3.073223,3.230187,3.271101,3.207692,3.245136,2.88856,3.326687,2.496122,2.890912,2.739301,3.320188,2.593641,2.749953,2.642551,3.165948,3.238554,3.32304,3.343462,3.235952,3.214841,2.918475,3.356204,3.31803,2.850145,2.442033,2.706203,3.020123,3.024465,3.057429,2.965233,3.226773,2.781552,3.348949,2.466237,3.253422,2.668322,3.197166,3.003627,2.551184,3.342201,2.724098,3.33245,3.313144,2.965357,2.54781,3.248167,3.28632,3.04325,3.254631,3.010654,3.280612,
191.000,3.183409,3.337774,2.941201,3.283052,2.919329,3.237751,2.663851,2.934107,2.982556,2.643818,3.209877,2.805362,3.241022,2.592442,2.639039,2.936269,3.388574,3.234732,2.818012,3.226899,3.382574,3.338507,3.045866,2.830625,3.318838,3.28641,2.840837,3.292932,2.70533,2.961875,3.236218,3.304133,2.335001,3.280417,2.931114,2.538666,2.910079,2.798643,2.960041,3.042088,2.794459,3.221566,2.937654,3.266622,2.932354,3.268674,2.80023,2.96722,2.687376,3.235047,2.597329,2.723734,2.68873,3.261503,2.950277,3.242929,3.253313,2.748355,2.948485,2.707757,2.877507,3.308667,3.286439,3.210772,2.677248,3.376239,3.276591,3.255899,3.240388,3.011324,3.237697,2.903841,2.775518,2.915974,3.372255,3.27049,3.248667,2.735182,3.277502,3.222216,3.214511,3.268882,2.933226,3.316463,3.002112,2.784391,2.901396,2.529144,3.173825,2.426457,2.376243,3.271924,2.667737,2.944662,2.498551,3.299197,2.421962,2.454075,2.33353,2.721303,3.258442,2.951884,3.236116,2.830013,2.673395,3.260057,2.957963,2.603718,3.180956,3.230341,2.996943,3.337035,2.879893,3.288304,3.196132,2.395694,3.21922,3.171078,2.958114,2.929427,3.190787,2.942956,3.187999,2.695222,2.956106,2.781892,2.809021,2.653196,2.632206,2.765779,2.54944,2.781408,3.255781,2.578974,2.785288,3.210767,2.701218,3.184422,2.637592,3.034386,3.23416,2.758605,3.294816,3.216307,2.676597,3.283146,2.369005,2.762214,3.225165,3.187294,3.268253,3.217613,2.800231,3.235575,2.793403,2.779865,2.933182,2.893678,2.621063,3.170757,3.22738,2.545513,2.991716,2.69899,3.183685,2.901986,3.27822,3.02107,3.288775,3.288987,3.226244,3.239225,3.012366,2.921088,2.798777,3.185409,2.80518,3.237564,2.768849,2.561495,2.953008,2.813781,3.195119,2.954802,3.196916,3.199815,2.772874,2.523105,2.92801,3.216059,3.206407,3.28645,2.935602,2.928389,
192.000,2.279663,2.844628,2.852591,2.605147,2.683285,2.438181,2.953915,3.404554,2.870641,2.7678,2.421973,2.797056,2.620421,3.094489,2.813818,3.297448,3.242113,2.821225,2.489915,2.36613,2.961298,3.401618,3.38725,2.788322,2.80462,3.061277,2.952849,2.535479,2.64243,2.957483,2.403259,3.055779,2.509523,2.778756,2.380264,2.810321,2.708093,2.728573,2.710854,3.408938,2.833184,2.580947,2.583448,2.597086,2.610416,2.761794,2.773627,2.574222,2.498067,2.548824,2.894381,2.519613,2.668374,2.476491,2.658729,2.517863,2.434861,2.710665,2.681276,2.742339,2.768694,3.09298,2.56222,2.440133,2.765457,3.333509,2.521673,2.697512,2.815506,2.78598,2.408377,2.628129,2.695071,2.525233,3.363346,2.64276,2.759224,2.628395,2.472401,2.482675,2.54246,2.769689,2.740245,3.110559,2.900068,2.705234,2.288522,2.66404,2.258134,2.415517,2.553177,2.320961,2.739749,2.630558,2.442462,2.710424,2.765563,2.744536,2.84024,2.501869,2.567823,2.452447,2.729803,2.765036,2.420113,2.806797,2.622096,2.514141,2.334817,2.581329,2.732607,3.316484,2.486054,2.642008,2.425303,2.429992,2.664113,2.495924,2.672223,2.66919,2.486138,2.834659,2.521789,2.551385,2.674098,2.526588,2.769545,2.407709,2.650462,2.498403,2.547884,2.63379,2.64876,2.658593,2.521152,2.509322,2.631855,2.525012,2.535616,2.887498,2.65046,2.636119,2.93512,2.661952,2.794997,3.115718,2.390806,2.782558,2.294742,2.610857,2.513724,2.321498,2.625196,2.788805,2.570065,2.334261,3.400993,3.400463,2.399272,2.32028,2.518887,2.575808,2.908422,2.683989,2.593476,2.425723,2.646879,2.47613,2.551849,2.881635,2.260197,2.580262,2.884461,2.375964,2.57819,2.591606,2.401415,2.707604,2.441217,2.651886,2.618744,2.621875,2.466991,2.617915,2.55988,2.39234,2.609847,2.729454,2.469382,2.639064,2.463727,2.840388,2.69178,2.523382,
193.000,2.850758,3.221856,3.395517,3.053738,3.42699,3.037714,3.023975,3.39791,3.023692,2.995723,2.771821,3.252889,2.886443,2.88657,3.150594,2.467681,2.632174,3.401877,2.957796,2.954409,2.903368,3.25279,2.958142,3.203791,3.375208,3.060409,3.485204,3.079703,2.846414,3.443882,3.378176,3.066831,3.230149,3.030582,3.14447,3.360547,3.315148,3.078925,3.093105,3.370923,3.032407,3.455573,2.861323,2.969397,2.949575,3.134096,3.018126,3.077987,2.779222,3.091871,2.6587,3.518624,3.045669,3.124651,3.061339,3.457617,2.789282,3.378553,3.396308,3.031692,2.934246,3.390151,2.956785,3.127737,3.477773,3.021434,2.793684,2.643527,3.42634,3.119686,3.251875,3.398529,2.970172,3.101433,3.403651,3.401026,2.870751,3.48128,3.120923,2.901661,3.381416,3.091567,3.501203,3.293186,2.853324,3.354905,2.769788,3.406444,3.161026,3.09346,2.912422,2.90327,3.097367,3.33569,2.706514,3.400663,2.688215,3.114878,3.181366,3.093246,2.609267,3.172291,3.390447,3.377336,2.941645,3.440455,2.851843,3.392928,3.097446,3.433346,3.45351,3.159951,3.40375,3.379303,3.52358,3.17118,3.359084,3.418993,3.425997,3.488017,3.166127,3.483185,3.51648,2.997376,3.420473,3.129827,3.381573,2.73083,2.691969,2.992796,3.431333,3.201863,2.943532,3.36387,3.152274,3.001722,2.912439,3.502575,3.174596,2.871965,2.965841,3.210102,3.355971,3.372113,2.975231,3.312276,3.222086,3.374318,3.10744,3.350932,3.447877,3.286248,3.41427,3.045136,3.414874,2.950607,3.413971,2.955112,2.730299,3.179018,2.864529,2.993662,3.131585,2.819141,3.441017,3.059977,2.920711,2.959198,2.789329,3.105108,2.89734,2.925294,3.21827,3.072252,3.125928,3.441287,3.259117,3.505889,3.430634,3.226041,3.18327,3.411208,3.255943,3.382691,3.068151,2.862898,3.524227,3.345241,2.843274,3.495356,3.534873,2.797597,3.363534,2.850945,
194.000,2.911321,3.31533,2.859424,2.75719,2.799254,3.060138,2.811009,3.437637,3.43343,2.650671,3.025939,2.481058,3.133559,2.810517,3.039936,2.77526,3.251081,2.86807,2.810993,3.505255,3.452988,2.579008,2.766746,3.377283,2.773965,3.041223,3.274191,3.384981,3.413608,3.456577,2.784229,3.018528,3.363058,2.546983,2.990489,3.002111,2.733017,2.863299,3.049635,3.012609,2.695613,3.06966,3.236789,3.336201,3.020563,3.187741,3.488346,3.341385,2.763587,3.313021,2.837125,3.328527,2.594125,2.829956,3.370523,2.782162,3.495579,2.761582,2.713414,2.743005,3.0087,3.111113,2.816799,2.826546,3.38179,2.865281,3.205743,2.910378,3.078832,3.215872,3.388815,2.723468,3.196593,2.695683,3.460962,2.968209,2.77019,3.437102,2.673851,3.132722,2.867541,2.829879,3.309376,2.806736,2.766511,2.69975,2.674415,3.185041,2.597541,3.315446,3.533356,3.21395,2.764192,2.567286,2.484742,2.713022,3.168027,3.218219,3.414898,2.907577,3.167963,3.155888,2.967722,2.977935,3.492623,3.025766,3.416469,3.00339,2.829332,3.169215,2.992006,3.349344,2.995865,2.660747,3.394912,3.122045,2.588894,2.945049,3.138511,3.403207,3.175464,3.347944,3.370197,3.142835,3.157031,2.745536,2.948523,3.166679,3.221862,3.191364,2.825796,3.455532,2.656541,2.836121,2.870492,3.182734,2.930375,3.429142,3.066631,2.83744,2.95335,3.417798,3.016526,2.855504,3.115322,2.57321,3.457803,2.741947,3.377906,2.789214,2.823124,3.281224,2.875652,2.837877,2.683007,2.91454,3.366583,2.7602,2.945665,3.196312,3.437047,3.131064,3.101335,3.040491,3.124768,3.488733,2.754056,3.419148,2.880378,2.941757,3.423314,2.624645,3.286079,3.458026,2.736639,2.807105,3.331306,3.326454,2.674436,3.326158,3.021562,2.896226,3.338003,2.809907,2.847434,3.03018,3.267395,2.884828,2.827319,3.407827,3.32644,3.092179,2.853687,2.994529,
195.000,3.551425,2.897476,2.904034,3.446925,2.681467,2.553813,3.57014,3.437916,3.045666,3.456807,3.036171,3.520783,2.887506,2.914326,2.616934,3.165916,3.452188,2.859928,2.651447,3.295106,3.034748,3.018974,3.512143,2.864261,3.026371,3.426171,2.946334,3.204108,2.880441,3.29324,3.460227,3.52395,3.217189,3.005031,3.553377,3.424767,3.424625,3.118084,3.352968,2.659604,3.181231,3.192863,3.341356,2.91572,3.542484,3.423025,3.366131,2.653876,3.561612,2.944268,3.085368,3.217417,3.015435,3.216882,2.958268,2.853911,3.431735,3.067812,2.707355,3.536739,3.05604,3.08837,3.041294,3.225913,3.031715,3.182989,3.505343,3.132621,3.184486,3.310423,3.086136,2.80026,3.471143,2.872041,3.325769,3.538007,3.497406,3.337343,2.956,2.869622,3.485237,3.257355,2.766943,3.455883,3.533743,3.298537,2.665946,3.284836,2.794601,2.934897,3.218879,3.399383,2.793138,2.973361,3.479698,3.03546,3.191767,3.307298,3.049302,3.45604,2.88087,3.522079,3.546508,3.522186,3.364291,2.847679,2.862368,3.378907,3.402236,3.336866,2.987127,3.045633,3.40184,2.890069,3.479411,3.109464,2.897593,3.054353,3.482805,3.481462,3.439503,3.174991,3.038448,3.118163,3.401252,3.02257,3.0831,3.143561,3.503747,3.464824,3.013059,3.400226,2.95272,3.08391,2.966639,3.496998,3.46847,3.34376,2.794638,3.528553,3.265905,3.000482,3.368085,3.54913,3.264206,3.026052,3.365945,2.752621,3.201167,3.465769,2.681334,2.518684,2.811578,3.420791,2.826511,3.493328,2.846568,3.548836,3.477088,3.330762,3.088849,3.170043,3.249846,3.532321,3.522719,3.317378,2.725471,3.117482,3.359464,3.260926,3.110427,2.963434,2.842673,3.440106,2.891288,2.905219,3.004426,2.912311,2.845139,3.06421,2.985961,2.959987,2.978006,3.179356,3.355834,3.525767,2.927705,3.446929,3.043618,3.456434,3.212836,3.326449,3.566188,3.136595,
196.000,3.251542,3.567119,3.222917,2.643316,2.931699,2.771609,3.242238,3.507158,2.845275,2.662377,2.924485,2.734471,3.02073,3.162356,2.90339,2.881963,3.487888,3.066644,2.438805,2.706505,2.873774,2.7566,2.923573,2.811268,2.872718,2.819121,3.388795,3.344473,2.687729,2.975803,3.19418,3.327236,3.313192,3.081161,3.218816,3.231085,3.03518,2.861877,2.914953,2.932196,2.90621,3.01705,2.838617,3.446838,3.236271,3.108483,2.836029,2.718356,3.289154,3.340793,2.799078,3.357341,2.759851,3.018033,3.166175,3.373421,3.458498,3.038337,2.888667,3.439015,2.853987,3.118177,3.097575,2.979807,2.985435,3.14269,3.283915,2.726348,3.047603,2.527079,3.306761,2.783701,3.470037,2.847908,2.812847,3.321304,2.988009,3.039928,3.072608,2.751336,3.027968,3.425506,3.005145,2.839278,3.417417,3.339468,2.774162,2.576767,3.457602,3.392596,2.757736,2.834047,3.019708,2.63772,2.633557,3.293138,3.508964,2.545786,3.114911,2.765747,2.814041,3.265383,3.281687,3.390299,2.8361,2.787696,2.613084,2.65581,3.064213,2.945328,3.359893,3.370918,2.740241,2.803467,3.350429,3.00469,2.810338,2.649287,3.481733,3.336512,3.042715,3.537522,2.964946,2.9367,2.902529,3.319236,2.642128,3.136055,3.278626,3.500411,3.346142,3.061118,3.275009,2.868466,3.513393,3.355507,3.032825,2.762127,2.998477,3.401072,3.307081,2.897354,2.526543,3.333363,3.22154,3.417579,3.226384,2.994848,3.362452,3.165702,2.596987,2.950506,2.855545,2.717182,3.559782,2.930406,2.761572,3.361386,2.971955,2.746984,3.238146,3.05653,3.303426,3.260826,3.305451,3.06536,2.605059,3.12042,2.95915,3.343982,3.143834,3.046984,3.431967,3.468345,3.533399,3.451549,2.98868,2.836629,3.474697,3.31299,3.329181,3.114138,3.104284,2.875651,2.827193,3.301416,3.484257,2.842695,3.072235,3.451313,3.377888,2.499217,3.261199,2.923374,
197.000,2.852953,3.34493,3.037922,2.841194,2.943938,3.57179,2.877367,3.293407,2.870781,2.638614,3.387442,2.746589,3.436281,2.925946,3.09737,2.700279,3.350476,3.073821,3.276363,3.229565,3.012973,2.7029,2.610925,3.015324,2.987085,3.00434,3.099841,2.893001,2.667167,3.41118,3.45377,3.000227,2.657876,3.532831,2.578548,3.329758,3.492017,3.339861,3.608542,3.313403,2.741724,2.9554,3.340978,2.872893,2.933491,3.258314,3.000067,2.987018,3.132763,2.86365,3.262073,3.086069,3.000311,2.751481,3.293178,2.933452,3.520744,2.605939,3.088464,3.486235,3.056532,3.354115,3.137002,2.915629,3.514926,3.217777,2.762704,2.935184,3.028982,2.797686,3.234152,2.874286,3.419835,3.173069,3.103611,3.021606,3.075293,3.57913,3.025374,2.960422,3.177595,3.084075,3.583667,3.08021,2.955369,3.068877,2.731663,2.999452,3.213758,3.097004,3.483538,2.974922,2.948262,2.716516,2.743501,2.536814,3.412812,2.879807,3.423684,2.587042,3.347675,2.661671,2.729886,3.090859,3.005818,3.008134,2.960861,3.101146,3.387011,3.493326,2.920251,3.1221,2.883404,3.088655,2.962225,3.220933,3.052864,3.38641,3.357869,3.020205,3.164983,3.316185,3.601374,3.151105,3.131422,2.701649,3.026772,3.301505,2.992329,3.297421,2.958287,2.871873,2.783954,3.588251,3.506367,3.279567,2.910317,2.862834,3.579905,3.035822,2.986774,3.560431,2.744587,2.953649,2.7456,3.239396,3.426526,3.591669,2.816091,3.572752,2.834291,3.601784,3.181102,2.967613,3.374877,2.716954,3.307564,3.181996,2.976505,3.369842,3.535871,3.006789,2.819523,2.667669,3.112007,3.485531,3.640114,3.038911,3.40235,2.824161,2.941949,2.932127,2.72023,3.473671,3.461005,3.18786,2.689329,2.784182,3.106659,2.907717,2.866247,3.434602,2.926394,2.721945,3.606865,2.867066,3.063821,2.710724,2.993581,3.527325,2.995812,3.062856,2.998765,2.928703,
198.000,3.05323,2.924572,2.870126,3.359019,3.4463,3.444006,3.604351,2.966482,2.715906,3.393034,2.890497,3.522353,3.252015,2.943602,2.620613,2.990998,2.724164,2.639138,3.14009,3.223756,2.753516,3.060668,2.972964,2.770644,3.315502,3.307747,3.328768,3.163619,3.02755,3.041524,3.109889,2.821626,3.17372,3.452519,3.127371,2.975583,3.037397,3.290475,3.24313,3.32617,2.710624,3.374297,3.325611,2.786916,3.364802,3.5185,3.304974,3.11124,3.303599,3.559071,3.031792,3.430768,3.330977,2.945471,3.290525,3.587419,3.289134,2.827266,3.032971,3.465087,2.870197,2.704958,3.360875,3.27606,2.937964,3.012341,3.05198,3.342712,3.40018,3.060195,2.797851,3.552385,3.078195,3.352034,3.060465,3.117117,3.258063,3.291918,3.377861,3.051964,3.256927,2.776895,3.250205,3.330947,2.846472,3.528398,3.058119,3.015827,3.446969,3.338427,2.850867,3.420477,3.191791,2.670245,3.603416,2.956186,3.064145,2.986773,3.255053,3.002017,3.277119,2.725619,3.198637,2.782962,3.284652,3.264716,3.286265,3.344927,2.827337,3.077533,3.016812,3.25161,2.856612,3.271623,2.97162,3.078535,3.430255,3.221067,2.968584,3.103891,3.299042,3.089716,3.214305,3.411049,3.532812,3.340782,3.011975,3.294238,3.4464,2.954964,3.507102,3.072493,3.390832,3.345734,3.276401,3.274955,2.923493,3.310241,3.273139,3.029464,3.427068,3.442303,3.207384,3.027787,3.394334,3.373837,3.203618,3.224534,2.846018,3.244919,3.360972,3.188159,2.941525,3.533738,3.170252,3.072933,3.47972,3.05253,3.333807,3.247692,3.337132,3.488919,3.151159,2.915545,3.374937,3.03996,3.257921,3.137395,3.097703,3.092953,2.896478,3.446955,2.985361,3.490682,3.469501,3.568672,3.581758,3.190825,2.885536,3.388015,3.559222,2.825093,3.152705,2.89111,3.307802,3.330966,3.066457,2.770454,3.537207,3.267382,3.164664,3.244615,3.422373,3.278695,
199.000,2.665747,2.928242,3.176003,3.099573,3.328443,3.579524,3.348343,3.648549,3.074238,3.258966,3.200715,3.10167,3.377494,3.302084,2.866391,3.216971,2.800737,3.218561,2.705252,2.901966,2.852843,3.381358,2.769215,3.100491,2.81383,3.013701,2.887461,3.105335,3.140814,3.671034,3.364821,2.728162,3.611454,3.593882,3.187084,3.559403,3.256219,2.860027,3.120305,2.936419,2.877857,2.970134,3.199577,3.004428,3.052186,3.474793,2.693091,3.237619,2.984094,3.576546,3.14076,3.333493,2.901858,2.808421,2.728784,3.403123,3.005377,2.982573,3.042524,3.593505,3.507942,3.025873,2.914532,2.902363,3.004762,3.067735,3.007508,2.710446,3.084867,3.29031,3.487163,3.566746,2.855212,3.20215,3.113144,3.231532,2.624987,3.203341,2.686696,3.422549,2.962907,2.894149,3.107723,3.076618,3.466365,3.581784,2.983543,3.552608,3.177005,2.665535,2.709867,3.01688,3.306258,2.887757,3.406339,3.124893,2.710546,2.887424,3.377928,3.043673,2.91226,2.874588,3.443194,2.853925,2.935549,2.874099,2.946153,2.982036,3.108008,3.057588,2.933107,2.897103,2.956739,2.945132,3.254013,3.247855,3.322528,2.956129,3.404621,3.006123,2.770933,3.557265,2.854006,3.344556,3.476647,3.505445,2.980793,2.89077,3.319755,3.697679,3.065626,3.217652,2.81802,3.343674,2.675707,3.017375,2.796103,3.486421,3.005852,3.531342,3.011837,3.600463,3.347742,3.401529,2.81833,3.094793,3.627446,3.005307,3.157586,2.934031,3.088284,2.978743,2.909949,3.582613,3.160389,2.647982,3.595152,2.734826,2.918757,2.561389,3.037017,3.092366,3.214884,2.926208,3.171005,3.245938,3.003956,3.106106,3.416694,3.18681,3.096211,3.344511,3.565373,3.478553,3.598562,3.313701,3.566755,3.402996,3.059868,2.964581,3.578081,3.080453,3.114448,2.977737,3.099127,3.433148,3.145938,2.933883,3.572211,3.102981,3.029547,2.9052,3.022988,3.608087,
