,d2o 015 By Administrator Date Monday. December 13 2021,
Time,14:16:54,
Wavenumbers [1/cm],Transmittance %,
7000.000,6.24047,
6999.000,6.23284,
6998.000,6.23005,
6997.000,6.22623,
6996.000,6.218,
6995.000,6.20719,
6994.000,6.19759,
6993.000,6.1908,
6992.000,6.18503,
6991.000,6.17714,
6990.000,6.16614,
6989.000,6.15466,
6988.000,6.14627,
6987.000,6.14136,
6986.000,6.13731,
6985.000,6.13315,
6984.000,6.13182,
6983.000,6.13592,
6982.000,6.14315,
6981.000,6.14864,
6980.000,6.15037,
6979.000,6.15046,
6978.000,6.15162,
6977.000,6.15416,
6976.000,6.15637,
6975.000,6.15623,
6974.000,6.15334,
6973.000,6.15048,
6972.000,6.15231,
6971.000,6.16089,
6970.000,6.17303,
6969.000,6.1838,
6968.000,6.1919,
6967.000,6.19953,
6966.000,6.20839,
6965.000,6.21797,
6964.000,6.22696,
6963.000,6.23444,
6962.000,6.24027,
6961.000,6.2463,
6960.000,6.25596,
6959.000,6.27012,
6958.000,6.28455,
6957.000,6.29445,
6956.000,6.30125,
6955.000,6.31164,
6954.000,6.3289,
6953.000,6.34884,
6952.000,6.36597,
6951.000,6.38003,
6950.000,6.39473,
6949.000,6.41222,
6948.000,6.43131,
6947.000,6.45021,
6946.000,6.46883,
6945.000,6.48844,
6944.000,6.51045,
6943.000,6.53568,
6942.000,6.56359,
6941.000,6.59218,
6940.000,6.61914,
6939.000,6.64332,
6938.000,6.66548,
6937.000,6.6877,
6936.000,6.71175,
6935.000,6.73765,
6934.000,6.76419,
6933.000,6.79099,
6932.000,6.81945,
6931.000,6.85069,
6930.000,6.88306,
6929.000,6.9131,
6928.000,6.9388,
6927.000,6.9612,
6926.000,6.98333,
6925.000,7.00844,
6924.000,7.03851,
6923.000,7.07314,
6922.000,7.11021,
6921.000,7.14826,
6920.000,7.18789,
6919.000,7.22982,
6918.000,7.27284,
6917.000,7.31492,
6916.000,7.35587,
6915.000,7.39748,
6914.000,7.44131,
6913.000,7.48795,
6912.000,7.53785,
6911.000,7.59084,
6910.000,7.64498,
6909.000,7.69758,
6908.000,7.74759,
6907.000,7.79571,
6906.000,7.84219,
6905.000,7.8863,
6904.000,7.9284,
6903.000,7.97087,
6902.000,8.01625,
6901.000,8.065,
6900.000,8.11533,
6899.000,8.16494,
6898.000,8.21278,
6897.000,8.26003,
6896.000,8.30946,
6895.000,8.36359,
6894.000,8.42331,
6893.000,8.48781,
6892.000,8.55506,
6891.000,8.62255,
6890.000,8.6885,
6889.000,8.75324,
6888.000,8.81821,
6887.000,8.88353,
6886.000,8.94771,
6885.000,9.01018,
6884.000,9.07248,
6883.000,9.13651,
6882.000,9.20284,
6881.000,9.27132,
6880.000,9.34163,
6879.000,9.41256,
6878.000,9.48299,
6877.000,9.5544,
6876.000,9.62944,
6875.000,9.70722,
6874.000,9.7833,
6873.000,9.85614,
6872.000,9.93004,
6871.000,10.0086,
6870.000,10.088,
6869.000,10.1614,
6868.000,10.2291,
6867.000,10.2975,
6866.000,10.3708,
6865.000,10.4473,
6864.000,10.5237,
6863.000,10.601,
6862.000,10.6821,
6861.000,10.7668,
6860.000,10.8512,
6859.000,10.9311,
6858.000,11.0073,
6857.000,11.0858,
6856.000,11.1716,
6855.000,11.2626,
6854.000,11.3514,
6853.000,11.4344,
6852.000,11.5153,
6851.000,11.5987,
6850.000,11.6831,
6849.000,11.7642,
6848.000,11.8411,
6847.000,11.9172,
6846.000,11.9949,
6845.000,12.0745,
6844.000,12.1554,
6843.000,12.2374,
6842.000,12.3197,
6841.000,12.4026,
6840.000,12.4888,
6839.000,12.5801,
6838.000,12.6745,
6837.000,12.768,
6836.000,12.858,
6835.000,12.9437,
6834.000,13.0253,
6833.000,13.1047,
6832.000,13.1857,
6831.000,13.2689,
6830.000,13.3494,
6829.000,13.4232,
6828.000,13.4929,
6827.000,13.5646,
6826.000,13.6399,
6825.000,13.7154,
6824.000,13.7896,
6823.000,13.8647,
6822.000,13.9432,
6821.000,14.0252,
6820.000,14.1094,
6819.000,14.1938,
6818.000,14.2755,
6817.000,14.3536,
6816.000,14.431,
6815.000,14.5106,
6814.000,14.5908,
6813.000,14.6682,
6812.000,14.7414,
6811.000,14.8122,
6810.000,14.882,
6809.000,14.9506,
6808.000,15.0183,
6807.000,15.0853,
6806.000,15.1504,
6805.000,15.214,
6804.000,15.2785,
6803.000,15.345,
6802.000,15.4116,
6801.000,15.4763,
6800.000,15.5404,
6799.000,15.605,
6798.000,15.668,
6797.000,15.7267,
6796.000,15.7823,
6795.000,15.8372,
6794.000,15.89,
6793.000,15.9387,
6792.000,15.9849,
6791.000,16.0315,
6790.000,16.0776,
6789.000,16.1201,
6788.000,16.1582,
6787.000,16.1927,
6786.000,16.2229,
6785.000,16.2479,
6784.000,16.2701,
6783.000,16.293,
6782.000,16.3157,
6781.000,16.3343,
6780.000,16.3478,
6779.000,16.3579,
6778.000,16.3651,
6777.000,16.3683,
6776.000,16.3695,
6775.000,16.3729,
6774.000,16.3799,
6773.000,16.3877,
6772.000,16.3923,
6771.000,16.3915,
6770.000,16.3834,
6769.000,16.3673,
6768.000,16.3441,
6767.000,16.3161,
6766.000,16.2845,
6765.000,16.2506,
6764.000,16.2171,
6763.000,16.1868,
6762.000,16.1595,
6761.000,16.1325,
6760.000,16.1036,
6759.000,16.0723,
6758.000,16.0378,
6757.000,15.998,
6756.000,15.952,
6755.000,15.9005,
6754.000,15.8455,
6753.000,15.7887,
6752.000,15.7312,
6751.000,15.6732,
6750.000,15.6148,
6749.000,15.5573,
6748.000,15.501,
6747.000,15.4441,
6746.000,15.3844,
6745.000,15.3234,
6744.000,15.263,
6743.000,15.2011,
6742.000,15.1324,
6741.000,15.0559,
6740.000,14.9777,
6739.000,14.9028,
6738.000,14.8299,
6737.000,14.7553,
6736.000,14.6794,
6735.000,14.6053,
6734.000,14.532,
6733.000,14.4549,
6732.000,14.3718,
6731.000,14.2864,
6730.000,14.2034,
6729.000,14.1237,
6728.000,14.0444,
6727.000,13.9632,
6726.000,13.8813,
6725.000,13.8017,
6724.000,13.7236,
6723.000,13.6413,
6722.000,13.5508,
6721.000,13.4554,
6720.000,13.3628,
6719.000,13.2757,
6718.000,13.1905,
6717.000,13.1038,
6716.000,13.0168,
6715.000,12.9313,
6714.000,12.8463,
6713.000,12.7592,
6712.000,12.6698,
6711.000,12.5786,
6710.000,12.4867,
6709.000,12.3963,
6708.000,12.309,
6707.000,12.2233,
6706.000,12.1354,
6705.000,12.0445,
6704.000,11.9543,
6703.000,11.8682,
6702.000,11.7847,
6701.000,11.7012,
6700.000,11.6173,
6699.000,11.5338,
6698.000,11.4493,
6697.000,11.3622,
6696.000,11.2738,
6695.000,11.1873,
6694.000,11.1049,
6693.000,11.0265,
6692.000,10.95,
6691.000,10.8722,
6690.000,10.7917,
6689.000,10.7108,
6688.000,10.6327,
6687.000,10.5568,
6686.000,10.4793,
6685.000,10.3997,
6684.000,10.3213,
6683.000,10.2457,
6682.000,10.1692,
6681.000,10.0892,
6680.000,10.008,
6679.000,9.92953,
6678.000,9.85382,
6677.000,9.77837,
6676.000,9.70308,
6675.000,9.62936,
6674.000,9.55643,
6673.000,9.48228,
6672.000,9.40755,
6671.000,9.33509,
6670.000,9.26568,
6669.000,9.19719,
6668.000,9.12832,
6667.000,9.06044,
6666.000,8.99498,
6665.000,8.93083,
6664.000,8.86548,
6663.000,8.79776,
6662.000,8.72893,
6661.000,8.6612,
6660.000,8.59573,
6659.000,8.53226,
6658.000,8.47051,
6657.000,8.41114,
6656.000,8.35412,
6655.000,8.29738,
6654.000,8.23874,
6653.000,8.17909,
6652.000,8.12141,
6651.000,8.06659,
6650.000,8.01245,
6649.000,7.95721,
6648.000,7.90157,
6647.000,7.84629,
6646.000,7.79064,
6645.000,7.7344,
6644.000,7.67921,
6643.000,7.62636,
6642.000,7.57531,
6641.000,7.52604,
6640.000,7.48024,
6639.000,7.4382,
6638.000,7.39645,
6637.000,7.35104,
6636.000,7.30182,
6635.000,7.25159,
6634.000,7.20207,
6633.000,7.15309,
6632.000,7.10494,
6631.000,7.05896,
6630.000,7.01585,
6629.000,6.97451,
6628.000,6.93297,
6627.000,6.88981,
6626.000,6.84515,
6625.000,6.80077,
6624.000,6.75855,
6623.000,6.7186,
6622.000,6.67997,
6621.000,6.64303,
6620.000,6.60923,
6619.000,6.57796,
6618.000,6.54601,
6617.000,6.51149,
6616.000,6.47592,
6615.000,6.44088,
6614.000,6.40525,
6613.000,6.368,
6612.000,6.33161,
6611.000,6.2998,
6610.000,6.27293,
6609.000,6.24846,
6608.000,6.22481,
6607.000,6.20205,
6606.000,6.17896,
6605.000,6.15269,
6604.000,6.12207,
6603.000,6.08916,
6602.000,6.05677,
6601.000,6.0256,
6600.000,5.99462,
6599.000,5.9634,
6598.000,5.9335,
6597.000,5.90786,
6596.000,5.88812,
6595.000,5.87209,
6594.000,5.85503,
6593.000,5.83447,
6592.000,5.81266,
6591.000,5.79308,
6590.000,5.77579,
6589.000,5.75828,
6588.000,5.73946,
6587.000,5.72049,
6586.000,5.70209,
6585.000,5.68367,
6584.000,5.66489,
6583.000,5.6463,
6582.000,5.62819,
6581.000,5.61083,
6580.000,5.5956,
6579.000,5.58377,
6578.000,5.57373,
6577.000,5.56192,
6576.000,5.54705,
6575.000,5.53151,
6574.000,5.51783,
6573.000,5.50562,
6572.000,5.49337,
6571.000,5.48161,
6570.000,5.47238,
6569.000,5.46627,
6568.000,5.46139,
6567.000,5.45503,
6566.000,5.44589,
6565.000,5.43486,
6564.000,5.42437,
6563.000,5.41646,
6562.000,5.41123,
6561.000,5.4073,
6560.000,5.4039,
6559.000,5.4016,
6558.000,5.40043,
6557.000,5.39867,
6556.000,5.39454,
6555.000,5.38869,
6554.000,5.38378,
6553.000,5.38145,
6552.000,5.38079,
6551.000,5.38007,
6550.000,5.37942,
6549.000,5.38071,
6548.000,5.38495,
6547.000,5.39081,
6546.000,5.39609,
6545.000,5.40002,
6544.000,5.4031,
6543.000,5.40539,
6542.000,5.40622,
6541.000,5.40585,
6540.000,5.40581,
6539.000,5.40701,
6538.000,5.40853,
6537.000,5.40973,
6536.000,5.41249,
6535.000,5.42015,
6534.000,5.43404,
6533.000,5.45185,
6532.000,5.46935,
6531.000,5.48318,
6530.000,5.49242,
6529.000,5.49843,
6528.000,5.50346,
6527.000,5.50934,
6526.000,5.51746,
6525.000,5.52928,
6524.000,5.54552,
6523.000,5.56446,
6522.000,5.58247,
6521.000,5.59746,
6520.000,5.61106,
6519.000,5.62636,
6518.000,5.64445,
6517.000,5.66411,
6516.000,5.68398,
6515.000,5.7037,
6514.000,5.72317,
6513.000,5.74218,
6512.000,5.76091,
6511.000,5.77998,
6510.000,5.79983,
6509.000,5.82071,
6508.000,5.84282,
6507.000,5.86611,
6506.000,5.8903,
6505.000,5.91551,
6504.000,5.94205,
6503.000,5.96895,
6502.000,5.99413,
6501.000,6.01709,
6500.000,6.04059,
6499.000,6.06777,
6498.000,6.09881,
6497.000,6.13183,
6496.000,6.16624,
6495.000,6.20277,
6494.000,6.24036,
6493.000,6.27575,
6492.000,6.3073,
6491.000,6.33767,
6490.000,6.37105,
6489.000,6.40847,
6488.000,6.4471,
6487.000,6.48382,
6486.000,6.51873,
6485.000,6.55445,
6484.000,6.5927,
6483.000,6.63273,
6482.000,6.67352,
6481.000,6.71629,
6480.000,6.76289,
6479.000,6.81231,
6478.000,6.86085,
6477.000,6.90645,
6476.000,6.95101,
6475.000,6.99736,
6474.000,7.04605,
6473.000,7.09643,
6472.000,7.14886,
6471.000,7.20357,
6470.000,7.25893,
6469.000,7.31273,
6468.000,7.36497,
6467.000,7.41717,
6466.000,7.46993,
6465.000,7.52265,
6464.000,7.57516,
6463.000,7.62793,
6462.000,7.68136,
6461.000,7.73652,
6460.000,7.79557,
6459.000,7.85958,
6458.000,7.92681,
6457.000,7.99487,
6456.000,8.06357,
6455.000,8.13348,
6454.000,8.20275,
6453.000,8.26867,
6452.000,8.33215,
6451.000,8.39771,
6450.000,8.46799,
6449.000,8.54092,
6448.000,8.61339,
6447.000,8.68549,
6446.000,8.75959,
6445.000,8.83648,
6444.000,8.91428,
6443.000,8.99079,
6442.000,9.06599,
6441.000,9.14188,
6440.000,9.22022,
6439.000,9.30079,
6438.000,9.38234,
6437.000,9.46495,
6436.000,9.5505,
6435.000,9.63998,
6434.000,9.73149,
6433.000,9.82155,
6432.000,9.90835,
6431.000,9.99298,
6430.000,10.0782,
6429.000,10.1662,
6428.000,10.2569,
6427.000,10.3484,
6426.000,10.4387,
6425.000,10.5288,
6424.000,10.6201,
6423.000,10.7122,
6422.000,10.8028,
6421.000,10.8922,
6420.000,10.984,
6419.000,11.0804,
6418.000,11.1796,
6417.000,11.2793,
6416.000,11.3798,
6415.000,11.4817,
6414.000,11.584,
6413.000,11.6855,
6412.000,11.788,
6411.000,11.893,
6410.000,11.9982,
6409.000,12.0997,
6408.000,12.1962,
6407.000,12.2906,
6406.000,12.3862,
6405.000,12.4845,
6404.000,12.586,
6403.000,12.6901,
6402.000,12.7955,
6401.000,12.9001,
6400.000,13.0025,
6399.000,13.1013,
6398.000,13.1973,
6397.000,13.2935,
6396.000,13.3933,
6395.000,13.4963,
6394.000,13.5998,
6393.000,13.7021,
6392.000,13.8033,
6391.000,13.9028,
6390.000,14.0004,
6389.000,14.0988,
6388.000,14.2019,
6387.000,14.309,
6386.000,14.4146,
6385.000,14.5155,
6384.000,14.6124,
6383.000,14.7054,
6382.000,14.7914,
6381.000,14.8709,
6380.000,14.9501,
6379.000,15.0336,
6378.000,15.1193,
6377.000,15.2035,
6376.000,15.2872,
6375.000,15.3722,
6374.000,15.4562,
6373.000,15.5352,
6372.000,15.6089,
6371.000,15.68,
6370.000,15.7503,
6369.000,15.8204,
6368.000,15.8907,
6367.000,15.9593,
6366.000,16.0227,
6365.000,16.0813,
6364.000,16.1386,
6363.000,16.1959,
6362.000,16.2503,
6361.000,16.3003,
6360.000,16.3497,
6359.000,16.4005,
6358.000,16.4485,
6357.000,16.4891,
6356.000,16.5236,
6355.000,16.555,
6354.000,16.583,
6353.000,16.6069,
6352.000,16.6302,
6351.000,16.6562,
6350.000,16.682,
6349.000,16.7033,
6348.000,16.72,
6347.000,16.7349,
6346.000,16.7471,
6345.000,16.7537,
6344.000,16.7551,
6343.000,16.7539,
6342.000,16.7502,
6341.000,16.7422,
6340.000,16.7301,
6339.000,16.715,
6338.000,16.6967,
6337.000,16.6749,
6336.000,16.651,
6335.000,16.6259,
6334.000,16.5987,
6333.000,16.5688,
6332.000,16.5379,
6331.000,16.5061,
6330.000,16.4694,
6329.000,16.4253,
6328.000,16.3759,
6327.000,16.3236,
6326.000,16.2672,
6325.000,16.2057,
6324.000,16.1438,
6323.000,16.0866,
6322.000,16.0335,
6321.000,15.9804,
6320.000,15.9256,
6319.000,15.8695,
6318.000,15.8101,
6317.000,15.7444,
6316.000,15.6728,
6315.000,15.5989,
6314.000,15.5251,
6313.000,15.4513,
6312.000,15.3771,
6311.000,15.3014,
6310.000,15.2226,
6309.000,15.14,
6308.000,15.0558,
6307.000,14.9719,
6306.000,14.8882,
6305.000,14.8043,
6304.000,14.7214,
6303.000,14.64,
6302.000,14.5574,
6301.000,14.4713,
