Created as New Dataset,d2o 041 By Administrator Date Tuesday, December 14 2021
cm-1,%T
7000.00,4.49
6999.00,4.48
6998.00,4.47
6997.00,4.46
6996.00,4.46
6995.00,4.47
6994.00,4.47
6993.00,4.47
6992.00,4.46
6991.00,4.46
6990.00,4.46
6989.00,4.46
6988.00,4.45
6987.00,4.44
6986.00,4.43
6985.00,4.43
6984.00,4.44
6983.00,4.45
6982.00,4.45
6981.00,4.45
6980.00,4.45
6979.00,4.46
6978.00,4.47
6977.00,4.47
6976.00,4.47
6975.00,4.48
6974.00,4.49
6973.00,4.49
6972.00,4.48
6971.00,4.47
6970.00,4.46
6969.00,4.45
6968.00,4.45
6967.00,4.46
6966.00,4.46
6965.00,4.47
6964.00,4.48
6963.00,4.49
6962.00,4.50
6961.00,4.50
6960.00,4.50
6959.00,4.50
6958.00,4.51
6957.00,4.51
6956.00,4.52
6955.00,4.53
6954.00,4.54
6953.00,4.55
6952.00,4.56
6951.00,4.57
6950.00,4.57
6949.00,4.58
6948.00,4.58
6947.00,4.59
6946.00,4.60
6945.00,4.61
6944.00,4.61
6943.00,4.62
6942.00,4.63
6941.00,4.64
6940.00,4.65
6939.00,4.67
6938.00,4.68
6937.00,4.69
6936.00,4.71
6935.00,4.72
6934.00,4.73
6933.00,4.75
6932.00,4.76
6931.00,4.78
6930.00,4.80
6929.00,4.82
6928.00,4.84
6927.00,4.85
6926.00,4.87
6925.00,4.89
6924.00,4.91
6923.00,4.93
6922.00,4.94
6921.00,4.96
6920.00,4.99
6919.00,5.01
6918.00,5.03
6917.00,5.05
6916.00,5.07
6915.00,5.09
6914.00,5.11
6913.00,5.13
6912.00,5.15
6911.00,5.18
6910.00,5.20
6909.00,5.23
6908.00,5.25
6907.00,5.28
6906.00,5.30
6905.00,5.31
6904.00,5.33
6903.00,5.34
6902.00,5.37
6901.00,5.39
6900.00,5.42
6899.00,5.45
6898.00,5.48
6897.00,5.51
6896.00,5.54
6895.00,5.56
6894.00,5.59
6893.00,5.63
6892.00,5.66
6891.00,5.70
6890.00,5.73
6889.00,5.76
6888.00,5.79
6887.00,5.83
6886.00,5.86
6885.00,5.89
6884.00,5.92
6883.00,5.95
6882.00,5.99
6881.00,6.03
6880.00,6.07
6879.00,6.11
6878.00,6.15
6877.00,6.20
6876.00,6.24
6875.00,6.28
6874.00,6.31
6873.00,6.34
6872.00,6.36
6871.00,6.39
6870.00,6.42
6869.00,6.46
6868.00,6.50
6867.00,6.55
6866.00,6.59
6865.00,6.64
6864.00,6.68
6863.00,6.72
6862.00,6.76
6861.00,6.81
6860.00,6.85
6859.00,6.89
6858.00,6.94
6857.00,6.99
6856.00,7.05
6855.00,7.11
6854.00,7.16
6853.00,7.22
6852.00,7.27
6851.00,7.33
6850.00,7.38
6849.00,7.43
6848.00,7.48
6847.00,7.52
6846.00,7.57
6845.00,7.62
6844.00,7.68
6843.00,7.73
6842.00,7.79
6841.00,7.85
6840.00,7.91
6839.00,7.97
6838.00,8.02
6837.00,8.08
6836.00,8.13
6835.00,8.18
6834.00,8.24
6833.00,8.30
6832.00,8.36
6831.00,8.42
6830.00,8.48
6829.00,8.55
6828.00,8.61
6827.00,8.67
6826.00,8.72
6825.00,8.78
6824.00,8.85
6823.00,8.92
6822.00,8.99
6821.00,9.06
6820.00,9.11
6819.00,9.17
6818.00,9.24
6817.00,9.30
6816.00,9.35
6815.00,9.41
6814.00,9.47
6813.00,9.54
6812.00,9.62
6811.00,9.69
6810.00,9.77
6809.00,9.84
6808.00,9.90
6807.00,9.97
6806.00,10.04
6805.00,10.10
6804.00,10.17
6803.00,10.23
6802.00,10.30
6801.00,10.37
6800.00,10.43
6799.00,10.50
6798.00,10.57
6797.00,10.63
6796.00,10.70
6795.00,10.76
6794.00,10.83
6793.00,10.89
6792.00,10.96
6791.00,11.03
6790.00,11.09
6789.00,11.15
6788.00,11.21
6787.00,11.27
6786.00,11.33
6785.00,11.40
6784.00,11.46
6783.00,11.52
6782.00,11.58
6781.00,11.63
