,d2o 048 By Administrator Date Tuesday. December 14 2021,
Time,14:31:46,
Wavenumbers [1/cm],Transmittance %,
7000.000,10.9069,
6999.000,10.966,
6998.000,11.0184,
6997.000,11.0724,
6996.000,11.1304,
6995.000,11.1872,
6994.000,11.2377,
6993.000,11.2843,
6992.000,11.3342,
6991.000,11.3911,
6990.000,11.4506,
6989.000,11.5082,
6988.000,11.5654,
6987.000,11.6274,
6986.000,11.6953,
6985.000,11.7633,
6984.000,11.8248,
6983.000,11.8769,
6982.000,11.9208,
6981.000,11.959,
6980.000,11.9951,
6979.000,12.033,
6978.000,12.0761,
6977.000,12.1255,
6976.000,12.1792,
6975.000,12.2321,
6974.000,12.2802,
6973.000,12.3235,
6972.000,12.3653,
6971.000,12.4086,
6970.000,12.4533,
6969.000,12.498,
6968.000,12.542,
6967.000,12.5855,
6966.000,12.6282,
6965.000,12.6696,
6964.000,12.7094,
6963.000,12.7469,
6962.000,12.7808,
6961.000,12.8113,
6960.000,12.84,
6959.000,12.8685,
6958.000,12.8961,
6957.000,12.9215,
6956.000,12.9455,
6955.000,12.9703,
6954.000,12.998,
6953.000,13.0283,
6952.000,13.0578,
6951.000,13.0826,
6950.000,13.1019,
6949.000,13.1182,
6948.000,13.1322,
6947.000,13.1405,
6946.000,13.14,
6945.000,13.1344,
6944.000,13.1312,
6943.000,13.132,
6942.000,13.1322,
6941.000,13.1301,
6940.000,13.1307,
6939.000,13.1379,
6938.000,13.1471,
6937.000,13.1499,
6936.000,13.1429,
6935.000,13.1285,
6934.000,13.1114,
6933.000,13.0954,
6932.000,13.0824,
6931.000,13.071,
6930.000,13.0573,
6929.000,13.0391,
6928.000,13.0178,
6927.000,12.9946,
6926.000,12.9675,
6925.000,12.9345,
6924.000,12.8981,
6923.000,12.8627,
6922.000,12.8305,
6921.000,12.8012,
6920.000,12.7739,
6919.000,12.7467,
6918.000,12.7172,
6917.000,12.6846,
6916.000,12.6505,
6915.000,12.6158,
6914.000,12.5787,
6913.000,12.5377,
6912.000,12.4937,
6911.000,12.4481,
6910.000,12.4006,
6909.000,12.3522,
6908.000,12.306,
6907.000,12.2636,
6906.000,12.2229,
6905.000,12.182,
6904.000,12.142,
6903.000,12.1032,
6902.000,12.0616,
6901.000,12.0141,
6900.000,11.9628,
6899.000,11.9111,
6898.000,11.8571,
6897.000,11.7981,
6896.000,11.7373,
6895.000,11.6825,
6894.000,11.6355,
6893.000,11.5916,
6892.000,11.5463,
6891.000,11.5001,
6890.000,11.4538,
6889.000,11.4045,
6888.000,11.3487,
6887.000,11.2872,
6886.000,11.2245,
6885.000,11.1649,
6884.000,11.1113,
6883.000,11.0636,
6882.000,11.0187,
6881.000,10.9728,
6880.000,10.9245,
6879.000,10.8752,
6878.000,10.825,
6877.000,10.7727,
6876.000,10.7178,
6875.000,10.662,
6874.000,10.606,
6873.000,10.5484,
6872.000,10.4888,
6871.000,10.4305,
6870.000,10.3772,
6869.000,10.3285,
6868.000,10.2819,
6867.000,10.2367,
6866.000,10.1943,
6865.000,10.1523,
6864.000,10.1046,
6863.000,10.0479,
6862.000,9.98635,
6861.000,9.9266,
6860.000,9.86874,
6859.000,9.80838,
6858.000,9.74606,
6857.000,9.6888,
6856.000,9.64076,
6855.000,9.59754,
6854.000,9.55306,
6853.000,9.5079,
6852.000,9.46602,
6851.000,9.42604,
6850.000,9.38228,
6849.000,9.33354,
6848.000,9.28395,
6847.000,9.23483,
6846.000,9.18251,
6845.000,9.12606,
6844.000,9.07145,
6843.000,9.02387,
6842.000,8.98,
6841.000,8.93299,
6840.000,8.88268,
6839.000,8.83475,
6838.000,8.79085,
6837.000,8.74547,
6836.000,8.69359,
6835.000,8.63761,
6834.000,8.58417,
6833.000,8.5364,
6832.000,8.49194,
6831.000,8.44781,
6830.000,8.4043,
6829.000,8.36289,
6828.000,8.32252,
6827.000,8.27999,
6826.000,8.23412,
6825.000,8.18797,
6824.000,8.14583,
6823.000,8.10841,
6822.000,8.07225,
6821.000,8.03365,
6820.000,7.99221,
6819.000,7.94996,
6818.000,7.90758,
6817.000,7.86249,
6816.000,7.81142,
6815.000,7.75514,
6814.000,7.69988,
6813.000,7.65231,
6812.000,7.61289,
6811.000,7.57556,
6810.000,7.53508,
6809.000,7.49289,
6808.000,7.45415,
6807.000,7.4208,
6806.000,7.38979,
6805.000,7.35736,
6804.000,7.32238,
6803.000,7.28575,
6802.000,7.24845,
6801.000,7.21036,
6800.000,7.16993,
6799.000,7.12554,
6798.000,7.07867,
6797.000,7.03495,
6796.000,6.99944,
6795.000,6.97115,
6794.000,6.94412,
6793.000,6.91362,
6792.000,6.87944,
6791.000,6.84316,
6790.000,6.80501,
6789.000,6.76466,
6788.000,6.72291,
6787.000,6.68113,
6786.000,6.63999,
6785.000,6.59975,
6784.000,6.56096,
6783.000,6.52414,
6782.000,6.48945,
6781.000,6.45683,
6780.000,6.42594,
6779.000,6.39563,
6778.000,6.36463,
6777.000,6.33272,
6776.000,6.30063,
6775.000,6.26885,
6774.000,6.23722,
6773.000,6.20547,
6772.000,6.17306,
6771.000,6.139,
6770.000,6.10296,
6769.000,6.06637,
6768.000,6.03107,
6767.000,5.99727,
6766.000,5.96409,
6765.000,5.93169,
6764.000,5.90109,
6763.000,5.87193,
6762.000,5.842,
6761.000,5.80924,
6760.000,5.7731,
6759.000,5.73411,
6758.000,5.69371,
6757.000,5.65411,
6756.000,5.61732,
6755.000,5.58409,
6754.000,5.55464,
