Wavelength [nm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
190.000,3.175068,2.701502,2.439376,2.894722,2.903281,2.996776,3.273504,2.566397,2.490659,3.158074,3.260958,2.710799,2.872752,3.133106,3.148845,2.692935,3.23403,2.695728,2.620049,2.528088,2.745309,2.555385,2.876026,3.254652,3.233569,3.256425,2.782455,2.939402,2.682983,2.608057,3.217348,2.917449,3.186834,2.776998,2.619466,2.714262,2.583209,2.665154,2.621072,3.197249,3.187288,3.271255,2.925406,3.264207,2.81655,3.259745,3.289293,3.137417,3.187478,2.685358,3.228948,2.692205,3.191424,2.974601,2.982852,2.880061,2.767248,3.210633,2.589252,2.751951,2.953219,2.70763,2.797552,2.956237,3.284565,2.424633,2.955262,2.899451,3.261933,2.962563,2.367134,3.172606,2.701992,3.29635,3.179193,2.693197,2.612591,2.72463,3.328065,2.99902,3.245743,2.626687,3.230724,3.275107,3.254357,2.434496,3.294087,3.249692,3.232473,3.169785,2.961095,3.287413,2.88335,2.693187,2.893464,3.009091,2.591101,2.959648,2.945017,2.954319,3.227243,3.225352,2.850015,2.652811,2.675874,2.439899,3.23044,2.773961,2.530557,2.501813,3.300617,3.052538,2.78375,2.742484,2.742428,3.266002,2.736268,2.616695,3.247971,2.758947,2.707078,2.868411,2.611692,2.941119,2.236809,2.940951,3.197539,3.198999,2.939475,2.560494,2.744376,2.806965,2.95959,2.975797,3.287632,2.937637,3.277099,2.831345,2.669585,2.753188,2.455362,3.236309,2.711005,2.618331,3.006731,3.238774,3.300304,2.934288,2.800507,3.207959,3.014657,3.244434,2.8353,2.772467,3.184756,2.702435,3.280096,2.928092,2.751555,2.933277,3.280903,2.274284,3.220671,2.388361,3.19742,3.199574,3.182312,2.341236,3.215745,3.21578,2.640468,2.461267,2.926642,3.179815,3.212654,2.682214,3.221351,2.681436,3.28776,2.935642,2.907173,3.258774,3.149756,3.243309,3.271232,3.259083,2.922056,2.476461,3.208905,2.933195,2.805659,3.268193,3.222624,3.248472,3.271739,2.985628,2.670951,2.698952,2.491608,3.176364,3.260252,3.194046,3.256809,3.193044,2.407025,2.591383,3.238122,3.22905,2.978363,3.274559,2.432493,3.254574,3.271546,2.565479,3.233609,2.835775,2.948911,3.246797,2.837499,3.211434,2.792288,3.239581,3.264418,3.028989,2.8712,3.258708,2.644489,3.213763,3.31114,2.793594,2.588663,2.856804,2.590411,2.951008,2.738704,2.585407,3.230289,2.950331,2.940749,2.952464,2.456638,3.251655,3.239545,3.278096,2.628653,2.597819,2.833066,2.642521,3.277991,
191.000,2.712795,2.302205,2.62224,2.634498,2.548204,3.346801,3.340634,2.73624,2.781592,2.730932,3.327789,3.402678,3.27227,2.613343,2.604259,3.059492,3.336594,3.302592,3.123085,3.121038,2.746089,3.087405,2.626293,3.353769,2.650441,2.799625,2.850474,3.383555,3.325152,2.81617,2.796493,3.089877,2.608121,3.416209,3.349994,2.71632,3.087465,3.40606,2.893321,3.061039,2.755253,3.26528,2.897246,2.799034,3.395617,3.324646,2.892323,2.590986,2.901256,3.321385,2.970105,2.824991,2.733626,3.373472,3.28756,2.739421,2.875826,3.004243,2.55362,2.878531,3.377198,3.302854,3.024949,2.764317,2.945852,2.855505,3.381205,2.863061,2.989531,3.342987,2.835603,2.880464,3.287597,3.250816,2.655352,3.083708,3.368342,3.378452,3.245922,3.26247,3.268166,3.28665,2.970409,2.98202,3.266517,2.628761,3.239919,3.360396,3.35954,2.635741,3.366255,3.295546,2.916996,3.402235,2.789177,3.246949,3.099284,3.095255,2.955568,2.812587,2.559206,3.013471,3.241132,2.950139,3.049773,2.717614,2.78055,2.84079,2.790459,2.813892,2.95133,3.283885,3.267694,2.882595,2.593937,2.943482,2.579031,2.588895,3.001373,2.898226,3.007273,3.282385,3.007651,3.095662,3.463921,2.674883,2.48333,3.02301,3.39914,3.034214,3.095233,3.30186,3.396158,3.30131,3.28584,2.91756,3.261005,3.379986,3.007564,2.873156,2.978723,3.360466,3.401737,2.867666,3.348228,2.998254,3.263997,2.925609,3.310617,2.881579,3.245385,3.292738,3.31849,3.399364,2.669145,2.821798,3.298285,3.026631,3.273769,2.649528,3.041723,3.147289,2.809924,2.762301,2.44252,2.880859,2.825544,3.351882,2.990854,2.893029,3.124298,3.128786,3.027855,2.873589,2.964502,3.409843,3.066095,3.01846,3.276178,3.092594,3.08819,2.800386,2.792067,3.021085,3.288334,3.016611,2.804142,2.713814,2.884736,2.895878,3.082325,3.305562,2.874289,3.357501,3.316658,3.361026,2.816236,2.823671,3.408143,2.596968,3.352832,3.04162,3.347695,3.053726,2.851716,2.946133,3.041145,2.869567,3.357017,3.279533,2.522023,2.991566,3.354189,3.010253,3.049853,2.656553,3.38224,3.042078,3.384368,2.826555,2.883383,3.308872,3.260713,3.256934,2.941742,3.332268,2.801574,2.797695,3.209295,3.382791,3.303279,3.327287,2.732835,3.36393,2.652657,3.033893,3.350079,2.819484,2.901243,3.047372,3.415673,3.261459,3.336381,2.957617,3.302636,3.336661,3.314797,2.731451,3.303551,
192.000,3.173251,2.73452,3.356542,3.336329,2.758466,2.920625,3.319748,2.98434,3.152074,3.104586,3.394012,3.262865,2.789538,3.382139,3.402864,3.041776,3.386683,2.619254,3.322305,3.370378,2.887242,3.002223,2.98881,3.280504,2.743252,2.737972,2.718965,3.297456,2.685031,3.412793,2.649789,3.343106,2.921909,3.214662,3.055066,2.865,2.971533,3.304321,3.11661,3.366588,3.442671,2.908191,3.435037,2.936967,3.266238,2.925233,2.567722,3.481506,3.331003,2.903492,2.97621,3.362256,3.057193,3.306145,2.570152,2.692882,3.111537,3.125732,3.076852,3.11433,3.315251,2.755286,2.88107,3.449839,2.660733,3.315033,3.297965,3.141108,3.127344,2.978582,3.425406,3.443422,2.683159,2.736076,2.786847,3.408411,2.972833,3.354299,2.918746,2.813855,2.717731,2.698072,2.611173,3.142408,2.717731,3.079834,2.784625,3.257861,3.285198,2.822951,3.356539,3.025943,3.394114,3.282502,3.414924,2.71977,3.389751,3.26546,2.675307,2.815941,2.899284,3.063456,2.567233,3.292572,3.101095,3.018291,2.582654,2.780627,3.058729,2.995187,2.768426,2.858138,2.542698,3.103347,3.092458,2.698036,3.175064,2.889669,2.809919,3.019125,2.624249,2.943904,2.534145,3.283736,3.225646,2.525273,2.647532,3.053145,3.226464,2.608684,3.393662,2.582623,3.216957,2.66737,3.067592,3.323894,2.913058,3.31239,2.666634,3.13483,3.267883,3.27762,3.265632,2.949461,3.376181,3.1165,2.870763,3.290926,2.906869,3.39102,2.719504,2.8113,3.104991,3.295354,2.874629,3.367062,3.022992,2.853522,2.551687,3.095426,3.350858,3.329421,2.73862,2.772285,3.019685,3.405196,2.914472,2.906365,2.895029,3.328084,3.289954,3.29919,2.849735,2.98127,2.819177,3.259998,3.313901,2.757303,3.110191,3.309553,3.358681,2.733768,3.32059,3.001601,2.794893,3.0144,2.508569,3.054102,3.378478,3.432117,3.380416,3.004602,3.412477,3.279434,2.947536,3.345607,2.75867,3.358955,3.36758,2.994154,3.280147,2.977026,3.308933,3.406846,3.358924,3.389731,3.406538,3.41889,3.37517,2.832489,2.990342,2.841571,3.262637,2.712686,3.368626,3.320729,3.295884,3.392392,3.282261,2.871818,3.040855,3.025271,2.934432,2.801472,3.297764,3.37362,3.428772,2.999449,2.621186,3.352148,2.538815,3.039508,3.383941,3.376253,3.177952,2.929109,3.332881,2.988325,3.402768,3.006598,3.321613,2.74204,3.380658,2.968046,2.78036,2.864189,2.840089,2.988798,3.00213,
193.000,3.289085,3.415969,2.537852,2.415993,2.646623,2.617332,2.81069,3.348592,3.300027,3.087706,3.289124,2.798109,3.491435,3.157042,3.066183,2.891129,3.314578,3.007788,2.854095,3.438758,2.78367,2.839729,3.39792,2.613372,3.087355,2.533998,2.678171,2.871065,2.8996,3.396276,2.937093,3.093924,2.929631,2.49969,2.986237,3.377212,2.819096,3.105876,3.424503,3.024846,3.32725,3.503912,3.275024,3.079857,3.003736,2.629816,3.42171,3.216683,2.967577,3.459167,3.323629,3.117013,2.793601,3.144128,2.887808,2.552039,3.468894,3.377566,2.957386,3.458512,3.09292,3.103104,3.201093,3.273273,3.038505,2.621671,3.174365,3.345569,3.381454,2.685713,3.304789,3.26247,3.531505,2.964291,3.385706,3.293103,2.683679,3.415812,3.480093,3.382677,3.037841,3.461087,2.874991,3.321862,3.037841,3.197832,3.041784,2.582041,2.751766,2.654024,3.420901,2.900051,2.935994,2.918855,3.42026,3.40634,3.368991,2.784952,3.399183,3.070073,3.335204,3.157359,3.475508,2.567835,3.438041,2.512832,2.91003,3.206796,2.711059,2.825003,2.954015,3.206259,3.058124,2.992254,2.666373,3.160825,3.310765,2.53918,2.764788,2.866796,2.753172,3.306787,2.681774,2.86448,2.484235,2.747583,2.963085,2.888043,2.468764,2.542263,3.357274,2.810416,2.736168,2.853248,3.009411,2.58936,3.492255,3.097548,3.230253,3.362912,2.789566,2.785555,2.999897,3.452283,3.345232,3.428528,3.179312,2.606328,3.455617,2.998415,3.416281,2.917224,3.297567,2.858658,3.390662,3.093691,3.216532,2.647109,3.002583,3.160892,3.119448,3.081373,2.774181,2.952763,3.373912,3.443526,3.165997,3.400171,2.876351,2.988486,2.793906,2.949022,3.0486,2.667161,3.00181,2.802522,2.972312,3.228423,3.328245,2.956842,3.02157,2.811887,2.544878,2.50951,2.58574,2.868974,2.758529,2.761042,3.049345,3.290491,3.434659,2.995386,3.415825,2.772113,2.629298,2.966434,3.409509,2.828233,3.314289,3.408026,2.995988,2.72658,3.165822,3.351654,3.093527,3.438457,3.363266,3.396892,3.344376,3.042728,3.410635,2.754158,2.869118,3.514528,3.017031,2.716671,2.879976,3.432437,2.943479,2.682895,2.993899,3.193297,3.384134,3.447427,2.861574,3.38626,3.330478,3.296591,3.054215,3.420778,2.817194,2.785223,3.054456,3.326981,3.269135,3.470008,3.045933,3.323452,3.42625,2.698716,3.008623,2.921725,3.346346,3.381122,3.494555,3.104388,2.956129,3.333286,3.010288,
194.000,2.910416,2.774507,2.67612,2.559228,2.814929,3.509199,2.638899,2.754671,2.711871,2.855492,2.852996,3.218342,3.356719,3.267078,3.105053,3.068469,2.748043,3.105866,3.095153,3.287177,2.867835,3.139615,3.066518,2.75647,3.029721,2.623905,3.261161,2.831608,3.049162,3.42856,3.402387,3.056637,2.923839,3.022772,2.711399,2.683871,3.399411,3.05003,3.455028,3.024689,3.164338,3.23873,2.69067,2.75295,3.35432,3.45012,2.875427,2.748433,3.439422,3.440167,2.879971,3.471418,2.960554,3.421576,3.312759,3.112348,3.266143,3.114199,3.044397,3.309362,3.097273,3.011333,3.354282,2.680195,3.468365,2.988478,3.295161,2.923559,3.101247,2.73187,2.962605,2.907772,3.23349,2.915199,2.680703,2.818758,2.753819,3.417149,3.338869,2.949859,3.464209,2.994213,3.32018,2.637728,3.463954,3.244761,2.588899,3.130905,3.077942,3.337672,3.387235,2.829816,2.725027,3.176326,3.319131,2.893254,3.038932,3.402638,2.925891,2.682409,2.663334,3.456059,2.988224,2.928318,3.41916,3.015926,3.005509,3.364307,2.791649,3.341991,2.696095,3.363292,3.470543,2.746046,2.475082,3.066387,2.633949,2.681577,3.389652,3.537146,2.991091,2.681735,3.034153,3.43376,2.777057,2.810886,2.902404,2.665409,2.750296,2.672841,3.082006,3.099498,3.347293,3.413601,2.491508,2.587286,3.286218,3.081488,3.336687,3.16919,3.378528,2.935955,3.378197,3.413043,2.849274,3.443452,3.473448,2.983223,3.452891,2.71558,3.167825,3.445436,2.64783,2.710429,2.841777,3.027355,3.238592,2.570854,3.162451,3.397328,3.483208,3.128541,3.142853,3.229697,3.14418,3.228377,3.473682,2.842524,2.792426,3.350627,3.196094,3.022661,3.335209,3.452946,2.620496,2.882374,3.438468,3.300464,2.644101,3.512253,2.645387,3.522268,2.990042,2.742216,3.0742,3.536623,2.782749,3.104545,2.896735,2.795761,3.298361,3.508553,3.344092,2.767251,3.127118,2.774042,3.151032,2.942459,2.995546,3.015972,3.377642,3.474205,3.31945,3.0918,3.0375,3.262265,3.045661,3.424861,3.169367,3.385591,3.012259,2.875267,3.437815,3.268993,2.655543,3.091103,2.790073,3.29683,3.068324,2.757273,3.474979,3.331345,2.884282,2.994668,3.423733,2.984848,2.846583,2.426884,2.737176,3.391308,2.7615,2.612049,3.185757,2.925097,2.821469,3.363326,2.744939,2.86992,3.306159,2.815464,2.752178,2.870761,3.154496,3.17684,3.348917,2.725883,2.907676,2.50136,3.44559,
195.000,3.379962,2.790766,3.423995,3.252283,2.981559,2.922143,2.972641,2.710141,2.971066,2.908129,3.081805,3.491486,3.116757,2.710876,2.735321,3.383226,2.966547,2.932852,3.309224,2.749936,3.253395,3.233507,2.932724,3.153567,3.42666,2.728754,3.333543,3.063181,2.679138,3.466482,2.871708,2.741027,2.862742,2.911267,3.439149,2.616102,2.968154,2.76507,3.31368,3.526674,3.466854,2.742561,3.096406,2.849227,2.67508,3.166861,3.020836,3.450018,3.073635,3.335569,3.477017,3.42308,2.784972,3.054847,2.716444,2.738219,2.808539,3.068453,2.705869,3.034916,2.977805,3.502019,2.728241,2.727605,3.422039,3.410429,2.844033,3.224505,3.124079,2.623428,3.100239,3.42565,2.610768,3.096037,2.847804,3.237569,3.092197,3.495982,3.204622,3.067054,3.441514,2.955377,2.84137,3.038177,3.441974,2.66278,3.024422,3.287472,3.432137,2.338775,3.062068,3.031072,3.432996,3.052358,3.038446,2.964729,2.864619,2.997709,3.15087,2.775458,2.90561,3.440413,2.783333,3.133694,3.458138,3.322836,2.441411,2.904938,3.50582,2.809376,2.514935,2.678574,3.391277,3.555063,2.975451,2.79367,2.74066,3.563818,2.789103,3.241767,2.872577,3.091244,3.049941,3.15246,3.130554,2.748967,2.917756,2.397513,3.000972,2.914992,2.913822,2.828405,2.690989,3.192469,3.02985,3.09323,2.864902,3.047087,3.005146,3.402987,2.870924,2.907313,2.990008,3.470945,2.674295,3.360072,3.33338,3.037835,3.288562,3.123315,3.343601,3.031389,3.258629,2.652046,2.973349,2.874037,2.666018,2.863841,3.015529,3.13815,3.363694,2.852622,3.231818,3.330336,3.49822,2.624804,3.352084,2.787067,3.141638,2.889293,3.035059,2.693784,2.888949,3.147359,3.576541,2.806077,3.069359,2.935987,2.825153,3.319339,2.857081,3.307158,3.439306,3.253445,3.496382,3.240168,2.862886,3.305025,2.6188,2.779692,2.704022,3.292017,2.928383,2.416205,2.826214,3.460153,3.428477,3.505294,3.506327,2.729567,2.993484,3.016182,2.593687,2.874412,2.835279,2.860081,3.067559,3.477263,3.422801,2.89922,2.932486,2.828399,3.119616,2.590256,2.690304,2.522871,3.00426,2.892236,2.762166,2.839432,3.445142,2.654518,3.027283,2.787829,2.868998,2.898733,2.843222,2.702148,3.520419,3.045234,2.957521,3.366293,3.511639,2.91535,3.39829,3.112457,2.659347,3.528967,2.85534,2.639695,3.285204,3.152479,3.488666,3.344921,3.147593,2.574413,2.908398,2.652852,2.992466,
196.000,2.673828,3.376655,2.736243,3.538134,3.408914,2.841024,3.136429,2.677211,3.140928,3.353588,3.025387,3.317548,3.183901,3.424608,2.870467,2.728282,3.566652,3.062915,2.560894,3.262437,3.389723,3.312559,3.124306,2.938271,3.163661,2.73765,3.073693,3.554813,3.009109,3.362257,3.168778,3.057341,3.322512,3.169232,2.926252,3.039415,3.060185,3.307348,3.111662,3.288628,3.511904,3.598132,3.524392,3.092587,2.933931,3.424051,3.178596,2.878341,3.292595,2.765714,3.032985,3.517903,3.05132,3.050016,3.627362,3.356203,3.608446,2.747983,3.247232,3.454153,3.211677,3.416492,2.923678,2.76409,3.519837,3.224916,3.395226,3.529244,3.29293,2.839666,3.129988,2.897562,3.343902,3.360782,3.435922,3.525213,3.451535,3.227834,3.37943,2.858235,3.427388,3.489702,3.374107,3.300968,3.426506,3.429449,2.941267,2.751492,3.077137,2.877275,3.057966,3.108231,2.945231,2.939119,3.427794,3.078723,3.279032,3.521902,3.276251,2.873484,2.957337,3.446387,3.295182,3.283763,3.414105,2.814258,2.977748,2.809418,3.501679,3.508168,3.241014,2.461771,3.057881,3.318306,2.768412,2.788787,2.762309,3.283114,3.018966,2.911081,2.540604,2.595978,3.022066,3.522533,2.777425,3.154242,3.085254,2.580905,3.336066,2.627995,2.94299,3.01576,3.104649,3.345093,3.402083,3.541145,3.134541,3.506706,3.563505,3.215014,3.598877,3.087198,3.580281,3.361836,3.185148,3.251516,2.984784,3.561483,2.980197,3.356805,2.69938,3.128726,3.52651,2.889801,3.494318,3.411868,3.409458,3.148219,2.93611,3.034644,3.179961,2.98419,3.318053,2.881803,3.385599,3.629091,3.252865,2.998397,2.75911,3.546939,3.000964,3.628087,3.565453,3.522609,3.296743,3.456126,2.95708,3.380183,3.290332,3.010065,3.384612,2.799088,3.083689,3.429743,3.368662,2.912896,3.586131,2.866218,2.790108,2.863293,3.11255,2.890368,3.322967,3.018882,2.990801,3.144653,3.104703,3.431581,3.423116,3.173519,3.56623,2.918009,2.822407,2.926682,3.588783,3.370826,3.449248,3.308769,3.112198,3.05202,3.584504,3.358528,3.072774,2.905188,3.276501,2.979595,3.335373,3.597945,2.939577,3.158798,3.400319,2.578753,3.133138,3.269426,3.160414,3.339783,3.0809,2.780956,3.495564,2.884202,2.887064,2.867883,3.264875,3.026966,2.638855,3.199102,3.009393,3.399226,3.164367,3.066823,3.315703,3.259617,3.413322,2.878131,3.039729,3.184194,3.115013,3.107562,2.871943,
197.000,2.792428,2.741167,2.67993,3.19433,2.683604,3.28143,3.300939,2.812811,3.280188,2.463414,3.257702,2.601885,3.101401,2.605605,3.489926,2.946033,3.24213,3.058075,2.786187,2.969615,3.238164,2.612704,3.403811,2.810856,2.990468,3.044037,3.408303,3.249773,2.809402,2.898936,3.275456,2.822988,3.248312,3.224296,2.949795,2.944283,2.749914,3.373312,3.261387,2.695674,3.214097,3.280556,3.346939,2.632243,2.944069,2.819614,3.148812,2.695966,3.284144,2.670376,2.684704,3.243677,3.331188,3.052627,3.183854,3.192934,3.197367,2.870205,3.047162,2.751487,3.04298,2.981512,3.583481,2.924659,3.235166,3.344164,2.659088,3.276433,3.225502,3.037302,3.275437,2.832031,3.327002,2.838692,2.635312,3.267963,3.058369,2.581022,2.717448,3.63241,3.004488,2.987316,2.76099,2.371768,3.009564,3.076814,2.666281,3.055889,2.992158,3.091512,3.01408,2.819763,2.86674,3.049345,2.858288,3.574588,3.435951,3.478641,3.275661,2.836981,2.666968,2.919004,3.41945,3.249452,3.052827,3.054878,3.246249,2.895476,3.211327,3.01594,3.171309,2.865587,2.669618,2.726695,2.793866,3.129375,2.838373,2.514097,2.733187,3.344644,2.604211,2.728364,3.306354,3.37647,2.859472,3.374896,2.795304,3.088576,2.482455,2.706179,3.10198,2.959011,2.454776,2.888856,2.91657,3.267159,2.635237,3.485586,3.292656,3.412014,3.209425,2.621955,3.221041,3.269302,3.269906,3.288859,2.821456,3.24681,3.376449,2.816968,2.930398,3.360643,3.241739,3.098588,2.942131,2.747323,2.903083,3.307303,3.340631,2.752817,2.981204,3.224092,2.589011,3.144155,3.125964,3.213392,3.294894,2.772015,2.9349,3.426029,3.419229,3.17026,3.345074,3.391587,2.600487,2.8462,2.833664,2.877719,3.386471,3.086248,3.1094,2.712996,3.321843,3.051848,2.836439,3.334228,3.236458,3.467913,2.905572,3.463062,2.977936,3.145949,3.235588,3.306328,2.810545,3.024231,2.882117,3.530609,2.943679,3.314318,3.282813,2.824733,2.848724,3.454826,3.247016,2.953625,3.093918,2.665113,2.856145,3.141192,3.21032,2.802183,2.97737,3.116426,3.523696,3.436717,2.988029,3.195458,2.557873,3.289176,2.750772,2.954754,2.975853,3.526513,3.309373,2.540798,2.549511,2.902767,3.233008,2.937173,2.939829,3.386566,2.512416,3.350577,2.764946,3.038485,2.794188,3.023522,2.97504,3.341448,2.900884,3.340612,3.00775,3.138813,2.723004,3.337815,2.672497,2.820873,3.036386,
198.000,2.800413,3.396385,2.657022,2.714289,2.613665,2.355247,2.916075,2.861743,2.561088,2.494636,2.739301,2.592525,2.823773,2.786033,3.084527,3.601461,2.57806,2.873924,2.732384,2.676707,3.399668,2.70968,2.934886,2.603473,2.828275,2.934889,2.717973,2.70815,2.836465,2.748258,2.55005,2.584594,2.847381,2.782913,2.635533,2.690003,3.276052,2.939283,2.679011,2.855682,2.436819,2.516855,2.939039,3.114454,2.765153,3.041617,2.87826,2.935904,2.720433,2.985901,2.7416,2.780668,2.820045,2.596916,2.787137,2.788636,2.60303,2.585303,2.785701,2.867893,2.677403,2.48213,3.28883,2.519502,2.543968,2.691064,2.722051,2.996786,2.598728,2.771633,2.862968,2.690063,2.835852,3.000239,2.603059,2.818955,3.122772,2.817475,2.731184,3.133505,2.597835,2.740127,2.937729,2.607379,2.720861,3.367342,2.859038,2.673701,3.000569,2.63337,2.525162,2.755607,2.419899,2.558332,2.681363,3.239687,3.067948,3.388558,2.77024,2.642795,2.488356,2.541575,3.122514,2.617401,3.184485,2.637969,3.567716,3.085149,2.378074,2.762244,3.091768,2.770036,2.44912,2.422481,2.647704,3.560028,3.440486,2.627116,2.866958,2.70692,2.473405,2.379559,2.412219,2.813982,3.297666,3.035174,2.972205,3.197652,3.002064,2.644862,2.748563,2.868516,2.549604,3.171246,2.828638,2.642871,2.616933,3.364649,3.152213,3.255238,2.569961,2.642082,2.666239,3.293447,2.547855,2.474365,2.772229,2.576234,2.694073,3.094307,3.021419,2.871178,2.769215,2.781923,2.796183,2.866418,3.02885,2.561121,2.549284,2.905125,2.434474,2.68718,2.662937,2.850888,2.891436,2.634129,2.569597,2.700311,3.615119,2.952368,2.964626,2.71721,2.910901,3.131404,2.621537,2.703737,2.793859,3.17394,3.277634,3.027118,3.269868,2.635578,3.250829,2.701645,3.030225,2.379032,2.90944,2.851546,2.859172,2.823365,2.282669,2.626312,2.764253,2.601673,2.853237,2.838256,2.676088,3.252065,2.538648,3.011359,2.712973,2.7824,2.773516,2.837956,2.675382,3.486018,2.958469,2.532373,2.925258,2.725248,2.576205,3.148352,3.595407,3.164033,3.325622,2.855896,3.372778,2.519439,2.756529,2.62331,2.485602,3.301659,2.734748,3.312931,2.673225,2.726566,3.020036,3.405307,2.705569,2.53542,2.668159,2.568018,2.568934,2.748459,2.853657,2.70564,2.733447,2.533774,2.97626,2.966208,3.141092,2.667334,2.745364,2.661934,2.769758,2.893691,2.852339,2.832113,2.786733,
199.000,2.721296,3.219815,2.8983,3.692322,2.929403,2.757279,3.461106,3.018605,3.234428,2.724887,3.489092,2.667185,2.638996,2.900302,3.00926,3.269314,2.931483,3.127007,2.936046,2.911775,2.677701,2.814766,2.809503,3.065495,3.500117,2.631341,3.087091,3.083951,2.786995,2.751906,2.765509,3.437604,3.515278,3.31538,3.084155,2.686636,3.056303,2.822047,3.084877,3.084711,2.796426,2.867255,2.633229,3.386231,2.791733,3.229597,2.696945,3.452898,2.984348,3.55098,3.018354,3.150299,3.189147,2.592603,3.60347,3.327065,2.832339,2.572767,2.876942,3.278945,2.837629,3.105711,2.919282,2.543075,2.671721,2.701515,2.723872,3.514906,2.891929,3.020055,3.40008,2.913445,2.827479,3.204441,2.94579,2.876098,3.580593,2.62925,3.075009,2.597768,2.800886,2.82263,2.858737,2.761848,2.891695,2.722974,3.580448,3.222953,2.788695,2.984697,2.850189,2.759092,2.757227,2.862414,2.629736,2.605791,2.883415,2.855005,3.160883,2.950611,2.747522,3.032876,2.916438,2.989946,3.27635,2.992569,3.228134,2.729351,2.914816,2.624767,3.23768,2.307313,2.483535,2.91842,3.136264,3.332892,2.71594,3.315284,3.493601,2.969973,2.472343,2.895652,2.701775,2.325047,3.557265,3.043347,2.649876,3.149698,3.338232,3.39574,2.768657,2.688488,3.174707,3.068834,2.767437,2.694625,2.923934,2.68122,3.274256,3.393041,2.756299,2.55937,3.039073,2.744394,2.606427,2.652155,3.428754,3.154303,3.045218,3.188034,2.984656,3.325151,3.212358,2.823904,3.028248,3.010624,2.887364,3.154738,2.948487,2.585339,3.182306,3.367605,2.496216,3.140097,3.005799,2.906514,2.718342,2.868759,3.216057,2.885399,3.338175,3.695856,2.774021,2.911931,3.047652,2.875997,3.24769,3.067157,3.323415,3.468002,2.566069,3.243793,2.893582,3.058756,3.270498,2.965532,3.576977,2.908867,3.656527,2.576002,2.917031,2.958364,3.640164,2.945035,2.991457,3.010886,3.198864,2.608049,2.902564,3.38852,2.840233,3.377526,2.805933,2.989416,2.739461,2.760424,2.944911,2.954964,3.406711,2.905296,2.944256,2.957164,3.294758,3.301082,2.822801,2.737339,2.760744,3.015897,3.033134,2.872031,2.832768,2.581333,2.732888,2.650833,2.66834,2.968699,3.501034,2.848026,3.242772,2.591627,2.748043,3.086718,2.84432,2.814111,2.874964,2.707566,2.95944,2.582316,3.202204,3.586078,2.924418,2.823015,3.077981,2.667572,2.857312,3.238892,3.187761,2.783594,3.641516,
