,d2o 061 By Administrator Date Tuesday. December 14 2021,
Time,16:57:50,
Wavenumbers [1/cm],Transmittance %,
7000.000,7.44354,
6999.000,7.39361,
6998.000,7.35648,
6997.000,7.32421,
6996.000,7.2877,
6995.000,7.24695,
6994.000,7.20862,
6993.000,7.17535,
6992.000,7.14132,
6991.000,7.09968,
6990.000,7.05207,
6989.000,7.00749,
6988.000,6.97177,
6987.000,6.94046,
6986.000,6.90403,
6985.000,6.85939,
6984.000,6.81262,
6983.000,6.76902,
6982.000,6.72628,
6981.000,6.68088,
6980.000,6.63577,
6979.000,6.59684,
6978.000,6.56408,
6977.000,6.53195,
6976.000,6.49817,
6975.000,6.46555,
6974.000,6.43503,
6973.000,6.40323,
6972.000,6.36779,
6971.000,6.33064,
6970.000,6.29396,
6969.000,6.25706,
6968.000,6.21966,
6967.000,6.18359,
6966.000,6.14912,
6965.000,6.11315,
6964.000,6.07389,
6963.000,6.03443,
6962.000,5.99828,
6961.000,5.96361,
6960.000,5.92571,
6959.000,5.884,
6958.000,5.84312,
6957.000,5.80769,
6956.000,5.77799,
6955.000,5.75092,
6954.000,5.72346,
6953.000,5.69484,
6952.000,5.6659,
6951.000,5.63728,
6950.000,5.60862,
6949.000,5.57985,
6948.000,5.55237,
6947.000,5.52728,
6946.000,5.50274,
6945.000,5.47552,
6944.000,5.44487,
6943.000,5.41281,
6942.000,5.38061,
6941.000,5.34759,
6940.000,5.31397,
6939.000,5.28223,
6938.000,5.25389,
6937.000,5.22729,
6936.000,5.2005,
6935.000,5.17408,
6934.000,5.1493,
6933.000,5.12556,
6932.000,5.10146,
6931.000,5.07672,
6930.000,5.05075,
6929.000,5.02086,
6928.000,4.98572,
6927.000,4.94974,
6926.000,4.92065,
6925.000,4.90185,
6924.000,4.8887,
6923.000,4.87323,
6922.000,4.85125,
6921.000,4.82391,
6920.000,4.79407,
6919.000,4.76276,
6918.000,4.72938,
6917.000,4.69495,
6916.000,4.66415,
6915.000,4.64271,
6914.000,4.63127,
6913.000,4.62292,
