Wavelength [nm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
190.000,3.260349,2.738138,2.992594,2.797575,2.773517,2.874975,2.754285,3.157569,3.231513,2.72035,2.892322,3.237495,3.150528,3.28009,3.180648,2.926846,2.948015,3.001617,3.238523,2.716659,2.981799,2.731134,3.229023,2.995649,2.865431,3.2349,2.98099,2.929645,3.02951,2.619144,2.327063,3.190598,2.909711,2.821527,2.403125,3.152592,2.707025,3.274848,2.625548,2.544099,2.495295,2.971585,2.677692,3.201595,3.129552,2.57118,2.377167,2.707965,3.212242,2.67455,2.907916,2.741642,2.435539,3.183747,3.160834,3.219458,2.687513,2.955207,2.603883,2.447987,2.927985,2.87941,2.937388,2.840735,2.611893,2.721028,2.396256,2.691642,3.221926,2.563332,2.599674,2.827166,3.206675,2.992703,2.956766,3.248594,2.748007,2.952476,2.5319,3.230057,2.715958,3.015044,2.995424,2.678103,2.735832,2.531235,2.762616,3.230667,3.22392,3.014754,3.184001,2.636426,2.785127,2.848679,3.26744,2.728951,2.816823,2.774966,2.705184,2.886407,2.409331,3.201574,2.909733,2.669427,3.282889,3.256087,2.527512,2.527127,2.68159,3.185848,3.153579,2.860646,2.742742,2.529976,3.207819,2.51636,2.788622,3.188186,2.994023,2.564216,3.329603,2.905951,3.291386,3.328581,3.275906,3.26082,2.691676,2.924643,2.587368,3.234292,2.748982,2.951021,2.535877,2.510259,3.175151,2.484292,2.603989,3.218341,2.575766,2.991651,3.211304,2.738306,2.940581,3.188852,3.188828,2.942207,2.76023,3.266496,2.710402,2.775637,2.705238,2.579847,3.236472,2.933653,3.24892,2.970479,2.740848,2.578181,2.606604,2.473678,3.216303,3.185528,3.29177,3.035464,2.844964,2.922614,3.262181,2.850904,2.972834,2.921175,2.422659,3.230574,3.325273,2.699925,3.302671,2.957172,2.553165,2.934892,3.210944,3.211438,3.008016,3.021743,2.998237,3.266336,3.307182,2.802993,2.643629,3.217743,2.806345,2.977643,3.26612,2.689785,2.858554,2.645509,3.251461,3.284433,2.560723,2.675435,2.441928,3.202335,2.288692,2.915441,3.04651,2.849123,3.319975,3.23535,2.699054,2.781124,2.827549,2.977149,3.300013,2.640746,2.39241,2.429691,2.595768,2.629084,2.925281,3.238814,2.599405,3.248515,
191.000,3.308045,2.863749,3.292924,3.317554,3.418421,2.939964,3.025891,2.909931,3.374358,2.911938,2.854844,2.998303,2.556365,3.3392,3.073552,3.101201,3.065792,3.386179,3.018611,2.731457,3.345153,2.837801,3.008715,3.318556,2.775689,2.993631,3.34221,3.070416,3.293037,2.819624,3.119298,2.765693,2.764143,3.352919,2.941001,2.615678,2.69124,3.36059,2.91002,2.85845,3.443091,3.383754,3.114394,3.080559,2.508542,2.561178,3.433179,3.400273,3.020274,3.416579,2.618303,2.850592,3.073393,3.082133,2.905172,2.89466,3.417645,3.086965,3.124297,2.979058,3.108159,2.666374,2.762028,3.289739,2.862737,2.843715,3.120535,3.401451,2.775161,3.401524,2.51204,3.387601,2.751038,3.277007,3.08951,3.361692,3.047639,3.395465,2.836458,3.361965,3.401935,3.260131,3.371492,3.412127,3.085238,3.427586,2.945932,3.028699,2.995611,3.336772,3.082474,2.94743,3.368266,2.576987,2.98909,3.385924,3.394708,2.739239,2.681561,2.624167,2.727075,2.843104,2.721495,3.081924,3.291656,3.237522,2.929121,3.103413,2.572068,3.067934,2.780054,3.345593,2.883317,3.148919,3.039289,2.77798,3.052748,3.073218,3.377169,3.437304,3.243624,2.696748,3.260645,3.235877,3.35557,3.055845,3.371804,3.04531,3.428389,3.323171,2.741303,3.349951,3.077125,3.328428,2.777178,2.763938,3.291624,3.076138,3.381608,3.38232,3.071205,3.135838,2.827575,3.041233,3.076541,3.358822,2.759707,2.987068,3.404178,2.892065,2.757264,2.681348,3.334997,2.872171,3.283691,3.318957,2.951558,3.375198,3.408394,2.859738,3.374854,3.091136,3.295679,3.300597,3.286112,2.858189,2.995901,3.281088,3.08599,2.973691,2.985082,3.360809,3.242908,3.372244,3.32057,3.338114,3.142897,2.820682,2.634474,3.080828,3.254584,3.32117,3.297297,3.361357,3.342826,3.304564,3.429082,2.894655,3.405277,3.040914,3.364952,3.363508,3.303813,3.417917,2.992527,3.346012,3.006657,3.409421,2.71046,2.67293,2.843283,3.013973,3.295705,2.53667,2.90166,3.312907,3.334958,3.350999,3.402286,3.388525,3.274713,2.761891,2.738188,2.947226,2.971559,2.74188,2.983807,3.31387,3.361684,3.359236,
192.000,2.978954,2.69802,2.661714,2.853549,3.192914,3.282789,2.711093,3.304009,3.199714,2.978443,2.683233,2.811895,3.306187,3.300327,3.306539,3.257822,3.394557,3.192922,3.000363,3.313284,2.925254,2.538214,2.778871,3.023789,3.008207,2.838663,2.93575,3.397317,2.615685,2.55659,2.960373,3.374691,3.00972,2.94688,3.432989,2.715762,3.024572,3.210598,3.00575,2.501928,3.191189,3.239197,3.273632,3.254385,3.069616,2.701702,3.278241,3.252435,3.028163,3.223347,2.610755,2.596229,2.80363,3.266649,3.321699,3.294293,3.201934,3.28936,3.240878,3.256438,3.22289,3.063108,2.981019,2.574676,2.601565,2.647301,2.917092,3.26983,2.4866,3.352295,2.75595,3.263672,3.4199,2.932998,3.273427,3.234956,2.81741,3.214529,3.316308,3.258732,3.236609,2.784849,3.265971,3.235094,2.947449,3.209315,3.256278,2.967298,2.843154,2.914208,3.26298,3.309871,2.919989,2.877451,2.818539,3.292484,3.245261,2.665453,2.795264,3.376925,2.735361,2.793947,3.264441,2.944252,3.025241,2.343508,2.969592,2.945388,2.769072,3.325712,3.352176,2.929576,2.798878,3.225304,2.946108,2.833482,3.030493,3.303597,3.243333,3.191549,2.710427,3.378021,2.679306,2.744834,3.230837,3.288037,2.924112,3.034255,3.201924,2.944717,2.692899,2.935175,2.998532,2.570422,3.336124,2.876134,2.360052,3.245534,2.945567,3.22432,3.278237,3.197094,2.746148,2.959456,3.283118,2.907917,3.070535,2.825602,3.234707,3.002283,3.150307,3.264199,2.888774,3.040684,2.825127,2.776652,3.254091,2.974188,3.268902,3.284536,3.212954,3.220088,3.000803,3.057308,2.58635,2.830281,2.794789,2.596111,3.268696,2.396172,3.263886,3.259538,2.559244,2.912599,3.359029,2.983296,3.220141,2.783149,3.034364,3.235878,2.338272,2.984912,2.638296,3.215744,3.246592,2.555184,3.201136,3.303584,3.206341,2.98706,3.199756,2.959476,2.644431,3.252483,3.104795,3.25903,2.711107,3.255636,3.225579,2.663586,3.390364,2.548794,2.590304,3.282911,2.316519,2.990056,3.083427,3.004895,3.199092,3.213762,2.803815,2.82994,2.963975,2.941485,3.247924,2.737633,2.441308,2.981048,2.72395,3.243411,
193.000,2.570591,2.735516,2.607705,3.157227,2.677618,2.742948,2.599096,2.678534,2.601325,2.497677,2.706378,2.733994,2.701432,2.883204,2.97213,2.651297,3.362202,2.530523,2.602971,2.855143,2.667456,2.864263,2.575651,2.847938,2.53705,2.60262,2.618754,3.345837,2.375031,3.162897,2.45605,2.797021,2.657154,2.545927,3.194415,2.353464,2.605362,2.477713,2.582175,2.490268,2.648359,2.74163,2.687718,2.697036,2.813861,2.938671,2.865554,2.522409,2.602321,2.647305,2.642908,2.793345,2.551908,2.524484,2.760598,2.390314,2.630367,2.81214,2.47954,2.465468,2.365985,2.750295,2.588338,2.838956,2.542654,2.857944,2.298678,2.730162,2.629583,3.365541,2.921173,2.786706,3.41304,3.338614,2.888791,2.797881,2.634034,2.597449,2.774654,2.678998,2.728899,3.499143,2.791778,2.591371,2.666783,2.584436,2.610717,2.450576,2.887148,2.635457,2.655231,2.973134,2.564209,2.723814,2.4909,2.855182,2.70153,2.579193,2.278217,2.620438,3.506381,2.500377,2.586437,2.581319,2.876788,2.371013,2.521563,2.547087,2.673822,2.883237,2.675486,2.639942,2.690598,2.632199,2.327533,2.555815,2.92985,2.984891,2.727512,2.656934,2.848826,3.101556,2.822019,2.904638,2.690985,2.698369,2.538778,2.917744,2.514888,2.721376,2.706308,2.613065,2.832318,2.972237,2.757266,2.781853,2.788101,2.531477,2.770745,2.68542,2.589873,2.519515,3.063598,2.66823,2.698575,2.637369,2.876028,2.555754,2.736414,2.618196,3.313053,2.411417,2.460968,2.979667,3.045724,2.851222,2.616322,3.021791,2.943882,2.742569,2.375461,2.54982,2.776096,3.008241,2.949011,2.819839,2.595869,2.905043,2.753747,2.58199,2.771984,2.678308,2.453118,2.692131,3.441534,2.643308,2.662981,2.892299,2.514746,2.272916,2.639981,3.035677,2.719277,2.37714,2.625631,2.562557,2.737862,2.858856,2.631675,2.420946,2.37243,2.725936,2.792249,2.638274,3.464586,2.697042,3.499525,2.799337,2.321902,2.908324,3.433015,2.504166,2.48977,2.581772,2.702269,2.810176,3.351855,3.204215,2.568659,2.723418,2.777254,2.59723,2.627009,2.466117,2.618533,2.902516,2.719936,2.688774,2.6173,2.624571,
194.000,2.886386,3.533388,2.792631,3.016287,3.320757,3.532794,2.875917,3.257046,3.413598,2.854663,3.400879,3.495672,3.359385,2.966585,3.415281,3.105003,3.032437,3.527943,2.714105,3.401852,3.489105,3.365868,3.499091,2.715469,3.10989,2.793066,3.152997,3.101668,3.30033,3.097737,2.892676,2.86247,3.169,2.753017,2.274146,3.029676,2.841136,3.197004,2.797712,2.738903,3.452544,3.058916,3.255853,3.442235,3.138819,2.966943,3.069552,2.833722,2.7517,3.166832,3.465913,3.334111,2.95195,3.059159,2.958654,2.847653,3.526103,3.087307,2.828436,3.093893,3.316217,2.889497,3.535611,3.494173,3.069242,2.8696,2.930682,2.759663,2.961756,3.064298,3.37591,3.23368,3.315746,2.6625,3.306393,3.3498,2.849454,3.112517,3.222662,2.996188,3.119202,3.295753,2.894046,3.086557,3.461197,3.184847,3.547753,2.871871,3.509927,3.410261,3.080204,3.405253,3.1732,3.246541,2.791499,2.707469,3.229998,3.346898,2.914927,2.437217,3.248894,3.082472,3.397491,3.069532,2.731728,3.125625,3.301416,2.898757,2.974113,3.246847,2.902203,3.070214,3.418207,3.480978,2.917631,2.893579,3.198169,3.358989,3.114208,3.416373,2.909337,3.492375,3.513056,2.919632,3.506621,3.192317,2.966892,2.925838,2.937485,3.508976,3.39181,2.864839,3.144749,3.306589,2.960574,3.083477,3.507931,3.129053,3.074336,3.537635,2.813537,3.370931,3.28173,3.445259,3.192752,3.398151,2.672284,2.739366,3.085262,2.815755,2.7987,3.232136,3.476981,3.501332,3.350292,3.342161,3.525923,3.394331,3.051512,3.530013,3.142275,3.404092,2.685843,2.700599,3.393049,3.420003,3.06667,3.043448,3.51127,3.006266,3.424577,2.998095,2.896756,3.397058,3.262742,2.887035,3.350233,2.923231,2.963892,3.016739,3.4597,3.321375,3.403748,3.134473,3.242096,3.035112,3.325528,3.400616,3.517769,2.654457,3.001154,2.944571,3.355381,2.785028,3.262544,2.919155,3.307826,3.184012,3.599288,3.481698,3.256002,3.040565,3.358116,3.392214,3.061673,2.938218,2.713193,3.279061,3.562007,3.37423,3.107661,3.260537,3.369907,3.172675,3.519416,3.484468,3.46949,2.85918,3.377374,3.246349,
195.000,3.450332,3.285996,2.742763,2.833823,2.700036,3.326696,3.463899,3.376305,2.787993,2.890696,2.755292,3.45448,2.533481,2.940778,3.160487,2.923985,2.878695,3.448493,2.607222,2.95338,2.966551,3.043699,2.962297,3.18054,3.37719,3.268916,2.94041,3.146821,3.294195,3.202816,3.489965,3.465263,2.859926,2.916769,2.884538,3.302708,2.893857,2.839212,3.274716,2.542935,2.83168,2.749204,3.376305,3.181077,3.237931,3.206857,3.401184,3.411888,3.446818,3.215787,3.058292,2.811484,3.546283,3.052648,2.816696,3.430202,3.412639,2.921145,2.706586,3.501042,3.276925,3.175085,3.37185,3.391239,3.518045,2.774673,2.890819,2.820449,2.805365,2.736998,2.994714,3.417011,3.038341,3.125276,2.660512,2.508164,3.061291,2.732548,3.47982,2.919503,3.053675,3.031377,2.88932,3.465842,3.094002,3.173266,3.334426,3.068941,3.315857,2.996147,2.848704,2.879801,3.209131,3.369032,3.002685,2.979602,3.475852,2.728227,2.960869,3.022644,2.825667,2.411453,2.543969,2.766951,3.075601,3.336378,3.245133,2.601103,3.385918,3.314894,3.359665,2.874341,2.928051,3.046722,3.258833,2.914198,3.481788,2.651941,2.844842,2.986951,2.936071,3.323076,3.324008,3.494748,3.456999,3.080144,3.098233,2.852461,2.701017,3.414975,3.026277,2.706203,2.874228,2.561598,3.043396,3.354002,3.346939,2.70229,2.969586,3.333196,2.710372,2.567395,2.760175,3.160717,3.080992,2.636514,2.926443,2.967666,2.78244,2.66835,3.279638,3.064778,3.125612,3.321694,3.034851,2.753408,3.425278,3.195241,2.824776,3.340798,3.332227,2.862512,2.909979,3.159487,2.883894,3.181909,2.759142,2.831915,3.415421,3.197313,2.892776,3.240693,3.253448,3.024544,2.681724,3.407095,2.473881,3.49376,3.528487,3.440218,3.065941,2.762447,2.957057,3.358874,3.462441,3.088825,2.649684,2.718797,3.443902,3.176403,3.053619,3.098629,2.901076,2.984301,2.656377,2.680477,2.977763,3.065372,3.259426,3.411914,2.607972,2.668306,2.386108,2.573337,2.450607,2.670774,2.883365,2.483109,3.280956,2.717627,3.042916,3.374679,2.62184,2.943712,3.450572,3.420334,2.991357,2.993024,2.720988,3.443558,
196.000,3.082368,2.877726,3.178968,3.597683,3.388758,2.934561,3.026398,3.215085,3.335838,3.186439,3.156579,3.312888,3.197141,2.834563,3.491465,3.489075,3.199584,3.300344,2.976472,3.121189,2.77248,3.322689,2.779024,3.205905,2.941025,3.329469,2.954203,3.171478,2.75579,3.501732,3.484862,3.041426,2.592293,3.120273,3.207968,2.368208,2.837321,2.534451,3.296956,3.638386,3.035185,3.59938,3.215085,3.355638,3.283187,3.542877,3.219706,2.932606,2.831313,3.345656,2.961249,3.488358,3.194531,2.614861,3.137688,3.18331,3.480235,3.531119,3.314461,3.312494,2.818377,3.121037,3.060705,3.017194,3.252258,3.609588,2.850873,2.984257,2.741683,2.886981,3.549333,3.048064,3.41775,3.392442,3.599384,2.879254,3.529027,3.01591,3.358163,3.14693,3.403074,3.468707,3.377442,3.488824,3.151696,3.531198,3.229692,3.457857,2.760023,3.491556,3.447832,3.115667,3.371682,2.909985,2.870775,3.48026,3.368621,3.516852,2.724211,2.753905,3.535965,2.857087,2.656756,3.498786,3.544144,2.660378,2.836269,3.249621,2.738553,2.924372,2.907032,3.33768,3.214677,3.004172,3.280209,2.98595,3.377877,2.834239,3.262962,3.534503,3.567127,3.004433,2.962389,3.480103,3.2821,2.771428,3.270506,3.000834,3.283227,3.489316,3.375904,3.380996,2.843904,3.117733,3.551666,2.829863,3.213331,3.145408,3.305268,3.242809,3.31932,3.363379,3.445235,3.448087,3.016489,3.048081,3.354598,3.500953,3.162923,2.914582,3.332777,3.045475,3.570229,2.996664,3.378804,3.152317,3.417332,3.339489,3.600385,2.873143,2.859921,3.588509,3.40347,2.972102,2.854312,3.375433,3.547431,3.570112,3.488726,3.530412,3.026,3.341503,3.326006,3.368534,2.902587,2.933912,2.787117,3.485001,3.264705,3.026592,3.278138,3.137867,3.083484,2.73778,3.410342,2.815372,3.625068,2.892722,3.332728,3.224477,3.449176,3.301709,3.457316,2.963724,3.023882,3.047727,3.114501,2.850384,2.576798,2.937488,3.320966,3.448726,2.804985,2.657888,2.562422,2.981725,3.561372,3.020002,2.665779,3.295682,3.466648,3.214937,2.802799,3.26806,3.303566,3.496426,2.83292,2.888551,2.91229,3.49869,
197.000,3.297574,3.19933,2.931642,3.200559,2.965306,3.033865,2.910476,3.419498,3.256402,3.176424,3.387596,2.866298,3.333609,2.919368,3.497834,3.005137,3.1351,2.719765,3.10365,3.099861,3.170088,2.860168,3.141965,3.533949,3.307563,3.10318,3.150116,3.102929,3.338622,3.409246,3.290844,2.837578,3.112838,2.818853,3.036993,2.903747,2.778318,2.791287,2.985906,3.182232,3.397609,3.240503,3.421442,3.092364,2.588368,3.213379,3.365309,2.934091,2.884703,2.627566,2.816294,3.097133,2.779429,2.643042,3.390529,3.489823,3.407646,3.447229,3.349299,2.802306,3.068626,3.295659,2.66837,3.043378,2.550257,3.176982,3.13592,3.571245,3.039827,3.392725,3.342468,3.12965,2.894626,2.905502,3.316009,2.901,3.35607,3.002164,2.883203,3.295794,2.932881,3.045426,2.669011,3.300353,3.254739,3.298644,3.40036,3.032722,2.8602,2.973791,2.854958,3.484172,2.986386,2.828457,2.988024,2.977078,3.211533,3.018467,2.5552,2.978909,3.492821,3.096377,2.672916,3.048438,3.26784,2.726598,3.333757,3.074126,2.868568,3.573348,3.593201,2.864834,3.077611,3.260939,2.878048,3.522903,3.159222,3.009346,3.515535,3.413005,3.264349,3.088512,2.908444,3.311465,2.489931,2.7609,2.709707,2.97641,3.50077,3.370111,2.83651,2.59241,3.184047,3.038766,3.273536,2.960826,3.463265,3.440324,2.789088,3.338977,3.328701,3.26529,2.679411,3.065464,3.158726,3.454867,2.93104,3.522974,2.993303,2.977083,3.080421,3.044785,3.183828,3.127199,2.807401,2.823263,3.043351,2.524011,3.195619,2.832911,3.207973,3.250448,2.722234,3.270338,3.161017,2.744151,3.470621,3.321548,3.368168,3.27617,2.881468,3.081708,2.877666,2.667441,2.768798,2.940652,2.864088,3.290967,2.620707,2.933761,3.354482,2.877789,2.644475,2.740029,3.028605,2.921214,3.215393,3.08292,2.781369,3.450379,3.0963,2.879155,2.809386,2.790394,3.017392,2.876046,3.112352,3.048763,2.863832,2.557077,3.413822,2.697977,3.000709,2.640615,2.70211,3.311491,3.302081,3.028645,2.623299,3.471947,3.030794,3.420385,2.657144,3.441104,2.700475,3.324767,3.191784,2.758605,2.717942,3.289741,
198.000,3.341753,3.242648,3.145402,2.861575,3.408915,3.269378,2.902381,3.2138,2.951297,3.11484,2.967771,3.296881,2.678236,3.327954,3.324649,3.033736,2.90936,3.200206,2.904425,3.475571,3.030762,3.567969,2.676636,3.346095,3.376766,3.351517,3.363419,3.080877,3.358092,3.061084,2.754874,2.951244,3.275046,2.945686,3.066857,3.445488,3.443395,3.024667,3.41736,2.895091,3.002644,2.680277,3.207946,3.377492,3.219327,2.723921,2.802608,3.066857,3.14932,2.643275,3.061378,3.269515,3.488805,3.115077,2.963092,2.93052,3.097724,3.501991,2.7646,3.201839,2.559139,3.302386,2.926209,3.346386,2.780845,2.811291,3.131905,3.302494,3.492165,2.628432,2.929979,3.420844,3.165569,3.146513,2.993419,2.971215,3.267161,3.307836,2.813289,2.909197,3.01294,3.14052,3.065669,2.921766,3.454234,2.885168,2.906371,2.735678,2.912743,2.969349,2.834674,2.951959,3.194847,2.674915,3.290154,2.958445,3.540477,2.735603,2.838409,3.400508,3.282945,2.611022,2.802163,2.828429,2.796165,2.998619,2.644608,2.858259,2.900435,3.362674,3.290326,3.522803,3.155259,3.51942,3.529198,3.516429,3.113362,3.004787,3.363714,3.006623,2.779714,3.004133,2.497508,2.882187,2.87584,3.026382,3.063437,3.064011,3.410095,3.256958,3.355521,2.877375,2.913786,2.88041,2.973267,2.798623,3.016865,3.113822,3.588012,2.691555,3.118686,2.885481,2.570423,3.079033,2.941242,3.109141,3.595707,3.193471,3.254395,2.830954,3.449162,2.632468,2.59805,3.109444,2.832762,3.159162,2.741841,2.923395,2.882965,3.343585,2.838411,2.651352,2.663774,3.508397,3.370965,2.912181,3.377985,2.730763,3.267803,2.606787,2.989376,3.43585,3.222365,2.878399,3.642203,3.036121,3.202743,2.7558,2.888829,3.177798,3.059433,3.305134,3.066731,3.166158,2.644015,2.96286,2.939097,2.84492,2.80324,3.061097,3.315691,3.499938,2.716044,2.966861,3.226628,2.984942,3.425902,2.85736,3.088181,3.374979,3.111048,2.594234,2.777246,2.847865,2.57977,2.609526,2.824909,2.546587,2.814083,3.526047,2.945709,2.831234,3.334597,3.053239,2.804525,2.801509,2.904502,3.335668,3.227766,2.965193,
199.000,2.876891,3.56343,3.532435,3.494114,3.103257,3.552171,2.876565,3.570653,3.318219,2.817211,3.34137,3.572706,2.926132,3.358886,3.124857,3.514983,3.104414,3.426751,3.329486,3.075494,3.163992,3.515757,2.860872,2.979894,2.977158,2.758897,3.15097,3.012944,3.025055,3.213281,2.84617,3.305082,2.875232,3.346556,3.328992,3.299999,3.032249,3.046596,3.0358,3.342402,3.151947,2.929459,3.593317,3.15293,3.427597,3.158713,3.229092,3.372459,2.618508,3.008527,3.477112,3.557248,3.245731,3.321121,2.957116,2.905965,3.032923,3.431045,3.140681,3.365589,3.051591,3.057692,3.513462,3.022222,3.201947,3.472762,3.417755,3.14388,3.014486,3.101303,3.180338,2.893576,3.467745,3.560147,3.311766,3.446669,3.391021,3.402863,3.134557,3.483309,3.063007,3.485029,3.599165,3.146904,3.072115,3.325125,3.214925,3.122322,3.02389,3.452846,3.072806,2.950023,3.285112,2.624364,2.908404,3.501406,3.4051,3.133433,2.759349,2.793903,2.81224,2.600116,3.373706,3.070254,3.373766,3.117299,2.980985,2.897431,2.902084,3.262042,2.895803,3.044697,3.378994,3.432437,2.990773,3.274218,3.146601,3.000081,2.90834,2.774485,3.047625,3.561916,2.764685,3.327232,3.627573,3.071305,2.841966,3.17438,3.114326,3.411687,3.331386,3.055586,2.800228,3.102335,3.618037,3.113198,2.855875,2.923241,3.476566,3.097018,3.37997,3.624929,2.886074,3.066852,3.210675,3.329775,3.348352,2.880885,2.98526,2.840773,3.240502,3.262672,3.325649,3.541977,2.988226,3.537043,3.084607,3.387768,3.388164,3.33877,2.66828,3.051465,3.094702,3.493874,3.103413,3.179367,2.898816,2.936254,3.369338,3.025333,3.390619,2.890288,2.824812,3.389666,3.204641,3.506736,3.288363,3.130601,3.370555,2.966004,3.626566,3.522483,3.583026,3.533013,3.010386,2.978364,3.433802,3.224432,3.250959,3.176321,3.332759,3.13727,3.067473,3.558181,3.088341,3.412684,3.295774,2.972676,2.7074,3.391934,3.363352,2.644643,3.06251,2.981478,3.020442,2.895551,3.198523,3.154615,3.353825,3.278869,3.219028,3.043057,3.511194,3.212635,3.013977,2.775454,3.059001,3.439519,3.283656,3.633815,
