,d2o 181 By Administrator Date Thursday. December 16 2021,
Time,14:12:07,
Wavenumbers [1/cm],Transmittance %,
7000.000,7.05459,
6999.000,7.02178,
6998.000,6.98902,
6997.000,6.95603,
6996.000,6.92582,
6995.000,6.90094,
6994.000,6.87891,
6993.000,6.8538,
6992.000,6.82186,
6991.000,6.78401,
6990.000,6.74389,
6989.000,6.70582,
6988.000,6.673,
6987.000,6.64471,
6986.000,6.61643,
6985.000,6.58557,
6984.000,6.55603,
6983.000,6.53307,
6982.000,6.51511,
6981.000,6.49495,
6980.000,6.46865,
6979.000,6.43897,
6978.000,6.40951,
6977.000,6.37951,
6976.000,6.34663,
6975.000,6.31189,
6974.000,6.27873,
6973.000,6.24961,
6972.000,6.22525,
6971.000,6.2057,
6970.000,6.18953,
6969.000,6.17217,
6968.000,6.14815,
6967.000,6.11567,
6966.000,6.07824,
6965.000,6.04179,
6964.000,6.01009,
6963.000,5.98263,
6962.000,5.9563,
6961.000,5.92866,
6960.000,5.89976,
6959.000,5.87133,
6958.000,5.84504,
6957.000,5.82152,
6956.000,5.80079,
6955.000,5.78287,
6954.000,5.76784,
6953.000,5.75474,
6952.000,5.74052,
6951.000,5.72096,
6950.000,5.69376,
6949.000,5.66075,
6948.000,5.62599,
6947.000,5.5918,
6946.000,5.55794,
6945.000,5.52484,
6944.000,5.49523,
6943.000,5.47139,
6942.000,5.45212,
6941.000,5.43374,
6940.000,5.41361,
6939.000,5.3918,
6938.000,5.36992,
6937.000,5.34901,
6936.000,5.32811,
6935.000,5.30447,
6934.000,5.27616,
6933.000,5.24528,
6932.000,5.21734,
6931.000,5.19582,
6930.000,5.17769,
6929.000,5.15655,
6928.000,5.12999,
6927.000,5.10218,
6926.000,5.07869,
6925.000,5.05997,
6924.000,5.04141,
6923.000,5.01979,
6922.000,4.99762,
6921.000,4.9796,
6920.000,4.96629,
6919.000,4.95383,
6918.000,4.93926,
6917.000,4.92344,
6916.000,4.9077,
6915.000,4.89063,
6914.000,4.87077,
6913.000,4.84975,
6912.000,4.82948,
6911.000,4.80834,
6910.000,4.78378,
6909.000,4.75756,
6908.000,4.73455,
6907.000,4.71622,
6906.000,4.69909,
6905.000,4.68035,
6904.000,4.66118,
6903.000,4.64332,
6902.000,4.62583,
6901.000,4.60658,
6900.000,4.5844,
6899.000,4.55949,
6898.000,4.5339,
6897.000,4.5118,
6896.000,4.49604,
6895.000,4.48406,
6894.000,4.47076,
6893.000,4.45542,
6892.000,4.4416,
6891.000,4.42972,
6890.000,4.41471,
6889.000,4.39384,
6888.000,4.37201,
6887.000,4.3551,
6886.000,4.34225,
6885.000,4.32893,
6884.000,4.31417,
6883.000,4.30013,
6882.000,4.28665,
6881.000,4.27072,
6880.000,4.25128,
6879.000,4.2307,
6878.000,4.21129,
6877.000,4.19344,
6876.000,4.17687,
6875.000,4.16149,
6874.000,4.14747,
6873.000,4.13601,
6872.000,4.12853,
6871.000,4.12328,
6870.000,4.11454,
6869.000,4.09819,
6868.000,4.07678,
6867.000,4.05583,
6866.000,4.03682,
6865.000,4.01744,
6864.000,3.99739,
6863.000,3.98006,
6862.000,3.96785,
6861.000,3.95925,
6860.000,3.95193,
6859.000,3.9459,
6858.000,3.94194,
6857.000,3.93899,
6856.000,3.93441,
6855.000,3.92561,
6854.000,3.91111,
6853.000,3.89148,
6852.000,3.86965,
6851.000,3.8492,
6850.000,3.83206,
6849.000,3.81832,
6848.000,3.80802,
6847.000,3.80122,
6846.000,3.79623,
6845.000,3.78944,
6844.000,3.77793,
6843.000,3.76207,
6842.000,3.74552,
6841.000,3.73255,
6840.000,3.7252,
6839.000,3.72196,
6838.000,3.71925,
6837.000,3.71442,
6836.000,3.70748,
6835.000,3.70035,
6834.000,3.69484,
6833.000,3.69111,
6832.000,3.68743,
6831.000,3.68158,
6830.000,3.6733,
6829.000,3.665,
6828.000,3.65849,
6827.000,3.65207,
6826.000,3.64275,
6825.000,3.6312,
6824.000,3.62167,
6823.000,3.61657,
6822.000,3.61406,
6821.000,3.61144,
6820.000,3.60792,
6819.000,3.60246,
6818.000,3.59292,
6817.000,3.58003,
6816.000,3.56903,
6815.000,3.56415,
6814.000,3.56367,
6813.000,3.56345,
6812.000,3.56342,
6811.000,3.56677,
6810.000,3.5735,
6809.000,3.57869,
6808.000,3.57772,
6807.000,3.5709,
6806.000,3.56285,
6805.000,3.5589,
6804.000,3.5612,
6803.000,3.56657,
6802.000,3.56896,
6801.000,3.5657,
6800.000,3.56027,
6799.000,3.55712,
6798.000,3.55578,
6797.000,3.55314,
6796.000,3.54943,
6795.000,3.54772,
6794.000,3.54888,
6793.000,3.55072,
6792.000,3.55176,
6791.000,3.5526,
6790.000,3.55337,
6789.000,3.55354,
6788.000,3.55461,
6787.000,3.55965,
6786.000,3.56891,
6785.000,3.57936,
