,d2o 185 By Administrator Date Thursday. December 16 2021,
Time,15:21:53,
Wavenumbers [1/cm],Transmittance %,
7000.000,10.119,
6999.000,10.0655,
6998.000,10.0095,
6997.000,9.95174,
6996.000,9.89639,
6995.000,9.84829,
6994.000,9.80738,
6993.000,9.76918,
6992.000,9.72971,
6991.000,9.6877,
6990.000,9.64297,
6989.000,9.5954,
6988.000,9.54542,
6987.000,9.49416,
6986.000,9.44353,
6985.000,9.39639,
6984.000,9.35432,
6983.000,9.3144,
6982.000,9.271,
6981.000,9.22254,
6980.000,9.17382,
6979.000,9.12992,
6978.000,9.09016,
6977.000,9.05072,
6976.000,9.011,
6975.000,8.97325,
6974.000,8.93721,
6973.000,8.89907,
6972.000,8.85581,
6971.000,8.80854,
6970.000,8.76078,
6969.000,8.71514,
6968.000,8.67211,
6967.000,8.63119,
6966.000,8.59228,
6965.000,8.55545,
6964.000,8.51931,
6963.000,8.48083,
6962.000,8.43873,
6961.000,8.39575,
6960.000,8.35492,
6959.000,8.31484,
6958.000,8.27232,
6957.000,8.22846,
6956.000,8.18756,
6955.000,8.14963,
6954.000,8.1096,
6953.000,8.06639,
6952.000,8.02631,
6951.000,7.99408,
6950.000,7.96619,
6949.000,7.9368,
6948.000,7.90622,
6947.000,7.87796,
6946.000,7.85042,
6945.000,7.81826,
6944.000,7.78044,
6943.000,7.74074,
6942.000,7.70146,
6941.000,7.66161,
6940.000,7.62081,
6939.000,7.58012,
6938.000,7.53841,
6937.000,7.49294,
6936.000,7.44473,
6935.000,7.3994,
6934.000,7.36135,
6933.000,7.32999,
6932.000,7.30225,
6931.000,7.27602,
6930.000,7.24943,
6929.000,7.21978,
6928.000,7.18533,
6927.000,7.14661,
6926.000,7.10534,
6925.000,7.06375,
6924.000,7.02498,
6923.000,6.99181,
6922.000,6.96343,
6921.000,6.93557,
6920.000,6.9052,
6919.000,6.87331,
6918.000,6.8422,
6917.000,6.81202,
6916.000,6.78165,
6915.000,6.75154,
6914.000,6.72304,
6913.000,6.69505,
6912.000,6.66413,
6911.000,6.62861,
6910.000,6.59091,
6909.000,6.55448,
6908.000,6.51948,
6907.000,6.48306,
6906.000,6.44387,
6905.000,6.40428,
6904.000,6.36737,
6903.000,6.33345,
6902.000,6.30111,
6901.000,6.27009,
6900.000,6.24176,
6899.000,6.21696,
6898.000,6.19488,
6897.000,6.17347,
6896.000,6.15018,
6895.000,6.12281,
6894.000,6.09131,
6893.000,6.05795,
6892.000,6.02448,
6891.000,5.99013,
6890.000,5.95414,
6889.000,5.91914,
6888.000,5.889,
6887.000,5.86418,
6886.000,5.84233,
6885.000,5.82241,
6884.000,5.8046,
6883.000,5.78655,
6882.000,5.76416,
6881.000,5.73724,
6880.000,5.71045,
6879.000,5.68646,
6878.000,5.66181,
6877.000,5.63201,
6876.000,5.5974,
6875.000,5.56164,
6874.000,5.52735,
6873.000,5.49555,
6872.000,5.46708,
6871.000,5.44179,
6870.000,5.41818,
6869.000,5.39598,
6868.000,5.37656,
6867.000,5.35859,
6866.000,5.3364,
6865.000,5.306,
6864.000,5.27053,
6863.000,5.23648,
6862.000,5.20619,
6861.000,5.17766,
6860.000,5.15055,
6859.000,5.12705,
6858.000,5.10681,
6857.000,5.0859,
6856.000,5.06196,
6855.000,5.03701,
6854.000,5.01388,
