,d2o 019 By Administrator Date Friday. December 17 2021,
Time,14:56:18,
Wavenumbers [1/cm],Transmittance %,
7000.000,11.6832,
6999.000,11.63,
6998.000,11.5786,
6997.000,11.5254,
6996.000,11.4677,
6995.000,11.4062,
6994.000,11.3436,
6993.000,11.2823,
6992.000,11.2234,
6991.000,11.1666,
6990.000,11.1104,
6989.000,11.0547,
6988.000,11.001,
6987.000,10.9501,
6986.000,10.8997,
6985.000,10.8455,
6984.000,10.7851,
6983.000,10.7191,
6982.000,10.6497,
6981.000,10.5811,
6980.000,10.5174,
6979.000,10.4595,
6978.000,10.4049,
6977.000,10.3517,
6976.000,10.3011,
6975.000,10.2534,
6974.000,10.2045,
6973.000,10.1508,
6972.000,10.0947,
6971.000,10.0432,
6970.000,9.99821,
6969.000,9.95433,
6968.000,9.90608,
6967.000,9.8529,
6966.000,9.79595,
6965.000,9.73441,
6964.000,9.66779,
6963.000,9.60017,
6962.000,9.53847,
6961.000,9.48612,
6960.000,9.44028,
6959.000,9.3954,
6958.000,9.34789,
6957.000,9.2975,
6956.000,9.2454,
6955.000,9.1925,
6954.000,9.13963,
6953.000,9.08808,
6952.000,9.0388,
6951.000,8.99164,
6950.000,8.94615,
6949.000,8.90263,
6948.000,8.86072,
6947.000,8.81723,
6946.000,8.76826,
6945.000,8.71426,
6944.000,8.66016,
6943.000,8.60916,
6942.000,8.55899,
6941.000,8.50634,
6940.000,8.45321,
6939.000,8.40565,
6938.000,8.3665,
6937.000,8.33234,
6936.000,8.29744,
6935.000,8.25831,
6934.000,8.21442,
6933.000,8.16735,
6932.000,8.12014,
6931.000,8.07551,
6930.000,8.03346,
6929.000,7.99163,
6928.000,7.94876,
6927.000,7.90682,
6926.000,7.86883,
6925.000,7.83474,
6924.000,7.8005,
6923.000,7.7622,
6922.000,7.72122,
6921.000,7.68381,
6920.000,7.65365,
6919.000,7.62591,
6918.000,7.59112,
6917.000,7.54542,
6916.000,7.49439,
6915.000,7.44546,
6914.000,7.39962,
6913.000,7.35386,
6912.000,7.30862,
6911.000,7.2676,
6910.000,7.23143,
6909.000,7.19659,
6908.000,7.16148,
6907.000,7.12912,
6906.000,7.10173,
6905.000,7.07605,
6904.000,7.04778,
6903.000,7.01776,
6902.000,6.98983,
6901.000,6.96405,
6900.000,6.9358,
6899.000,6.90214,
6898.000,6.866,
6897.000,6.83231,
6896.000,6.80228,
6895.000,6.77343,
6894.000,6.74362,
6893.000,6.71267,
6892.000,6.68067,
6891.000,6.64708,
6890.000,6.61211,
6889.000,6.5773,
6888.000,6.54376,
6887.000,6.51135,
6886.000,6.48059,
6885.000,6.45393,
6884.000,6.43326,
6883.000,6.41682,
6882.000,6.40032,
6881.000,6.38143,
6880.000,6.3614,
6879.000,6.34183,
6878.000,6.32115,
6877.000,6.29604,
6876.000,6.26561,
6875.000,6.23309,
6874.000,6.20265,
6873.000,6.17486,
6872.000,6.14623,
6871.000,6.1141,
6870.000,6.08162,
6869.000,6.05537,
6868.000,6.03702,
6867.000,6.02044,
6866.000,5.99913,
6865.000,5.97445,
6864.000,5.95304,
6863.000,5.93686,
6862.000,5.92027,
6861.000,5.89858,
6860.000,5.87512,
6859.000,5.85603,
6858.000,5.84084,
6857.000,5.82284,
6856.000,5.79788,
6855.000,5.7695,
6854.000,5.7447,
6853.000,5.72679,
6852.000,5.71328,
6851.000,5.69957,
6850.000,5.6838,
6849.000,5.66827,
6848.000,5.65581,
6847.000,5.64496,
6846.000,5.62992,
6845.000,5.60665,
6844.000,5.57846,
6843.000,5.55318,
6842.000,5.53471,
6841.000,5.5193,
6840.000,5.50098,
6839.000,5.47844,
6838.000,5.45525,
6837.000,5.43479,
6836.000,5.41707,
6835.000,5.40041,
6834.000,5.38433,
6833.000,5.36991,
6832.000,5.35786,
6831.000,5.3471,
6830.000,5.33558,
6829.000,5.32212,
6828.000,5.30672,
6827.000,5.28921,
6826.000,5.26872,
6825.000,5.2455,
6824.000,5.22276,
6823.000,5.20512,
6822.000,5.194,
6821.000,5.18596,
6820.000,5.17686,
6819.000,5.16705,
6818.000,5.16014,
6817.000,5.15673,
6816.000,5.1519,
6815.000,5.14035,
6814.000,5.12245,
6813.000,5.10323,
6812.000,5.0865,
6811.000,5.07227,
6810.000,5.05957,
6809.000,5.04855,
6808.000,5.03887,
6807.000,5.02863,
6806.000,5.01656,
6805.000,5.00338,
6804.000,4.98981,
6803.000,4.97509,
6802.000,4.95925,
6801.000,4.945,
6800.000,4.93501,
6799.000,4.92827,
6798.000,4.92131,
6797.000,4.91232,
6796.000,4.90221,
6795.000,4.89249,
6794.000,4.88396,
6793.000,4.87667,
6792.000,4.86898,
6791.000,4.85782,
6790.000,4.84237,
6789.000,4.8265,
6788.000,4.81471,
6787.000,4.80636,
6786.000,4.79693,
6785.000,4.78487,
6784.000,4.77295,
6783.000,4.76292,
6782.000,4.75325,
6781.000,4.74326,
6780.000,4.73532,
6779.000,4.73099,
6778.000,4.72836,
6777.000,4.7255,
6776.000,4.72282,
6775.000,4.71902,
6774.000,4.70875,
6773.000,4.68948,
6772.000,4.66803,
6771.000,4.65458,
6770.000,4.65086,
6769.000,4.64913,
6768.000,4.64308,
6767.000,4.63486,
6766.000,4.62942,
6765.000,4.62611,
6764.000,4.61979,
6763.000,4.60869,
6762.000,4.59771,
6761.000,4.59342,
6760.000,4.59771,
6759.000,4.60658,
6758.000,4.6138,
6757.000,4.61538,
6756.000,4.61137,
6755.000,4.60422,
6754.000,4.59576,
6753.000,4.58596,
6752.000,4.5749,
6751.000,4.56504,
6750.000,4.56027,
6749.000,4.56219,
6748.000,4.5679,
6747.000,4.57231,
6746.000,4.57276,
6745.000,4.57052,
6744.000,4.56804,
6743.000,4.56592,
6742.000,4.56298,
6741.000,4.55811,
6740.000,4.55088,
6739.000,4.54113,
6738.000,4.52971,
6737.000,4.5193,
6736.000,4.51296,
6735.000,4.51108,
6734.000,4.51084,
6733.000,4.50904,
6732.000,4.50466,
6731.000,4.49883,
6730.000,4.49358,
6729.000,4.49082,
6728.000,4.49137,
6727.000,4.49426,
6726.000,4.49769,
6725.000,4.50067,
6724.000,4.50298,
6723.000,4.50363,
6722.000,4.50127,
6721.000,4.49652,
6720.000,4.49239,
6719.000,4.49144,
6718.000,4.49367,
6717.000,4.49782,
