,d2o 109 By Administrator Date Wednesday. December 15 2021,
Time,10:49:48,
Wavenumbers [1/cm],Transmittance %,
7000.000,3.74197,
6999.000,3.74482,
6998.000,3.74422,
6997.000,3.74473,
6996.000,3.74757,
6995.000,3.74749,
6994.000,3.74031,
6993.000,3.7302,
6992.000,3.72567,
6991.000,3.72913,
6990.000,3.73523,
6989.000,3.7394,
6988.000,3.74303,
6987.000,3.74917,
6986.000,3.75647,
6985.000,3.76084,
6984.000,3.76174,
6983.000,3.76295,
6982.000,3.76676,
6981.000,3.77076,
6980.000,3.77173,
6979.000,3.77074,
6978.000,3.77216,
6977.000,3.77817,
6976.000,3.78672,
6975.000,3.7958,
6974.000,3.80665,
6973.000,3.82098,
6972.000,3.83661,
6971.000,3.8488,
6970.000,3.85597,
6969.000,3.86127,
6968.000,3.86777,
6967.000,3.87525,
6966.000,3.88307,
6965.000,3.89277,
6964.000,3.90554,
6963.000,3.91906,
6962.000,3.93034,
6961.000,3.94071,
6960.000,3.95414,
6959.000,3.97102,
6958.000,3.98754,
6957.000,4.0013,
6956.000,4.01405,
6955.000,4.02767,
6954.000,4.0406,
6953.000,4.05132,
6952.000,4.06254,
6951.000,4.07841,
6950.000,4.09906,
6949.000,4.12057,
6948.000,4.14026,
6947.000,4.15955,
6946.000,4.18044,
6945.000,4.2014,
6944.000,4.2191,
6943.000,4.23335,
6942.000,4.24826,
6941.000,4.26805,
6940.000,4.29249,
6939.000,4.31789,
6938.000,4.34212,
6937.000,4.36659,
6936.000,4.39277,
6935.000,4.41926,
6934.000,4.44383,
6933.000,4.46708,
6932.000,4.49227,
6931.000,4.52168,
6930.000,4.55465,
6929.000,4.58863,
6928.000,4.62033,
6927.000,4.64676,
6926.000,4.66777,
6925.000,4.68724,
6924.000,4.70968,
6923.000,4.73553,
6922.000,4.762,
6921.000,4.78858,
6920.000,4.818,
6919.000,4.85102,
6918.000,4.88383,
6917.000,4.91251,
6916.000,4.93813,
6915.000,4.96584,
6914.000,5.0002,
6913.000,5.04201,
6912.000,5.08783,
6911.000,5.13116,
6910.000,5.16654,
6909.000,5.19466,
6908.000,5.2221,
6907.000,5.25436,
6906.000,5.29057,
6905.000,5.32668,
6904.000,5.36164,
6903.000,5.39761,
6902.000,5.43551,
6901.000,5.47356,
6900.000,5.50992,
6899.000,5.54492,
6898.000,5.5804,
6897.000,5.618,
6896.000,5.65814,
6895.000,5.69965,
6894.000,5.74021,
6893.000,5.77825,
6892.000,5.81461,
6891.000,5.85236,
6890.000,5.89507,
6889.000,5.94489,
6888.000,6.00065,
6887.000,6.05767,
6886.000,6.11064,
6885.000,6.15769,
6884.000,6.20097,
6883.000,6.24328,
6882.000,6.28526,
6881.000,6.32653,
6880.000,6.36805,
6879.000,6.41227,
6878.000,6.46097,
6877.000,6.51343,
6876.000,6.56634,
6875.000,6.61661,
6874.000,6.66516,
6873.000,6.71631,
6872.000,6.77126,
6871.000,6.82391,
6870.000,6.86756,
6869.000,6.90549,
6868.000,6.94857,
6867.000,7.0014,
6866.000,7.05694,
6865.000,7.10733,
6864.000,7.15492,
6863.000,7.2078,
6862.000,7.26727,
6861.000,7.32579,
6860.000,7.37727,
6859.000,7.42427,
6858.000,7.47369,
6857.000,7.52882,
6856.000,7.58697,
6855.000,7.64348,
6854.000,7.69701,
6853.000,7.75072,
6852.000,7.80788,
6851.000,7.86723,
6850.000,7.92474,
6849.000,7.97972,
6848.000,8.03547,
6847.000,8.09352,
6846.000,8.15073,
6845.000,8.2042,
6844.000,8.25588,
6843.000,8.31014,
6842.000,8.36859,
6841.000,8.43005,
6840.000,8.4933,
6839.000,8.55719,
6838.000,8.61979,
6837.000,8.68007,
6836.000,8.73893,
6835.000,8.79706,
6834.000,8.85358,
6833.000,8.90841,
6832.000,8.96387,
6831.000,9.02172,
6830.000,9.08077,
6829.000,9.13947,
6828.000,9.19838,
6827.000,9.25801,
6826.000,9.31685,
6825.000,9.37406,
6824.000,9.43177,
6823.000,9.49196,
6822.000,9.55282,
6821.000,9.61139,
6820.000,9.66825,
6819.000,9.72653,
6818.000,9.78726,
6817.000,9.84864,
6816.000,9.9086,
6815.000,9.96586,
6814.000,10.0195,
6813.000,10.0701,
6812.000,10.1204,
6811.000,10.1738,
6810.000,10.2313,
6809.000,10.2914,
6808.000,10.3513,
6807.000,10.4082,
6806.000,10.4614,
6805.000,10.5132,
6804.000,10.5656,
6803.000,10.6167,
6802.000,10.6636,
6801.000,10.7085,
6800.000,10.7577,
6799.000,10.8119,
6798.000,10.8637,
6797.000,10.9066,
6796.000,10.9435,
6795.000,10.9815,
6794.000,11.0225,
6793.000,11.0632,
6792.000,11.1011,
6791.000,11.1372,
6790.000,11.1718,
6789.000,11.2041,
6788.000,11.2331,
6787.000,11.2597,
6786.000,11.2864,
6785.000,11.3166,
6784.000,11.3511,
6783.000,11.3858,
6782.000,11.4157,
6781.000,11.4407,
6780.000,11.4647,
6779.000,11.487,
6778.000,11.5026,
6777.000,11.5106,
6776.000,11.5185,
6775.000,11.5326,
6774.000,11.5499,
6773.000,11.563,
6772.000,11.5706,
6771.000,11.5754,
6770.000,11.5781,
6769.000,11.5779,
6768.000,11.5757,
6767.000,11.5728,
6766.000,11.5678,
6765.000,11.5589,
6764.000,11.5481,
6763.000,11.5387,
6762.000,11.5293,
6761.000,11.516,
6760.000,11.4985,
6759.000,11.4801,
6758.000,11.4623,
6757.000,11.4435,
6756.000,11.4216,
6755.000,11.3961,
6754.000,11.3684,
6753.000,11.3413,
6752.000,11.3172,
6751.000,11.2951,
6750.000,11.271,
6749.000,11.2423,
6748.000,11.2105,
6747.000,11.1773,
6746.000,11.1415,
6745.000,11.1027,
6744.000,11.0642,
6743.000,11.03,
6742.000,10.9996,
6741.000,10.9699,
6740.000,10.9396,
6739.000,10.9092,
6738.000,10.8782,
6737.000,10.845,
6736.000,10.808,
6735.000,10.7671,
6734.000,10.7233,
6733.000,10.6788,
6732.000,10.6348,
6731.000,10.5895,
6730.000,10.5409,
6729.000,10.492,
6728.000,10.4492,
6727.000,10.413,
6726.000,10.3766,
6725.000,10.3344,
6724.000,10.2893,
6723.000,10.2474,
6722.000,10.2092,
6721.000,10.1704,
6720.000,10.1286,
6719.000,10.0846,
6718.000,10.0392,
6717.000,9.993,
6716.000,9.94755,
6715.000,9.90305,
6714.000,9.85766,
6713.000,9.81117,
6712.000,9.76678,
6711.000,9.72609,
6710.000,9.68511,
6709.000,9.6391,
6708.000,9.58955,
6707.000,9.54173,
6706.000,9.49719,
6705.000,9.45283,
6704.000,9.40686,
6703.000,9.35996,
6702.000,9.3137,
6701.000,9.26725,
6700.000,9.22079,
6699.000,9.17736,
6698.000,9.13699,
6697.000,9.09808,
6696.000,9.05918,
6695.000,9.01989,
6694.000,8.97889,
6693.000,8.93467,
6692.000,8.88811,
6691.000,8.84218,
6690.000,8.79872,
6689.000,8.7572,
6688.000,8.71667,
6687.000,8.67688,
6686.000,8.63709,
6685.000,8.59553,
6684.000,8.55101,
6683.000,8.50428,
6682.000,8.45741,
6681.000,8.41216,
6680.000,8.36872,
6679.000,8.32595,
6678.000,8.28318,
6677.000,8.24154,
6676.000,8.20226,
6675.000,8.16413,
6674.000,8.1245,
6673.000,8.08307,
6672.000,8.04223,
6671.000,8.00305,
6670.000,7.96339,
6669.000,7.92132,
6668.000,7.87795,
6667.000,7.8353,
6666.000,7.79337,
6665.000,7.75149,
6664.000,7.71082,
6663.000,7.67322,
6662.000,7.63885,
6661.000,7.60643,
6660.000,7.5746,
6659.000,7.54167,
6658.000,7.50546,
6657.000,7.46526,
6656.000,7.42294,
6655.000,7.38069,
6654.000,7.33867,
6653.000,7.29626,
6652.000,7.25439,
6651.000,7.21502,
6650.000,7.17872,
6649.000,7.14412,
6648.000,7.10919,
6647.000,7.07237,
6646.000,7.03349,
6645.000,6.99409,
6644.000,6.95585,
6643.000,6.91835,
6642.000,6.87988,
6641.000,6.84066,
6640.000,6.80323,
6639.000,6.76886,
6638.000,6.7355,
6637.000,6.70049,
6636.000,6.66337,
6635.000,6.62556,
6634.000,6.58899,
6633.000,6.5558,
6632.000,6.52692,
6631.000,6.49948,
6630.000,6.46808,
6629.000,6.43023,
6628.000,6.38857,
6627.000,6.34637,
6626.000,6.30359,
6625.000,6.25971,
6624.000,6.21785,
6623.000,6.18286,
6622.000,6.15573,
6621.000,6.1327,
6620.000,6.10909,
6619.000,6.08196,
6618.000,6.0499,
6617.000,6.01303,
6616.000,5.97357,
6615.000,5.93479,
6614.000,5.8986,
6613.000,5.86511,
6612.000,5.83403,
6611.000,5.80541,
6610.000,5.77863,
6609.000,5.75128,
6608.000,5.71992,
6607.000,5.68267,
6606.000,5.64179,
6605.000,5.60262,
6604.000,5.56835,
6603.000,5.53658,
6602.000,5.50303,
6601.000,5.46775,
6600.000,5.43471,
6599.000,5.40529,
6598.000,5.37592,
6597.000,5.3436,
6596.000,5.31029,
6595.000,5.27973,
6594.000,5.25222,
6593.000,5.22518,
6592.000,5.197,
6591.000,5.16764,
6590.000,5.13671,
6589.000,5.10356,
6588.000,5.06882,
6587.000,5.0344,
6586.000,5.0021,
6585.000,4.97317,
6584.000,4.94792,
6583.000,4.92479,
6582.000,4.90083,
6581.000,4.87444,
6580.000,4.84636,
6579.000,4.81729,
6578.000,4.78664,
6577.000,4.75479,
6576.000,4.7244,
6575.000,4.6972,
6574.000,4.67125,
6573.000,4.6434,
6572.000,4.61341,
6571.000,4.58364,
6570.000,4.55584,
6569.000,4.53033,
6568.000,4.50724,
6567.000,4.48619,
6566.000,4.46518,
6565.000,4.44161,
6564.000,4.41461,
6563.000,4.38503,
6562.000,4.3541,
6561.000,4.32335,
6560.000,4.29483,
6559.000,4.2695,
6558.000,4.24594,
6557.000,4.22222,
6556.000,4.19848,
6555.000,4.17614,
6554.000,4.15532,
6553.000,4.13495,
6552.000,4.11481,
6551.000,4.09538,
6550.000,4.07573,
6549.000,4.05375,
6548.000,4.02874,
6547.000,4.00225,
6546.000,3.97631,
6545.000,3.95232,
6544.000,3.93163,
6543.000,3.91513,
6542.000,3.90116,
6541.000,3.88548,
6540.000,3.86508,
6539.000,3.8414,
6538.000,3.81857,
6537.000,3.79877,
6536.000,3.78039,
6535.000,3.76114,
6534.000,3.74137,
6533.000,3.72298,
