Wavelength [nm],Absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,absorbance,
190.000,2.503288,2.98903,2.465387,2.541672,2.325864,2.304378,2.289281,2.248543,2.42727,2.636661,2.556608,2.451711,2.903588,2.384343,2.18284,2.673193,2.719592,2.54862,2.702845,2.302684,3.170717,2.352313,2.703477,2.39515,2.567401,2.487341,2.960367,2.450039,2.432183,2.511133,2.947397,2.512507,2.39907,2.765786,2.482258,2.476636,2.548967,2.222881,2.726459,2.416399,2.368383,3.312539,2.854588,2.629637,2.961346,2.732291,2.300377,2.367254,2.492018,2.691582,2.292216,2.575825,2.345872,2.533847,2.926383,3.244004,2.458195,3.196025,2.840492,2.647601,2.64895,2.729496,3.212175,2.395622,2.701329,2.38855,2.363749,2.934633,3.100091,2.943608,2.90199,2.618479,2.65901,2.856158,2.678578,3.251406,2.642553,2.543217,2.530305,3.142857,2.545854,3.220603,3.164443,2.261284,2.726807,2.722387,2.944479,2.857273,2.663381,2.611289,3.208854,2.400909,2.83569,2.724996,2.741399,2.567303,2.550337,2.731102,2.852114,3.273529,2.927646,2.88983,2.660421,2.603783,2.819429,3.275153,2.880333,3.181139,2.665688,3.167766,2.715168,3.193048,2.37652,2.612226,3.270626,2.728201,3.144814,3.177892,2.499066,2.8564,2.765979,2.928959,2.474069,2.82783,3.199368,2.534661,2.602799,3.166469,2.851312,2.903297,2.745729,2.768728,3.195208,2.767358,3.158132,2.912114,2.894511,2.70004,2.756186,2.92223,2.912928,2.696989,2.60429,2.413464,3.166443,3.165567,2.528494,2.899644,3.2149,2.865262,2.877882,2.762246,2.88605,3.217997,2.966221,3.203882,2.846271,3.242823,2.929368,2.620512,3.137681,2.443399,3.170802,3.186864,3.135414,2.918828,2.602863,3.170601,3.18504,2.508429,2.710997,2.855177,3.175524,2.721736,2.626739,2.914191,3.132153,3.170673,3.116198,2.398021,2.548233,3.20468,2.471301,2.304153,3.249657,2.584691,2.748431,3.114378,2.874985,2.711518,2.453867,2.855371,2.477759,2.940173,3.238564,2.395623,2.84813,2.740882,2.741063,3.183926,3.165198,2.876537,2.693585,3.26619,2.679973,3.253038,2.227547,2.279029,2.95155,2.801166,2.788643,2.754625,2.571544,2.917036,2.441043,2.671212,3.055744,3.174137,2.494903,2.782667,3.170485,2.431184,3.20578,2.825338,3.131206,2.903172,3.22521,3.20799,3.229991,3.209631,2.923779,3.206891,3.221916,2.62218,2.617402,3.185783,3.199083,2.521635,3.271463,2.940575,2.404237,2.622431,3.212203,2.697619,2.508568,3.199585,2.826252,2.926633,2.901558,2.828163,3.151175,
191.000,3.07057,3.380888,3.055139,2.885628,2.763856,2.828883,2.78618,2.747413,2.896348,2.632735,2.672182,2.753377,3.271193,2.680031,2.605739,2.755942,2.53171,3.074565,3.293873,2.714272,2.560814,2.710551,3.025445,2.747096,2.329564,2.667712,2.865472,2.954551,3.442313,2.69837,2.912704,2.973928,2.539335,2.80902,2.695419,2.455902,3.118629,2.702051,2.814787,2.693075,2.517317,3.26379,2.628536,2.815825,2.514929,2.76078,2.770068,2.82686,2.749029,2.339142,2.366836,2.493623,2.979148,2.670893,2.468132,2.582217,2.36185,2.544527,2.484133,2.742593,3.368696,2.517757,2.593925,2.694715,2.746048,2.558439,2.922084,2.382442,2.4158,2.927234,2.63636,2.642005,2.433587,2.246319,2.678869,3.353335,2.959502,2.734675,2.435332,2.411089,2.68371,2.255357,2.532299,2.495155,2.34514,2.730795,2.679371,2.460805,2.532083,2.416563,2.811964,2.673349,2.438689,2.567902,3.11236,2.593423,2.657685,2.433318,2.734254,2.639065,2.576763,2.595663,3.297017,2.735942,3.002723,3.06478,2.305439,2.350029,2.716075,2.606932,2.670321,2.348488,2.596572,2.487126,3.256341,2.379129,2.331113,2.920979,2.493811,2.325624,2.716061,2.334424,3.128867,2.462859,2.419579,2.553365,2.726632,2.623353,2.465925,2.661818,2.65681,2.444696,2.271092,2.870263,2.298218,2.258189,2.45226,2.553611,2.347503,2.418545,2.467172,2.586513,3.318069,2.268948,2.35653,2.223908,2.651054,2.408035,2.851886,2.441846,2.509345,2.66267,2.3906,2.350004,3.015534,2.648559,2.653279,2.543562,2.583436,2.354901,2.416032,2.791031,2.376747,2.411572,2.200683,2.55041,2.409593,2.463492,2.335286,2.547514,2.179499,2.314737,2.441392,2.915566,2.43689,2.379673,2.344379,2.115021,2.432751,2.52951,2.314014,2.251624,2.343044,2.542067,2.46069,2.56314,2.338828,2.504938,2.24291,2.530579,2.256352,2.420787,2.422899,2.32513,2.646435,2.856172,2.379306,2.200053,2.58967,2.592128,2.639373,2.528905,2.233782,3.079239,2.442627,2.362397,2.552052,2.291279,2.58518,2.423235,2.438444,2.723438,3.333724,2.731323,2.696327,2.386184,3.272143,2.770372,2.597657,2.324678,2.396283,2.445661,2.322207,2.380534,2.313843,2.212834,2.737472,2.433524,2.331745,2.738968,2.54417,2.168887,2.351474,3.344775,2.403172,2.435431,2.253036,2.242891,2.977294,2.592337,2.539466,2.732461,2.598042,2.223925,2.244258,2.359681,2.346036,2.348824,2.489369,2.300159,2.419896,
192.000,2.853545,3.304333,2.915977,2.936794,3.007967,3.060348,2.947056,3.033139,2.912803,2.716532,2.911013,2.778771,2.651654,2.779748,2.578153,3.171035,3.395293,3.1236,2.571674,3.11948,3.141448,3.159845,2.954793,2.838001,3.026128,3.442934,3.105955,3.436724,3.284908,3.128862,3.390857,3.332566,3.007472,2.591602,3.123047,2.898753,3.4073,3.405729,3.422733,3.342577,2.889132,2.711133,3.473925,3.438984,2.891465,2.894069,3.392479,3.037974,3.406795,2.917555,2.905997,3.420751,3.355386,2.947351,2.851346,3.021376,2.92165,3.192605,3.112395,2.777918,2.983459,2.936227,2.80596,2.893256,3.339212,3.386339,3.109518,2.695704,3.39549,3.328972,3.377164,3.464677,3.489957,2.610805,3.32582,3.341613,3.311012,2.717633,2.640069,3.030313,3.153549,2.738052,2.647727,2.988134,2.653643,2.845284,2.551166,3.203823,3.46117,2.508111,2.997879,3.453768,3.101694,3.006161,3.368975,3.457474,3.403994,2.549935,3.345905,2.800132,3.135103,2.805954,2.817001,3.403217,2.650848,3.300776,2.81528,2.672584,2.725962,3.007157,3.184362,2.289147,2.817012,3.408261,2.796109,3.170153,2.683701,3.307312,3.180072,3.203825,2.703545,2.698066,3.391633,3.48256,3.46298,2.778532,3.451433,2.926915,3.186258,2.50235,2.923453,2.628516,2.695423,2.904413,3.516079,2.6789,3.192618,2.748155,2.514495,2.823988,2.875217,3.423009,2.634058,2.838765,2.568266,2.762593,3.457151,3.44345,3.086855,3.334918,3.436545,3.157644,2.778976,2.623654,2.703742,2.717151,3.373351,2.720242,2.581198,2.831947,3.354187,3.159832,2.797767,2.771744,2.744996,2.789201,2.804913,2.807773,2.893717,3.412471,2.917459,2.977441,3.133209,3.033679,2.876291,2.532513,2.764507,2.555246,3.502478,3.077824,2.961943,2.66296,2.544117,3.038649,2.45394,3.09152,2.653368,3.398854,2.913543,3.406796,2.694466,3.44233,2.503162,2.470155,2.802635,2.657267,3.155103,2.568631,3.166904,3.466384,3.144266,3.125106,2.758754,3.248611,2.497049,2.52897,2.567645,2.480017,2.540233,2.683733,2.626452,3.377714,2.698185,2.740103,2.350413,3.02869,2.602953,3.448651,3.453835,2.50109,2.863674,2.735535,2.924343,3.181337,3.477352,2.866091,3.04954,2.746026,2.448076,3.061368,2.803381,2.770072,2.524717,2.842271,3.018664,2.92281,2.486271,2.50295,2.742906,2.523324,3.029004,2.859594,2.785985,2.781099,2.567227,2.964897,3.471169,2.63699,2.786453,2.720137,2.466711,
193.000,2.802095,2.664792,3.02783,3.009806,3.238562,2.914696,2.99484,2.556745,3.121285,2.685683,2.732445,2.7539,2.928311,2.99051,2.806121,3.278097,2.620916,3.336437,2.923204,2.990875,3.031251,3.324637,3.395093,2.985445,3.378346,3.342251,3.038193,3.230455,2.684191,2.974132,2.99308,2.685725,3.352038,3.075382,2.999617,3.359637,3.301185,2.96577,3.397937,2.770565,3.369239,2.893958,3.243296,3.303542,3.415282,2.770928,2.998523,2.642364,2.959819,3.340116,3.357723,3.020186,2.78104,3.069835,3.103802,3.334459,3.296563,3.312949,2.874379,2.775322,2.834212,2.902293,2.977024,2.784616,2.995213,2.840167,3.466175,3.098738,2.705692,2.981136,2.670936,3.267787,3.245848,3.520429,2.874271,3.039298,2.816609,3.145473,2.792147,3.365118,3.387562,3.503257,2.686319,3.459146,3.521889,3.501958,2.828699,3.27141,3.33547,3.092111,3.329665,3.281597,2.948833,3.371064,2.983422,3.316858,3.023545,3.486909,2.771239,3.375308,3.03813,3.333453,3.360255,2.99462,2.841096,2.5599,3.435846,3.463029,3.126027,3.382372,3.254449,2.605616,3.153541,3.08915,3.526045,3.463131,2.889236,2.886775,3.347008,3.344814,3.241285,3.112746,3.365322,3.279865,3.431478,3.461441,3.289239,2.71675,3.354232,3.099739,2.906704,3.078722,3.176252,3.196086,3.233749,3.241477,3.339148,3.096356,2.895636,2.956768,3.503945,2.980588,3.261938,3.215706,3.175492,3.391848,3.293074,2.989475,2.850334,2.798576,2.967969,3.395317,2.790712,2.885552,2.860379,3.40364,2.890054,3.45259,3.251063,2.919341,2.599696,3.287165,3.506139,2.841001,3.483205,3.052186,2.806644,2.644247,3.503601,3.032969,2.529086,3.123368,3.136406,3.03471,3.493316,3.02086,3.15704,2.796931,3.224005,2.770171,3.168277,3.042332,2.56604,2.775385,2.771422,2.918421,3.532783,2.860693,3.429456,3.089591,2.795681,2.981402,3.103174,3.382764,3.361848,3.528028,3.029974,3.520749,3.385429,3.332445,2.976651,3.100478,3.37345,2.41687,2.659981,2.593458,3.534103,2.877361,2.622116,3.3508,3.096652,2.832516,2.702465,2.460743,3.079802,2.580133,2.652354,3.323275,3.335162,3.264084,3.095503,3.189663,2.722239,3.423403,3.411238,3.153711,2.569842,2.900257,3.039839,2.807761,2.776195,3.226641,3.095024,2.946849,3.384241,3.311054,3.097171,2.628038,2.714732,2.698931,2.689986,3.420913,2.853333,2.602159,3.187401,3.196595,3.398137,3.091666,2.880997,2.680165,2.882845,
194.000,3.093946,2.549116,2.617185,2.470066,2.475574,2.980036,2.526171,2.687596,3.177464,2.546015,2.796777,2.46421,2.617127,3.091085,3.108907,2.571041,2.631737,3.027487,2.554522,2.649117,2.703566,3.030339,3.170255,2.462081,2.836975,3.129533,2.723782,2.383515,2.565755,2.606442,2.777252,2.691768,2.973218,2.806912,2.870515,2.763719,3.04492,2.613631,3.450511,2.963487,2.561437,3.091496,2.558054,2.769492,3.073658,2.781586,2.60736,2.750233,2.764757,2.82869,2.995057,2.788808,2.568456,2.647953,2.930351,2.646839,2.583263,2.64772,2.873622,2.56144,2.915524,2.670063,3.128208,2.723996,3.342672,2.58742,3.323776,2.800187,2.78818,3.424129,2.601223,2.583463,2.64605,3.269675,3.374846,2.805631,3.114505,2.837641,2.652263,3.203767,3.077958,3.283178,3.543429,3.377124,3.254163,3.272152,2.692226,2.557496,2.819216,3.305549,2.691665,2.67084,3.095475,2.894794,2.582052,2.908324,2.625778,2.921261,3.269391,2.756427,2.683619,2.494865,2.69288,2.932351,3.017314,2.825758,3.001246,2.954007,2.913553,2.841187,2.551893,3.084136,3.058132,3.041867,3.230328,3.256516,2.372081,3.340984,2.684145,2.894163,3.283072,2.73084,3.093245,2.505011,3.2546,2.9328,2.81584,2.448194,2.643019,2.731492,2.840756,2.608035,2.990419,3.391485,2.670659,3.262355,2.709449,2.792007,3.111786,2.883446,3.232119,2.651639,3.275526,3.295989,3.058788,2.889684,2.62293,2.730915,2.580964,3.296024,2.691911,3.039541,3.059188,2.737885,3.381753,2.673368,2.913289,2.991697,3.288208,2.811519,2.970484,2.534692,3.249942,3.382907,3.359077,3.34783,2.644621,2.698689,3.214247,2.966937,2.672049,3.084266,3.503185,3.331875,3.275568,3.057262,3.041345,3.342047,2.610743,2.681974,3.441151,2.723595,2.59115,3.012331,2.762501,2.922218,3.210159,2.793314,2.976215,3.038658,3.069839,2.622271,3.263433,2.542487,2.640245,3.264609,2.865227,3.291355,3.072505,2.831786,2.679696,3.127928,2.981926,2.992273,3.495996,2.906549,3.263722,3.35974,2.432532,2.371041,2.413685,2.769376,3.011921,2.638839,2.923127,3.578018,2.782535,3.20951,3.147132,3.259464,2.946558,2.938701,2.961158,3.423847,3.324295,3.002036,2.877323,2.618459,3.011859,2.934641,2.791008,3.271414,3.276529,2.762689,2.819745,2.638278,3.277799,3.418766,2.731511,2.739799,3.0705,2.765657,2.863902,2.969226,3.005896,3.319559,3.385242,3.242692,3.052186,2.839254,2.874029,
195.000,3.351861,3.202243,3.297922,2.960867,3.600485,3.247636,3.291894,3.256874,3.521009,3.414934,3.498598,2.926456,2.705667,2.653626,2.840243,2.826452,3.438394,3.380194,2.856295,3.20087,2.772069,3.382196,3.411556,3.221159,2.880362,3.092968,3.091322,2.894751,3.301056,3.161791,2.905385,3.187792,3.04062,3.560785,3.370464,3.119118,3.345032,3.060328,3.409758,3.083269,2.718487,2.687382,2.744733,2.927983,3.253102,2.962922,2.917106,3.199845,3.555918,3.177133,3.501599,2.668382,3.245607,2.598483,3.014028,2.850266,3.308536,2.721431,3.241943,2.92303,2.666651,2.827853,3.236442,2.979429,2.777828,2.70793,3.018125,3.083339,3.006792,2.84825,3.03344,2.610785,3.043643,2.621258,2.887195,2.895896,3.089745,2.698809,2.953872,3.285045,2.94282,2.578617,3.319933,3.10956,2.459567,2.513235,2.608358,3.129385,2.537301,2.557116,3.067135,2.808921,3.089078,2.811297,2.766349,3.045197,2.497532,2.55097,3.33192,2.715447,2.705168,2.772955,2.80226,3.505761,3.086265,3.24168,2.81141,2.610662,2.834329,2.700614,3.257755,2.463316,2.56808,2.591862,2.563932,2.424551,2.687526,2.565877,2.513615,3.07453,2.483898,2.687087,3.231154,2.509821,2.793535,2.530231,2.969456,3.025189,2.689358,3.306299,3.01867,2.997864,2.422899,2.842459,2.938749,2.681834,2.697757,2.710266,2.771571,2.879642,2.40125,2.911994,2.607391,2.683568,2.674181,2.800684,2.533438,2.699637,2.999707,2.378961,2.980003,2.689679,2.622132,3.089285,3.045593,2.783926,2.67852,2.679256,2.55207,2.72546,2.581261,2.649801,2.602544,2.49581,2.823686,2.686655,2.56235,3.13402,2.657578,2.934938,2.574376,2.803201,3.29516,2.782479,2.505207,2.61172,2.624619,2.270365,2.941038,2.620589,2.978017,3.072682,2.616133,2.652561,2.418863,2.603573,2.750016,2.873419,2.451998,2.725441,2.364907,2.588877,2.445335,2.654112,3.025488,2.513469,2.868464,3.084179,2.964748,2.573134,3.071399,2.872428,3.534869,2.572225,2.972549,2.386254,2.51636,2.562111,2.282658,2.655076,2.549783,2.791554,3.258658,2.702077,2.525581,3.257292,2.761605,3.314719,3.020332,2.789191,2.947271,2.502596,2.852896,3.497024,2.832527,2.478267,2.993387,2.489444,2.461397,2.601088,3.247532,2.544533,2.390864,2.916723,2.567225,2.761774,2.380677,2.580544,2.634556,2.348828,2.282855,2.673578,2.453893,3.103026,2.524992,2.744881,2.807584,2.553825,2.494509,3.0776,2.456641,
196.000,2.8813,3.232182,3.378541,3.174199,3.327934,3.388161,3.46057,3.489736,3.275818,2.916146,2.973002,3.510782,3.177256,2.63259,2.99415,2.678549,2.988937,3.084404,3.201134,3.213361,2.914677,2.825671,3.210026,3.2291,3.560872,3.105482,3.543057,3.145977,3.357829,2.816011,2.82099,3.219444,2.706185,3.310445,2.94838,3.419561,2.978872,3.150209,3.047435,3.41343,3.408389,3.061904,2.950083,3.175609,3.353829,2.882174,3.49036,3.127155,3.341387,3.246546,3.491856,3.017318,3.028466,2.900661,3.190414,3.20574,3.372705,2.875023,3.48059,3.472405,3.178174,3.538165,3.360198,3.525025,3.100167,3.608849,3.558388,3.540584,2.916777,3.050047,2.906388,2.787297,3.23316,2.990619,3.571635,2.924504,3.29848,3.171306,3.082617,2.580093,3.105863,2.693568,3.006927,3.246659,2.876427,2.723107,2.70436,3.487659,3.145281,2.954459,3.101335,3.030397,3.320729,3.049193,3.006369,3.072772,3.052268,3.195859,2.675804,2.979177,2.905188,3.329303,2.85781,3.477234,2.910274,3.480541,3.193506,3.30364,2.913554,2.860527,3.025908,3.044265,2.849534,3.191943,3.002041,2.981247,3.435994,2.866032,2.891986,3.54922,2.878552,2.937,3.432709,3.280697,3.384939,3.281361,2.682135,3.463934,3.301855,3.282462,2.847297,3.530982,2.931407,2.762565,2.503715,3.613939,3.268566,2.961731,2.585266,3.503095,3.106667,2.936165,3.343529,2.904222,2.687916,2.758556,3.023149,2.880492,3.519094,3.029488,2.871179,2.773412,3.36898,2.717208,3.35088,3.49471,2.87809,2.684208,2.802991,3.057217,2.673943,2.570556,3.054889,2.849934,2.648116,2.737397,2.901304,2.672693,3.528687,2.732625,2.718665,2.764306,2.739207,3.091627,2.644481,2.765882,2.594065,2.720879,2.933632,3.002851,2.702718,2.46904,2.862075,3.398689,2.643028,2.435488,3.344613,3.572948,2.723251,2.851614,2.419818,2.71569,2.847493,2.62882,3.407132,2.610841,2.501057,3.286315,2.99969,2.743389,2.596562,2.937534,3.348947,2.932822,2.658275,2.696712,2.848416,2.45979,2.850353,3.622506,3.451755,2.689067,2.564927,2.554893,3.398298,2.418616,2.486015,2.841012,2.483078,3.392246,2.698229,3.650443,3.014435,3.264061,2.94661,2.696745,2.700328,2.819086,2.758521,2.732823,3.494039,3.050166,2.745353,3.394157,2.778575,2.729598,2.793633,2.471252,2.690158,2.747341,2.810226,3.498208,3.023546,3.310593,3.054692,2.93652,2.599326,3.558452,2.645647,2.562121,2.853599,
197.000,3.150971,3.43603,2.905339,3.202655,2.93432,3.280309,3.527948,3.433904,2.999963,3.548181,2.791824,2.906113,3.306683,3.136535,3.071769,3.006886,3.064199,3.341034,3.158631,3.529532,3.31938,3.360707,3.453351,3.433074,3.367369,3.428026,3.309144,2.993412,2.98171,3.147368,3.606157,3.514991,3.162979,3.065424,3.450905,3.212541,3.345816,3.25779,2.936457,2.906924,2.657348,3.389537,3.423018,3.240637,3.075096,2.992777,3.006551,3.28814,2.922481,3.41399,3.305415,3.563177,3.048784,2.856473,3.141438,3.143405,2.922624,3.152832,3.501784,3.082411,3.354227,3.481705,3.065029,3.457453,2.571064,3.236647,3.325484,3.328617,2.822776,3.360809,3.039839,2.920581,3.527318,3.123312,3.357495,3.059784,2.793146,2.778627,2.797739,3.366079,3.516077,2.894758,3.138191,3.49279,3.044323,3.058977,2.841733,3.510482,3.559407,2.962621,3.109125,3.267671,2.55354,3.344837,3.54167,3.00206,2.983568,3.024021,2.878455,3.335042,3.037102,3.268708,3.504108,3.359674,3.178705,3.499084,3.251448,3.513495,3.309162,2.781131,3.051106,3.233257,3.450325,3.339366,2.952224,3.539429,3.000756,2.877039,2.747319,3.303317,2.956624,2.761086,3.107121,3.008147,2.764807,3.030404,3.023692,3.047297,2.717858,2.874154,2.704265,3.410156,3.107875,2.958645,3.031898,3.289495,2.967666,3.414377,2.874815,2.999942,3.368439,2.620582,3.366205,2.403452,2.847749,3.326816,2.980782,3.470086,3.45965,2.743294,3.017472,2.970284,3.231858,2.960561,2.977863,3.074839,2.920669,2.50091,2.789931,3.35896,2.98684,3.175723,2.960896,3.303471,2.987617,2.835561,2.844641,2.972169,3.043521,3.045862,3.000198,2.792929,2.837455,2.913019,2.930118,2.802794,2.456789,3.470747,3.381837,2.669557,2.887961,3.123878,2.901211,2.974775,2.746649,2.760192,2.434593,3.313468,2.816368,2.765016,2.684891,3.000547,2.605071,2.965878,2.946559,2.569954,2.931982,2.726629,2.974895,2.993823,3.377973,3.451515,2.917607,3.33231,3.087884,3.003802,3.133843,2.887401,3.352371,3.192657,2.555719,3.365283,3.688436,3.478518,2.423023,2.659667,2.697002,3.606879,3.117266,2.438491,2.983199,3.205252,2.967007,2.715412,2.671253,2.551299,3.420094,3.378401,2.556108,2.941578,3.433625,2.759882,2.670257,3.077111,2.680472,3.412177,2.836497,2.626318,2.832178,2.812151,3.378222,2.766995,3.045343,2.585683,3.511856,2.633283,3.018658,2.977418,2.628944,2.627614,3.118979,
198.000,2.850448,3.155411,3.203075,3.05505,3.137908,3.246128,3.264667,3.010928,3.418211,3.527538,3.210768,2.738631,2.425394,2.991979,3.06257,2.897105,2.791923,3.025559,3.22227,3.402379,3.341846,3.253689,3.103266,3.168417,3.224187,3.259623,3.12558,3.313811,2.890154,3.520027,3.294917,3.470489,2.882298,3.589794,2.897737,3.514221,2.694755,3.47884,3.192407,3.163726,3.116119,3.057926,2.975669,3.530587,3.495218,3.121317,3.06375,3.374671,3.17648,3.23823,2.731481,3.34164,3.34843,2.930604,3.311329,2.905471,3.136286,3.42578,3.356233,3.015559,3.126801,3.37936,3.54392,3.510016,3.141634,2.907088,2.765618,2.778826,3.000606,2.715874,3.44462,2.672241,3.384038,3.118422,3.259915,3.341322,3.618323,2.894661,3.00353,3.38473,3.507946,2.884307,3.096868,3.532258,2.602776,2.880832,3.017355,3.30377,3.264139,3.167299,3.489785,3.496499,2.898341,2.610737,3.456079,3.502288,3.01264,3.121007,3.311456,2.87143,3.270423,2.935291,3.059311,2.981694,2.957867,3.372763,3.46114,3.371162,3.393564,3.193744,3.330483,2.615959,2.903049,2.703238,3.080428,3.448205,3.090611,3.138259,3.041051,3.141731,2.58651,2.934553,3.32317,2.954467,3.318222,3.057782,3.282079,2.920086,3.442618,3.587268,3.170682,3.06823,2.721815,2.852883,3.354279,3.135991,2.832893,2.737771,3.037506,3.083218,2.820211,2.922799,2.967712,2.870176,2.896204,3.410221,2.79564,3.198027,3.507073,2.749764,3.014392,2.778,2.759449,2.719973,3.438824,3.0231,2.939426,3.22845,2.91078,2.720307,2.595445,3.514289,2.845201,2.761525,2.62165,3.105468,3.348481,3.536784,3.126095,3.526963,2.890289,3.208499,2.782394,3.495792,3.019906,2.875211,2.837492,2.885289,2.912445,2.559646,2.56708,3.35849,2.479918,3.398735,2.544796,3.146995,2.956936,3.07972,2.82485,3.325077,2.443499,3.154286,2.912165,3.24653,3.360088,2.913088,2.659011,3.656524,3.120596,3.340829,3.300606,3.248998,2.918355,2.464763,2.843065,2.663995,2.672046,3.220572,2.531093,2.432373,2.505817,3.283005,3.128049,2.713616,2.842414,2.905659,2.484605,3.304649,3.367246,2.892052,3.449745,2.44544,2.862095,2.975483,2.844754,3.036512,2.700084,2.761331,2.715582,2.766274,3.003686,2.869805,2.778216,3.445462,2.723005,2.8958,3.071346,2.769131,2.526338,2.841508,2.585732,2.89568,2.50667,3.239576,3.529086,2.968727,3.159411,2.739215,2.636873,2.609576,2.729003,
199.000,3.165708,3.184819,3.328216,3.125062,3.609867,2.842482,2.926434,2.976175,2.773419,3.235198,2.957463,3.599213,2.883642,2.608474,2.604857,2.758399,3.213715,3.322522,3.061793,3.162947,3.17296,2.705617,3.008989,3.126142,3.621455,3.375201,3.418204,3.434432,2.957348,3.549025,3.182395,3.549516,3.404706,3.308889,2.951055,3.569885,3.465365,2.992471,3.338295,3.513293,3.405714,3.635914,3.301609,3.4564,3.053473,3.61257,3.41657,3.057465,3.437568,3.503251,3.275951,3.001575,3.054204,3.410183,3.337794,3.160068,3.629451,3.299093,3.015835,3.400788,3.344936,2.931125,3.529676,3.43009,3.328221,3.61684,2.980917,3.14876,3.205775,2.981676,2.885383,3.186942,2.855451,3.545122,3.454077,3.070523,3.36678,3.258508,3.221388,3.309494,3.356152,3.169894,3.624485,3.275925,3.189673,2.731574,3.090118,2.970726,3.093501,3.414703,3.043415,3.583546,3.411474,2.951251,3.582141,3.053308,3.046501,2.934619,3.487464,3.655313,3.590547,3.427707,3.14805,3.365878,3.146779,2.937905,3.077619,3.327527,3.336427,3.424536,2.728972,3.721242,2.923911,3.07178,2.754731,3.607593,3.118185,3.218941,3.65889,3.345651,2.736373,3.048693,3.332291,3.52217,3.591135,3.410558,2.659773,3.372104,3.152724,3.457322,3.190173,3.22486,2.904445,3.293821,2.773035,3.380643,3.530616,3.008003,2.824002,3.324832,3.170995,3.604566,3.406713,3.297118,3.163794,3.245016,3.441239,3.622599,3.438531,2.699669,3.40378,2.945364,3.696481,3.196168,2.984603,3.372611,2.906177,3.43665,3.133194,3.260808,2.77781,3.538971,3.04779,3.589498,2.931568,2.876849,2.625521,3.5793,3.602681,3.575369,3.079465,3.332121,2.982574,3.147949,3.009652,3.679152,3.12312,3.267129,3.122399,2.775702,3.470069,3.193581,3.155511,3.178909,2.68198,2.716678,3.223104,3.633373,3.207463,2.94015,2.671595,3.434686,3.259809,2.860802,3.270275,3.376266,2.70305,3.232852,3.632692,2.54181,2.787576,3.393981,3.053494,2.952908,2.89145,2.647218,3.113581,2.465929,3.033837,3.049468,3.334321,2.711299,2.786685,2.571301,3.182795,2.625486,3.063829,2.842506,2.644252,3.396754,2.884337,2.976793,2.965505,2.725451,2.856528,3.411263,3.280342,3.028724,3.539404,3.396892,2.811835,3.059538,2.835829,3.300237,2.871111,3.163133,3.442923,3.314001,2.8424,3.150544,3.021821,3.395069,2.966164,3.371345,3.258381,2.977601,3.385371,2.862293,2.851877,2.588717,2.858062,
