,d2o 018 By Administrator Date Friday. December 17 2021,
Time,13:40:23,
Wavenumbers [1/cm],Transmittance %,
7000.000,12.1685,
6999.000,12.1134,
6998.000,12.0598,
6997.000,12.0061,
6996.000,11.9521,
6995.000,11.899,
6994.000,11.8472,
6993.000,11.7961,
6992.000,11.7434,
6991.000,11.6874,
6990.000,11.6289,
6989.000,11.5714,
6988.000,11.5175,
6987.000,11.4655,
6986.000,11.4115,
6985.000,11.3556,
6984.000,11.3019,
6983.000,11.2526,
6982.000,11.2043,
6981.000,11.152,
6980.000,11.0941,
6979.000,11.0332,
6978.000,10.9714,
6977.000,10.9099,
6976.000,10.8493,
6975.000,10.7911,
6974.000,10.7358,
6973.000,10.682,
6972.000,10.6277,
6971.000,10.5717,
6970.000,10.5146,
6969.000,10.4564,
6968.000,10.3958,
6967.000,10.3326,
6966.000,10.2698,
6965.000,10.2123,
6964.000,10.1609,
6963.000,10.1107,
6962.000,10.0572,
6961.000,10.001,
6960.000,9.94589,
6959.000,9.89276,
6958.000,9.83954,
6957.000,9.78491,
6956.000,9.72892,
6955.000,9.67111,
6954.000,9.61178,
6953.000,9.55479,
6952.000,9.50443,
6951.000,9.45952,
6950.000,9.41444,
6949.000,9.36667,
6948.000,9.31928,
6947.000,9.27456,
6946.000,9.22888,
6945.000,9.17732,
6944.000,9.12026,
6943.000,9.06209,
6942.000,9.0059,
6941.000,8.95196,
6940.000,8.90018,
6939.000,8.851,
6938.000,8.80408,
6937.000,8.75855,
6936.000,8.7149,
6935.000,8.67435,
6934.000,8.63587,
6933.000,8.59543,
6932.000,8.54941,
6931.000,8.4986,
6930.000,8.44727,
6929.000,8.39812,
6928.000,8.34986,
6927.000,8.30069,
6926.000,8.25251,
6925.000,8.20893,
6924.000,8.16937,
6923.000,8.12839,
6922.000,8.08298,
6921.000,8.0372,
6920.000,7.99628,
6919.000,7.95966,
6918.000,7.92328,
6917.000,7.88639,
6916.000,7.85142,
6915.000,7.8175,
6914.000,7.77967,
6913.000,7.7362,
6912.000,7.69132,
6911.000,7.64858,
6910.000,7.60585,
6909.000,7.55988,
6908.000,7.51289,
6907.000,7.47076,
6906.000,7.43568,
6905.000,7.40364,
6904.000,7.36944,
6903.000,7.33163,
6902.000,7.29272,
6901.000,7.25604,
6900.000,7.22261,
6899.000,7.19063,
6898.000,7.15795,
6897.000,7.12518,
6896.000,7.09514,
6895.000,7.06888,
6894.000,7.04356,
6893.000,7.01521,
6892.000,6.98246,
6891.000,6.94707,
6890.000,6.91154,
6889.000,6.87731,
6888.000,6.84463,
6887.000,6.81323,
6886.000,6.78293,
6885.000,6.75368,
6884.000,6.72504,
6883.000,6.69586,
6882.000,6.66538,
6881.000,6.63442,
6880.000,6.60451,
6879.000,6.57622,
6878.000,6.54928,
6877.000,6.52407,
6876.000,6.50141,
6875.000,6.48081,
6874.000,6.46003,
6873.000,6.43682,
6872.000,6.41023,
6871.000,6.38037,
6870.000,6.34814,
6869.000,6.31544,
