,02-11-2021_11h23,
Wavenumbers [1/cm],Transmittance,
6993.571,4.180506,
6989.713,4.183698,
6985.856,4.184155,
6981.999,4.184114,
6978.141,4.186123,
6974.284,4.187527,
6970.426,4.187958,
6966.569,4.188299,
6962.711,4.188513,
6958.854,4.188881,
6954.996,4.189947,
6951.139,4.19249,
6947.281,4.194623,
6943.424,4.193871,
6939.567,4.190878,
6935.709,4.187099,
6931.852,4.184238,
6927.994,4.183064,
6924.137,4.181606,
6920.279,4.179574,
6916.422,4.179667,
6912.564,4.180453,
6908.707,4.178092,
6904.849,4.174387,
6900.992,4.172618,
6897.134,4.172305,
6893.277,4.173582,
6889.420,4.177845,
6885.562,4.183244,
6881.705,4.186882,
6877.847,4.188204,
6873.990,4.186879,
6870.132,4.183055,
6866.275,4.179199,
6862.417,4.177643,
6858.560,4.176775,
6854.702,4.173286,
6850.845,4.167139,
6846.988,4.160242,
6843.130,4.153324,
6839.273,4.147039,
6835.415,4.142334,
6831.558,4.139157,
6827.700,4.137299,
6823.843,4.137681,
6819.985,4.142355,
6816.128,4.150567,
6812.270,4.157657,
6808.413,4.162311,
6804.555,4.166402,
6800.698,4.17077,
6796.841,4.175258,
6792.983,4.178768,
6789.126,4.182123,
6785.268,4.187241,
6781.411,4.192687,
6777.553,4.196416,
6773.696,4.199925,
6769.838,4.203853,
6765.981,4.205766,
6762.123,4.204961,
6758.266,4.203279,
6754.409,4.202507,
6750.551,4.202576,
6746.694,4.203926,
6742.836,4.207174,
6738.979,4.209746,
6735.121,4.211253,
6731.264,4.213674,
6727.406,4.216055,
6723.549,4.21771,
6719.691,4.219356,
6715.834,4.220215,
6711.977,4.219352,
6708.119,4.217086,
6704.262,4.21407,
6700.404,4.21227,
6696.547,4.212258,
6692.689,4.211497,
6688.832,4.209858,
6684.974,4.209123,
6681.117,4.209535,
6677.259,4.210457,
6673.402,4.210356,
6669.544,4.2095,
6665.687,4.210594,
6661.830,4.213687,
6657.972,4.21632,
6654.115,4.21729,
6650.257,4.217564,
6646.400,4.219106,
6642.542,4.221432,
6638.685,4.222176,
6634.827,4.220931,
6630.970,4.218961,
6627.112,4.217669,
6623.255,4.216937,
6619.398,4.215499,
6615.540,4.213561,
6611.683,4.212368,
6607.825,4.212408,
6603.968,4.212318,
6600.110,4.211061,
6596.253,4.20997,
6592.395,4.210763,
6588.538,4.214177,
6584.680,4.218837,
6580.823,4.222294,
6576.965,4.22495,
6573.108,4.226623,
6569.251,4.224882,
6565.393,4.221591,
6561.536,4.219874,
6557.678,4.217962,
6553.821,4.215386,
6549.963,4.215581,
6546.106,4.218375,
6542.248,4.219435,
6538.391,4.217299,
6534.533,4.214954,
6530.676,4.214795,
6526.819,4.216004,
6522.961,4.216947,
6519.104,4.217083,
6515.246,4.21697,
6511.389,4.217435,
6507.531,4.218428,
6503.674,4.21955,
6499.816,4.220725,
6495.959,4.221533,
6492.101,4.221943,
6488.244,4.222203,
6484.386,4.22167,
6480.529,4.22075,
6476.672,4.220028,
6472.814,4.218229,
6468.957,4.216094,
6465.099,4.215684,
6461.242,4.216068,
6457.384,4.215699,
6453.527,4.214626,
6449.669,4.212929,
6445.812,4.212068,
6441.954,4.213928,
6438.097,4.216428,
6434.240,4.21754,
6430.382,4.218622,
6426.525,4.219759,
6422.667,4.220634,
6418.810,4.221931,
6414.952,4.222944,
6411.095,4.223507,
6407.237,4.225055,
6403.380,4.226626,
6399.522,4.224851,
6395.665,4.22047,
6391.808,4.218526,
6387.950,4.220204,
6384.093,4.222093,
6380.235,4.222826,
6376.378,4.222777,
6372.520,4.221838,
6368.663,4.221172,
6364.805,4.221503,
6360.948,4.222517,
6357.090,4.224607,
6353.233,4.226027,
6349.375,4.224727,
6345.518,4.223125,
6341.661,4.223943,
6337.803,4.226636,
6333.946,4.229208,
6330.088,4.229583,
6326.231,4.227809,
6322.373,4.22628,
6318.516,4.225528,
6314.658,4.22387,
6310.801,4.221408,
6306.943,4.219517,
6303.086,4.218117,
6299.229,4.216771,
6295.371,4.21599,
6291.514,4.21655,
6287.656,4.218288,
6283.799,4.219972,
6279.941,4.221169,
6276.084,4.223085,
6272.226,4.226,
6268.369,4.228292,
6264.511,4.229338,
6260.654,4.2304,
6256.796,4.231802,
6252.939,4.231681,
6249.082,4.229912,
6245.224,4.228824,
6241.367,4.228045,
6237.509,4.225939,
6233.652,4.223639,
6229.794,4.222592,
6225.937,4.222304,
6222.079,4.221152,
6218.222,4.218481,
6214.364,4.216645,
6210.507,4.2182,
6206.650,4.221562,
6202.792,4.223712,
6198.935,4.225306,
6195.077,4.228695,
6191.220,4.232959,
6187.362,4.234889,
6183.505,4.234134,
6179.647,4.232857,
6175.790,4.231391,
6171.932,4.228803,
6168.075,4.22587,
6164.218,4.224184,
6160.360,4.223788,
6156.503,4.223874,
6152.645,4.223512,
6148.788,4.221421,
6144.930,4.21859,
6141.073,4.218219,
6137.215,4.220686,
6133.358,4.223158,
6129.500,4.224204,
6125.643,4.225445,
6121.785,4.22808,
6117.928,4.230247,
6114.071,4.23024,
6110.213,4.229779,
6106.356,4.231276,
6102.498,4.232918,
6098.641,4.231441,
6094.783,4.227814,
6090.926,4.224205,
6087.068,4.221402,
6083.211,4.219956,
6079.353,4.219412,
6075.496,4.219299,
6071.639,4.219702,
6067.781,4.21986,
6063.924,4.218503,
6060.066,4.216566,
6056.209,4.216644,
6052.351,4.219514,
6048.494,4.223742,
