,2-PROPANONE,
Wavenumbers [1/cm],Transmittance,
4000.273,0.888,
3999.233,0.888,
3998.194,0.888,
3997.154,0.888,
3996.114,0.8882,
3995.075,0.8887,
3994.035,0.889,
3992.996,0.889,
3991.956,0.8888,
3990.916,0.8883,
3989.877,0.888,
3988.837,0.888,
3987.797,0.8892,
3986.758,0.8922,
3985.718,0.895,
3984.678,0.8975,
3983.639,0.8992,
3982.599,0.8997,
3981.559,0.9,
3980.520,0.9,
3979.480,0.9,
3978.441,0.9,
3977.401,0.9004,
3976.361,0.9014,
3975.322,0.9022,
3974.282,0.9027,
3973.242,0.903,
3972.203,0.903,
3971.163,0.9034,
3970.123,0.9044,
3969.084,0.9052,
3968.044,0.9057,
3967.005,0.906,
3965.965,0.906,
3964.925,0.906,
3963.886,0.906,
3962.846,0.906,
3961.806,0.906,
3960.767,0.9064,
3959.727,0.9074,
3958.687,0.908,
3957.648,0.908,
3956.608,0.908,
3955.568,0.908,
3954.529,0.908,
3953.489,0.908,
3952.450,0.908,
3951.410,0.908,
3950.370,0.908,
3949.331,0.908,
3948.291,0.9082,
3947.251,0.9087,
3946.212,0.909,
3945.172,0.909,
3944.132,0.909,
3943.093,0.909,
3942.053,0.9088,
3941.014,0.9083,
3939.974,0.9076,
3938.934,0.9066,
3937.895,0.9058,
3936.855,0.9053,
3935.815,0.9046,
3934.776,0.9036,
3933.736,0.9028,
3932.696,0.9023,
3931.657,0.902,
3930.617,0.902,
3929.577,0.902,
3928.538,0.902,
3927.498,0.902,
3926.459,0.902,
3925.419,0.9016,
3924.379,0.9006,
3923.340,0.9,
3922.300,0.9,
3921.260,0.9,
3920.221,0.9,
3919.181,0.9,
3918.141,0.9,
3917.102,0.8998,
3916.062,0.8993,
3915.023,0.899,
3913.983,0.899,
3912.943,0.899,
3911.904,0.899,
3910.864,0.899,
3909.824,0.899,
3908.785,0.899,
3907.745,0.899,
3906.705,0.899,
3905.666,0.899,
3904.626,0.899,
3903.586,0.899,
3902.547,0.899,
3901.507,0.899,
3900.468,0.899,
3899.428,0.899,
3898.388,0.8992,
3897.349,0.8997,
3896.309,0.9,
3895.269,0.9,
3894.230,0.9004,
3893.190,0.9014,
3892.150,0.902,
3891.111,0.902,
3890.071,0.9022,
3889.032,0.9027,
3887.992,0.9034,
3886.952,0.9044,
3885.913,0.905,
3884.873,0.905,
3883.833,0.9056,
3882.794,0.9071,
3881.754,0.9082,
3880.714,0.9087,
3879.675,0.909,
3878.635,0.909,
3877.595,0.909,
3876.556,0.909,
3875.516,0.9094,
3874.477,0.9104,
3873.437,0.911,
3872.397,0.911,
3871.358,0.911,
3870.318,0.911,
3869.278,0.911,
3868.239,0.911,
3867.199,0.911,
3866.159,0.911,
3865.120,0.911,
3864.080,0.911,
3863.041,0.911,
3862.001,0.911,
3860.961,0.911,
3859.922,0.911,
3858.882,0.911,
3857.842,0.911,
3856.803,0.9106,
3855.763,0.9096,
3854.723,0.9088,
3853.684,0.9083,
3852.644,0.908,
3851.604,0.908,
3850.565,0.9076,
3849.525,0.9066,
3848.486,0.9058,
3847.446,0.9053,
3846.406,0.9046,
3845.367,0.9036,
3844.327,0.9028,
3843.287,0.9023,
3842.248,0.9016,
3841.208,0.9006,
3840.168,0.9,
3839.129,0.9,
3838.089,0.9,
3837.050,0.9,
3836.010,0.8998,
3834.970,0.8993,
3833.931,0.899,
3832.891,0.899,
3831.851,0.899,
3830.812,0.899,
3829.772,0.899,
3828.732,0.899,
3827.693,0.8986,
3826.653,0.8976,
3825.613,0.8968,
3824.574,0.8963,
3823.534,0.896,
3822.495,0.896,
3821.455,0.896,
3820.415,0.896,
3819.376,0.896,
3818.336,0.896,
3817.296,0.896,
3816.257,0.896,
3815.217,0.896,
3814.177,0.896,
3813.138,0.8962,
3812.098,0.8967,
3811.059,0.897,
3810.019,0.897,
3808.979,0.897,
3807.940,0.897,
3806.900,0.8968,
3805.860,0.8963,
3804.821,0.896,
3803.781,0.896,
3802.741,0.8962,
3801.702,0.8967,
3800.662,0.897,
3799.622,0.897,
3798.583,0.8974,
