,cyclohexanone_3um,
Wavenumbers [1/cm],Absorbance,
4500.000,0.067,
4499.000,0.067,
4498.000,0.067,
4497.000,0.067,
4496.000,0.067,
4495.000,0.067,
4494.000,0.067,
4493.000,0.067,
4492.000,0.0671,
4491.000,0.0671,
4490.000,0.0671,
4489.000,0.0671,
4488.000,0.0672,
4487.000,0.0672,
4486.000,0.0673,
4485.000,0.0673,
4484.000,0.0673,
4483.000,0.0673,
4482.000,0.0673,
4481.000,0.0673,
4480.000,0.0673,
4479.000,0.0673,
4478.000,0.0674,
4477.000,0.0674,
4476.000,0.0674,
4475.000,0.0675,
4474.000,0.0675,
4473.000,0.0676,
4472.000,0.0676,
4471.000,0.0676,
4470.000,0.0677,
4469.000,0.0677,
4468.000,0.0677,
4467.000,0.0678,
4466.000,0.0678,
4465.000,0.0678,
4464.000,0.0678,
4463.000,0.0679,
4462.000,0.0679,
4461.000,0.068,
4460.000,0.068,
4459.000,0.0681,
4458.000,0.0681,
4457.000,0.0681,
4456.000,0.0682,
4455.000,0.0682,
4454.000,0.0683,
4453.000,0.0683,
4452.000,0.0684,
4451.000,0.0685,
4450.000,0.0685,
4449.000,0.0686,
4448.000,0.0687,
4447.000,0.0687,
4446.000,0.0688,
4445.000,0.0689,
4444.000,0.069,
4443.000,0.0691,
4442.000,0.0692,
4441.000,0.0692,
4440.000,0.0693,
4439.000,0.0694,
4438.000,0.0695,
4437.000,0.0696,
4436.000,0.0697,
4435.000,0.0698,
4434.000,0.0699,
4433.000,0.0701,
4432.000,0.0702,
4431.000,0.0704,
4430.000,0.0705,
4429.000,0.0707,
4428.000,0.0709,
4427.000,0.071,
4426.000,0.0712,
4425.000,0.0714,
4424.000,0.0715,
4423.000,0.0717,
4422.000,0.0719,
4421.000,0.0721,
4420.000,0.0723,
4419.000,0.0724,
4418.000,0.0727,
4417.000,0.0729,
4416.000,0.0731,
4415.000,0.0733,
4414.000,0.0736,
4413.000,0.0738,
4412.000,0.0741,
4411.000,0.0743,
4410.000,0.0746,
4409.000,0.0749,
4408.000,0.0752,
4407.000,0.0754,
4406.000,0.0758,
4405.000,0.0761,
4404.000,0.0764,
4403.000,0.0767,
4402.000,0.0771,
4401.000,0.0774,
4400.000,0.0777,
4399.000,0.0781,
4398.000,0.0785,
4397.000,0.0789,
4396.000,0.0793,
4395.000,0.0797,
4394.000,0.0801,
4393.000,0.0805,
4392.000,0.081,
4391.000,0.0814,
4390.000,0.0819,
4389.000,0.0823,
4388.000,0.0828,
4387.000,0.0833,
4386.000,0.0837,
4385.000,0.0842,
4384.000,0.0846,
4383.000,0.0851,
4382.000,0.0856,
4381.000,0.086,
4380.000,0.0865,
4379.000,0.087,
4378.000,0.0875,
4377.000,0.0879,
4376.000,0.0883,
4375.000,0.0887,
4374.000,0.0891,
4373.000,0.0894,
4372.000,0.0897,
4371.000,0.09,
4370.000,0.0903,
4369.000,0.0905,
4368.000,0.0906,
4367.000,0.0907,
4366.000,0.0907,
4365.000,0.0907,
4364.000,0.0906,
4363.000,0.0905,
4362.000,0.0904,
4361.000,0.0902,
4360.000,0.0899,
4359.000,0.0897,
4358.000,0.0894,
4357.000,0.0891,
4356.000,0.0888,
4355.000,0.0886,
4354.000,0.0883,
4353.000,0.088,
4352.000,0.0878,
4351.000,0.0876,
4350.000,0.0874,
4349.000,0.0872,
4348.000,0.087,
4347.000,0.0868,
4346.000,0.0865,
4345.000,0.0863,
4344.000,0.0861,
4343.000,0.0858,
4342.000,0.0855,
4341.000,0.0852,
4340.000,0.0848,
4339.000,0.0845,
4338.000,0.0841,
4337.000,0.0837,
4336.000,0.0833,
4335.000,0.0829,
4334.000,0.0826,
4333.000,0.0823,
4332.000,0.082,
4331.000,0.0817,
4330.000,0.0815,
4329.000,0.0813,
4328.000,0.0812,
4327.000,0.0811,
4326.000,0.081,
4325.000,0.0809,
4324.000,0.0809,
4323.000,0.0809,
4322.000,0.0809,
4321.000,0.081,
4320.000,0.0811,
4319.000,0.0812,
4318.000,0.0813,
4317.000,0.0814,
4316.000,0.0815,
4315.000,0.0816,
4314.000,0.0817,
4313.000,0.0818,
4312.000,0.0819,
4311.000,0.082,
4310.000,0.0821,
4309.000,0.0822,
4308.000,0.0822,
4307.000,0.0823,
4306.000,0.0823,
4305.000,0.0824,
4304.000,0.0825,
4303.000,0.0825,
4302.000,0.0826,
4301.000,0.0827,
4300.000,0.0829,
4299.000,0.083,
4298.000,0.0832,
4297.000,0.0833,
4296.000,0.0835,
4295.000,0.0837,
4294.000,0.084,
4293.000,0.0842,
4292.000,0.0845,
4291.000,0.0848,
4290.000,0.0851,
4289.000,0.0854,
4288.000,0.0857,
4287.000,0.086,
4286.000,0.0863,
4285.000,0.0866,
4284.000,0.0869,
4283.000,0.0871,
4282.000,0.0872,
4281.000,0.0874,
4280.000,0.0874,
4279.000,0.0875,
4278.000,0.0875,
4277.000,0.0874,
4276.000,0.0874,
4275.000,0.0873,
4274.000,0.0872,
4273.000,0.0871,
4272.000,0.0869,
