Created as New Dataset,Sample 028 By Administrator Date Tuesday, November 30 2021
cm-1,%T
7000.00,8.97
6999.00,9.07
6998.00,9.18
6997.00,9.30
6996.00,9.42
6995.00,9.55
6994.00,9.69
6993.00,9.83
6992.00,9.98
6991.00,10.13
6990.00,10.29
6989.00,10.45
6988.00,10.61
6987.00,10.77
6986.00,10.93
6985.00,11.09
6984.00,11.25
6983.00,11.42
6982.00,11.59
6981.00,11.77
6980.00,11.95
6979.00,12.14
6978.00,12.33
6977.00,12.52
6976.00,12.71
6975.00,12.91
6974.00,13.11
6973.00,13.31
6972.00,13.52
6971.00,13.72
6970.00,13.93
6969.00,14.13
6968.00,14.34
6967.00,14.55
6966.00,14.76
6965.00,14.95
6964.00,15.15
6963.00,15.36
6962.00,15.56
6961.00,15.77
6960.00,15.97
6959.00,16.18
6958.00,16.39
6957.00,16.59
6956.00,16.79
6955.00,16.99
6954.00,17.17
6953.00,17.33
6952.00,17.49
6951.00,17.64
6950.00,17.79
6949.00,17.94
6948.00,18.08
6947.00,18.21
6946.00,18.33
6945.00,18.44
6944.00,18.55
6943.00,18.66
6942.00,18.75
6941.00,18.83
6940.00,18.90
6939.00,18.97
6938.00,19.02
6937.00,19.05
6936.00,19.07
6935.00,19.09
6934.00,19.11
6933.00,19.12
6932.00,19.12
6931.00,19.10
6930.00,19.08
6929.00,19.04
6928.00,18.98
6927.00,18.91
6926.00,18.82
6925.00,18.72
6924.00,18.61
6923.00,18.50
6922.00,18.38
6921.00,18.25
6920.00,18.12
6919.00,17.98
6918.00,17.83
6917.00,17.68
6916.00,17.51
6915.00,17.33
6914.00,17.15
6913.00,16.96
6912.00,16.77
6911.00,16.58
6910.00,16.38
6909.00,16.18
6908.00,15.99
6907.00,15.79
6906.00,15.58
6905.00,15.38
6904.00,15.16
6903.00,14.95
6902.00,14.74
6901.00,14.52
6900.00,14.30
6899.00,14.08
6898.00,13.86
6897.00,13.65
6896.00,13.44
6895.00,13.23
6894.00,13.01
6893.00,12.80
6892.00,12.59
6891.00,12.38
6890.00,12.19
6889.00,11.99
6888.00,11.81
6887.00,11.63
6886.00,11.45
6885.00,11.28
6884.00,11.11
6883.00,10.93
6882.00,10.75
6881.00,10.57
6880.00,10.40
6879.00,10.23
6878.00,10.06
6877.00,9.90
